Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,138.6,140.1,138.6,140.1,35845
2025-11-17,09:16:00,1763351160,140.11,141,140.11,140.82,96748
2025-11-17,09:17:00,1763351220,140.99,141.44,140.82,141.28,130621
2025-11-17,09:18:00,1763351280,141.31,141.57,141.31,141.49,157666
2025-11-17,09:19:00,1763351340,141.25,141.47,141.17,141.17,186484
2025-11-17,09:20:00,1763351400,141.35,141.35,141.12,141.21,196948
2025-11-17,09:21:00,1763351460,141.19,141.46,141.19,141.46,205555
2025-11-17,09:22:00,1763351520,141.45,141.7,141.4,141.62,227981
2025-11-17,09:23:00,1763351580,141.78,142.1,141.7,141.86,242414
2025-11-17,09:24:00,1763351640,141.88,142.5,141.65,142.5,291988
2025-11-17,09:25:00,1763351700,142.68,142.9,142.49,142.82,329371
2025-11-17,09:26:00,1763351760,142.9,143.32,142.8,143.26,386278
2025-11-17,09:27:00,1763351820,143.28,143.9,143.14,143.9,443519
2025-11-17,09:28:00,1763351880,143.78,143.9,143.14,143.5,487048
2025-11-17,09:29:00,1763351940,143.55,143.95,143.37,143.89,529426
2025-11-17,09:30:00,1763352000,144.04,144.2,143.71,144.03,617897
2025-11-17,09:31:00,1763352060,144.06,144.4,143.63,143.72,681022
2025-11-17,09:32:00,1763352120,143.62,144.26,143.47,144.26,720867
2025-11-17,09:33:00,1763352180,144.3,144.63,144,144.41,892021
2025-11-17,09:34:00,1763352240,144.24,144.64,144.05,144.15,960009
2025-11-17,09:35:00,1763352300,144.13,144.71,143.69,144.5,1030521
2025-11-17,09:36:00,1763352360,144.62,145.3,144.38,144.83,1143824
2025-11-17,09:37:00,1763352420,145.01,145.69,144.8,145.63,1319909
2025-11-17,09:38:00,1763352480,145.48,145.74,144.95,144.95,1455222
2025-11-17,09:39:00,1763352540,145.12,145.8,144.81,145.79,1550921
2025-11-17,09:40:00,1763352600,145.68,146,144.44,144.57,1783136
2025-11-17,09:41:00,1763352660,144.47,144.88,143.62,143.62,1940332
2025-11-17,09:42:00,1763352720,143.58,144.29,143.57,144.12,2043058
2025-11-17,09:43:00,1763352780,143.93,144.18,143.65,143.75,2111303
2025-11-17,09:44:00,1763352840,143.88,143.88,142.8,142.83,2238524
2025-11-17,09:45:00,1763352900,142.64,143.7,142.61,143.38,2319619
2025-11-17,09:46:00,1763352960,143.17,143.39,142.52,142.52,2401723
2025-11-17,09:47:00,1763353020,142.64,142.9,142.53,142.9,2446204
2025-11-17,09:48:00,1763353080,142.85,143.4,142.85,143.26,2489259
2025-11-17,09:49:00,1763353140,143.27,143.7,143.27,143.65,2533019
2025-11-17,09:50:00,1763353200,143.68,143.69,143.11,143.11,2546159
2025-11-17,09:51:00,1763353260,143.16,143.18,142.81,142.97,2583760
2025-11-17,09:52:00,1763353320,143.5,144,143.5,143.8,2651252
2025-11-17,09:53:00,1763353380,143.73,143.92,143.54,143.6,2679287
2025-11-17,09:54:00,1763353440,143.69,143.87,143.68,143.87,2691198
2025-11-17,09:55:00,1763353500,143.85,143.85,143.41,143.41,2718170
2025-11-17,09:56:00,1763353560,143.4,143.85,143.31,143.77,2744490
2025-11-17,09:57:00,1763353620,143.85,143.9,143.75,143.86,2767103
2025-11-17,09:58:00,1763353680,143.8,143.91,143.75,143.75,2772401
2025-11-17,09:59:00,1763353740,143.7,143.9,143.5,143.52,2803778
2025-11-17,10:00:00,1763353800,143.44,143.75,143.44,143.74,2828110
2025-11-17,10:01:00,1763353860,143.75,143.92,143.57,143.61,2878840
2025-11-17,10:02:00,1763353920,143.7,143.7,143.32,143.43,2893649
2025-11-17,10:03:00,1763353980,143.44,143.44,143.3,143.31,2919766
2025-11-17,10:04:00,1763354040,143.43,143.5,143.28,143.49,2927944
2025-11-17,10:05:00,1763354100,143.4,143.66,143.4,143.5,2939860
2025-11-17,10:06:00,1763354160,143.51,143.63,143.37,143.45,2947054
2025-11-17,10:07:00,1763354220,143.35,143.5,143.35,143.5,2954557
2025-11-17,10:08:00,1763354280,143.48,143.5,143.35,143.5,2964768
2025-11-17,10:09:00,1763354340,143.6,143.71,143.6,143.63,2967864
2025-11-17,10:10:00,1763354400,143.55,143.57,143.4,143.53,2981031
2025-11-17,10:11:00,1763354460,143.52,143.55,143.2,143.2,2991278
2025-11-17,10:12:00,1763354520,143.26,143.5,143.2,143.47,3004869
2025-11-17,10:13:00,1763354580,143.48,143.5,143.34,143.5,3008919
2025-11-17,10:14:00,1763354640,143.42,143.5,143.28,143.4,3014237
2025-11-17,10:15:00,1763354700,143.33,143.4,143.21,143.22,3024955
