Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,349.2,350.25,348.75,350,2155
2025-11-17,09:16:00,1763351160,349.85,349.85,349.35,349.35,2657
2025-11-17,09:17:00,1763351220,349.7,350.5,349.65,350.5,3238
2025-11-17,09:18:00,1763351280,350.8,350.8,350.4,350.8,3624
2025-11-17,09:19:00,1763351340,350.85,350.85,350.4,350.7,3843
2025-11-17,09:20:00,1763351400,350.75,350.75,350.6,350.75,3849
2025-11-17,09:22:00,1763351520,350.75,350.75,350.75,350.75,3853
2025-11-17,09:23:00,1763351580,350.75,350.75,350.75,350.75,3894
2025-11-17,09:24:00,1763351640,350.6,351,350.6,351,4031
2025-11-17,09:25:00,1763351700,350.5,350.55,350.5,350.55,4287
2025-11-17,09:26:00,1763351760,350.55,350.55,350.55,350.55,4406
2025-11-17,09:27:00,1763351820,351,351,351,351,4752
2025-11-17,09:28:00,1763351880,351.4,351.4,351.4,351.4,4806
2025-11-17,09:29:00,1763351940,351.1,351.15,351.1,351.15,5099
2025-11-17,09:30:00,1763352000,351.1,351.8,351.1,351.65,5537
2025-11-17,09:31:00,1763352060,351.55,351.9,351.55,351.85,5760
2025-11-17,09:32:00,1763352120,351.7,351.7,351.4,351.4,5876
2025-11-17,09:33:00,1763352180,351.35,351.35,351.35,351.35,6096
2025-11-17,09:35:00,1763352300,351.05,351.3,351.05,351.3,6120
2025-11-17,09:36:00,1763352360,351.05,351.3,351.05,351.3,6192
2025-11-17,09:37:00,1763352420,351.5,351.5,351.5,351.5,6439
2025-11-17,09:38:00,1763352480,351.4,351.4,351.4,351.4,6499
2025-11-17,09:39:00,1763352540,351.3,351.35,351.3,351.35,6840
2025-11-17,09:40:00,1763352600,351.45,351.45,351.4,351.4,6847
2025-11-17,09:42:00,1763352720,349.4,349.75,349.05,349.75,11941
2025-11-17,09:43:00,1763352780,349.4,349.6,349.4,349.6,11952
2025-11-17,09:44:00,1763352840,349.4,349.4,349.4,349.4,11967
2025-11-17,09:45:00,1763352900,349.55,349.55,349.55,349.55,12078
2025-11-17,09:46:00,1763352960,349.55,349.55,349.55,349.55,12089
2025-11-17,09:47:00,1763353020,349.9,349.9,349.8,349.85,12220
2025-11-17,09:48:00,1763353080,349.75,349.85,349.75,349.75,12646
2025-11-17,09:49:00,1763353140,349.95,350.05,349.95,349.95,12694
2025-11-17,09:50:00,1763353200,350.15,350.15,350.15,350.15,13846
2025-11-17,09:52:00,1763353320,350.3,350.3,350.15,350.15,13907
2025-11-17,09:53:00,1763353380,350.45,350.75,350.45,350.45,14303
2025-11-17,09:54:00,1763353440,350.45,350.45,350.45,350.45,14401
2025-11-17,09:55:00,1763353500,350.45,350.45,350.45,350.45,14419
2025-11-17,09:56:00,1763353560,350.65,350.75,350.65,350.7,14528
2025-11-17,09:57:00,1763353620,350.9,350.9,350.8,350.8,14544
2025-11-17,09:58:00,1763353680,351.2,351.55,351.15,351.4,14889
2025-11-17,09:59:00,1763353740,351.4,351.4,351.4,351.4,15281
2025-11-17,10:00:00,1763353800,351.5,351.5,351.2,351.2,15907
2025-11-17,10:01:00,1763353860,350.9,350.9,350.55,350.65,16351
2025-11-17,10:02:00,1763353920,350.8,350.8,350.65,350.65,16427
2025-11-17,10:03:00,1763353980,350.95,351.3,350.7,350.7,19230
