Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,2280,2280,2261.1,2261.1,3539
2025-11-17,09:16:00,1763351160,2264.3,2271.3,2264.3,2265.6,4836
2025-11-17,09:17:00,1763351220,2267.1,2270,2262.4,2264.4,5618
2025-11-17,09:18:00,1763351280,2263,2264.1,2260,2260.8,6911
2025-11-17,09:19:00,1763351340,2260.1,2263.4,2260,2263.1,7295
2025-11-17,09:20:00,1763351400,2264.1,2266.3,2262,2265.2,8181
2025-11-17,09:21:00,1763351460,2265,2268,2264,2266.4,8537
2025-11-17,09:22:00,1763351520,2267,2268.3,2264.1,2264.1,10526
2025-11-17,09:23:00,1763351580,2265,2265.8,2264,2265.6,10846
2025-11-17,09:24:00,1763351640,2265.9,2267.9,2264,2264.9,11053
2025-11-17,09:25:00,1763351700,2264.4,2269.5,2264,2269,11691
2025-11-17,09:26:00,1763351760,2267.3,2270.9,2267.3,2270.1,13740
2025-11-17,09:27:00,1763351820,2270.9,2271.7,2265,2266,14977
2025-11-17,09:28:00,1763351880,2266.1,2267.7,2262.8,2262.8,16388
2025-11-17,09:29:00,1763351940,2263.5,2265.6,2263.5,2265,16523
2025-11-17,09:30:00,1763352000,2264.4,2266.3,2264.4,2264.4,17595
2025-11-17,09:31:00,1763352060,2264.5,2264.9,2262.8,2262.8,17792
2025-11-17,09:32:00,1763352120,2263.5,2264.9,2262.8,2263.2,18604
2025-11-17,09:33:00,1763352180,2264.1,2264.1,2263,2263,19364
2025-11-17,09:34:00,1763352240,2262.5,2263.3,2262.1,2263.3,19691
2025-11-17,09:35:00,1763352300,2264,2264.4,2263.5,2264.4,21347
2025-11-17,09:36:00,1763352360,2263.8,2266.1,2263.8,2266.1,22740
2025-11-17,09:37:00,1763352420,2265.4,2266.3,2265,2265,23024
2025-11-17,09:38:00,1763352480,2264.4,2264.9,2264,2264.6,23759
2025-11-17,09:39:00,1763352540,2264,2265.9,2263.9,2265,24972
2025-11-17,09:40:00,1763352600,2265.8,2265.8,2264.3,2264.5,25208
2025-11-17,09:41:00,1763352660,2264.4,2265.8,2264,2265,25596
2025-11-17,09:42:00,1763352720,2264.9,2265,2263.8,2264,26164
2025-11-17,09:43:00,1763352780,2263.3,2265,2263.3,2264.1,26309
2025-11-17,09:44:00,1763352840,2264.9,2264.9,2262.6,2262.8,27029
2025-11-17,09:45:00,1763352900,2262.9,2263,2260.8,2260.8,27606
2025-11-17,09:46:00,1763352960,2261,2261.1,2260,2260.1,27965
2025-11-17,09:47:00,1763353020,2259.8,2259.8,2258.2,2258.6,28880
2025-11-17,09:48:00,1763353080,2258.7,2258.9,2258.6,2258.7,28921
2025-11-17,09:49:00,1763353140,2258.9,2260,2258.8,2259.1,28990
2025-11-17,09:50:00,1763353200,2259.9,2260.9,2259.9,2260.4,29317
2025-11-17,09:51:00,1763353260,2260.7,2261.7,2260.4,2261.7,29692
2025-11-17,09:52:00,1763353320,2260.6,2263.4,2260.6,2263.1,29892
2025-11-17,09:53:00,1763353380,2264.3,2264.3,2263.1,2264,30033
2025-11-17,09:54:00,1763353440,2263.3,2264.1,2263.1,2263.2,30184
2025-11-17,09:55:00,1763353500,2263.4,2264.6,2263.2,2263.5,30391
2025-11-17,09:56:00,1763353560,2263.6,2263.8,2261.4,2263.7,30993
2025-11-17,09:57:00,1763353620,2262.5,2263.6,2261.8,2262.8,31180
2025-11-17,09:58:00,1763353680,2262.9,2262.9,2261,2261,31540
2025-11-17,09:59:00,1763353740,2262.5,2262.6,2261.1,2261.8,32314
2025-11-17,10:00:00,1763353800,2261.9,2262.1,2261.9,2261.9,32390
2025-11-17,10:01:00,1763353860,2262.8,2263,2261.9,2262.1,32594
2025-11-17,10:02:00,1763353920,2263,2263,2258.7,2259.4,33872
2025-11-17,10:03:00,1763353980,2258.7,2259.4,2256.2,2256.9,34896
2025-11-17,10:04:00,1763354040,2256.6,2257.6,2256.3,2256.6,35699
2025-11-17,10:05:00,1763354100,2256.7,2256.7,2256.1,2256.5,36028
2025-11-17,10:06:00,1763354160,2256.7,2258.1,2256.4,2257,36833
2025-11-17,10:07:00,1763354220,2257.5,2257.8,2256,2256.1,37203
2025-11-17,10:08:00,1763354280,2256,2256.6,2256,2256.6,37353
2025-11-17,10:09:00,1763354340,2256.5,2258,2256,2256.5,37718
2025-11-17,10:10:00,1763354400,2257.4,2257.4,2253.2,2253.3,39094
2025-11-17,10:11:00,1763354460,2253.1,2254.9,2253.1,2253.8,39310
2025-11-17,10:12:00,1763354520,2254.6,2255.1,2253.8,2253.8,39833
2025-11-17,10:13:00,1763354580,2255.1,2255.1,2253.8,2254.2,40110
2025-11-17,10:14:00,1763354640,2254.3,2254.3,2254,2254,40196
2025-11-17,10:15:00,1763354700,2253,2255.3,2252.8,2254.9,41305
2025-11-17,10:16:00,1763354760,2257.2,2257.2,2254.7,2254.9,42076
2025-11-17,10:17:00,1763354820,2255,2257.6,2254.9,2256.7,43062
2025-11-17,10:18:00,1763354880,2256.6,2256.6,2254,2254,44592
2025-11-17,10:19:00,1763354940,2254.5,2254.6,2254,2254.2,44668
2025-11-17,10:20:00,1763355000,2254.1,2254.3,2254,2254.3,45087
2025-11-17,10:21:00,1763355060,2254.4,2256,2253.7,2254.1,45915
2025-11-17,10:22:00,1763355120,2254.4,2256.7,2254.3,2255.7,46099
2025-11-17,10:23:00,1763355180,2256.7,2257.4,2255.9,2256.6,46281
2025-11-17,10:24:00,1763355240,2257.6,2257.6,2254.8,2256.5,46761
2025-11-17,10:25:00,1763355300,2256.8,2256.8,2255.2,2255.4,47201
2025-11-17,10:26:00,1763355360,2256.4,2256.4,2255.3,2255.6,47360
2025-11-17,10:27:00,1763355420,2255.5,2255.7,2254,2254,47803
2025-11-17,10:28:00,1763355480,2253.7,2254.1,2253.2,2253.4,48325
2025-11-17,10:29:00,1763355540,2253.5,2253.6,2253.4,2253.4,48399
2025-11-17,10:30:00,1763355600,2253.3,2254.5,2253.3,2253.3,48612
2025-11-17,10:31:00,1763355660,2253.4,2253.5,2253.2,2253.2,48951
2025-11-17,10:32:00,1763355720,2252.8,2253.4,2252.2,2253.4,49951
2025-11-17,10:33:00,1763355780,2252.8,2253.3,2252.1,2252.4,50484
2025-11-17,10:34:00,1763355840,2252,2252.5,2251.1,2251.1,51318
2025-11-17,10:35:00,1763355900,2251.6,2251.6,2249,2249,54722
2025-11-17,10:36:00,1763355960,2248.8,2250,2248.4,2249.8,55132
2025-11-17,10:37:00,1763356020,2250,2250.9,2249.7,2249.8,55651
2025-11-17,10:38:00,1763356080,2249.9,2250.4,2249.8,2250,55766
2025-11-17,10:39:00,1763356140,2250.6,2250.6,2250,2250,56174
2025-11-17,10:40:00,1763356200,2250.6,2250.6,2248,2248,56943
2025-11-17,10:41:00,1763356260,2246.1,2246.1,2242.2,2243.4,58988
2025-11-17,10:42:00,1763356320,2244.5,2246,2243.9,2244.8,59498
2025-11-17,10:43:00,1763356380,2244.7,2245.7,2242.8,2243.6,60481
2025-11-17,10:44:00,1763356440,2244.5,2244.6,2243.6,2243.6,60849
2025-11-17,10:45:00,1763356500,2243.9,2244.2,2243.6,2243.6,61078
2025-11-17,10:46:00,1763356560,2243.7,2243.9,2241.3,2241.9,62337
2025-11-17,10:47:00,1763356620,2241.6,2245.4,2241.5,2245.4,62968
2025-11-17,10:48:00,1763356680,2245.2,2246.7,2244.8,2244.9,63607
2025-11-17,10:49:00,1763356740,2245.1,2246.3,2244.6,2245,64227
2025-11-17,10:50:00,1763356800,2244,2246.8,2243.6,2245.2,65373
2025-11-17,10:51:00,1763356860,2245.1,2246.6,2245.1,2245.3,65536
2025-11-17,10:52:00,1763356920,2246.3,2246.3,2244.9,2244.9,65960
2025-11-17,10:53:00,1763356980,2244.8,2245.5,2243.9,2243.9,66656
2025-11-17,10:54:00,1763357040,2244.7,2245,2243.1,2243.4,67069
2025-11-17,10:55:00,1763357100,2244.9,2244.9,2243.4,2244.5,67344
2025-11-17,10:56:00,1763357160,2243.8,2244.1,2243.7,2244.1,68157
2025-11-17,10:57:00,1763357220,2244,2245,2243.9,2244,70077
2025-11-17,10:58:00,1763357280,2244.1,2246.4,2244.1,2244.8,70688
2025-11-17,10:59:00,1763357340,2244.9,2245.4,2244.8,2245.3,70745
2025-11-17,11:00:00,1763357400,2245.4,2246.3,2244.8,2246.3,71184
2025-11-17,11:01:00,1763357460,2245.3,2245.4,2245.1,2245.1,71489
2025-11-17,11:02:00,1763357520,2245.2,2245.2,2244,2244,72014
2025-11-17,11:03:00,1763357580,2244.1,2245.4,2244.1,2244.5,72244
2025-11-17,11:04:00,1763357640,2245.2,2245.2,2244.5,2244.5,72385
2025-11-17,11:05:00,1763357700,2245,2245.9,2244.5,2244.8,72595
2025-11-17,11:06:00,1763357760,2245.4,2245.4,2244.5,2244.5,73128
