Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,175.13,175.21,173.69,174.1,648848
2025-11-17,09:16:00,1763351160,174.02,174.11,173.71,173.88,912831
2025-11-17,09:17:00,1763351220,173.98,173.98,173.6,173.75,1101276
2025-11-17,09:18:00,1763351280,173.76,174.41,173.74,174.33,1315938
2025-11-17,09:19:00,1763351340,174.3,174.49,174.25,174.31,1436756
2025-11-17,09:20:00,1763351400,174.3,174.45,173.63,173.63,1646650
2025-11-17,09:21:00,1763351460,173.64,173.99,173.62,173.96,1782470
2025-11-17,09:22:00,1763351520,173.9,174.19,173.9,174.05,1839114
2025-11-17,09:23:00,1763351580,174.08,174.11,174,174.05,1900413
2025-11-17,09:24:00,1763351640,174.06,174.27,174,174.07,1997244
2025-11-17,09:25:00,1763351700,174.1,174.4,173.71,173.8,2271752
2025-11-17,09:26:00,1763351760,173.83,174.1,173.75,174.06,2355091
2025-11-17,09:27:00,1763351820,174.15,174.24,173.85,174.15,2448721
2025-11-17,09:28:00,1763351880,174.16,174.26,174.06,174.23,2488728
2025-11-17,09:29:00,1763351940,174.25,174.25,174.06,174.1,2542874
2025-11-17,09:30:00,1763352000,174.11,174.11,173.81,173.87,2652224
2025-11-17,09:31:00,1763352060,173.81,173.89,173.72,173.89,2809771
2025-11-17,09:32:00,1763352120,173.85,173.9,173.8,173.85,2849071
2025-11-17,09:33:00,1763352180,173.88,173.88,173.7,173.75,2937502
2025-11-17,09:34:00,1763352240,173.76,173.85,173.7,173.84,2992511
2025-11-17,09:35:00,1763352300,173.85,173.86,173.8,173.85,3032545
2025-11-17,09:36:00,1763352360,173.86,173.88,173.7,173.74,3118437
2025-11-17,09:37:00,1763352420,173.76,173.82,173.69,173.75,3165076
2025-11-17,09:38:00,1763352480,173.78,173.87,173.75,173.87,3200134
2025-11-17,09:39:00,1763352540,173.79,173.85,173.75,173.84,3304620
2025-11-17,09:40:00,1763352600,173.85,173.9,173.76,173.82,3357970
2025-11-17,09:41:00,1763352660,173.76,173.88,173.75,173.88,3417509
2025-11-17,09:42:00,1763352720,173.82,173.89,173.82,173.85,3441640
2025-11-17,09:43:00,1763352780,173.75,173.75,173.71,173.75,3565121
2025-11-17,09:44:00,1763352840,173.7,173.75,173.55,173.55,3710949
2025-11-17,09:45:00,1763352900,173.56,173.62,173.5,173.61,3790902
2025-11-17,09:46:00,1763352960,173.56,173.79,173.56,173.77,3829092
2025-11-17,09:47:00,1763353020,173.73,173.8,173.7,173.8,3894096
2025-11-17,09:48:00,1763353080,173.75,173.8,173.66,173.74,3915505
2025-11-17,09:49:00,1763353140,173.66,173.85,173.66,173.85,3952080
2025-11-17,09:50:00,1763353200,173.77,173.9,173.76,173.84,4072327
2025-11-17,09:51:00,1763353260,173.82,173.84,173.1,173.54,4503749
2025-11-17,09:52:00,1763353320,173.52,173.6,173.17,173.17,4656104
2025-11-17,09:53:00,1763353380,173.12,173.17,172.8,172.81,5227973
2025-11-17,09:54:00,1763353440,172.84,172.96,172.71,172.9,5353843
2025-11-17,09:55:00,1763353500,172.94,173.14,172.81,172.82,5484775
2025-11-17,09:56:00,1763353560,172.91,173.25,172.91,173.14,5626943
2025-11-17,09:57:00,1763353620,173.11,173.25,173.1,173.25,5696563
2025-11-17,09:58:00,1763353680,173.21,173.32,173.2,173.24,5751726
2025-11-17,09:59:00,1763353740,173.2,173.33,173.1,173.16,5902908
2025-11-17,10:00:00,1763353800,173.18,173.35,173.18,173.35,5933937
2025-11-17,10:01:00,1763353860,173.33,173.38,173.26,173.28,5983343
2025-11-17,10:02:00,1763353920,173.26,173.4,173.26,173.34,6010567
2025-11-17,10:03:00,1763353980,173.36,173.36,173.15,173.17,6108739
2025-11-17,10:04:00,1763354040,173.07,173.17,173,173.04,6226477
2025-11-17,10:05:00,1763354100,173.05,173.05,172.84,172.84,6307590
2025-11-17,10:06:00,1763354160,172.83,173.1,172.81,173.09,6428256
2025-11-17,10:07:00,1763354220,173.05,173.17,173,173.09,6459028
2025-11-17,10:08:00,1763354280,173.08,173.09,172.87,172.87,6512387
2025-11-17,10:09:00,1763354340,172.89,173,172.85,172.98,6580291
2025-11-17,10:10:00,1763354400,172.99,172.99,172.83,172.92,6644106
2025-11-17,10:11:00,1763354460,172.9,173.15,172.9,173.1,6728466
2025-11-17,10:12:00,1763354520,173.13,173.19,173.12,173.17,6749730
2025-11-17,10:13:00,1763354580,173.16,173.2,173.12,173.17,6775714
2025-11-17,10:14:00,1763354640,173.19,173.3,173.17,173.3,6819213
2025-11-17,10:15:00,1763354700,173.29,173.5,173.29,173.46,6898414
2025-11-17,10:16:00,1763354760,173.45,173.67,173.42,173.63,7035158
2025-11-17,10:17:00,1763354820,173.54,173.55,173.34,173.36,7151861
2025-11-17,10:18:00,1763354880,173.35,173.45,173.25,173.45,7190943
2025-11-17,10:19:00,1763354940,173.44,173.5,173.41,173.49,7298674
2025-11-17,10:20:00,1763355000,173.5,173.5,173.45,173.45,7314315
2025-11-17,10:21:00,1763355060,173.47,173.47,173.43,173.43,7328224
2025-11-17,10:22:00,1763355120,173.46,173.48,173.44,173.47,7344725
2025-11-17,10:23:00,1763355180,173.48,173.48,173.41,173.43,7381106
2025-11-17,10:24:00,1763355240,173.31,173.39,173.31,173.38,7452505
2025-11-17,10:25:00,1763355300,173.35,173.4,173.35,173.38,7468142
2025-11-17,10:26:00,1763355360,173.34,173.38,173.29,173.32,7497936
2025-11-17,10:27:00,1763355420,173.35,173.35,173.25,173.25,7515068
2025-11-17,10:28:00,1763355480,173.24,173.26,173.02,173.02,7577531
2025-11-17,10:29:00,1763355540,173.05,173.1,173.05,173.1,7593243
2025-11-17,10:30:00,1763355600,173.09,173.12,173,173.03,7708783
2025-11-17,10:31:00,1763355660,173,173.04,172.93,173,8030259
2025-11-17,10:32:00,1763355720,172.98,173.06,172.96,173.05,8076883
2025-11-17,10:33:00,1763355780,173.03,173.04,172.9,172.95,8133262
2025-11-17,10:34:00,1763355840,172.99,173,172.95,173,8151702
2025-11-17,10:35:00,1763355900,172.99,173.04,172.95,173.02,8184129
2025-11-17,10:36:00,1763355960,173.04,173.2,173,173.2,8211723
2025-11-17,10:37:00,1763356020,173.16,173.18,173.06,173.11,8235597
2025-11-17,10:38:00,1763356080,173.13,173.17,172.9,172.94,8297459
2025-11-17,10:39:00,1763356140,172.96,173,172.9,172.95,8330584
2025-11-17,10:40:00,1763356200,172.94,173.01,172.9,172.92,8380508
2025-11-17,10:41:00,1763356260,172.93,172.97,172.82,172.84,8452572
2025-11-17,10:42:00,1763356320,172.9,172.98,172.86,172.96,8477721
2025-11-17,10:43:00,1763356380,172.95,172.99,172.91,172.96,8497103
2025-11-17,10:44:00,1763356440,172.95,173.07,172.93,173.01,8533801
2025-11-17,10:45:00,1763356500,173,173.01,172.91,172.97,8567882
2025-11-17,10:46:00,1763356560,172.95,173.02,172.9,172.97,8631064
2025-11-17,10:47:00,1763356620,172.96,173.03,172.78,172.83,8783619
2025-11-17,10:48:00,1763356680,172.82,172.86,172.8,172.85,8819737
2025-11-17,10:49:00,1763356740,172.8,172.88,172.75,172.78,8890470
2025-11-17,10:50:00,1763356800,172.76,172.89,172.74,172.87,8967000
2025-11-17,10:51:00,1763356860,172.81,172.87,172.71,172.75,9012800
2025-11-17,10:52:00,1763356920,172.76,172.8,172.7,172.77,9046178
2025-11-17,10:53:00,1763356980,172.78,172.85,172.72,172.81,9101818
2025-11-17,10:54:00,1763357040,172.82,172.83,172.7,172.74,9151703
2025-11-17,10:55:00,1763357100,172.71,172.84,172.7,172.81,9218238
2025-11-17,10:56:00,1763357160,172.8,172.89,172.7,172.82,9273741
2025-11-17,10:57:00,1763357220,172.81,172.84,172.77,172.83,9305743
2025-11-17,10:58:00,1763357280,172.84,172.85,172.77,172.84,9330216
2025-11-17,10:59:00,1763357340,172.81,172.95,172.81,172.82,9404076
2025-11-17,11:00:00,1763357400,172.84,173,172.82,173,9451458
2025-11-17,11:01:00,1763357460,172.99,173.01,172.9,173,9501398
