Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,492.9,498.5,490.75,498.5,17478
2025-11-17,09:16:00,1763351160,499.05,499.05,496.3,497.55,26088
2025-11-17,09:17:00,1763351220,497.65,497.65,497.05,497.55,26599
2025-11-17,09:18:00,1763351280,497.6,498.2,497.6,497.6,27438
2025-11-17,09:19:00,1763351340,497.85,498.5,497.85,498.5,27606
2025-11-17,09:20:00,1763351400,496.95,498,496.65,496.65,33075
2025-11-17,09:21:00,1763351460,497.2,497.4,496.4,496.4,39888
2025-11-17,09:22:00,1763351520,495,496.2,495,495,48461
2025-11-17,09:23:00,1763351580,494.65,495.15,494.05,494.05,49446
2025-11-17,09:24:00,1763351640,493.75,494.35,493.55,494.2,50167
2025-11-17,09:25:00,1763351700,494.3,494.4,494.1,494.1,51433
2025-11-17,09:26:00,1763351760,494,494.6,494,494.2,51634
2025-11-17,09:27:00,1763351820,494.25,494.3,493.2,493.8,53430
2025-11-17,09:28:00,1763351880,495.3,495.3,495.1,495.3,58957
2025-11-17,09:29:00,1763351940,495.1,495.75,495.1,495.75,59081
2025-11-17,09:30:00,1763352000,495.4,497.05,495.4,496.8,59243
2025-11-17,09:31:00,1763352060,496.7,497.65,496.7,496.7,61299
2025-11-17,09:32:00,1763352120,496.25,496.25,495.75,495.75,61580
2025-11-17,09:33:00,1763352180,495.55,496,495.55,495.55,61590
2025-11-17,09:34:00,1763352240,494.45,495.4,494.45,494.9,63648
2025-11-17,09:35:00,1763352300,495.25,495.5,494.55,495.5,63827
2025-11-17,09:36:00,1763352360,494.95,495.5,494.5,495.25,64360
2025-11-17,09:37:00,1763352420,494.7,494.9,494.35,494.35,64453
2025-11-17,09:38:00,1763352480,494.5,494.6,494.5,494.6,64457
2025-11-17,09:39:00,1763352540,494.2,494.6,494.2,494.6,64507
2025-11-17,09:40:00,1763352600,495,495,494.35,494.35,64685
2025-11-17,09:41:00,1763352660,494,494.7,494,494.25,64952
2025-11-17,09:42:00,1763352720,494.65,494.95,494.45,494.45,65027
2025-11-17,09:43:00,1763352780,494.9,494.9,494.9,494.9,65056
2025-11-17,09:44:00,1763352840,494.3,494.5,494.3,494.5,65358
2025-11-17,09:45:00,1763352900,494.9,494.9,494.5,494.5,65474
2025-11-17,09:46:00,1763352960,494.9,494.9,494.35,494.85,65553
2025-11-17,09:47:00,1763353020,494.45,495,494.45,494.6,65728
2025-11-17,09:48:00,1763353080,495,495.75,495,495.2,67224
2025-11-17,09:49:00,1763353140,495.05,495.8,495.05,495.8,67304
2025-11-17,09:50:00,1763353200,495.85,495.85,495.2,495.2,67746
2025-11-17,09:51:00,1763353260,495.5,495.75,495.2,495.75,68059
2025-11-17,09:52:00,1763353320,495.85,495.85,494.8,494.8,68243
2025-11-17,09:53:00,1763353380,494.65,496.4,494.65,495.85,68872
2025-11-17,09:54:00,1763353440,495.8,495.8,495.75,495.75,69209
2025-11-17,09:55:00,1763353500,496.1,496.1,495.9,495.9,69561
2025-11-17,09:56:00,1763353560,496.2,496.35,495.9,496.3,69674
2025-11-17,09:57:00,1763353620,495.8,496.95,495.8,496.95,70122
2025-11-17,09:58:00,1763353680,497,497,497,497,70132
2025-11-17,09:59:00,1763353740,497.05,497.15,497.05,497.05,70268
2025-11-17,10:00:00,1763353800,497,497.05,496.55,496.55,70544
2025-11-17,10:01:00,1763353860,496.45,496.45,496.25,496.25,70585
2025-11-17,10:02:00,1763353920,496.85,496.85,496.5,496.5,70591
2025-11-17,10:03:00,1763353980,496.05,496.5,496.05,496.3,70813
2025-11-17,10:05:00,1763354100,496.05,496.4,496.05,496.4,70832
2025-11-17,10:06:00,1763354160,496.35,496.35,494.3,494.6,71726
2025-11-17,10:07:00,1763354220,494.3,494.4,493.8,493.8,72963
2025-11-17,10:08:00,1763354280,493.5,493.5,493.5,493.5,73127
2025-11-17,10:09:00,1763354340,493.75,493.75,493.5,493.5,73152
2025-11-17,10:10:00,1763354400,493.7,494.1,493.2,493.2,75132
2025-11-17,10:11:00,1763354460,494,494,493.5,493.55,75720
2025-11-17,10:12:00,1763354520,493.2,493.2,493.2,493.2,75889
2025-11-17,10:13:00,1763354580,493,493.3,493,493.3,75901
2025-11-17,10:14:00,1763354640,493,493.45,493,493.45,75986
2025-11-17,10:15:00,1763354700,493.55,493.55,493,493,76121
2025-11-17,10:16:00,1763354760,492.7,492.75,492.7,492.75,77152
2025-11-17,10:17:00,1763354820,493,493.45,492.75,493.15,77332
2025-11-17,10:18:00,1763354880,493.3,493.9,493.1,493.1,77606
2025-11-17,10:19:00,1763354940,493.6,493.6,493.05,493.05,77996
2025-11-17,10:20:00,1763355000,493,493.35,493,493.3,78094
2025-11-17,10:21:00,1763355060,493.6,493.6,493.6,493.6,78110
2025-11-17,10:22:00,1763355120,493.65,493.9,493.65,493.65,78152
2025-11-17,10:23:00,1763355180,494.2,494.2,493.45,493.45,79005
2025-11-17,10:24:00,1763355240,493.4,493.4,492.5,493.15,83242
2025-11-17,10:25:00,1763355300,493.2,493.6,493.2,493.45,83396
2025-11-17,10:26:00,1763355360,493,493.85,493,493.4,83832
2025-11-17,10:27:00,1763355420,493.75,494.05,493.75,493.95,83875
2025-11-17,10:28:00,1763355480,493.9,494,493.6,493.6,84031
2025-11-17,10:29:00,1763355540,494,494,493.6,493.95,84080
2025-11-17,10:30:00,1763355600,493.6,493.95,493.6,493.95,84253
2025-11-17,10:31:00,1763355660,493.9,493.9,493.9,493.9,84268
2025-11-17,10:32:00,1763355720,493.6,493.85,493.6,493.85,84303
2025-11-17,10:33:00,1763355780,493.6,493.8,493.35,493.75,84425
2025-11-17,10:34:00,1763355840,493.75,493.75,493.75,493.75,84449
2025-11-17,10:35:00,1763355900,493.7,493.7,493.7,493.7,84565
2025-11-17,10:36:00,1763355960,493.3,493.65,493,493,84859
2025-11-17,10:37:00,1763356020,493.05,493.5,493.05,493.5,84904
2025-11-17,10:38:00,1763356080,493.05,493.45,493.05,493.45,84945
2025-11-17,10:39:00,1763356140,493.4,493.4,493.05,493.4,85025
2025-11-17,10:40:00,1763356200,493,493.65,493,493.65,85321
2025-11-17,10:41:00,1763356260,493.45,493.5,493.45,493.5,86346
2025-11-17,10:42:00,1763356320,493.35,493.35,493,493,86450
2025-11-17,10:43:00,1763356380,493,493,493,493,86762
2025-11-17,10:44:00,1763356440,493.55,493.55,493.2,493.45,86983
2025-11-17,10:45:00,1763356500,493.6,493.65,493.2,493.65,87123
2025-11-17,10:46:00,1763356560,493.6,493.65,493.6,493.6,87197
2025-11-17,10:47:00,1763356620,493.2,493.35,493.2,493.2,88258
2025-11-17,10:48:00,1763356680,493.35,493.55,493.35,493.55,88329
2025-11-17,10:49:00,1763356740,493.5,493.55,493.5,493.5,88379
2025-11-17,10:50:00,1763356800,493.1,493.4,493.1,493.4,88545
2025-11-17,10:51:00,1763356860,493.55,493.55,493,493,88646
2025-11-17,10:52:00,1763356920,493.3,493.3,493,493.2,88739
2025-11-17,10:53:00,1763356980,493.05,493.05,493,493,89437
2025-11-17,10:54:00,1763357040,492.65,492.85,492.65,492.85,89472
2025-11-17,10:55:00,1763357100,492.65,492.85,492.65,492.85,89512
2025-11-17,10:56:00,1763357160,493,493,492.85,492.85,89619
2025-11-17,10:57:00,1763357220,492.85,492.85,492.85,492.85,89698
2025-11-17,10:58:00,1763357280,492.9,492.9,492.4,492.4,90286
2025-11-17,10:59:00,1763357340,492.8,493.7,492.8,493.7,93530
2025-11-17,11:00:00,1763357400,493.8,493.8,493.05,493.4,94162
2025-11-17,11:01:00,1763357460,493.5,493.5,493.4,493.45,94217
2025-11-17,11:02:00,1763357520,493.15,493.15,493.15,493.15,94230
2025-11-17,11:03:00,1763357580,493.25,493.25,492.85,493.1,94581
2025-11-17,11:04:00,1763357640,492.85,493.15,492.85,492.85,94602
2025-11-17,11:05:00,1763357700,493.2,493.2,492.8,492.8,94692
2025-11-17,11:06:00,1763357760,493.05,493.15,492.65,492.65,94748
2025-11-17,11:07:00,1763357820,493.1,493.1,493.05,493.05,94825
2025-11-17,11:08:00,1763357880,493.1,493.1,493.05,493.05,94862
2025-11-17,11:09:00,1763357940,493.1,493.4,493.1,493.4,95030
2025-11-17,11:10:00,1763358000,493.5,493.5,493.5,493.5,95063
2025-11-17,11:11:00,1763358060,493.4,493.4,493.1,493.1,95097
2025-11-17,11:12:00,1763358120,493.05,493.05,493.05,493.05,95163
2025-11-17,11:13:00,1763358180,493.35,493.5,493.05,493.5,95282
2025-11-17,11:14:00,1763358240,493.55,493.55,493.15,493.15,95336
2025-11-17,11:15:00,1763358300,493.65,493.95,493.2,493.95,95484
2025-11-17,11:16:00,1763358360,494,494,493.5,493.9,95658
2025-11-17,11:17:00,1763358420,493.95,494,493.95,494,96223
2025-11-17,11:18:00,1763358480,493.95,493.95,493.5,493.5,96375
2025-11-17,11:19:00,1763358540,493.8,493.8,493.8,493.8,96438
2025-11-17,11:20:00,1763358600,493.5,493.65,493.25,493.25,96539
2025-11-17,11:21:00,1763358660,493.25,493.25,493.25,493.25,96573
