Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,1344,1346.7,1344,1346.7,59
2025-11-17,09:17:00,1763351220,1346,1346,1346,1346,84
2025-11-17,09:18:00,1763351280,1345.3,1347,1345.3,1347,89
2025-11-17,09:20:00,1763351400,1346.1,1349.9,1346.1,1346.1,127
2025-11-17,09:21:00,1763351460,1349.7,1349.9,1347.2,1347.2,197
2025-11-17,09:22:00,1763351520,1345,1345,1345,1345,415
2025-11-17,09:23:00,1763351580,1347,1347,1347,1347,428
2025-11-17,09:24:00,1763351640,1347,1347,1347,1347,459
2025-11-17,09:26:00,1763351760,1347,1347,1347,1347,467
2025-11-17,09:27:00,1763351820,1348.9,1348.9,1348,1348,488
2025-11-17,09:28:00,1763351880,1345.1,1345.1,1345.1,1345.1,508
2025-11-17,09:30:00,1763352000,1346.2,1346.2,1346.2,1346.2,510
2025-11-17,09:31:00,1763352060,1345,1345,1345,1345,513
2025-11-17,09:32:00,1763352120,1346.7,1346.7,1346.7,1346.7,520
2025-11-17,09:33:00,1763352180,1347,1347,1347,1347,526
2025-11-17,09:34:00,1763352240,1345,1345,1344,1344.7,666
2025-11-17,09:35:00,1763352300,1344.1,1344.1,1343,1343,679
2025-11-17,09:36:00,1763352360,1344.6,1345,1344.6,1344.6,690
2025-11-17,09:37:00,1763352420,1344,1345,1344,1345,771
2025-11-17,09:40:00,1763352600,1345,1345,1345,1345,801
2025-11-17,09:42:00,1763352720,1345,1345,1345,1345,811
2025-11-17,09:44:00,1763352840,1343,1343.9,1343,1343.9,882
2025-11-17,09:45:00,1763352900,1341,1341,1340.1,1340.1,927
2025-11-17,09:46:00,1763352960,1342.8,1342.8,1342.8,1342.8,952
2025-11-17,09:47:00,1763353020,1340,1340,1340,1340,1104
2025-11-17,09:49:00,1763353140,1343,1343,1343,1343,1106
2025-11-17,09:50:00,1763353200,1340.1,1342.7,1340.1,1342.7,1167
2025-11-17,09:51:00,1763353260,1342.7,1342.7,1342.7,1342.7,1168
2025-11-17,09:52:00,1763353320,1342.7,1342.7,1342.7,1342.7,1170
2025-11-17,09:53:00,1763353380,1341.1,1341.1,1341.1,1341.1,1180
2025-11-17,09:57:00,1763353620,1342.4,1342.4,1342.4,1342.4,1185
2025-11-17,09:59:00,1763353740,1342.4,1342.4,1342.4,1342.4,1209
2025-11-17,10:01:00,1763353860,1340.1,1340.1,1340.1,1340.1,1259
2025-11-17,10:02:00,1763353920,1341.9,1341.9,1341.9,1341.9,1263
2025-11-17,10:03:00,1763353980,1340.5,1340.5,1340.5,1340.5,1264
2025-11-17,10:04:00,1763354040,1340.5,1340.5,1340.5,1340.5,1271
2025-11-17,10:05:00,1763354100,1342.9,1342.9,1341.2,1341.2,1288
2025-11-17,10:07:00,1763354220,1340.3,1340.3,1340.3,1340.3,1291
2025-11-17,10:08:00,1763354280,1340.4,1340.4,1339,1339,1433
2025-11-17,10:09:00,1763354340,1338,1338.8,1337.2,1338.8,1473
2025-11-17,10:10:00,1763354400,1340.4,1340.4,1340.4,1340.4,1495
2025-11-17,10:11:00,1763354460,1342,1342,1342,1342,1505
2025-11-17,10:12:00,1763354520,1340,1340,1340,1340,1520
2025-11-17,10:13:00,1763354580,1338.1,1338.1,1338.1,1338.1,1659
2025-11-17,10:15:00,1763354700,1340.5,1340.5,1340.5,1340.5,1664
2025-11-17,10:17:00,1763354820,1341.8,1341.8,1341.8,1341.8,1665
2025-11-17,10:19:00,1763354940,1342,1342,1342,1342,1670
