Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,105,105.89,105,105.32,674
2025-11-17,09:16:00,1763351160,105.29,105.29,104.84,105,1265
2025-11-17,09:17:00,1763351220,105,105,105,105,1348
2025-11-17,09:18:00,1763351280,104.82,104.82,104.8,104.8,1363
2025-11-17,09:19:00,1763351340,104.57,104.71,104.57,104.7,2296
2025-11-17,09:20:00,1763351400,104.8,105,104.76,104.76,2871
2025-11-17,09:22:00,1763351520,105,105,105,105,2929
2025-11-17,09:23:00,1763351580,104.99,105,104.85,105,2970
2025-11-17,09:24:00,1763351640,105.15,105.15,105,105,3236
2025-11-17,09:25:00,1763351700,104.83,105.1,104.82,105.1,3939
2025-11-17,09:26:00,1763351760,105.17,105.17,105.17,105.17,3940
2025-11-17,09:27:00,1763351820,104.96,104.96,104.96,104.96,4014
2025-11-17,09:28:00,1763351880,105.07,105.07,105.07,105.07,4015
2025-11-17,09:31:00,1763352060,104.9,104.9,104.9,104.9,4215
2025-11-17,09:32:00,1763352120,105.07,105.07,105.07,105.07,4216
2025-11-17,09:33:00,1763352180,104.81,105.07,104.76,104.76,5895
2025-11-17,09:34:00,1763352240,104.8,104.88,104.8,104.87,6009
2025-11-17,09:37:00,1763352420,104.91,104.96,104.76,104.96,6267
2025-11-17,09:38:00,1763352480,104.78,104.93,104.78,104.93,6270
2025-11-17,09:39:00,1763352540,104.95,104.97,104.95,104.97,7525
2025-11-17,09:41:00,1763352660,104.84,104.9,104.84,104.88,7971
2025-11-17,09:42:00,1763352720,104.86,104.87,104.86,104.87,7984
2025-11-17,09:43:00,1763352780,104.87,104.87,104.87,104.87,8009
2025-11-17,09:44:00,1763352840,104.87,104.87,104.87,104.87,8010
2025-11-17,09:46:00,1763352960,104.8,104.87,104.8,104.87,8027
2025-11-17,09:47:00,1763353020,104.87,104.87,104.87,104.87,8534
2025-11-17,09:48:00,1763353080,104.76,104.89,104.76,104.89,8856
2025-11-17,09:49:00,1763353140,104.75,104.75,104.75,104.75,8867
2025-11-17,09:50:00,1763353200,105,105,105,105,9867
2025-11-17,09:51:00,1763353260,105.04,105.04,105.04,105.04,10017
2025-11-17,09:55:00,1763353500,105.02,105.02,105,105,10207
2025-11-17,09:56:00,1763353560,105.04,105.04,104.87,104.95,11316
2025-11-17,09:57:00,1763353620,105.07,105.07,104.57,104.57,13395
2025-11-17,09:58:00,1763353680,104.91,104.91,104.89,104.89,13699
2025-11-17,09:59:00,1763353740,104.96,104.96,104.95,104.95,13739
2025-11-17,10:00:00,1763353800,105.07,105.08,105.07,105.08,13743
2025-11-17,10:02:00,1763353920,104.95,104.95,104.95,104.95,13780
2025-11-17,10:04:00,1763354040,104.91,104.91,104.91,104.91,13785
2025-11-17,10:05:00,1763354100,104.9,105,104.9,104.96,13820
2025-11-17,10:06:00,1763354160,104.99,104.99,104.99,104.99,13821
2025-11-17,10:07:00,1763354220,104.96,104.98,104.96,104.98,13922
2025-11-17,10:09:00,1763354340,104.98,104.98,104.98,104.98,14022
2025-11-17,10:11:00,1763354460,104.99,105,104.99,105,14232
2025-11-17,10:12:00,1763354520,105,105,105,105,14532
2025-11-17,10:13:00,1763354580,105.06,105.06,105.06,105.06,14756
2025-11-17,10:14:00,1763354640,104.94,105.08,104.94,105.08,14775
2025-11-17,10:15:00,1763354700,105.06,105.06,105.06,105.06,14776
2025-11-17,10:16:00,1763354760,105.09,105.33,105.09,105.33,15786
2025-11-17,10:17:00,1763354820,105.32,105.64,105.32,105.64,16816
2025-11-17,10:18:00,1763354880,105.56,105.56,105.56,105.56,16851
2025-11-17,10:19:00,1763354940,105.36,105.53,105.36,105.53,16904
2025-11-17,10:20:00,1763355000,105.35,105.49,105.35,105.49,16974
2025-11-17,10:22:00,1763355120,105.55,105.55,105.49,105.49,17549
2025-11-17,10:24:00,1763355240,105.21,105.41,105.2,105.2,17814
2025-11-17,10:26:00,1763355360,104.81,105.14,104.81,104.96,19925
2025-11-17,10:30:00,1763355600,105.12,105.12,105.03,105.03,20004
2025-11-17,10:32:00,1763355720,105.18,105.18,105.18,105.18,20009
2025-11-17,10:33:00,1763355780,105.11,105.11,105.11,105.11,20010
2025-11-17,10:34:00,1763355840,105.15,105.15,105,105,20053
2025-11-17,10:38:00,1763356080,105.09,105.12,105.09,105.12,20154
2025-11-17,10:39:00,1763356140,105.28,105.28,105.28,105.28,20715
2025-11-17,10:40:00,1763356200,105.26,105.26,105.26,105.26,20725
2025-11-17,10:43:00,1763356380,105.17,105.17,105.17,105.17,20736
2025-11-17,10:45:00,1763356500,104.86,104.86,104.86,104.86,22344
2025-11-17,10:47:00,1763356620,104.86,104.86,104.86,104.86,22354
2025-11-17,10:48:00,1763356680,105.02,105.02,104.77,104.77,22531
2025-11-17,10:49:00,1763356740,103.74,104.19,103.11,103.48,53273
2025-11-17,10:50:00,1763356800,103.84,104.11,103.61,104.1,53859
2025-11-17,10:51:00,1763356860,104.11,104.29,104.11,104.11,54912
2025-11-17,10:52:00,1763356920,104.2,104.2,104,104,55001
2025-11-17,10:53:00,1763356980,103.99,104,103.92,104,55791
2025-11-17,10:54:00,1763357040,103.92,104,103.92,104,56107
2025-11-17,10:55:00,1763357100,103.92,104.06,103.92,103.92,56185
2025-11-17,10:56:00,1763357160,103.99,104,103.6,103.6,57494
2025-11-17,10:57:00,1763357220,102.99,103.45,102.9,103,69907
2025-11-17,10:58:00,1763357280,102.72,103.02,102.72,103.02,71722
2025-11-17,10:59:00,1763357340,103.2,103.31,103.2,103.31,72228
2025-11-17,11:00:00,1763357400,103.44,103.44,103.44,103.44,72628
2025-11-17,11:01:00,1763357460,103.44,103.44,103.44,103.44,72630
2025-11-17,11:02:00,1763357520,103.3,103.36,103.3,103.35,73718
2025-11-17,11:03:00,1763357580,103.3,103.41,103.3,103.41,74267
2025-11-17,11:04:00,1763357640,103.44,103.44,103.44,103.44,74767
2025-11-17,11:05:00,1763357700,103.41,103.44,103.41,103.44,74865
2025-11-17,11:06:00,1763357760,103.42,103.42,103.42,103.42,74912
2025-11-17,11:07:00,1763357820,103.43,103.43,103.43,103.43,75002
2025-11-17,11:08:00,1763357880,103.43,103.43,103.43,103.43,75027
2025-11-17,11:09:00,1763357940,103.44,103.44,103.44,103.44,75029
2025-11-17,11:10:00,1763358000,103.44,103.44,103.44,103.44,75040
2025-11-17,11:11:00,1763358060,103.44,103.44,103.44,103.44,75055
2025-11-17,11:12:00,1763358120,103.34,103.34,103.34,103.34,75078
2025-11-17,11:13:00,1763358180,103.44,103.44,103.34,103.34,75093
2025-11-17,11:14:00,1763358240,103.44,103.48,103.34,103.48,75284
2025-11-17,11:15:00,1763358300,103.48,103.48,103.48,103.48,75315
2025-11-17,11:16:00,1763358360,103.48,103.48,103.48,103.48,75325
2025-11-17,11:17:00,1763358420,103.49,103.49,103.49,103.49,75475
2025-11-17,11:18:00,1763358480,103.45,103.48,103.45,103.48,75483
2025-11-17,11:19:00,1763358540,103.2,103.27,102.51,102.51,85548
2025-11-17,11:20:00,1763358600,102.71,102.71,102.71,102.71,86167
2025-11-17,11:21:00,1763358660,102.76,102.81,102.75,102.75,89283
2025-11-17,11:22:00,1763358720,102.75,102.75,102.75,102.75,89308
2025-11-17,11:23:00,1763358780,102.8,102.83,102.61,102.61,89617
2025-11-17,11:24:00,1763358840,102.81,102.89,102,102.5,115164
2025-11-17,11:25:00,1763358900,102.64,102.65,102.5,102.63,115419
2025-11-17,11:26:00,1763358960,102.64,102.64,102.41,102.41,115980
2025-11-17,11:27:00,1763359020,102.62,102.65,102.44,102.63,117203
2025-11-17,11:28:00,1763359080,102.65,102.78,102.65,102.68,118056
2025-11-17,11:29:00,1763359140,102.77,102.79,102.77,102.79,119560
2025-11-17,11:30:00,1763359200,103,103.11,102.9,102.94,119838
