Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,324.1,324.9,320,323.15,10433
2025-11-17,09:16:00,1763351160,321.2,322.9,321,321,15011
2025-11-17,09:17:00,1763351220,320.6,322,320.6,322,21448
2025-11-17,09:18:00,1763351280,321,321,321,321,21577
2025-11-17,09:19:00,1763351340,322,322.7,322,322.7,23441
2025-11-17,09:20:00,1763351400,322.75,322.9,322.2,322.2,24095
2025-11-17,09:21:00,1763351460,321.55,322.95,321.55,322.75,24524
2025-11-17,09:22:00,1763351520,323.75,323.75,322.65,322.65,27331
2025-11-17,09:23:00,1763351580,322.5,322.5,322.5,322.5,27421
2025-11-17,09:24:00,1763351640,321.5,322.5,321.5,322.5,27750
2025-11-17,09:25:00,1763351700,322.35,323.1,322.35,323.1,28510
2025-11-17,09:26:00,1763351760,323,323.75,323,323.75,28622
2025-11-17,09:27:00,1763351820,323.35,325,323.35,325,29953
2025-11-17,09:28:00,1763351880,326,326.05,324.5,326.05,32642
2025-11-17,09:29:00,1763351940,325.9,327,325.9,327,35302
2025-11-17,09:30:00,1763352000,327,327,327,327,37802
2025-11-17,09:31:00,1763352060,328.3,328.8,327.3,328.1,39030
2025-11-17,09:32:00,1763352120,328.3,328.3,328.3,328.3,39250
2025-11-17,09:33:00,1763352180,327.5,327.5,327.45,327.45,39252
2025-11-17,09:34:00,1763352240,329.3,329.3,328.05,328.05,44121
2025-11-17,09:35:00,1763352300,328,328,328,328,45151
2025-11-17,09:36:00,1763352360,327.65,327.65,327.65,327.65,45201
2025-11-17,09:37:00,1763352420,329.8,329.95,328.2,329.95,49897
2025-11-17,09:38:00,1763352480,330.3,331.7,330.3,331,50816
2025-11-17,09:39:00,1763352540,332,332,328.75,328.75,55261
2025-11-17,09:40:00,1763352600,328.75,328.75,328.75,328.75,55301
2025-11-17,09:41:00,1763352660,328,328,328,328,56285
2025-11-17,09:42:00,1763352720,328,328,328,328,56290
2025-11-17,09:43:00,1763352780,327,327,327,327,58085
2025-11-17,09:44:00,1763352840,327.95,328,327,327,59498
2025-11-17,09:45:00,1763352900,327.5,327.5,327.5,327.5,60437
2025-11-17,09:47:00,1763353020,327,327,326.75,326.75,65226
2025-11-17,09:48:00,1763353080,326.3,326.3,326.3,326.3,65228
2025-11-17,09:49:00,1763353140,325,325,325,325,65728
2025-11-17,09:50:00,1763353200,326.25,326.25,326.25,326.25,65828
2025-11-17,09:53:00,1763353380,326,326,326,326,66328
2025-11-17,09:55:00,1763353500,326.45,326.55,325.8,326.55,66381
2025-11-17,09:57:00,1763353620,326.55,326.55,326.55,326.55,66383
2025-11-17,09:58:00,1763353680,326.05,326.7,326.05,326.05,66525
2025-11-17,10:01:00,1763353860,325.75,325.75,325.75,325.75,66871
2025-11-17,10:03:00,1763353980,326.75,327.5,324.55,327.5,69208
2025-11-17,10:04:00,1763354040,327.3,327.85,327.3,327.85,69763
2025-11-17,10:05:00,1763354100,329.6,329.6,329.6,329.6,70960
2025-11-17,10:06:00,1763354160,330,330.15,328.8,330.15,71295
2025-11-17,10:09:00,1763354340,329.05,329.05,329.05,329.05,71395
2025-11-17,10:10:00,1763354400,330,330.2,330,330.2,71541
2025-11-17,10:11:00,1763354460,330.75,330.9,330.75,330.9,72001
2025-11-17,10:14:00,1763354640,331,331,331,331,72377
2025-11-17,10:16:00,1763354760,330.7,330.7,330,330,73069
2025-11-17,10:17:00,1763354820,329.55,329.55,328.75,328.75,74118
2025-11-17,10:21:00,1763355060,328.75,328.75,328.75,328.75,74120
2025-11-17,10:22:00,1763355120,329,329,329,329,74147
2025-11-17,10:24:00,1763355240,328.75,328.75,328.75,328.75,74587
2025-11-17,10:26:00,1763355360,328.75,328.75,328.75,328.75,74637
2025-11-17,10:31:00,1763355660,328.85,328.85,328.85,328.85,74667
2025-11-17,10:32:00,1763355720,328.75,328.75,328.75,328.75,74669
2025-11-17,10:35:00,1763355900,328.8,328.8,328.8,328.8,74879
2025-11-17,10:37:00,1763356020,327,327,327,327,79942
2025-11-17,10:39:00,1763356140,325.55,325.55,325.55,325.55,81786
2025-11-17,10:40:00,1763356200,324.35,325.95,324.35,325.95,82274
2025-11-17,10:42:00,1763356320,325.9,325.9,325.9,325.9,82329
2025-11-17,10:45:00,1763356500,325.95,326.05,324.25,326.05,83974
2025-11-17,10:46:00,1763356560,324.3,325.25,324.3,325.25,83996
2025-11-17,10:47:00,1763356620,325.25,325.25,325.25,325.25,83998
2025-11-17,10:48:00,1763356680,325.25,325.25,325.25,325.25,84057
2025-11-17,10:49:00,1763356740,325.25,325.25,325.25,325.25,84101
2025-11-17,10:50:00,1763356800,325.05,325.05,325.05,325.05,84111
2025-11-17,10:51:00,1763356860,324.5,324.5,324.5,324.5,84126
2025-11-17,10:52:00,1763356920,325.15,325.15,325.15,325.15,84178
2025-11-17,10:54:00,1763357040,325.35,326.15,325.35,326.15,85163
2025-11-17,10:55:00,1763357100,327,327,327,327,86782
2025-11-17,10:56:00,1763357160,325.35,325.35,325.35,325.35,86982
2025-11-17,10:58:00,1763357280,325,325,325,325,87151
2025-11-17,10:59:00,1763357340,325,325,325,325,87189
2025-11-17,11:00:00,1763357400,324,324.9,324,324.05,88085
2025-11-17,11:01:00,1763357460,324,324,324,324,89085
2025-11-17,11:02:00,1763357520,323.6,323.6,323.5,323.5,89187
2025-11-17,11:03:00,1763357580,323.5,323.5,323.5,323.5,89198
2025-11-17,11:04:00,1763357640,323.1,324,323.1,324,89885
2025-11-17,11:05:00,1763357700,323.15,323.7,323.15,323.7,90246
2025-11-17,11:06:00,1763357760,323,323,322.05,322.05,90874
2025-11-17,11:07:00,1763357820,323.2,323.2,322.6,322.6,91336
2025-11-17,11:08:00,1763357880,321.75,322.6,321.75,322.6,94796
2025-11-17,11:09:00,1763357940,323,323,322.7,322.7,95372
2025-11-17,11:11:00,1763358060,322.1,322.1,322.1,322.1,95399
2025-11-17,11:12:00,1763358120,321.75,321.75,321.75,321.75,
2025-11-17,11:13:00,1763358180,321.05,321.05,321.05,321.05,96449
2025-11-17,11:14:00,1763358240,321.85,321.85,321.85,321.85,96537
2025-11-17,11:15:00,1763358300,322.5,323.15,322.5,323.15,97212
2025-11-17,11:16:00,1763358360,321.95,321.95,321.95,321.95,98229
2025-11-17,11:17:00,1763358420,321.7,322.25,321.5,322,98344
