Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,191,191.8,191,191.19,881
2025-11-17,09:16:00,1763351160,191.11,191.27,191.11,191.13,1010
2025-11-17,09:17:00,1763351220,191.12,191.87,191.12,191.87,1511
2025-11-17,09:18:00,1763351280,191.95,192,191.87,192,2437
2025-11-17,09:19:00,1763351340,192.06,192.44,192.06,192.44,2739
2025-11-17,09:20:00,1763351400,192.38,192.69,192.38,192.69,3401
2025-11-17,09:21:00,1763351460,192.56,192.56,192.05,192.51,5755
2025-11-17,09:22:00,1763351520,192.5,193.02,192.5,192.9,12962
2025-11-17,09:23:00,1763351580,193.1,193.4,193.1,193.4,14095
2025-11-17,09:24:00,1763351640,193.3,193.47,193.3,193.47,14696
2025-11-17,09:25:00,1763351700,193.49,193.84,193.24,193.24,16326
2025-11-17,09:26:00,1763351760,193.69,193.69,193.31,193.31,16378
2025-11-17,09:27:00,1763351820,193.55,193.78,193.55,193.78,16400
2025-11-17,09:28:00,1763351880,193.73,193.78,193.73,193.78,16651
2025-11-17,09:29:00,1763351940,193.5,193.7,193.35,193.7,17229
2025-11-17,09:30:00,1763352000,193.6,193.6,193.5,193.5,17554
2025-11-17,09:31:00,1763352060,193.18,193.39,193,193,19002
2025-11-17,09:32:00,1763352120,193.49,193.57,193.49,193.57,19257
2025-11-17,09:33:00,1763352180,193.37,193.42,193.37,193.42,19342
2025-11-17,09:34:00,1763352240,193.65,193.7,193.65,193.7,20090
2025-11-17,09:35:00,1763352300,194,195.46,194,195.46,31907
2025-11-17,09:36:00,1763352360,195.02,195.02,194.97,194.97,32164
2025-11-17,09:37:00,1763352420,194.62,194.85,194.62,194.85,32577
2025-11-17,09:38:00,1763352480,194.65,194.91,194.64,194.64,32763
2025-11-17,09:39:00,1763352540,194.64,194.64,194.64,194.64,32774
2025-11-17,09:40:00,1763352600,194.79,194.79,194.64,194.78,32859
2025-11-17,09:41:00,1763352660,194.77,194.77,194.77,194.77,32866
2025-11-17,09:42:00,1763352720,194.77,194.77,194.77,194.77,32909
2025-11-17,09:43:00,1763352780,194.8,194.8,194.8,194.8,33059
2025-11-17,09:44:00,1763352840,194.79,194.79,194.79,194.79,33162
2025-11-17,09:45:00,1763352900,194.65,194.79,194.63,194.79,33362
2025-11-17,09:46:00,1763352960,194.71,194.8,194.71,194.8,33403
2025-11-17,09:47:00,1763353020,195.23,195.44,195.23,195.44,36148
2025-11-17,09:48:00,1763353080,195.4,195.4,195.16,195.39,36211
2025-11-17,09:49:00,1763353140,195.15,195.4,195.15,195.4,36307
2025-11-17,09:50:00,1763353200,195.64,196.25,195.64,196,45173
2025-11-17,09:51:00,1763353260,196.16,196.16,195.92,195.92,46305
2025-11-17,09:52:00,1763353320,196.1,196.7,195.92,196.65,47757
2025-11-17,09:53:00,1763353380,196.6,196.6,196.3,196.3,47884
2025-11-17,09:54:00,1763353440,196.27,196.5,196.23,196.23,49564
2025-11-17,09:55:00,1763353500,196.46,196.6,196.46,196.6,50298
2025-11-17,09:56:00,1763353560,196.88,197,196.88,197,55186
2025-11-17,09:57:00,1763353620,197.11,197.3,197.1,197.25,55677
2025-11-17,09:58:00,1763353680,197.3,197.5,197.21,197.38,58559
2025-11-17,09:59:00,1763353740,197.11,197.49,196.99,197.49,60743
2025-11-17,10:00:00,1763353800,197.35,197.39,197.32,197.32,61081
2025-11-17,10:01:00,1763353860,197.22,197.55,197.14,197.55,62443
2025-11-17,10:02:00,1763353920,197.58,199,197.58,199,69576
2025-11-17,10:03:00,1763353980,198.53,198.99,198.5,198.53,70550
2025-11-17,10:04:00,1763354040,198.06,198.06,197.62,197.89,70882
2025-11-17,10:05:00,1763354100,197.8,198.08,197.78,198.08,71436
2025-11-17,10:06:00,1763354160,198.25,198.25,197.56,197.56,71941
2025-11-17,10:07:00,1763354220,197.57,197.57,197.57,197.57,71960
2025-11-17,10:08:00,1763354280,197.6,197.6,197.6,197.6,72229
2025-11-17,10:09:00,1763354340,197.62,197.62,197.62,197.62,73755
2025-11-17,10:10:00,1763354400,197.94,197.94,197.94,197.94,75393
2025-11-17,10:11:00,1763354460,197.9,197.9,197.41,197.74,76405
2025-11-17,10:12:00,1763354520,197.8,197.8,197.61,197.61,76536
2025-11-17,10:13:00,1763354580,197.6,197.61,197.44,197.61,76601
2025-11-17,10:14:00,1763354640,197.26,197.53,197.2,197.25,77309
2025-11-17,10:15:00,1763354700,197.04,197.49,197.04,197.49,81475
2025-11-17,10:16:00,1763354760,197.06,197.09,197.06,197.09,82435
2025-11-17,10:17:00,1763354820,197,197.38,197,197.16,84337
2025-11-17,10:18:00,1763354880,197.54,197.54,197.54,197.54,84537
2025-11-17,10:19:00,1763354940,197.4,197.65,197.4,197.4,85085
2025-11-17,10:20:00,1763355000,197.23,197.23,197.23,197.23,85341
2025-11-17,10:21:00,1763355060,197.23,197.23,197.23,197.23,85841
2025-11-17,10:22:00,1763355120,197.54,197.79,197.54,197.79,85969
2025-11-17,10:23:00,1763355180,197.83,197.83,197.79,197.79,86206
2025-11-17,10:24:00,1763355240,197.78,197.79,197.78,197.78,86328
2025-11-17,10:25:00,1763355300,197.5,197.5,197.5,197.5,86543
2025-11-17,10:27:00,1763355420,197.25,197.25,197.25,197.25,86563
2025-11-17,10:28:00,1763355480,197.26,197.26,197.26,197.26,86565
2025-11-17,10:29:00,1763355540,197.18,197.18,197.18,197.18,86575
2025-11-17,10:30:00,1763355600,197.21,197.21,197.21,197.21,86675
2025-11-17,10:31:00,1763355660,197.45,197.45,197.45,197.45,86838
2025-11-17,10:32:00,1763355720,197.12,197.12,197.12,197.12,86938
2025-11-17,10:33:00,1763355780,197.14,197.21,197.12,197.12,87108
2025-11-17,10:34:00,1763355840,197.35,197.35,197.21,197.35,87184
2025-11-17,10:35:00,1763355900,197.13,197.38,197.13,197.38,87250
2025-11-17,10:36:00,1763355960,197.21,197.21,197.21,197.21,87297
2025-11-17,10:37:00,1763356020,197.36,197.36,197.33,197.33,87640
2025-11-17,10:38:00,1763356080,197.41,197.41,197.41,197.41,87657
2025-11-17,10:39:00,1763356140,197.58,197.58,197.41,197.41,87732
2025-11-17,10:40:00,1763356200,197.41,197.41,197.41,197.41,87734
2025-11-17,10:41:00,1763356260,197.41,197.41,197.41,197.41,87946
2025-11-17,10:42:00,1763356320,197.34,197.38,197.25,197.38,88324
2025-11-17,10:43:00,1763356380,197.38,197.38,197.38,197.38,88325
2025-11-17,10:44:00,1763356440,197.25,197.25,197.25,197.25,90513
2025-11-17,10:45:00,1763356500,197.23,197.25,197.11,197.11,90972
2025-11-17,10:46:00,1763356560,197.25,197.51,197.25,197.51,91932
2025-11-17,10:47:00,1763356620,198.07,198.07,197.7,197.85,95074
2025-11-17,10:48:00,1763356680,198,198.1,198,198,97233
2025-11-17,10:49:00,1763356740,197.97,198,197.97,198,100031
2025-11-17,10:50:00,1763356800,198,198,198,198,100761
2025-11-17,10:51:00,1763356860,197.97,198,197.92,198,101729
2025-11-17,10:52:00,1763356920,197.98,197.98,197.98,197.98,101754
2025-11-17,10:53:00,1763356980,197.83,197.83,197.7,197.83,101917
2025-11-17,10:54:00,1763357040,197.7,197.83,197.7,197.7,102202
2025-11-17,10:55:00,1763357100,197.58,197.58,197.52,197.52,102252
2025-11-17,10:56:00,1763357160,197.52,197.52,197.52,197.52,102271
2025-11-17,10:57:00,1763357220,197.55,197.69,197.55,197.69,102296
2025-11-17,10:58:00,1763357280,197.51,197.51,197.51,197.51,102331
2025-11-17,10:59:00,1763357340,197.51,197.51,197.51,197.51,102469
2025-11-17,11:00:00,1763357400,197.5,197.69,197.5,197.5,102510
2025-11-17,11:01:00,1763357460,197.51,197.69,197.51,197.69,102516
2025-11-17,11:02:00,1763357520,197.5,197.5,197.5,197.5,102566
2025-11-17,11:03:00,1763357580,197.5,197.5,197.5,197.5,102882
2025-11-17,11:04:00,1763357640,197.5,197.5,197.5,197.5,102922
2025-11-17,11:05:00,1763357700,197.5,197.5,197.5,197.5,102946
2025-11-17,11:07:00,1763357820,197.5,197.5,197.5,197.5,102964
2025-11-17,11:08:00,1763357880,197.61,197.61,197.6,197.6,103085
2025-11-17,11:09:00,1763357940,197.5,197.6,197.5,197.6,103210
2025-11-17,11:10:00,1763358000,197.5,197.5,197.5,197.5,103224
2025-11-17,11:11:00,1763358060,197.5,197.5,197.5,197.5,103245
2025-11-17,11:12:00,1763358120,197.46,197.46,197.46,197.46,103958
2025-11-17,11:13:00,1763358180,197.3,197.36,197.3,197.36,104106
2025-11-17,11:14:00,1763358240,197.3,197.3,197.3,197.3,104129
2025-11-17,11:15:00,1763358300,197.39,197.39,197.3,197.39,104157
2025-11-17,11:16:00,1763358360,197.39,197.39,197.39,197.39,104657
2025-11-17,11:17:00,1763358420,197.3,197.3,197.25,197.25,105050
2025-11-17,11:19:00,1763358540,197.26,197.37,197.26,197.37,105085
2025-11-17,11:20:00,1763358600,197.25,197.25,197.25,197.25,105113
2025-11-17,11:21:00,1763358660,197.23,197.23,197.23,197.23,107295
2025-11-17,11:22:00,1763358720,197.34,197.34,197.34,197.34,107300
2025-11-17,11:23:00,1763358780,197.41,197.41,197.41,197.41,108250
2025-11-17,11:25:00,1763358900,197.5,197.5,197.5,197.5,108810
2025-11-17,11:26:00,1763358960,197.55,197.55,197.5,197.5,109122
2025-11-17,11:27:00,1763359020,197.45,197.45,197.45,197.45,109638
2025-11-17,11:29:00,1763359140,197.45,197.45,197.45,197.45,109640
2025-11-17,11:30:00,1763359200,197.32,197.32,197.25,197.25,111108
2025-11-17,11:31:00,1763359260,197.25,197.25,197.25,197.25,111168
2025-11-17,11:32:00,1763359320,197.25,197.25,197.25,197.25,111193
2025-11-17,11:33:00,1763359380,197.26,197.26,197.25,197.26,112834
2025-11-17,11:37:00,1763359620,197.43,197.43,197.43,197.43,112835
2025-11-17,11:39:00,1763359740,197.32,197.32,197.32,197.32,112837
2025-11-17,11:41:00,1763359860,197.32,197.32,197.32,197.32,112847
2025-11-17,11:42:00,1763359920,197.33,197.33,197.33,197.33,112882
2025-11-17,11:43:00,1763359980,197.32,197.33,197.32,197.33,112917
2025-11-17,11:44:00,1763360040,197.32,197.45,197.32,197.45,113167
2025-11-17,11:45:00,1763360100,197.31,197.55,197.31,197.55,113285
2025-11-17,11:46:00,1763360160,197.55,197.55,197.55,197.55,113345
2025-11-17,11:47:00,1763360220,197.33,197.33,197.33,197.33,113373
2025-11-17,11:48:00,1763360280,197.3,197.3,197.3,197.3,113454
2025-11-17,11:49:00,1763360340,197.27,197.27,197.26,197.26,113552
2025-11-17,11:50:00,1763360400,197.26,197.26,197.26,197.26,113652
2025-11-17,11:53:00,1763360580,197.33,197.33,197.33,197.33,113692
2025-11-17,11:55:00,1763360700,197.26,197.26,197.26,197.26,113779
2025-11-17,11:56:00,1763360760,197.26,197.26,197.26,197.26,113791
2025-11-17,11:59:00,1763360940,197.25,197.25,197.25,197.25,114541
2025-11-17,12:01:00,1763361060,197.26,197.26,197.26,197.26,114731
2025-11-17,12:02:00,1763361120,197.32,197.32,197.25,197.25,115010
2025-11-17,12:03:00,1763361180,197.25,197.25,197.25,197.25,115213
2025-11-17,12:04:00,1763361240,197.26,197.26,197.26,197.26,116142
2025-11-17,12:05:00,1763361300,197.25,197.76,197.25,197.76,120647
2025-11-17,12:07:00,1763361420,197.61,197.61,197.61,197.61,120697
2025-11-17,12:08:00,1763361480,197.5,197.78,197.5,197.78,120798
2025-11-17,12:09:00,1763361540,197.5,197.5,197.5,197.5,120828
2025-11-17,12:10:00,1763361600,197.56,197.86,197.56,197.86,120968
2025-11-17,12:11:00,1763361660,197.77,197.77,197.66,197.66,121469
2025-11-17,12:12:00,1763361720,197.84,197.84,197.59,197.59,121519
2025-11-17,12:13:00,1763361780,197.6,197.87,197.6,197.87,121624
2025-11-17,12:16:00,1763361960,197.63,197.76,197.63,197.76,121730
2025-11-17,12:17:00,1763362020,197.66,197.76,197.66,197.76,121856
2025-11-17,12:18:00,1763362080,197.73,197.89,197.73,197.89,121983
2025-11-17,12:20:00,1763362200,197.6,197.6,197.6,197.6,122012
2025-11-17,12:23:00,1763362380,198,198,197.58,197.58,123552
2025-11-17,12:25:00,1763362500,197.56,197.56,197.56,197.56,123652
2025-11-17,12:26:00,1763362560,197.86,197.86,197.86,197.86,123653
2025-11-17,12:27:00,1763362620,197.48,197.55,197.48,197.55,124174
2025-11-17,12:28:00,1763362680,197.54,197.54,197.54,197.54,
2025-11-17,12:29:00,1763362740,197.48,197.5,197.48,197.48,124401
2025-11-17,12:30:00,1763362800,197.48,197.48,197.48,197.48,124413
2025-11-17,12:31:00,1763362860,197.55,197.55,197.55,197.55,124414
2025-11-17,12:32:00,1763362920,197.65,197.65,197.65,197.65,124454
2025-11-17,12:35:00,1763363100,197.48,197.48,197.48,197.48,124469
2025-11-17,12:37:00,1763363220,197.55,197.55,197.36,197.37,124510
2025-11-17,12:41:00,1763363460,197.55,197.55,197.5,197.55,124535
2025-11-17,12:42:00,1763363520,197.55,197.55,197.55,197.55,124540
2025-11-17,12:43:00,1763363580,197.5,197.5,197.5,197.5,125040
2025-11-17,12:44:00,1763363640,197.39,197.39,197.39,197.39,125567
2025-11-17,12:46:00,1763363760,197.41,197.41,197.41,197.41,125588
2025-11-17,12:47:00,1763363820,197.37,197.37,197.37,197.37,125605
2025-11-17,12:48:00,1763363880,197.37,197.37,197.37,197.37,125639
2025-11-17,12:49:00,1763363940,197.5,197.5,197.5,197.5,125659
2025-11-17,12:50:00,1763364000,197.37,197.37,197.37,197.37,125796
2025-11-17,12:51:00,1763364060,197.37,197.37,197.37,197.37,125896
2025-11-17,12:52:00,1763364120,197.37,197.37,197.37,197.37,125901
2025-11-17,12:53:00,1763364180,197.37,197.37,197.37,197.37,126062
2025-11-17,12:54:00,1763364240,197.4,197.5,197.4,197.5,126071
2025-11-17,12:56:00,1763364360,197.49,197.49,197.21,197.21,126178
2025-11-17,12:58:00,1763364480,197.21,197.21,197.21,197.21,126183
2025-11-17,12:59:00,1763364540,197.4,197.4,197.4,197.4,127340
2025-11-17,13:00:00,1763364600,197.43,197.43,197.43,197.43,127347
2025-11-17,13:02:00,1763364720,197.41,197.41,197.41,197.41,127348
2025-11-17,13:03:00,1763364780,197.45,197.45,197.45,197.45,127459
2025-11-17,13:05:00,1763364900,197.39,197.39,197.39,197.39,127460
2025-11-17,13:06:00,1763364960,197.34,197.34,197.34,197.34,127461
2025-11-17,13:07:00,1763365020,197.14,197.14,197.1,197.1,127486
2025-11-17,13:08:00,1763365080,197.1,197.1,197.1,197.1,127490
2025-11-17,13:09:00,1763365140,197.28,197.28,197.28,197.28,127491
2025-11-17,13:10:00,1763365200,197.13,197.13,197.13,197.13,127493
2025-11-17,13:11:00,1763365260,197,197.16,197,197.16,127626
2025-11-17,13:12:00,1763365320,197.01,197.01,197.01,197.01,127631
2025-11-17,13:13:00,1763365380,197.01,197.01,197.01,197.01,127641
2025-11-17,13:14:00,1763365440,197.29,197.29,197.29,197.29,127791
2025-11-17,13:17:00,1763365620,197.01,197.01,197.01,197.01,127891
2025-11-17,13:22:00,1763365920,197.04,197.04,197.04,197.04,
2025-11-17,13:23:00,1763365980,197.25,197.25,197.25,197.25,128056
2025-11-17,13:24:00,1763366040,197.2,197.2,197.2,197.2,128582
2025-11-17,13:25:00,1763366100,197.24,197.24,197.24,197.24,128583
2025-11-17,13:32:00,1763366520,197.2,197.46,197.2,197.46,128889
2025-11-17,13:34:00,1763366640,197.1,197.25,197.1,197.25,129165
