Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,1832.1,1845,1832.1,1841.6,3130
2025-11-17,09:16:00,1763351160,1840,1841.9,1834,1841.9,5092
2025-11-17,09:17:00,1763351220,1837,1842.8,1837,1841,5569
2025-11-17,09:18:00,1763351280,1842,1842.9,1842,1842.7,5998
2025-11-17,09:19:00,1763351340,1843.7,1846.9,1843.7,1846.9,6331
2025-11-17,09:20:00,1763351400,1845,1846.8,1845,1845.1,7216
2025-11-17,09:21:00,1763351460,1846.9,1847.1,1845.2,1847.1,7513
2025-11-17,09:22:00,1763351520,1846,1846.1,1845,1846,7959
2025-11-17,09:23:00,1763351580,1846.8,1847,1846,1846.9,8520
2025-11-17,09:24:00,1763351640,1848,1849,1846.8,1849,8707
2025-11-17,09:25:00,1763351700,1850.3,1853.2,1848.3,1851.2,9051
2025-11-17,09:26:00,1763351760,1849.7,1852.2,1849.6,1850,9497
2025-11-17,09:27:00,1763351820,1853,1853,1851.5,1851.5,9595
2025-11-17,09:28:00,1763351880,1851,1854,1849.7,1853.3,11335
2025-11-17,09:29:00,1763351940,1855,1856.4,1853.9,1853.9,12496
2025-11-17,09:30:00,1763352000,1854.9,1854.9,1854.4,1854.4,12640
2025-11-17,09:31:00,1763352060,1852.8,1853.9,1852.8,1852.8,12645
2025-11-17,09:32:00,1763352120,1852.7,1854,1852.7,1853.1,12812
2025-11-17,09:33:00,1763352180,1852.8,1852.8,1852.8,1852.8,12913
2025-11-17,09:34:00,1763352240,1853.1,1853.1,1853.1,1853.1,12981
2025-11-17,09:35:00,1763352300,1853.5,1853.5,1851.5,1851.5,13024
2025-11-17,09:36:00,1763352360,1854.9,1856,1854.9,1856,13248
2025-11-17,09:37:00,1763352420,1855.1,1856,1855.1,1856,13429
2025-11-17,09:38:00,1763352480,1855.1,1856,1854.5,1854.5,13618
2025-11-17,09:39:00,1763352540,1855.4,1855.9,1855.4,1855.9,13637
2025-11-17,09:40:00,1763352600,1855.1,1855.4,1852.8,1855,13904
2025-11-17,09:41:00,1763352660,1853.3,1855,1853,1855,14242
2025-11-17,09:42:00,1763352720,1854.3,1854.3,1848,1848,14735
2025-11-17,09:43:00,1763352780,1847.6,1847.6,1846.1,1846.1,14790
2025-11-17,09:44:00,1763352840,1845.7,1847,1845.7,1847,14855
2025-11-17,09:45:00,1763352900,1846.3,1846.3,1846.3,1846.3,15100
2025-11-17,09:46:00,1763352960,1847.9,1847.9,1847.9,1847.9,15101
2025-11-17,09:47:00,1763353020,1847,1851.1,1847,1847,15434
2025-11-17,09:48:00,1763353080,1848,1848,1848,1848,15574
2025-11-17,09:49:00,1763353140,1847,1847,1846.3,1846.3,15594
2025-11-17,09:50:00,1763353200,1846.1,1847,1845.8,1847,15723
2025-11-17,09:51:00,1763353260,1848.1,1848.6,1848,1848.6,15797
2025-11-17,09:52:00,1763353320,1847.9,1848.4,1845.8,1846.7,15846
2025-11-17,09:53:00,1763353380,1845.8,1845.8,1845.8,1845.8,15927
2025-11-17,09:54:00,1763353440,1846,1849,1846,1849,16020
2025-11-17,09:55:00,1763353500,1845.6,1851.3,1845.6,1851.3,16167
2025-11-17,09:56:00,1763353560,1850.8,1852.3,1850.8,1852.3,16268
2025-11-17,09:57:00,1763353620,1851.8,1851.8,1851.8,1851.8,16272
2025-11-17,09:58:00,1763353680,1851.7,1851.8,1850.8,1850.8,16295
2025-11-17,09:59:00,1763353740,1850.6,1850.6,1848.7,1850.6,16389
2025-11-17,10:00:00,1763353800,1850.2,1850.8,1847.6,1847.6,16480
2025-11-17,10:01:00,1763353860,1846.9,1847.7,1846.9,1847.7,16539
2025-11-17,10:02:00,1763353920,1848.2,1850,1848.2,1849.4,16578
2025-11-17,10:03:00,1763353980,1849.7,1849.7,1849.3,1849.3,16600
2025-11-17,10:05:00,1763354100,1850,1852.6,1850,1852.3,16835
2025-11-17,10:06:00,1763354160,1853,1853.9,1853,1853.4,17077
2025-11-17,10:07:00,1763354220,1852.9,1852.9,1852,1852,17098
2025-11-17,10:08:00,1763354280,1852.9,1853.4,1851.7,1853.4,17143
2025-11-17,10:09:00,1763354340,1851.3,1851.8,1850.3,1851.8,17250
2025-11-17,10:10:00,1763354400,1851.7,1851.8,1849.3,1851.8,17467
2025-11-17,10:11:00,1763354460,1852.3,1852.3,1850.5,1850.5,17468
2025-11-17,10:12:00,1763354520,1849.5,1851.1,1849.5,1851.1,18036
2025-11-17,10:14:00,1763354640,1849,1855.4,1849,1855.4,18524
2025-11-17,10:15:00,1763354700,1856,1856,1852.1,1852.1,18608
