Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,458,458.95,456.85,456.85,1539
2025-11-17,09:16:00,1763351160,458.2,458.2,456.5,456.5,2643
2025-11-17,09:17:00,1763351220,457.75,457.75,453.95,453.95,4880
2025-11-17,09:18:00,1763351280,456.5,457.65,456.5,456.85,5893
2025-11-17,09:19:00,1763351340,455.4,457.45,455.4,457.45,7139
2025-11-17,09:20:00,1763351400,457.4,457.4,456.3,456.75,7409
2025-11-17,09:21:00,1763351460,457.6,457.6,456.5,456.5,7640
2025-11-17,09:22:00,1763351520,455.05,455.75,455.05,455.35,7856
2025-11-17,09:23:00,1763351580,456.1,457.35,456.1,457.2,8636
2025-11-17,09:24:00,1763351640,457,457,456.8,456.8,8758
2025-11-17,09:25:00,1763351700,456.8,456.8,456.8,456.8,8766
2025-11-17,09:26:00,1763351760,456.5,456.5,456.5,456.5,8836
2025-11-17,09:27:00,1763351820,456.8,456.8,456.8,456.8,8849
2025-11-17,09:28:00,1763351880,457.45,457.45,456.85,456.85,8866
2025-11-17,09:29:00,1763351940,457.45,457.45,456.8,456.8,8904
2025-11-17,09:30:00,1763352000,457.7,457.7,457.7,457.7,9104
2025-11-17,09:31:00,1763352060,457.55,457.55,456.45,456.5,9215
2025-11-17,09:32:00,1763352120,456.25,456.25,456.25,456.25,9284
2025-11-17,09:33:00,1763352180,455.55,455.55,455.55,455.55,9469
2025-11-17,09:35:00,1763352300,455.5,455.5,455.5,455.5,9505
2025-11-17,09:36:00,1763352360,455.05,455.9,455,455.9,9868
2025-11-17,09:37:00,1763352420,455,455,455,455,9884
2025-11-17,09:38:00,1763352480,455.05,455.05,455.05,455.05,9899
2025-11-17,09:40:00,1763352600,455.05,455.05,455.05,455.05,9929
2025-11-17,09:41:00,1763352660,455.9,455.9,455.8,455.8,9935
2025-11-17,09:43:00,1763352780,455.75,455.75,455.75,455.75,9936
2025-11-17,09:44:00,1763352840,455.7,455.7,455.7,455.7,9954
2025-11-17,09:46:00,1763352960,455.75,455.75,455.15,455.15,10002
2025-11-17,09:47:00,1763353020,455.5,455.5,455.5,455.5,10004
2025-11-17,09:48:00,1763353080,455.05,455.05,455.05,455.05,11415
2025-11-17,09:49:00,1763353140,455,455.15,454.65,455.15,12504
2025-11-17,09:51:00,1763353260,455.45,455.45,455.45,455.45,12535
2025-11-17,09:52:00,1763353320,455.15,455.15,455.15,455.15,12536
2025-11-17,09:53:00,1763353380,455.5,455.5,455.5,455.5,12615
2025-11-17,09:54:00,1763353440,455.15,455.15,455.15,455.15,12687
2025-11-17,09:55:00,1763353500,455.5,455.5,455,455,12764
2025-11-17,09:56:00,1763353560,454.55,455.25,454.55,455.25,13267
2025-11-17,09:57:00,1763353620,455.25,455.25,455.25,455.25,13286
2025-11-17,10:00:00,1763353800,455.45,455.45,455.45,455.45,13288
2025-11-17,10:01:00,1763353860,455.5,455.5,455.45,455.45,13315
2025-11-17,10:02:00,1763353920,455.5,455.5,455.25,455.25,13353
2025-11-17,10:03:00,1763353980,455.4,455.4,455,455,13359
2025-11-17,10:04:00,1763354040,454.75,455.25,454.75,455.25,13378
2025-11-17,10:05:00,1763354100,455.35,455.4,455.35,455.4,13391
2025-11-17,10:06:00,1763354160,455.35,455.35,455.35,455.35,13395
2025-11-17,10:07:00,1763354220,454.7,454.7,454.7,454.7,13401
2025-11-17,10:10:00,1763354400,455.2,455.25,455.2,455.25,13435
2025-11-17,10:11:00,1763354460,455.2,455.2,455.2,455.2,13440
2025-11-17,10:12:00,1763354520,455.15,455.15,455.15,455.15,13478
2025-11-17,10:13:00,1763354580,454.75,454.75,454.05,454.05,14877
2025-11-17,10:14:00,1763354640,455,455,454.1,454.85,14998
2025-11-17,10:15:00,1763354700,454.9,454.9,454.9,454.9,
2025-11-17,10:16:00,1763354760,454.9,454.9,454.9,454.9,15003
2025-11-17,10:17:00,1763354820,454.9,454.9,454.9,454.9,15012
2025-11-17,10:18:00,1763354880,453.95,453.95,453.95,453.95,15413
2025-11-17,10:19:00,1763354940,453.65,454.4,453.65,454.4,15559
2025-11-17,10:20:00,1763355000,454,454,454,454,15587
2025-11-17,10:21:00,1763355060,454,454,454,454,15588
2025-11-17,10:22:00,1763355120,454.5,454.5,453.7,453.7,15686
2025-11-17,10:24:00,1763355240,453.4,454.05,453.4,454.05,15742
2025-11-17,10:25:00,1763355300,453.8,453.8,453.8,453.8,15764
2025-11-17,10:26:00,1763355360,452.55,453.85,452.55,453.2,16380
2025-11-17,10:27:00,1763355420,453.05,453.75,453.05,453.75,16393
2025-11-17,10:29:00,1763355540,454.2,454.2,454.2,454.2,16422
2025-11-17,10:32:00,1763355720,454.2,454.2,454.2,454.2,16423
2025-11-17,10:33:00,1763355780,454.45,454.45,453.8,453.8,16436
2025-11-17,10:35:00,1763355900,454.2,454.2,454.2,454.2,16438
2025-11-17,10:36:00,1763355960,453.75,453.75,453.2,453.2,16510
2025-11-17,10:37:00,1763356020,453.5,454.1,453.25,453.25,16622
2025-11-17,10:38:00,1763356080,454,454.5,454,454.5,17112
2025-11-17,10:42:00,1763356320,453.45,453.45,453.45,453.45,17143
2025-11-17,10:43:00,1763356380,454.2,454.2,454.1,454.1,17172
2025-11-17,10:45:00,1763356500,454.5,454.5,454.5,454.5,17173
2025-11-17,10:47:00,1763356620,454.5,454.5,454.5,454.5,17183
2025-11-17,10:48:00,1763356680,454,454,454,454,17195
2025-11-17,10:49:00,1763356740,456.55,456.55,456.55,456.55,18354
2025-11-17,10:50:00,1763356800,455.7,455.7,455.7,455.7,18364
2025-11-17,10:54:00,1763357040,455.35,455.35,455.35,455.35,18395
2025-11-17,10:55:00,1763357100,455.2,455.2,455.05,455.05,18440
2025-11-17,10:56:00,1763357160,455.7,455.7,455.7,455.7,18442
2025-11-17,10:58:00,1763357280,455.15,455.7,455.15,455.7,18465
2025-11-17,10:59:00,1763357340,455.9,455.9,455.9,455.9,18468
2025-11-17,11:01:00,1763357460,455.9,455.9,455.9,455.9,18482
2025-11-17,11:03:00,1763357580,455.9,455.9,455.9,455.9,18494
2025-11-17,11:07:00,1763357820,456,456,455.9,455.9,18577
2025-11-17,11:09:00,1763357940,455.8,455.8,455.8,455.8,18591
2025-11-17,11:10:00,1763358000,456.3,456.3,456.3,456.3,18593
2025-11-17,11:11:00,1763358060,456,456,455.5,455.5,18617
2025-11-17,11:12:00,1763358120,456,456,456,456,18627
2025-11-17,11:15:00,1763358300,456,456,456,456,18628
2025-11-17,11:16:00,1763358360,455.35,455.35,455.35,455.35,18678
2025-11-17,11:20:00,1763358600,455,455.8,455,455.1,18831
2025-11-17,11:21:00,1763358660,455,455,455,455,18876
2025-11-17,11:25:00,1763358900,455,455,455,455,20848
2025-11-17,11:26:00,1763358960,453.3,453.3,453.1,453.1,21146
2025-11-17,11:27:00,1763359020,453.1,453.1,453.1,453.1,21151
2025-11-17,11:28:00,1763359080,453.7,453.7,453.7,453.7,21171
2025-11-17,11:30:00,1763359200,454.05,454.05,454.05,454.05,21181
2025-11-17,11:31:00,1763359260,454,454,454,454,21186
2025-11-17,11:32:00,1763359320,453.7,453.95,453.7,453.95,21237
2025-11-17,11:33:00,1763359380,453.7,453.7,453.7,453.7,21239
2025-11-17,11:34:00,1763359440,454,454,454,454,21240
2025-11-17,11:41:00,1763359860,452.7,452.7,452.7,452.7,21768
2025-11-17,11:42:00,1763359920,452.9,452.9,452.9,452.9,21771
2025-11-17,11:44:00,1763360040,453,453,453,453,21775
2025-11-17,11:45:00,1763360100,453,453,453,453,21781
2025-11-17,11:47:00,1763360220,453.3,453.3,453.3,453.3,21797
2025-11-17,11:48:00,1763360280,452.4,452.4,452.4,452.4,21822
2025-11-17,11:49:00,1763360340,452.4,452.4,452.4,452.4,21942
2025-11-17,11:54:00,1763360640,453.15,453.15,452.4,452.4,21948
2025-11-17,11:55:00,1763360700,453.2,453.2,453.2,453.2,21988
2025-11-17,11:56:00,1763360760,453.95,453.95,453.05,453.05,22740
2025-11-17,11:57:00,1763360820,453.65,453.65,453.65,453.65,22741
2025-11-17,11:58:00,1763360880,452.85,452.85,452.75,452.75,22858
2025-11-17,12:00:00,1763361000,453.45,453.45,453.45,453.45,22876
2025-11-17,12:01:00,1763361060,453.8,453.8,453.8,453.8,23076
2025-11-17,12:02:00,1763361120,453.6,453.6,453.6,453.6,23081
