Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,4529.9,4539.8,4528,4528,500
2025-11-17,09:16:00,1763351160,4540,4540,4530.2,4530.2,1110
2025-11-17,09:17:00,1763351220,4530.3,4532.5,4530.3,4532.5,1122
2025-11-17,09:18:00,1763351280,4544.1,4551.9,4538.2,4549,1992
2025-11-17,09:19:00,1763351340,4546.8,4553.7,4546.8,4553.7,2034
2025-11-17,09:20:00,1763351400,4549.9,4549.9,4545,4545,2050
2025-11-17,09:21:00,1763351460,4544,4545,4540,4545,2106
2025-11-17,09:22:00,1763351520,4541,4541,4539.2,4539.2,2108
2025-11-17,09:23:00,1763351580,4539.1,4539.1,4535.8,4535.8,2131
2025-11-17,09:24:00,1763351640,4535.6,4535.8,4535.6,4535.8,2155
2025-11-17,09:25:00,1763351700,4536.2,4536.2,4536.2,4536.2,2157
2025-11-17,09:26:00,1763351760,4540.3,4540.3,4540.3,4540.3,2204
2025-11-17,09:27:00,1763351820,4542.4,4542.4,4542.2,4542.4,2244
2025-11-17,09:28:00,1763351880,4543,4549,4543,4549,2270
2025-11-17,09:29:00,1763351940,4549.1,4549.1,4543.6,4543.6,2316
2025-11-17,09:30:00,1763352000,4546.9,4547.2,4543.2,4547.2,2326
2025-11-17,09:31:00,1763352060,4544.1,4544.1,4540,4540,2431
2025-11-17,09:32:00,1763352120,4543.5,4543.5,4540,4540,2442
2025-11-17,09:34:00,1763352240,4542.8,4542.8,4542.8,4542.8,2446
2025-11-17,09:35:00,1763352300,4540.5,4540.5,4540,4540,2458
2025-11-17,09:37:00,1763352420,4540,4540,4540,4540,2473
2025-11-17,09:38:00,1763352480,4540,4540,4540,4540,2497
2025-11-17,09:40:00,1763352600,4538.4,4538.4,4537.1,4537.1,2504
2025-11-17,09:41:00,1763352660,4535,4539.7,4523,4526.3,2873
2025-11-17,09:42:00,1763352720,4526.2,4529.8,4525,4527.1,2922
2025-11-17,09:43:00,1763352780,4525,4529.3,4525,4526.2,3003
2025-11-17,09:44:00,1763352840,4528,4528,4528,4528,3052
2025-11-17,09:45:00,1763352900,4530,4530,4530,4530,3064
2025-11-17,09:47:00,1763353020,4532.3,4532.3,4532.3,4532.3,3066
2025-11-17,09:48:00,1763353080,4532.2,4535,4528,4528,3277
2025-11-17,09:49:00,1763353140,4523.2,4525.9,4522.9,4523.1,3752
2025-11-17,09:50:00,1763353200,4524,4535.2,4524,4535.2,3843
2025-11-17,09:51:00,1763353260,4535,4538.4,4535,4535,3863
2025-11-17,09:52:00,1763353320,4538.6,4538.6,4538.6,4538.6,3872
2025-11-17,09:55:00,1763353500,4540,4540,4540,4540,3917
2025-11-17,09:56:00,1763353560,4542.9,4542.9,4540,4540,3996
2025-11-17,09:58:00,1763353680,4540.1,4540.1,4540.1,4540.1,4006
2025-11-17,09:59:00,1763353740,4540,4540,4535,4535,4168
2025-11-17,10:00:00,1763353800,4540.1,4541.2,4540.1,4541.2,4336
2025-11-17,10:01:00,1763353860,4540.1,4543.8,4540.1,4543.8,4344
2025-11-17,10:02:00,1763353920,4542.1,4544.7,4542.1,4544.7,4354
2025-11-17,10:03:00,1763353980,4540.3,4544.9,4540.1,4540.1,4365
2025-11-17,10:04:00,1763354040,4542.1,4543,4542.1,4543,4369
2025-11-17,10:05:00,1763354100,4540.3,4540.3,4534.4,4535.9,4381
