Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,465.6,466,462,462,12264
2025-11-17,09:16:00,1763351160,461.15,464.35,461.15,463.9,19641
2025-11-17,09:17:00,1763351220,464,464,462.65,462.75,23284
2025-11-17,09:18:00,1763351280,463.4,463.6,461,461.7,26895
2025-11-17,09:19:00,1763351340,462.65,463.5,461.05,462.5,32497
2025-11-17,09:20:00,1763351400,462.95,462.95,462.05,462.1,35895
2025-11-17,09:21:00,1763351460,462.05,468,462.05,467.95,49422
2025-11-17,09:22:00,1763351520,467.25,471,467.25,468.4,72038
2025-11-17,09:23:00,1763351580,469.35,470,468.4,469.35,75503
2025-11-17,09:24:00,1763351640,469,469.35,467.1,467.2,79774
2025-11-17,09:25:00,1763351700,468,468.15,467.3,468,85392
2025-11-17,09:26:00,1763351760,468.85,473.2,468.85,473.2,102444
2025-11-17,09:27:00,1763351820,473.9,474.8,472.45,473.95,133506
2025-11-17,09:28:00,1763351880,472.7,473.7,472.3,473.1,142468
2025-11-17,09:29:00,1763351940,471.55,477.1,471.55,477.1,160812
2025-11-17,09:30:00,1763352000,477.95,479.6,477,477.4,190548
2025-11-17,09:31:00,1763352060,477.1,477.1,473.75,474.9,203112
2025-11-17,09:32:00,1763352120,474.6,474.9,473.5,474.3,208855
2025-11-17,09:33:00,1763352180,474.95,478.1,474.95,476.95,221262
2025-11-17,09:34:00,1763352240,477.45,477.95,475.6,476.8,226790
2025-11-17,09:35:00,1763352300,477,477,473.85,474.95,232073
2025-11-17,09:36:00,1763352360,475.75,475.95,474,474.55,236393
2025-11-17,09:37:00,1763352420,474.05,475.1,474.05,475,237902
2025-11-17,09:38:00,1763352480,475.25,475.25,474,474,240973
2025-11-17,09:39:00,1763352540,474.45,474.45,474,474.2,245509
2025-11-17,09:40:00,1763352600,474,474.95,474,474.55,247978
2025-11-17,09:41:00,1763352660,474.9,474.9,474.55,474.85,249082
2025-11-17,09:42:00,1763352720,474.8,474.9,474.75,474.75,250596
