Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,745.65,745.65,738.6,738.6,4504
2025-11-17,09:16:00,1763351160,739,739,739,739,4574
2025-11-17,09:17:00,1763351220,739.65,740.6,739.25,740.6,4949
2025-11-17,09:18:00,1763351280,742.15,742.15,741,741,6719
2025-11-17,09:19:00,1763351340,742.1,743.3,742.1,743.3,6940
2025-11-17,09:20:00,1763351400,744,744.3,744,744.3,7426
2025-11-17,09:21:00,1763351460,744.85,745.65,744.85,745,9028
2025-11-17,09:22:00,1763351520,744.6,744.6,742.85,742.85,9837
2025-11-17,09:24:00,1763351640,745.7,745.7,744.9,745.05,11543
2025-11-17,09:25:00,1763351700,745.25,745.25,745.05,745.25,11637
2025-11-17,09:26:00,1763351760,744.75,744.8,744,744,11839
2025-11-17,09:27:00,1763351820,743.2,744,743.2,744,11950
2025-11-17,09:28:00,1763351880,743.55,743.55,743.55,743.55,11967
2025-11-17,09:29:00,1763351940,743.4,743.4,743.4,743.4,12042
2025-11-17,09:30:00,1763352000,743.45,744.35,743.45,743.85,12302
2025-11-17,09:31:00,1763352060,744,744,743.7,743.7,12588
2025-11-17,09:32:00,1763352120,743.65,743.65,743.65,743.65,12602
2025-11-17,09:33:00,1763352180,743.35,743.75,743.35,743.75,12604
2025-11-17,09:34:00,1763352240,742.85,742.85,740.55,741.5,13778
2025-11-17,09:36:00,1763352360,741.25,741.3,741.25,741.3,14272
2025-11-17,09:37:00,1763352420,741,741.05,741,741.05,14309
2025-11-17,09:38:00,1763352480,740.5,740.5,738.7,738.7,15751
2025-11-17,09:39:00,1763352540,739.4,739.6,739.4,739.6,15780
2025-11-17,09:40:00,1763352600,739.7,740.6,739.1,739.1,16525
2025-11-17,09:43:00,1763352780,739.25,739.85,739.25,739.85,16605
2025-11-17,09:44:00,1763352840,739.1,740.65,738.85,740.65,17142
2025-11-17,09:45:00,1763352900,741.8,741.8,741.8,741.8,17206
2025-11-17,09:46:00,1763352960,741.65,747.1,741.65,745.15,20326
2025-11-17,09:47:00,1763353020,744.95,744.95,742.55,742.55,20876
2025-11-17,09:48:00,1763353080,742.6,746.35,742.05,746.35,25707
2025-11-17,09:49:00,1763353140,744.75,744.75,744.75,744.75,25789
2025-11-17,09:50:00,1763353200,745.5,745.5,744.55,744.55,26106
2025-11-17,09:51:00,1763353260,744.6,744.65,744.6,744.65,26158
2025-11-17,09:52:00,1763353320,745.4,745.4,744.7,744.7,26362
2025-11-17,09:53:00,1763353380,745.95,745.95,745.9,745.9,26685
2025-11-17,09:54:00,1763353440,746.45,747.15,745.55,745.55,27567
2025-11-17,09:56:00,1763353560,745.95,746.15,745.95,746.15,27604
2025-11-17,09:57:00,1763353620,746.35,746.35,746.15,746.15,27622
2025-11-17,09:58:00,1763353680,746.3,746.3,746.3,746.3,27640
2025-11-17,09:59:00,1763353740,746.3,746.3,746.3,746.3,27651
2025-11-17,10:00:00,1763353800,746.6,746.6,746.35,746.4,27749
2025-11-17,10:01:00,1763353860,745.65,745.65,745.65,745.65,27759
2025-11-17,10:02:00,1763353920,745.1,745.6,745.1,745.6,27784
2025-11-17,10:03:00,1763353980,745,745.4,744.05,745.4,28013
2025-11-17,10:05:00,1763354100,745.2,745.4,745.2,745.4,28029
2025-11-17,10:06:00,1763354160,744.7,748,744.7,748,28440
2025-11-17,10:07:00,1763354220,747.7,750,747.7,749.75,64786
2025-11-17,10:08:00,1763354280,748.95,748.95,748.95,748.95,64858
2025-11-17,10:09:00,1763354340,748.35,748.35,748.35,748.35,64875
2025-11-17,10:10:00,1763354400,748.45,748.85,748.45,748.85,65045
2025-11-17,10:11:00,1763354460,748,748.3,748,748.3,65086
2025-11-17,10:12:00,1763354520,747.35,747.35,747.35,747.35,65131
2025-11-17,10:13:00,1763354580,747.2,747.2,746.75,746.75,65256
2025-11-17,10:14:00,1763354640,747.55,747.55,746.9,746.9,65352
2025-11-17,10:15:00,1763354700,747,747,746.8,746.8,65442
2025-11-17,10:16:00,1763354760,746,746,746,746,65716
2025-11-17,10:17:00,1763354820,746.55,746.55,746.55,746.55,65743
2025-11-17,10:18:00,1763354880,746.15,746.7,746.15,746.7,65784
2025-11-17,10:19:00,1763354940,747,747,747,747,65844
2025-11-17,10:20:00,1763355000,745.95,746.1,745,746.1,66179
2025-11-17,10:21:00,1763355060,746.6,746.6,746.6,746.6,66603
2025-11-17,10:22:00,1763355120,746.9,746.9,746.15,746.5,66879
2025-11-17,10:23:00,1763355180,746.45,746.45,744.2,744.2,67351
2025-11-17,10:24:00,1763355240,745,745,745,745,67363
2025-11-17,10:25:00,1763355300,744.5,744.5,744.5,744.5,67377
2025-11-17,10:26:00,1763355360,744.75,744.75,743,743,67778
2025-11-17,10:27:00,1763355420,742.05,743.5,742.05,742.55,68881
2025-11-17,10:30:00,1763355600,742.65,743.2,742.65,742.9,68901
2025-11-17,10:31:00,1763355660,743.7,746,743.7,746,68937
2025-11-17,10:32:00,1763355720,745.65,745.65,745.65,745.65,71955
2025-11-17,10:33:00,1763355780,746.05,746.05,745.85,745.85,72073
2025-11-17,10:34:00,1763355840,745.1,745.7,745.1,745.7,72107
2025-11-17,10:35:00,1763355900,744.6,745.6,744.6,745.25,72190
2025-11-17,10:36:00,1763355960,745.6,745.6,745.6,745.6,72371
2025-11-17,10:38:00,1763356080,745.65,745.65,745.6,745.6,72374
