Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,482,482,479.55,479.55,6036
2025-11-17,09:16:00,1763351160,480.2,480.4,479.15,479.7,9389
2025-11-17,09:17:00,1763351220,479.95,479.95,479.05,479.5,9963
2025-11-17,09:18:00,1763351280,479.7,481.45,479.7,481.05,11116
2025-11-17,09:19:00,1763351340,480.2,480.2,480,480,11676
2025-11-17,09:20:00,1763351400,480.6,480.6,479.5,479.55,13571
2025-11-17,09:21:00,1763351460,479.5,480.1,479.15,479.15,13849
2025-11-17,09:22:00,1763351520,479.3,479.9,479.05,479.7,14427
2025-11-17,09:23:00,1763351580,479.2,479.2,478,478.9,17607
2025-11-17,09:24:00,1763351640,478.8,483.25,478.8,482,50436
2025-11-17,09:25:00,1763351700,481.95,482,481.1,481.4,50759
2025-11-17,09:26:00,1763351760,481.35,481.35,481.35,481.35,51426
2025-11-17,09:27:00,1763351820,481.3,481.9,481.2,481.35,53022
2025-11-17,09:28:00,1763351880,481.1,481.1,480.95,480.95,53063
2025-11-17,09:29:00,1763351940,481.5,481.5,480.9,481.35,53170
2025-11-17,09:30:00,1763352000,481.3,481.85,481.3,481.35,53353
2025-11-17,09:31:00,1763352060,481.9,481.9,481.35,481.35,53542
2025-11-17,09:32:00,1763352120,481.5,481.5,481.5,481.5,53665
2025-11-17,09:33:00,1763352180,481.45,481.45,480.7,480.7,54173
2025-11-17,09:34:00,1763352240,480.7,480.7,480.7,480.7,54216
2025-11-17,09:35:00,1763352300,480.7,480.7,480.7,480.7,54342
2025-11-17,09:36:00,1763352360,481.25,481.25,480.35,480.35,55154
2025-11-17,09:37:00,1763352420,481.6,481.6,481,481,55601
2025-11-17,09:38:00,1763352480,480.6,481,480.55,480.55,55630
2025-11-17,09:39:00,1763352540,480.55,480.55,480.55,480.55,55632
2025-11-17,09:40:00,1763352600,480.45,480.45,480.35,480.35,56700
2025-11-17,09:41:00,1763352660,480.45,481,480.45,480.45,56835
2025-11-17,09:42:00,1763352720,480.95,480.95,480.95,480.95,56868
2025-11-17,09:43:00,1763352780,480.5,480.95,480.5,480.95,56895
2025-11-17,09:44:00,1763352840,480.5,480.95,480.5,480.95,56975
2025-11-17,09:45:00,1763352900,480.7,480.95,480.7,480.95,57063
2025-11-17,09:46:00,1763352960,480.7,480.95,480.7,480.7,57246
2025-11-17,09:47:00,1763353020,480.5,480.5,480.5,480.5,57740
2025-11-17,09:48:00,1763353080,481,481,481,481,57778
2025-11-17,09:49:00,1763353140,481,481,481,481,57808
2025-11-17,09:50:00,1763353200,480.5,481,480.5,481,58386
2025-11-17,09:51:00,1763353260,480,480.6,480,480.6,61459
2025-11-17,09:52:00,1763353320,481.1,481.1,481.1,481.1,61479
2025-11-17,09:53:00,1763353380,480.4,480.4,480.2,480.2,61596
2025-11-17,09:54:00,1763353440,480.05,481.2,480.05,480.8,63221
2025-11-17,09:55:00,1763353500,480.75,481,480.75,480.75,63460
2025-11-17,09:56:00,1763353560,481,481,481,481,63461
2025-11-17,09:58:00,1763353680,480.5,481.05,480.5,480.5,64028
2025-11-17,09:59:00,1763353740,480.4,481.05,480.4,481.05,64284
2025-11-17,10:00:00,1763353800,480.5,480.5,480.45,480.45,64542
2025-11-17,10:01:00,1763353860,480.4,480.75,480.4,480.75,64686
2025-11-17,10:02:00,1763353920,480.45,480.45,480.1,480.15,65192
2025-11-17,10:03:00,1763353980,480.15,480.15,480.15,480.15,65232
2025-11-17,10:04:00,1763354040,480.15,480.15,480.15,480.15,65260
2025-11-17,10:05:00,1763354100,480.2,480.45,480.2,480.45,65279
2025-11-17,10:06:00,1763354160,480.2,480.2,480.2,480.2,65784
2025-11-17,10:07:00,1763354220,480.45,480.45,480.2,480.2,65826
2025-11-17,10:08:00,1763354280,480.45,480.45,480.45,480.45,66186
2025-11-17,10:09:00,1763354340,480.2,480.2,480.2,480.2,66253
2025-11-17,10:10:00,1763354400,480.15,480.65,480.15,480.15,66624
2025-11-17,10:11:00,1763354460,480.45,480.6,480.15,480.55,68280
2025-11-17,10:12:00,1763354520,480.65,480.85,480,480.5,71594
2025-11-17,10:13:00,1763354580,481,481,481,481,71606
2025-11-17,10:14:00,1763354640,480.5,481.05,480.5,480.85,71890
2025-11-17,10:15:00,1763354700,480.85,480.85,480.85,480.85,71910
2025-11-17,10:16:00,1763354760,481.4,481.4,481.2,481.2,72120
2025-11-17,10:17:00,1763354820,481.4,481.4,480.85,480.85,73013
2025-11-17,10:18:00,1763354880,480.9,480.9,480.6,480.6,73098
2025-11-17,10:19:00,1763354940,481.2,481.2,480.7,480.7,73229
2025-11-17,10:21:00,1763355060,480.65,480.65,480.65,480.65,73285
2025-11-17,10:22:00,1763355120,480.35,480.35,480.35,480.35,73287
