Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,230.78,231,229.95,230.65,7203
2025-11-17,09:16:00,1763351160,230.4,233.01,230.4,233.01,10411
2025-11-17,09:17:00,1763351220,232.03,232.73,231.4,231.4,13697
2025-11-17,09:18:00,1763351280,231.44,231.44,231.4,231.4,14235
2025-11-17,09:19:00,1763351340,231.08,231.66,231.08,231.66,15670
2025-11-17,09:20:00,1763351400,232.36,232.36,232.25,232.25,18593
2025-11-17,09:21:00,1763351460,231.86,231.86,231.37,231.37,19784
2025-11-17,09:22:00,1763351520,231.8,231.8,231.8,231.8,19845
2025-11-17,09:23:00,1763351580,231.84,231.84,231.8,231.84,20159
2025-11-17,09:24:00,1763351640,230.89,230.91,230,230.48,26158
2025-11-17,09:25:00,1763351700,230.85,231.1,230.85,231.05,27117
2025-11-17,09:26:00,1763351760,231.11,231.41,231.11,231.41,27422
2025-11-17,09:27:00,1763351820,230.81,230.81,230.81,230.81,27872
2025-11-17,09:28:00,1763351880,231.23,231.23,230.39,230.81,28586
2025-11-17,09:29:00,1763351940,230.88,230.88,230.6,230.6,29064
2025-11-17,09:30:00,1763352000,230.1,230.1,229.7,229.7,30596
2025-11-17,09:31:00,1763352060,229.4,229.79,229.01,229.01,31625
2025-11-17,09:32:00,1763352120,229.43,229.43,228.25,228.73,33781
2025-11-17,09:33:00,1763352180,228.8,229,228.2,228.71,34736
2025-11-17,09:34:00,1763352240,228.73,229,228.71,229,36056
2025-11-17,09:35:00,1763352300,228.99,228.99,228.61,228.61,36187
2025-11-17,09:36:00,1763352360,228.76,229,228.61,229,36590
2025-11-17,09:37:00,1763352420,229.09,229.39,229.09,229.39,36869
2025-11-17,09:38:00,1763352480,229.37,229.39,229.37,229.39,36889
2025-11-17,09:39:00,1763352540,229.39,229.39,229.39,229.39,36891
2025-11-17,09:40:00,1763352600,229.16,229.39,229.16,229.39,36902
2025-11-17,09:41:00,1763352660,229.3,229.3,229.3,229.3,36968
2025-11-17,09:42:00,1763352720,229.2,229.31,229.07,229.31,37147
2025-11-17,09:43:00,1763352780,229.28,229.28,229.04,229.04,37158
