Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,143.79,143.79,143.21,143.25,5289
2025-11-17,09:16:00,1763351160,143.67,144.89,143.25,144.89,19573
2025-11-17,09:17:00,1763351220,144.9,145.29,144.9,145.29,23708
2025-11-17,09:18:00,1763351280,145.3,145.3,144.33,144.33,64622
2025-11-17,09:19:00,1763351340,144.45,144.45,143.94,143.94,69162
2025-11-17,09:20:00,1763351400,144,144,143.67,143.67,80478
2025-11-17,09:21:00,1763351460,143,143,142.5,142.5,104831
2025-11-17,09:22:00,1763351520,142,142.08,141.41,141.72,117909
2025-11-17,09:23:00,1763351580,141.96,141.99,141.14,141.83,138237
2025-11-17,09:24:00,1763351640,142.11,142.27,141.5,142.27,173826
2025-11-17,09:25:00,1763351700,142.5,143,142.5,143,175218
2025-11-17,09:26:00,1763351760,143.01,143.2,142.3,142.48,186365
2025-11-17,09:27:00,1763351820,142.49,142.66,141.75,141.99,222995
2025-11-17,09:28:00,1763351880,141.87,142.24,141.87,142.2,228442
2025-11-17,09:29:00,1763351940,142.25,142.25,141.82,141.82,243176
2025-11-17,09:30:00,1763352000,141.5,141.79,141.42,141.59,262272
2025-11-17,09:31:00,1763352060,141,141.4,140.79,140.79,286590
2025-11-17,09:32:00,1763352120,141,141,140.56,140.95,291852
2025-11-17,09:33:00,1763352180,140.96,141,140.8,140.99,294521
2025-11-17,09:34:00,1763352240,141,141.08,140.85,140.86,296771
2025-11-17,09:35:00,1763352300,140.82,140.97,140.82,140.97,301846
2025-11-17,09:36:00,1763352360,141,141,140.99,141,305321
2025-11-17,09:37:00,1763352420,140.56,140.99,140.56,140.98,311347
2025-11-17,09:38:00,1763352480,140.82,140.99,140.82,140.99,311796
2025-11-17,09:39:00,1763352540,141,141,140.9,140.98,313802
2025-11-17,09:40:00,1763352600,141,141,140.9,140.9,317810
2025-11-17,09:41:00,1763352660,140.99,140.99,140.8,140.91,324101
