Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,128,128,128,128,380
2025-11-17,09:16:00,1763351160,127,127,127,127,606
2025-11-17,09:17:00,1763351220,127,127,127,127,617
2025-11-17,09:20:00,1763351400,128.32,128.5,128.32,128.5,718
2025-11-17,09:21:00,1763351460,128,128,128,128,766
2025-11-17,09:22:00,1763351520,127.21,127.21,127.21,127.21,787
2025-11-17,09:23:00,1763351580,127,127,127,127,882
2025-11-17,09:26:00,1763351760,126.99,127.38,126.99,127.38,913
2025-11-17,09:27:00,1763351820,127.88,127.94,127.88,127.94,924
2025-11-17,09:29:00,1763351940,125.72,126,125.42,125.46,1024
2025-11-17,09:30:00,1763352000,124.8,126,124.8,125.06,1513
2025-11-17,09:32:00,1763352120,125,125,124.96,124.96,1599
2025-11-17,09:33:00,1763352180,124.37,124.37,124,124,1640
2025-11-17,09:34:00,1763352240,124.02,124.02,124.02,124.02,1644
2025-11-17,09:35:00,1763352300,125.3,126.5,125.3,126.5,1797
2025-11-17,09:36:00,1763352360,126.72,126.75,126.72,126.75,1822
2025-11-17,09:38:00,1763352480,126.75,126.75,126.75,126.75,1823
2025-11-17,09:41:00,1763352660,127.69,127.69,127.69,127.69,
2025-11-17,09:42:00,1763352720,127.69,127.69,127.69,127.69,1824
2025-11-17,09:44:00,1763352840,127.61,127.61,127.61,127.61,1837
2025-11-17,09:48:00,1763353080,128.58,128.58,128.58,128.58,1864
2025-11-17,10:08:00,1763354280,129,129,129,129,1988
2025-11-17,10:10:00,1763354400,129.07,129.13,129.07,129.13,1997
2025-11-17,10:17:00,1763354820,129.79,129.79,129.53,129.53,2013
2025-11-17,10:18:00,1763354880,129.51,129.58,129.51,129.56,2037
2025-11-17,10:20:00,1763355000,127.92,127.92,127.92,127.92,2324
2025-11-17,10:24:00,1763355240,128.4,128.58,128.4,128.58,2325
2025-11-17,10:25:00,1763355300,128.4,128.4,128.4,128.4,2337
2025-11-17,10:30:00,1763355600,128.27,128.27,128.27,128.27,2341
2025-11-17,10:32:00,1763355720,127,127,126.99,126.99,2791
2025-11-17,10:34:00,1763355840,127,127,127,127,2841
2025-11-17,10:48:00,1763356680,127.19,127.19,127.19,127.19,2878
2025-11-17,10:49:00,1763356740,127.16,127.16,126.28,126.28,3132
2025-11-17,10:52:00,1763356920,126.78,126.78,126.78,126.78,3173
2025-11-17,10:53:00,1763356980,126.8,126.8,126.8,126.8,3177
2025-11-17,10:55:00,1763357100,127.25,127.25,127.25,127.25,3218
2025-11-17,10:56:00,1763357160,126.8,126.8,126.8,126.8,3222
2025-11-17,10:57:00,1763357220,126.81,127.01,126.81,127.01,3227
2025-11-17,10:58:00,1763357280,126.77,126.77,126.77,126.77,
2025-11-17,10:59:00,1763357340,126.6,126.98,126.6,126.98,3283
2025-11-17,11:04:00,1763357640,125.62,125.62,125.62,125.62,3343
2025-11-17,11:13:00,1763358180,126.24,126.24,126.24,126.24,3344
2025-11-17,11:15:00,1763358300,125.8,125.8,125.8,125.8,3345
2025-11-17,11:17:00,1763358420,125.79,125.79,125.79,125.79,3351
2025-11-17,11:22:00,1763358720,125.87,125.87,125.87,125.87,3596
2025-11-17,11:26:00,1763358960,126.28,126.28,126.28,126.28,3601
2025-11-17,11:32:00,1763359320,125.62,125.62,125.62,125.62,4101
2025-11-17,11:34:00,1763359440,126,126.23,126,126.23,4203
2025-11-17,11:36:00,1763359560,126.21,126.21,126.21,126.21,4213
2025-11-17,11:47:00,1763360220,126,126,126,126,4216
2025-11-17,11:48:00,1763360280,125.6,125.6,125.6,125.6,4727
2025-11-17,11:51:00,1763360460,126.3,126.3,126.3,126.3,4741
2025-11-17,12:00:00,1763361000,126.32,126.32,126.32,126.32,4742
2025-11-17,12:06:00,1763361360,126.4,126.4,125.56,125.56,4767
2025-11-17,12:09:00,1763361540,126.33,126.33,126.33,126.33,4787
2025-11-17,12:13:00,1763361780,126.49,126.49,126.49,126.49,4788
2025-11-17,12:18:00,1763362080,126.42,126.42,126.42,126.42,4798
2025-11-17,12:31:00,1763362860,126.86,126.86,126.86,126.86,4898
2025-11-17,12:41:00,1763363460,126.01,126.01,126.01,126.01,4931
2025-11-17,12:59:00,1763364540,126.05,126.05,126.05,126.05,5031
2025-11-17,13:04:00,1763364840,126.56,126.56,126.56,126.56,5032
2025-11-17,13:06:00,1763364960,126.06,126.06,126.06,126.06,5034
2025-11-17,13:23:00,1763365980,126.01,126.01,126.01,126.01,5152
2025-11-17,13:24:00,1763366040,126,126,126,126,5206
2025-11-17,13:25:00,1763366100,125.51,125.51,125.51,125.51,5491
2025-11-17,13:26:00,1763366160,125.5,125.5,125.5,125.5,5812
2025-11-17,13:31:00,1763366460,125.5,125.5,125.5,125.5,6063
2025-11-17,13:35:00,1763366700,125.5,125.5,125.5,125.5,6064
2025-11-17,13:39:00,1763366940,125.45,125.45,125.45,125.45,6065
2025-11-17,13:41:00,1763367060,125.16,125.16,125.16,125.16,6075
2025-11-17,13:45:00,1763367300,125.33,125.33,124.22,124.22,
2025-11-17,13:46:00,1763367360,124.22,124.22,124.22,124.22,6378
2025-11-17,13:52:00,1763367720,124.95,124.95,124.95,124.95,6379
2025-11-17,13:53:00,1763367780,124.33,124.59,124.33,124.59,6521
2025-11-17,13:54:00,1763367840,124.1,124.1,124.1,124.1,6921
2025-11-17,13:58:00,1763368080,124.21,124.21,124.21,124.21,6949
2025-11-17,13:59:00,1763368140,124.55,124.55,124.55,124.55,6954
2025-11-17,14:03:00,1763368380,124,124,124,124,7424
2025-11-17,14:08:00,1763368680,124.1,124.55,124.1,124.55,7560
2025-11-17,14:11:00,1763368860,124.11,124.11,124.11,124.11,7561
2025-11-17,14:15:00,1763369100,124.79,124.79,124.79,124.79,7611
2025-11-17,14:39:00,1763370540,125.92,125.92,125.92,125.92,7645
2025-11-17,14:40:00,1763370600,125.9,125.9,125.9,125.9,7648
2025-11-17,14:44:00,1763370840,125.9,125.9,125.9,125.9,7758
2025-11-17,14:49:00,1763371140,126.41,126.41,125.76,125.76,7902
2025-11-17,14:50:00,1763371200,125.05,125.05,124.75,124.75,8575
2025-11-17,14:58:00,1763371680,124.72,124.72,124.72,124.72,8585
2025-11-17,15:00:00,1763371800,124.75,124.75,124.75,124.75,8586
2025-11-17,15:08:00,1763372280,124.75,124.75,124.75,124.75,8596
2025-11-17,15:09:00,1763372340,124.75,124.75,124.75,124.75,8746
2025-11-17,15:10:00,1763372400,124.72,124.72,124.72,124.72,8749
2025-11-17,15:11:00,1763372460,124.72,124.72,124.72,124.72,8793
2025-11-17,15:16:00,1763372760,124.72,124.72,124.72,124.72,8820
2025-11-17,15:19:00,1763372940,124.74,124.74,124.74,124.74,8830
2025-11-17,15:20:00,1763373000,124.72,124.72,124.72,124.72,9123
