Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,405.2,407,405.2,406.85,4896
2025-11-17,09:16:00,1763351160,406.9,409.8,406.9,408.7,6454
2025-11-17,09:17:00,1763351220,408.9,408.9,408.25,408.25,8667
2025-11-17,09:18:00,1763351280,409,409,408.8,408.8,8673
2025-11-17,09:19:00,1763351340,408.9,408.95,408.9,408.9,9514
2025-11-17,09:20:00,1763351400,408.2,408.2,407.7,408,11320
2025-11-17,09:21:00,1763351460,409,409.3,407.85,408.7,14736
2025-11-17,09:22:00,1763351520,409.05,409.95,409.05,409.95,14856
2025-11-17,09:23:00,1763351580,410.9,411,410.1,410.1,15414
2025-11-17,09:24:00,1763351640,410.7,410.7,410.65,410.65,16472
2025-11-17,09:25:00,1763351700,410.4,410.5,410,410,16883
2025-11-17,09:26:00,1763351760,409.95,410,409.95,410,17209
2025-11-17,09:27:00,1763351820,409.55,410,409.55,409.95,17240
2025-11-17,09:28:00,1763351880,409.15,409.25,409.15,409.25,17598
2025-11-17,09:29:00,1763351940,409.8,410.05,409.75,410.05,17825
2025-11-17,09:30:00,1763352000,409.8,410.6,409.8,410.6,17973
2025-11-17,09:31:00,1763352060,410.8,410.85,410.1,410.85,18332
2025-11-17,09:32:00,1763352120,410.25,410.3,410.25,410.3,18362
2025-11-17,09:33:00,1763352180,410.3,410.3,410.3,410.3,18486
2025-11-17,09:34:00,1763352240,410,410,409.1,409.1,19037
2025-11-17,09:35:00,1763352300,410.2,410.35,410.2,410.35,19338
2025-11-17,09:36:00,1763352360,410.8,410.8,409.85,409.85,19948
2025-11-17,09:37:00,1763352420,409.25,410.15,409.1,409.85,20635
2025-11-17,09:38:00,1763352480,409.05,409.7,409.05,409.7,20647
2025-11-17,09:39:00,1763352540,410,410.1,410,410.1,21646
2025-11-17,09:40:00,1763352600,409.35,409.35,409.35,409.35,21715
2025-11-17,09:41:00,1763352660,409.3,410,409.25,410,21739
2025-11-17,09:42:00,1763352720,410.1,410.1,409,409,22059
2025-11-17,09:43:00,1763352780,408.45,408.45,408.45,408.45,22759
2025-11-17,09:44:00,1763352840,408.6,408.6,408.6,408.6,22779
2025-11-17,09:46:00,1763352960,408.6,408.6,408.6,408.6,22851
2025-11-17,09:47:00,1763353020,409,409,408.95,408.95,23406
2025-11-17,09:48:00,1763353080,408.6,409.3,408.45,409.3,23567
2025-11-17,09:49:00,1763353140,408.3,409.1,408.3,409.1,23722
2025-11-17,09:50:00,1763353200,409.8,409.8,409.8,409.8,
2025-11-17,09:51:00,1763353260,410.1,410.1,410.1,410.1,23997
2025-11-17,09:52:00,1763353320,409.35,409.4,408.25,408.25,24021
2025-11-17,09:53:00,1763353380,408.35,408.85,408.35,408.85,24533
2025-11-17,09:54:00,1763353440,408.4,408.4,408.25,408.25,24588
2025-11-17,09:55:00,1763353500,408.2,408.2,407.65,407.65,24771
2025-11-17,09:56:00,1763353560,407.5,408,407.5,408,25121
2025-11-17,09:57:00,1763353620,407.5,408.1,407.5,408,25206
2025-11-17,09:58:00,1763353680,408.1,408.1,408,408.1,26353
2025-11-17,09:59:00,1763353740,408,408.1,408,408.1,26428
2025-11-17,10:00:00,1763353800,408,408.1,408,408.1,26829
2025-11-17,10:01:00,1763353860,408,408.1,407.65,408.1,26931
2025-11-17,10:02:00,1763353920,407.55,408.1,407.55,408.1,27713
2025-11-17,10:04:00,1763354040,408,408,407.3,407.8,27890
2025-11-17,10:05:00,1763354100,407.15,407.15,407.15,407.15,27940
2025-11-17,10:08:00,1763354280,407.75,407.75,407.75,407.75,27981
2025-11-17,10:10:00,1763354400,407.25,407.4,407.25,407.4,28554
2025-11-17,10:11:00,1763354460,407.9,407.9,407.9,407.9,28644
2025-11-17,10:12:00,1763354520,408.1,408.1,408.1,408.1,28881
2025-11-17,10:13:00,1763354580,407.9,407.9,407.9,407.9,29256
2025-11-17,10:14:00,1763354640,408.1,408.1,408,408,29456
2025-11-17,10:15:00,1763354700,408,408,408,408,29506
2025-11-17,10:16:00,1763354760,408,408,408,408,29524
2025-11-17,10:17:00,1763354820,408.1,408.3,408,408.3,29712
2025-11-17,10:18:00,1763354880,408,408.3,408,408.3,29770
2025-11-17,10:19:00,1763354940,408.35,408.35,408.35,408.35,29801
2025-11-17,10:20:00,1763355000,408.35,408.35,408.35,408.35,29833
2025-11-17,10:22:00,1763355120,408.4,409,408.4,409,29905
2025-11-17,10:23:00,1763355180,409.35,409.35,409.35,409.35,30242
2025-11-17,10:24:00,1763355240,409.9,409.9,409.9,409.9,30492
2025-11-17,10:25:00,1763355300,409,409.2,407.9,408.35,31607
2025-11-17,10:29:00,1763355540,408.35,408.35,408.35,408.35,31676
2025-11-17,10:30:00,1763355600,408.35,408.35,408.35,408.35,31726
2025-11-17,10:31:00,1763355660,409.1,409.1,409.1,409.1,31736
2025-11-17,10:32:00,1763355720,409.1,409.1,409.1,409.1,31742
2025-11-17,10:33:00,1763355780,408.3,408.7,408.3,408.7,32122
2025-11-17,10:35:00,1763355900,409.1,409.1,409.1,409.1,32133
2025-11-17,10:36:00,1763355960,408.7,409.65,408.05,409,32790
2025-11-17,10:37:00,1763356020,409,409,409,409,32794
2025-11-17,10:39:00,1763356140,409,409,409,409,32819
2025-11-17,10:40:00,1763356200,409,409,409,409,32839
2025-11-17,10:41:00,1763356260,409.5,409.5,409,409,32842
