Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,34.28,34.36,34.28,34.28,5272
2025-11-17,09:16:00,1763351160,34.28,34.28,34.28,34.28,9887
2025-11-17,09:17:00,1763351220,34.4,34.41,34.4,34.41,10689
2025-11-17,09:18:00,1763351280,34.38,34.39,34.38,34.39,10907
2025-11-17,09:19:00,1763351340,34.35,34.35,34.34,34.34,14707
2025-11-17,09:20:00,1763351400,34.43,34.43,34.43,34.43,14947
2025-11-17,09:21:00,1763351460,34.44,34.44,34.43,34.43,16648
2025-11-17,09:22:00,1763351520,34.45,34.48,34.45,34.48,17792
2025-11-17,09:23:00,1763351580,34.41,34.41,34.4,34.4,19648
2025-11-17,09:24:00,1763351640,34.36,34.36,34.35,34.35,21976
2025-11-17,09:25:00,1763351700,34.41,34.47,34.41,34.47,22081
2025-11-17,09:26:00,1763351760,34.38,34.38,34.38,34.38,22832
2025-11-17,09:27:00,1763351820,34.46,34.47,34.46,34.47,22847
2025-11-17,09:28:00,1763351880,34.47,34.47,34.47,34.47,23345
2025-11-17,09:29:00,1763351940,34.49,34.49,34.49,34.49,23497
2025-11-17,09:30:00,1763352000,34.5,34.5,34.5,34.5,23603
2025-11-17,09:31:00,1763352060,34.52,34.72,34.52,34.68,34615
2025-11-17,09:32:00,1763352120,34.72,34.78,34.64,34.69,39092
2025-11-17,09:33:00,1763352180,34.67,34.7,34.67,34.69,41423
2025-11-17,09:34:00,1763352240,34.64,34.64,34.53,34.62,45549
2025-11-17,09:35:00,1763352300,34.61,34.67,34.61,34.65,46152
2025-11-17,09:36:00,1763352360,34.63,34.66,34.63,34.66,47228
2025-11-17,09:37:00,1763352420,34.65,34.65,34.62,34.62,50663
2025-11-17,09:38:00,1763352480,34.56,34.56,34.56,34.56,53767
2025-11-17,09:39:00,1763352540,34.6,34.6,34.6,34.6,53878
2025-11-17,09:40:00,1763352600,34.58,34.66,34.58,34.66,57627
2025-11-17,09:41:00,1763352660,34.61,34.61,34.61,34.61,57637
2025-11-17,09:42:00,1763352720,34.66,34.66,34.66,34.66,57648
