Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,11.9,11.92,11.79,11.79,135513
2025-11-17,09:16:00,1763351160,11.8,11.93,11.8,11.93,421310
2025-11-17,09:17:00,1763351220,11.97,12.07,11.97,12.03,546700
2025-11-17,09:18:00,1763351280,12.05,12.06,12.03,12.05,584149
2025-11-17,09:19:00,1763351340,12.06,12.13,12.04,12.11,671573
2025-11-17,09:20:00,1763351400,12.14,12.16,12.11,12.15,766382
2025-11-17,09:21:00,1763351460,12.17,12.25,12.14,12.25,930680
2025-11-17,09:22:00,1763351520,12.23,12.26,12.2,12.25,1208194
2025-11-17,09:23:00,1763351580,12.24,12.24,12.16,12.2,1288998
2025-11-17,09:24:00,1763351640,12.19,12.23,12.18,12.2,1434388
2025-11-17,09:25:00,1763351700,12.21,12.21,12.14,12.14,1496203
2025-11-17,09:26:00,1763351760,12.1,12.16,12.1,12.15,1577647
2025-11-17,09:27:00,1763351820,12.14,12.17,12.14,12.16,1651059
2025-11-17,09:28:00,1763351880,12.14,12.14,12.1,12.1,1696872
2025-11-17,09:29:00,1763351940,12.11,12.13,12.11,12.12,1709015
2025-11-17,09:30:00,1763352000,12.11,12.14,12.11,12.14,1735604
2025-11-17,09:31:00,1763352060,12.13,12.15,12.1,12.1,1766950
2025-11-17,09:32:00,1763352120,12.07,12.08,12.05,12.05,1798875
2025-11-17,09:33:00,1763352180,12.08,12.08,12.08,12.08,1822925
2025-11-17,09:34:00,1763352240,12.04,12.07,12.04,12.07,1844795
2025-11-17,09:35:00,1763352300,12.06,12.06,12.02,12.03,1949403
2025-11-17,09:36:00,1763352360,12.02,12.02,12.01,12.01,1961660
2025-11-17,09:37:00,1763352420,12.02,12.08,12.02,12.08,1981540
2025-11-17,09:38:00,1763352480,12.05,12.06,12.03,12.05,1993714
2025-11-17,09:39:00,1763352540,12.06,12.06,12.04,12.06,2017952
2025-11-17,09:40:00,1763352600,12.05,12.06,12.04,12.05,2024267
2025-11-17,09:41:00,1763352660,12.03,12.05,12,12,2109238
