Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,95.18,95.44,95.18,95.38,2622
2025-11-17,09:16:00,1763351160,95.7,95.96,95.7,95.96,5585
2025-11-17,09:17:00,1763351220,95.56,96.2,95.56,96.2,6030
2025-11-17,09:18:00,1763351280,96.37,96.38,96.22,96.38,6139
2025-11-17,09:19:00,1763351340,96.37,96.42,96.37,96.39,6519
2025-11-17,09:20:00,1763351400,96.37,97,96.37,96.89,11913
2025-11-17,09:21:00,1763351460,96.81,96.81,96.81,96.81,11935
2025-11-17,09:22:00,1763351520,96.72,97.08,96.65,96.65,13132
2025-11-17,09:23:00,1763351580,96.65,96.65,96.65,96.65,13347
2025-11-17,09:24:00,1763351640,97.04,97.04,96.96,96.96,14337
2025-11-17,09:25:00,1763351700,96.85,96.85,96.77,96.77,14474
2025-11-17,09:26:00,1763351760,96.66,96.99,96.66,96.99,16383
2025-11-17,09:27:00,1763351820,97.02,97.1,97.02,97.1,17443
2025-11-17,09:28:00,1763351880,96.84,96.84,96.84,96.84,17643
2025-11-17,09:29:00,1763351940,96.99,96.99,96.9,96.9,17753
2025-11-17,09:30:00,1763352000,97.05,97.06,96.92,96.92,18728
2025-11-17,09:31:00,1763352060,96.9,96.9,96.89,96.89,19529
2025-11-17,09:32:00,1763352120,96.63,96.77,96.51,96.77,20685
2025-11-17,09:33:00,1763352180,96.61,96.61,96.56,96.56,20992
2025-11-17,09:35:00,1763352300,96.75,96.81,96.75,96.81,21142
2025-11-17,09:36:00,1763352360,96.63,96.63,96.51,96.51,21582
2025-11-17,09:37:00,1763352420,96.79,96.79,96.79,96.79,21592
2025-11-17,09:40:00,1763352600,96.62,96.62,96.54,96.55,21919
2025-11-17,09:42:00,1763352720,96.5,96.5,96.5,96.5,23396
2025-11-17,09:43:00,1763352780,96.33,96.37,96.11,96.37,25817
2025-11-17,09:44:00,1763352840,96.21,96.21,96.21,96.21,25840
2025-11-17,09:46:00,1763352960,96.24,96.24,96.24,96.24,29810
2025-11-17,09:47:00,1763353020,96.36,96.36,96.36,96.36,30021
2025-11-17,09:48:00,1763353080,96.42,96.42,96.4,96.4,30183
2025-11-17,09:50:00,1763353200,96.4,96.4,96.4,96.4,30208
2025-11-17,09:51:00,1763353260,96.31,96.32,96.31,96.32,30417
2025-11-17,09:53:00,1763353380,96.35,96.35,96.35,96.35,30490
2025-11-17,09:55:00,1763353500,96.52,96.52,96.5,96.5,31189
2025-11-17,09:57:00,1763353620,96.31,96.5,96.31,96.5,32014
2025-11-17,09:59:00,1763353740,96.49,96.49,96.49,96.49,32065
2025-11-17,10:00:00,1763353800,96.32,96.49,96.32,96.49,32219
2025-11-17,10:01:00,1763353860,96.31,96.43,96.31,96.43,32332
2025-11-17,10:02:00,1763353920,96.48,96.48,96.48,96.48,32373
2025-11-17,10:04:00,1763354040,96.35,96.35,96.35,96.35,32396
