Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,177.45,177.45,169.81,171.88,36315
2025-11-17,09:16:00,1763351160,172.48,173.16,172.13,172.93,46690
2025-11-17,09:17:00,1763351220,173.55,174.95,173.55,174.81,55176
2025-11-17,09:18:00,1763351280,174.84,174.84,173.21,173.42,61100
2025-11-17,09:19:00,1763351340,173.35,174,173.06,174,66035
2025-11-17,09:20:00,1763351400,173.61,174.11,173.5,173.5,71529
2025-11-17,09:21:00,1763351460,173.47,173.8,173.05,173.05,79193
2025-11-17,09:22:00,1763351520,173.48,173.88,173.48,173.87,81127
2025-11-17,09:23:00,1763351580,173.86,174.32,173.43,173.43,85946
2025-11-17,09:24:00,1763351640,173.17,173.17,173.05,173.05,86455
2025-11-17,09:25:00,1763351700,173.16,173.5,173.14,173.16,88578
2025-11-17,09:26:00,1763351760,173.15,173.92,173.15,173.91,90557
2025-11-17,09:27:00,1763351820,173.55,173.7,173.55,173.7,91244
2025-11-17,09:28:00,1763351880,173.55,173.77,173.18,173.19,94743
2025-11-17,09:29:00,1763351940,173.1,173.51,173,173.2,98693
2025-11-17,09:30:00,1763352000,173.14,173.14,172.18,172.18,107977
2025-11-17,09:31:00,1763352060,172.37,172.78,172.37,172.45,112288
2025-11-17,09:32:00,1763352120,172.85,172.85,172.5,172.75,116794
2025-11-17,09:33:00,1763352180,173,173,172.34,172.98,119172
2025-11-17,09:34:00,1763352240,172.87,173,172.62,173,120516
2025-11-17,09:35:00,1763352300,173.09,173.49,173.04,173.04,121791
2025-11-17,09:36:00,1763352360,173,173.34,173,173.3,122646
2025-11-17,09:37:00,1763352420,172.7,172.99,172.38,172.38,124969
2025-11-17,09:38:00,1763352480,172.51,172.77,172,172.32,136570
2025-11-17,09:39:00,1763352540,172.14,172.54,172.14,172.31,138453
2025-11-17,09:40:00,1763352600,172.35,172.84,172.35,172.75,143939
2025-11-17,09:41:00,1763352660,172.69,172.97,172.51,172.97,144157
2025-11-17,09:42:00,1763352720,173.03,173.21,173.03,173.21,145689
2025-11-17,09:43:00,1763352780,173.22,173.22,173,173.2,147204
2025-11-17,09:44:00,1763352840,173.21,173.47,173.15,173.15,149587
2025-11-17,09:45:00,1763352900,172.52,172.75,172.25,172.69,162761
2025-11-17,09:46:00,1763352960,172.65,172.85,172.65,172.65,163262
2025-11-17,09:47:00,1763353020,172.4,172.65,172.4,172.65,167321
2025-11-17,09:48:00,1763353080,172.55,172.55,172.55,172.55,167409
2025-11-17,09:49:00,1763353140,172.85,172.92,172.66,172.92,167855
2025-11-17,09:50:00,1763353200,173,173.56,173,173.56,179897
2025-11-17,09:51:00,1763353260,173.27,173.78,172.99,173,181205
2025-11-17,09:52:00,1763353320,173.28,173.47,173.28,173.35,181221
2025-11-17,09:53:00,1763353380,173.3,173.47,173.3,173.47,182440
2025-11-17,09:54:00,1763353440,173.42,173.77,173.27,173.77,184735
2025-11-17,09:55:00,1763353500,173.75,173.75,173.5,173.5,185891
2025-11-17,09:56:00,1763353560,173.66,173.66,173.65,173.65,186018
2025-11-17,09:57:00,1763353620,173.34,173.64,173.34,173.63,186197
2025-11-17,09:58:00,1763353680,173.6,173.99,173.6,173.92,187487
2025-11-17,09:59:00,1763353740,173.66,173.79,173.66,173.79,188046
2025-11-17,10:00:00,1763353800,173.74,173.74,173.74,173.74,188608
2025-11-17,10:01:00,1763353860,173.56,173.58,173.56,173.58,188782
2025-11-17,10:02:00,1763353920,173.88,173.89,173.42,173.89,190815
2025-11-17,10:03:00,1763353980,173.9,173.98,173.45,173.9,192279
2025-11-17,10:04:00,1763354040,173.85,173.9,173.6,173.86,192424
2025-11-17,10:05:00,1763354100,173.59,173.89,173.56,173.6,194333
2025-11-17,10:06:00,1763354160,173.61,173.61,173.6,173.61,195628
2025-11-17,10:07:00,1763354220,173.5,173.65,173.3,173.36,196163
2025-11-17,10:08:00,1763354280,173.63,173.79,173.34,173.79,196679
2025-11-17,10:09:00,1763354340,173.7,173.7,173.36,173.57,197596
2025-11-17,10:10:00,1763354400,173.35,173.57,173.35,173.57,197641
