Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,225.3,225.3,222.9,222.91,1244
2025-11-17,09:16:00,1763351160,222.97,223.55,222.81,223.55,1345
2025-11-17,09:17:00,1763351220,223.04,223.04,223.04,223.04,1366
2025-11-17,09:18:00,1763351280,222.88,222.88,222.88,222.88,1386
2025-11-17,09:19:00,1763351340,223,223,222.88,222.88,1407
2025-11-17,09:20:00,1763351400,222.7,222.98,222.7,222.98,1646
2025-11-17,09:22:00,1763351520,223.55,223.55,223.55,223.55,1649
2025-11-17,09:23:00,1763351580,223.15,223.15,223.15,223.15,1654
2025-11-17,09:24:00,1763351640,223.15,223.15,223.15,223.15,1675
2025-11-17,09:25:00,1763351700,223.42,223.42,223.42,223.42,1998
2025-11-17,09:26:00,1763351760,223.42,223.42,223.42,223.42,2015
2025-11-17,09:27:00,1763351820,223.64,223.64,223.64,223.64,2036
2025-11-17,09:28:00,1763351880,223.74,223.74,223.61,223.61,2064
2025-11-17,09:29:00,1763351940,223.42,223.66,223.42,223.66,2086
2025-11-17,09:30:00,1763352000,223.42,223.42,223.42,223.42,2090
2025-11-17,09:31:00,1763352060,223.43,223.43,223.43,223.43,2092
2025-11-17,09:32:00,1763352120,223.43,223.43,223.43,223.43,2093
2025-11-17,09:33:00,1763352180,223.66,223.66,223.43,223.43,2098
2025-11-17,09:34:00,1763352240,223.66,223.66,223.49,223.49,2112
2025-11-17,09:35:00,1763352300,223.63,223.63,223.49,223.49,2120
2025-11-17,09:36:00,1763352360,223.42,223.42,223.42,223.42,2195
2025-11-17,09:37:00,1763352420,223.6,223.6,222.75,223.24,3356
2025-11-17,09:38:00,1763352480,223.22,223.22,223.15,223.15,3359
2025-11-17,09:39:00,1763352540,222.87,222.93,222.87,222.87,3395
2025-11-17,09:40:00,1763352600,222.99,222.99,222.56,222.56,3621
2025-11-17,09:42:00,1763352720,222.89,222.89,222.89,222.89,4622
2025-11-17,09:43:00,1763352780,222.57,222.57,222.56,222.56,4643
2025-11-17,09:44:00,1763352840,222.85,222.85,222.85,222.85,4653
2025-11-17,09:45:00,1763352900,222.57,222.72,222.57,222.72,4666
2025-11-17,09:47:00,1763353020,222.85,222.85,222.85,222.85,4716
2025-11-17,09:49:00,1763353140,222.72,222.97,222.72,222.97,4797
2025-11-17,09:50:00,1763353200,223.11,223.14,222.8,222.8,4896
2025-11-17,09:51:00,1763353260,223.25,223.25,223.25,223.25,4996
2025-11-17,09:53:00,1763353380,223.28,223.28,223.28,223.28,5032
2025-11-17,09:54:00,1763353440,223.28,223.28,223.28,223.28,5037
2025-11-17,09:55:00,1763353500,223.28,223.28,223.28,223.28,5039
2025-11-17,09:56:00,1763353560,223.15,223.15,223.15,223.15,5061
2025-11-17,09:59:00,1763353740,223.28,223.28,223.28,223.28,5088
2025-11-17,10:00:00,1763353800,223.28,223.28,223.28,223.28,5100
2025-11-17,10:02:00,1763353920,223.15,223.15,223,223,5735
2025-11-17,10:03:00,1763353980,223.11,223.11,223.11,223.11,5764
2025-11-17,10:05:00,1763354100,223,223,223,223,5769
2025-11-17,10:06:00,1763354160,223.1,223.26,223.1,223.26,5778
2025-11-17,10:07:00,1763354220,223.22,223.22,223.22,223.22,5779
2025-11-17,10:08:00,1763354280,223.28,223.28,223.15,223.15,5827
2025-11-17,10:09:00,1763354340,223.15,223.15,223.15,223.15,5829
2025-11-17,10:10:00,1763354400,223.28,223.28,223.28,223.28,5862
2025-11-17,10:11:00,1763354460,223.4,223.4,223.4,223.4,6010
2025-11-17,10:12:00,1763354520,223.18,223.18,223.18,223.18,6012
2025-11-17,10:13:00,1763354580,223,223.28,223,223.28,6073
2025-11-17,10:14:00,1763354640,223.1,223.1,223.1,223.1,6074
2025-11-17,10:15:00,1763354700,223.13,223.13,223.13,223.13,6335
2025-11-17,10:16:00,1763354760,223.49,223.49,223.47,223.47,6376
2025-11-17,10:17:00,1763354820,223.18,223.53,223.18,223.53,6421
2025-11-17,10:18:00,1763354880,223.54,223.54,223.54,223.54,6429
2025-11-17,10:19:00,1763354940,223.22,223.22,223.22,223.22,6455
2025-11-17,10:22:00,1763355120,223.43,223.43,223.43,223.43,6486
2025-11-17,10:23:00,1763355180,223.67,223.67,223.67,223.67,6499
2025-11-17,10:24:00,1763355240,223.66,223.66,223.66,223.66,6504
2025-11-17,10:26:00,1763355360,223.66,223.66,223.66,223.66,6554
2025-11-17,10:27:00,1763355420,223.52,223.52,223.52,223.52,6558
2025-11-17,10:28:00,1763355480,223.35,223.35,223.35,223.35,6563
2025-11-17,10:29:00,1763355540,223.29,223.29,223.29,223.29,6569
2025-11-17,10:30:00,1763355600,223.35,223.37,223.35,223.37,6592
2025-11-17,10:32:00,1763355720,223.36,223.36,223.36,223.36,6602
2025-11-17,10:35:00,1763355900,223.23,223.23,223.22,223.22,6752
2025-11-17,10:36:00,1763355960,223.23,223.23,223.23,223.23,6772
2025-11-17,10:37:00,1763356020,223.27,223.27,223.27,223.27,6774
2025-11-17,10:38:00,1763356080,223.47,223.72,223.47,223.72,7045
2025-11-17,10:40:00,1763356200,223.65,223.65,223.65,223.65,7060
2025-11-17,10:41:00,1763356260,223.5,223.62,223.32,223.62,7147
2025-11-17,10:42:00,1763356320,223.29,223.29,223.24,223.24,7237
2025-11-17,10:43:00,1763356380,223.89,223.89,223.88,223.88,7432
2025-11-17,10:44:00,1763356440,223.41,223.41,223.41,223.41,7443
2025-11-17,10:46:00,1763356560,223.53,224,223.53,224,7754
2025-11-17,10:47:00,1763356620,223.83,223.83,223.83,223.83,7755
2025-11-17,10:48:00,1763356680,224.04,224.04,224.04,224.04,7845
2025-11-17,10:50:00,1763356800,224.1,224.1,224.1,224.1,8045
2025-11-17,10:51:00,1763356860,224.03,224.03,224.03,224.03,8046
2025-11-17,10:53:00,1763356980,223.96,223.96,223.96,223.96,8076
2025-11-17,10:54:00,1763357040,223.97,223.97,223.6,223.6,8252
2025-11-17,10:56:00,1763357160,223.8,223.8,223.8,223.8,8270
2025-11-17,10:58:00,1763357280,223.6,223.6,223.5,223.5,8371
2025-11-17,10:59:00,1763357340,223.5,223.5,223.5,223.5,8745
2025-11-17,11:00:00,1763357400,223.5,223.5,223.5,223.5,8755
2025-11-17,11:01:00,1763357460,223.3,223.3,223.3,223.3,8941
2025-11-17,11:03:00,1763357580,223.22,223.35,223.13,223.35,9117
2025-11-17,11:04:00,1763357640,223.23,223.29,223.23,223.29,9159
2025-11-17,11:05:00,1763357700,223.36,223.36,223.04,223.04,9199
2025-11-17,11:08:00,1763357880,223.02,223.02,223,223,9244
2025-11-17,11:09:00,1763357940,223.02,223.02,223,223,9523
2025-11-17,11:12:00,1763358120,222.71,222.71,222.71,222.71,9658
2025-11-17,11:15:00,1763358300,222.73,222.73,222.73,222.73,9668
2025-11-17,11:16:00,1763358360,222.78,222.78,222.78,222.78,9709
2025-11-17,11:17:00,1763358420,223.04,223.04,223.04,223.04,9779
2025-11-17,11:18:00,1763358480,222.73,222.73,222.73,222.73,9808
2025-11-17,11:19:00,1763358540,222.7,222.7,222.7,222.7,9868
2025-11-17,11:21:00,1763358660,222.82,222.82,222.82,222.82,9869
2025-11-17,11:22:00,1763358720,222.7,222.7,222.7,222.7,9924
2025-11-17,11:25:00,1763358900,222.7,222.7,222.7,222.7,9945
2025-11-17,11:27:00,1763359020,222.75,222.75,222.75,222.75,9965
2025-11-17,11:28:00,1763359080,222.81,222.81,222.81,222.81,9985
2025-11-17,11:32:00,1763359320,222.81,222.81,222.81,222.81,9990
2025-11-17,11:33:00,1763359380,222.8,222.81,222.8,222.81,10012
2025-11-17,11:34:00,1763359440,222.71,222.71,222.71,222.71,10060
2025-11-17,11:36:00,1763359560,222.82,222.82,222.82,222.82,10070
2025-11-17,11:37:00,1763359620,222.7,222.7,222.7,222.7,10080
2025-11-17,11:38:00,1763359680,222.83,223,222.8,223,10216
2025-11-17,11:40:00,1763359800,223.28,223.28,223.28,223.28,10241
2025-11-17,11:41:00,1763359860,223,223,223,223,10242
2025-11-17,11:42:00,1763359920,223.18,223.18,223.18,223.18,10243
2025-11-17,11:43:00,1763359980,223.18,223.18,223.18,223.18,10257
2025-11-17,11:44:00,1763360040,223.18,223.18,223.18,223.18,10264
2025-11-17,11:49:00,1763360340,222.9,222.9,222.76,222.76,10290
2025-11-17,11:51:00,1763360460,222.81,222.81,222.81,222.81,10295
2025-11-17,11:52:00,1763360520,223.24,223.24,223.24,223.24,10395
2025-11-17,11:57:00,1763360820,222.96,222.96,222.96,222.96,10399
2025-11-17,11:58:00,1763360880,222.93,222.93,222.93,222.93,10400
2025-11-17,11:59:00,1763360940,222.91,222.91,222.91,222.91,10401
2025-11-17,12:00:00,1763361000,222.86,223.19,222.86,223.19,10427
2025-11-17,12:01:00,1763361060,223.16,223.16,223.16,223.16,10437
2025-11-17,12:05:00,1763361300,222.92,223.14,222.92,223.14,10451
2025-11-17,12:09:00,1763361540,223,223,223,223,10452
2025-11-17,12:10:00,1763361600,223.07,223.07,223.07,223.07,10463
2025-11-17,12:13:00,1763361780,223.03,223.5,223.01,223.5,11583
2025-11-17,12:17:00,1763362020,223.06,223.06,223.06,223.06,11593
2025-11-17,12:20:00,1763362200,223.13,223.13,223.13,223.13,11598
2025-11-17,12:22:00,1763362320,223.5,223.5,223.5,223.5,12196
2025-11-17,12:24:00,1763362440,223.31,223.31,223.31,223.31,12201
2025-11-17,12:26:00,1763362560,223.01,223.01,223.01,223.01,12217
2025-11-17,12:30:00,1763362800,223.06,223.06,223.06,223.06,12223
