Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,39.03,40.05,39.03,40.05,275
2025-11-17,09:16:00,1763351160,40.29,40.29,40.23,40.23,862
2025-11-17,09:17:00,1763351220,40.18,40.18,40.18,40.18,
2025-11-17,09:18:00,1763351280,40.3,40.39,40.3,40.39,1288
2025-11-17,09:19:00,1763351340,40.51,40.51,40.51,40.51,1570
2025-11-17,09:20:00,1763351400,40.5,40.5,40.5,40.5,1926
2025-11-17,09:22:00,1763351520,40.4,40.49,40.4,40.49,2193
2025-11-17,09:23:00,1763351580,40.39,40.39,40.39,40.39,7222
2025-11-17,09:24:00,1763351640,40,40,40,40,25921
2025-11-17,09:26:00,1763351760,39.99,39.99,39.99,39.99,25922
2025-11-17,09:27:00,1763351820,39.8,39.95,39.8,39.95,25924
2025-11-17,09:28:00,1763351880,39.74,39.74,39.74,39.74,25925
2025-11-17,09:30:00,1763352000,39.65,39.65,39.65,39.65,27003
2025-11-17,09:32:00,1763352120,39.63,39.63,39.6,39.6,27150
2025-11-17,09:33:00,1763352180,39.51,39.51,39.51,39.51,27248
2025-11-17,09:35:00,1763352300,39.64,39.64,39.64,39.64,27278
2025-11-17,09:37:00,1763352420,39.38,39.38,39.38,39.38,27313
2025-11-17,09:38:00,1763352480,39.34,39.34,39.26,39.29,27523
2025-11-17,09:39:00,1763352540,39.22,39.77,39.22,39.74,27912
2025-11-17,09:40:00,1763352600,39.73,39.82,39.69,39.82,28284
2025-11-17,09:41:00,1763352660,39.71,39.79,39.71,39.71,28770
2025-11-17,09:42:00,1763352720,39.75,39.8,39.71,39.73,29189
2025-11-17,09:43:00,1763352780,39.72,39.72,39.18,39.18,29901
2025-11-17,09:44:00,1763352840,39.22,39.31,39.17,39.21,29938
2025-11-17,09:45:00,1763352900,39.25,39.49,39.25,39.36,30745
2025-11-17,09:46:00,1763352960,39.32,39.68,39.32,39.44,32979
2025-11-17,09:47:00,1763353020,39.38,39.46,39.34,39.44,33450
2025-11-17,09:48:00,1763353080,39.35,39.45,39.35,39.45,33920
2025-11-17,09:49:00,1763353140,39.42,39.46,39.37,39.46,34571
2025-11-17,09:50:00,1763353200,39.38,39.46,39.38,39.46,35200
2025-11-17,09:51:00,1763353260,39.38,39.8,39.34,39.6,37114
2025-11-17,09:52:00,1763353320,39.55,40.02,39.55,40,55559
2025-11-17,09:53:00,1763353380,40.33,40.33,40.33,40.33,60826
2025-11-17,09:54:00,1763353440,40.32,40.32,40.32,40.32,60860
2025-11-17,10:00:00,1763353800,40.15,40.21,40.15,40.21,60862
2025-11-17,10:01:00,1763353860,40.14,40.16,40.14,40.16,62926
2025-11-17,10:02:00,1763353920,40.06,40.11,40,40,63715
2025-11-17,10:03:00,1763353980,40.41,40.41,40.39,40.39,69419
2025-11-17,10:04:00,1763354040,40.5,40.5,40.41,40.41,71274
2025-11-17,10:05:00,1763354100,40,40,40,40,81425
2025-11-17,10:06:00,1763354160,39.75,39.75,39.75,39.75,81426
2025-11-17,10:09:00,1763354340,39.7,39.7,39.7,39.7,81427
2025-11-17,10:10:00,1763354400,39.68,39.68,39.68,39.68,81428
2025-11-17,10:11:00,1763354460,39.81,39.9,39.79,39.83,81626
2025-11-17,10:12:00,1763354520,39.8,39.94,39.78,39.8,82015
2025-11-17,10:13:00,1763354580,39.85,39.85,39.79,39.79,82647
2025-11-17,10:14:00,1763354640,39.85,39.85,39.57,39.57,83296
2025-11-17,10:15:00,1763354700,39.68,39.75,39.61,39.62,83897
2025-11-17,10:16:00,1763354760,39.63,39.71,39.53,39.71,84568
2025-11-17,10:17:00,1763354820,39.72,39.73,39.64,39.64,85234
2025-11-17,10:18:00,1763354880,39.6,39.7,39.6,39.64,85453
2025-11-17,10:19:00,1763354940,39.71,39.71,39.61,39.71,86209
2025-11-17,10:20:00,1763355000,39.64,39.78,39.64,39.71,86629
2025-11-17,10:21:00,1763355060,39.8,39.92,39.8,39.92,86707
2025-11-17,10:22:00,1763355120,39.8,39.87,39.76,39.87,86801
2025-11-17,10:23:00,1763355180,39.89,39.89,39.89,39.89,86802
2025-11-17,10:29:00,1763355540,39.93,39.93,39.8,39.8,87225
2025-11-17,10:30:00,1763355600,39.86,39.86,39.86,39.86,87241
2025-11-17,10:33:00,1763355780,39.88,39.88,39.81,39.81,87494
2025-11-17,10:34:00,1763355840,39.81,39.81,39.81,39.81,87495
2025-11-17,10:35:00,1763355900,39.7,39.7,39.61,39.69,87580
2025-11-17,10:36:00,1763355960,39.61,39.69,39.61,39.66,87713
2025-11-17,10:37:00,1763356020,39.65,39.65,39.65,39.65,87714
2025-11-17,10:39:00,1763356140,39.69,39.69,39.62,39.65,87781
2025-11-17,10:41:00,1763356260,39.6,39.6,39.5,39.5,89072
2025-11-17,10:42:00,1763356320,39.39,39.39,39.39,39.39,89073
2025-11-17,10:47:00,1763356620,39.42,39.49,39.42,39.49,89185
2025-11-17,10:48:00,1763356680,39.5,39.5,39.5,39.5,89859
2025-11-17,11:08:00,1763357880,39.65,39.65,39.65,39.65,90003
2025-11-17,11:09:00,1763357940,39.77,39.77,39.77,39.77,90018
2025-11-17,11:11:00,1763358060,39.87,39.87,39.87,39.87,90068
2025-11-17,11:12:00,1763358120,39.76,39.76,39.76,39.76,90073
2025-11-17,11:20:00,1763358600,39.81,39.81,39.81,39.81,90076
2025-11-17,11:29:00,1763359140,39.79,39.79,39.79,39.79,90476
2025-11-17,11:32:00,1763359320,39.76,39.76,39.76,39.76,90477
2025-11-17,11:34:00,1763359440,39.75,39.75,39.75,39.75,90497
2025-11-17,11:36:00,1763359560,39.75,39.75,39.75,39.75,90499
2025-11-17,11:37:00,1763359620,39.76,39.79,39.76,39.79,90597
2025-11-17,11:47:00,1763360220,39.79,39.79,39.79,39.79,90602
