Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,626.4,626.4,621.75,623.4,486
2025-11-17,09:16:00,1763351160,622.65,625.2,622.65,625.2,2300
2025-11-17,09:17:00,1763351220,626,626,625,625,2380
2025-11-17,09:18:00,1763351280,626,626,625.6,625.6,2483
2025-11-17,09:19:00,1763351340,625.35,626.35,625.35,625.55,2844
2025-11-17,09:20:00,1763351400,626,626,625.65,626,3532
2025-11-17,09:21:00,1763351460,625.65,625.65,625.35,625.55,3760
2025-11-17,09:22:00,1763351520,625.5,625.5,624.75,624.75,3883
2025-11-17,09:23:00,1763351580,624.8,624.8,624.8,624.8,3895
2025-11-17,09:24:00,1763351640,625.5,626,625.1,625.2,4273
2025-11-17,09:25:00,1763351700,625.95,625.95,625.1,625.1,4348
2025-11-17,09:26:00,1763351760,626,626,625.1,625.1,4657
2025-11-17,09:27:00,1763351820,625.55,625.75,624.95,625.75,4680
2025-11-17,09:28:00,1763351880,625.7,625.7,625.1,625.1,4759
2025-11-17,09:29:00,1763351940,625.7,625.7,625.15,625.15,4787
2025-11-17,09:30:00,1763352000,625.35,625.7,625.15,625.45,4826
2025-11-17,09:31:00,1763352060,625.3,625.5,625.05,625.3,4869
2025-11-17,09:32:00,1763352120,625.25,625.25,624.75,624.75,4890
2025-11-17,09:33:00,1763352180,624.6,624.6,624.6,624.6,4937
2025-11-17,09:34:00,1763352240,624.55,624.55,624.5,624.5,4949
2025-11-17,09:35:00,1763352300,624.35,624.35,624.35,624.35,5285
2025-11-17,09:36:00,1763352360,624.5,624.95,624.5,624.95,5302
2025-11-17,09:37:00,1763352420,624.55,625.05,624.5,624.5,5383
2025-11-17,09:38:00,1763352480,625,625,624.5,624.85,5429
2025-11-17,09:39:00,1763352540,624.5,624.8,624.5,624.5,5509
2025-11-17,09:40:00,1763352600,624.8,624.8,624.5,624.5,5525
2025-11-17,09:41:00,1763352660,624,624,623.75,623.75,6239
2025-11-17,09:42:00,1763352720,623.7,623.7,623.6,623.6,6264
2025-11-17,09:43:00,1763352780,624.35,625.7,623.6,625.7,7327
2025-11-17,09:44:00,1763352840,626,626.85,625.5,626.15,7882
2025-11-17,09:45:00,1763352900,625.45,625.55,624.7,625.5,7998
2025-11-17,09:46:00,1763352960,624.9,624.9,624.8,624.8,8032
2025-11-17,09:47:00,1763353020,624.75,625.35,624.75,625.35,8045
2025-11-17,09:48:00,1763353080,625.4,625.4,623.85,624.15,8571
2025-11-17,09:49:00,1763353140,624.2,624.75,624.2,624.75,8665
2025-11-17,09:50:00,1763353200,624.1,624.75,624.1,624.75,8915
2025-11-17,09:51:00,1763353260,624.1,624.1,623.6,623.6,8928
2025-11-17,09:52:00,1763353320,625.1,626.2,625.1,626.2,14207
2025-11-17,09:53:00,1763353380,625.6,625.75,625.25,625.75,14240
2025-11-17,09:54:00,1763353440,625.2,625.2,624.9,624.9,14382
2025-11-17,09:55:00,1763353500,624.95,624.95,624.6,624.6,14395
2025-11-17,09:56:00,1763353560,624.7,624.7,624.7,624.7,14708
2025-11-17,09:57:00,1763353620,625,625,624.5,624.85,14740
2025-11-17,09:58:00,1763353680,624.45,624.45,624.45,624.45,14752
2025-11-17,09:59:00,1763353740,624.7,624.75,624.3,624.3,14795
2025-11-17,10:00:00,1763353800,624.95,625,624.55,625,14835
2025-11-17,10:01:00,1763353860,624.85,624.95,624.25,624.25,14860
2025-11-17,10:02:00,1763353920,624.35,624.4,623.7,624.25,15201
2025-11-17,10:03:00,1763353980,623.75,624.4,623.75,624.4,15226
2025-11-17,10:04:00,1763354040,624.45,625.15,624.4,625.15,16638
2025-11-17,10:05:00,1763354100,624.75,625,624.75,625,16651
2025-11-17,10:06:00,1763354160,624.9,624.9,624.55,624.55,16724
2025-11-17,10:07:00,1763354220,624.6,625.7,624.6,624.85,16840
2025-11-17,10:08:00,1763354280,624.9,624.9,624.9,624.9,16853
2025-11-17,10:09:00,1763354340,625,625.7,625,625.25,16935
2025-11-17,10:10:00,1763354400,625.2,625.35,624.9,624.9,17330
2025-11-17,10:11:00,1763354460,625.05,625.55,625,625,17363
2025-11-17,10:12:00,1763354520,625.05,625.05,624.3,624.3,17377
2025-11-17,10:13:00,1763354580,624.85,624.85,624.3,624.3,17925
2025-11-17,10:14:00,1763354640,624.2,624.3,624.2,624.3,17956
2025-11-17,10:15:00,1763354700,624.85,625.2,624.5,625.2,18116
2025-11-17,10:16:00,1763354760,624.6,624.6,624.35,624.35,18129
2025-11-17,10:17:00,1763354820,624.3,624.65,624.25,624.65,18173
2025-11-17,10:18:00,1763354880,624.25,624.3,624.25,624.3,18195
2025-11-17,10:19:00,1763354940,624.25,625.6,624.25,625.6,18276
2025-11-17,10:20:00,1763355000,625.95,625.95,625,625,18576
2025-11-17,10:21:00,1763355060,625.65,625.65,625.3,625.3,18599
2025-11-17,10:22:00,1763355120,625.85,625.85,625.3,625.8,18632
2025-11-17,10:23:00,1763355180,625.4,625.4,625.4,625.4,18645
2025-11-17,10:24:00,1763355240,625.25,625.65,625.1,625.65,18679
2025-11-17,10:25:00,1763355300,625.15,625.15,625.15,625.15,18698
2025-11-17,10:26:00,1763355360,625.3,625.7,625.05,625.2,18741
2025-11-17,10:27:00,1763355420,625.25,625.25,625.25,625.25,18829
2025-11-17,10:28:00,1763355480,625.7,625.7,625.1,625.1,18953
2025-11-17,10:29:00,1763355540,625.15,625.15,625.05,625.05,18966
2025-11-17,10:30:00,1763355600,625.15,625.55,625.15,625.55,18982
2025-11-17,10:31:00,1763355660,625.9,625.9,625.15,625.15,19043
2025-11-17,10:32:00,1763355720,625.15,625.15,625.15,625.15,19057
2025-11-17,10:33:00,1763355780,625.15,625.15,625.15,625.15,19072
2025-11-17,10:34:00,1763355840,625.2,625.25,625.2,625.25,19086
2025-11-17,10:35:00,1763355900,626,626,625.3,625.3,19248
2025-11-17,10:36:00,1763355960,625.3,625.3,625.3,625.3,19261
2025-11-17,10:37:00,1763356020,625.8,625.8,625.8,625.8,19285
