Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,465.55,472.65,465.55,466.95,159
2025-11-17,09:16:00,1763351160,466.2,466.2,465.2,465.2,1153
2025-11-17,09:17:00,1763351220,463.65,465.2,463.65,464.15,2233
2025-11-17,09:18:00,1763351280,465.15,465.15,465.15,465.15,2273
2025-11-17,09:19:00,1763351340,465.5,466.45,465.5,466.45,2494
2025-11-17,09:20:00,1763351400,466,467.95,466,467.95,3060
2025-11-17,09:21:00,1763351460,466.9,466.9,465.95,465.95,3137
2025-11-17,09:22:00,1763351520,466,466,465.95,465.95,3216
2025-11-17,09:24:00,1763351640,465.9,465.9,465.9,465.9,3227
2025-11-17,09:27:00,1763351820,466.95,467.25,466.95,467.25,3478
2025-11-17,09:28:00,1763351880,466.1,466.1,466.1,466.1,3481
2025-11-17,09:29:00,1763351940,466.1,466.1,466.1,466.1,3492
2025-11-17,09:30:00,1763352000,466,466.45,465.25,465.25,3588
2025-11-17,09:31:00,1763352060,465.3,465.8,465.1,465.8,3625
2025-11-17,09:35:00,1763352300,465.85,465.85,465.05,465.05,3638
2025-11-17,09:36:00,1763352360,466.2,466.2,465.4,465.4,3689
2025-11-17,09:37:00,1763352420,465.35,465.35,465.35,465.35,3691
2025-11-17,09:38:00,1763352480,465.45,465.45,464.2,464.45,4084
2025-11-17,09:39:00,1763352540,465.5,465.65,464.9,464.9,4236
2025-11-17,09:40:00,1763352600,464.55,465.3,464.55,465.05,4342
2025-11-17,09:41:00,1763352660,464.85,464.85,464.85,464.85,4345
2025-11-17,09:43:00,1763352780,464.95,464.95,464.65,464.65,4528
2025-11-17,09:44:00,1763352840,464.6,466,464.6,466,4662
2025-11-17,09:45:00,1763352900,466.2,466.55,466.2,466.55,4932
2025-11-17,09:46:00,1763352960,465.3,465.3,465.3,465.3,4953
2025-11-17,09:47:00,1763353020,465.5,465.5,465.5,465.5,4959
2025-11-17,09:48:00,1763353080,465.05,465.05,465.05,465.05,4975
2025-11-17,09:50:00,1763353200,465,465,465,465,5063
2025-11-17,09:51:00,1763353260,464.45,464.85,464.45,464.85,5098
2025-11-17,09:52:00,1763353320,464.2,464.2,464.2,464.2,5104
2025-11-17,09:54:00,1763353440,463.55,463.55,463.5,463.5,5239
2025-11-17,09:57:00,1763353620,464.05,467.4,463.35,467.4,8311
2025-11-17,09:58:00,1763353680,466.55,466.55,464.7,464.7,9223
2025-11-17,09:59:00,1763353740,464.75,464.75,464.75,464.75,9340
2025-11-17,10:00:00,1763353800,465.35,465.35,464,464,9672
2025-11-17,10:01:00,1763353860,464.6,464.6,464.6,464.6,9674
2025-11-17,10:02:00,1763353920,463.55,464.9,463.25,464.9,9912
2025-11-17,10:03:00,1763353980,465,465,464.5,464.5,9934
2025-11-17,10:04:00,1763354040,465.05,465.05,465.05,465.05,9937
2025-11-17,10:05:00,1763354100,464.75,464.75,464.75,464.75,9938
2025-11-17,10:06:00,1763354160,464.25,464.25,464.2,464.2,9961
2025-11-17,10:07:00,1763354220,464.2,464.2,464.2,464.2,9962
2025-11-17,10:09:00,1763354340,464.5,464.5,464.5,464.5,9963
2025-11-17,10:11:00,1763354460,464.4,464.4,463.8,463.8,10197
2025-11-17,10:12:00,1763354520,466.55,467.55,466.55,466.65,11669
2025-11-17,10:13:00,1763354580,466.4,466.4,466.4,466.4,11672
2025-11-17,10:18:00,1763354880,466.35,466.75,466.1,466.1,11734
2025-11-17,10:19:00,1763354940,466.15,466.15,466.15,466.15,11735
2025-11-17,10:22:00,1763355120,466.05,466.05,466.05,466.05,11831
2025-11-17,10:25:00,1763355300,466,466,466,466,12898
2025-11-17,10:27:00,1763355420,469,469,467.3,467.3,14571
2025-11-17,10:28:00,1763355480,467.45,467.5,467.45,467.5,14591
2025-11-17,10:29:00,1763355540,467.5,467.5,467.5,467.5,14592
2025-11-17,10:30:00,1763355600,467.5,467.5,467.5,467.5,14600
2025-11-17,10:31:00,1763355660,467.55,467.55,467.55,467.55,14625
2025-11-17,10:32:00,1763355720,468.1,468.6,468,468,14843
2025-11-17,10:33:00,1763355780,468,468,468,468,14865
2025-11-17,10:38:00,1763356080,468.9,468.9,468.05,468.05,14948
2025-11-17,10:40:00,1763356200,468.25,468.25,468.25,468.25,14994
2025-11-17,10:41:00,1763356260,467.8,467.8,467.55,467.55,15006
2025-11-17,10:42:00,1763356320,467.15,467.15,467.15,467.15,15045
2025-11-17,10:48:00,1763356680,469.05,469.05,467.1,467.1,16782
2025-11-17,10:56:00,1763357160,466.15,466.15,466.15,466.15,16783
2025-11-17,10:57:00,1763357220,465.85,465.85,465.85,465.85,16846
2025-11-17,10:58:00,1763357280,465.7,466.3,465.7,466.3,16865
2025-11-17,10:59:00,1763357340,465.7,465.7,465.4,465.4,16869
2025-11-17,11:00:00,1763357400,465.85,465.85,465.85,465.85,16870
2025-11-17,11:01:00,1763357460,465.65,465.65,465.65,465.65,16872
2025-11-17,11:02:00,1763357520,465.75,465.75,465.75,465.75,16874
2025-11-17,11:05:00,1763357700,465.5,465.5,465.05,465.05,17034
2025-11-17,11:06:00,1763357760,466.5,466.85,466.15,466.15,18375
2025-11-17,11:09:00,1763357940,466.1,466.1,466.1,466.1,18394
2025-11-17,11:10:00,1763358000,466.6,466.6,466.6,466.6,18395
2025-11-17,11:13:00,1763358180,466.1,466.1,465.1,465.1,18504
2025-11-17,11:15:00,1763358300,465.8,465.8,465.8,465.8,18509
2025-11-17,11:17:00,1763358420,465.75,465.75,465.25,465.25,18521
2025-11-17,11:19:00,1763358540,465,465,464.7,464.7,18618
2025-11-17,11:21:00,1763358660,464.3,464.3,464.25,464.25,18626
2025-11-17,11:22:00,1763358720,464.3,464.3,463.3,463.3,19482
2025-11-17,11:23:00,1763358780,463.05,463.05,463.05,463.05,19624
2025-11-17,11:24:00,1763358840,463,463,461.45,461.45,20502
2025-11-17,11:25:00,1763358900,461.45,461.45,461.45,461.45,20506
2025-11-17,11:26:00,1763358960,461.7,461.7,461.7,461.7,20507
2025-11-17,11:27:00,1763359020,461.75,461.75,461.5,461.5,20584
2025-11-17,11:28:00,1763359080,461.45,461.5,461.45,461.5,20694
2025-11-17,11:29:00,1763359140,460.7,460.7,459.6,460,24589
2025-11-17,11:30:00,1763359200,460.15,460.15,459.7,460.05,24897
2025-11-17,11:31:00,1763359260,460.15,460.15,459.15,459.15,25015
2025-11-17,11:32:00,1763359320,459,459.55,459,459.15,25223
2025-11-17,11:33:00,1763359380,459.1,459.25,459.1,459.25,25267
2025-11-17,11:35:00,1763359500,458.9,458.9,458.1,458.15,25655
2025-11-17,11:36:00,1763359560,458.3,458.9,458.3,458.35,25825
2025-11-17,11:37:00,1763359620,458.9,458.9,458.5,458.5,25839
2025-11-17,11:38:00,1763359680,458.35,458.35,458.35,458.35,25841
2025-11-17,11:39:00,1763359740,458.3,459.2,458.1,459.2,26625
2025-11-17,11:40:00,1763359800,458.2,458.65,458.2,458.65,26696
2025-11-17,11:41:00,1763359860,458.8,458.8,458.8,458.8,26714
2025-11-17,11:42:00,1763359920,458.85,458.85,458.65,458.85,26733
2025-11-17,11:43:00,1763359980,458.9,458.9,458.9,458.9,26734
2025-11-17,11:47:00,1763360220,458.85,458.85,458.85,458.85,26787
2025-11-17,11:49:00,1763360340,459.25,459.25,459,459,26797
2025-11-17,11:50:00,1763360400,459.2,459.2,459,459,26891
2025-11-17,11:51:00,1763360460,458.85,459,458.85,459,26913
2025-11-17,11:52:00,1763360520,459.95,459.95,458.85,458.85,27069
2025-11-17,11:53:00,1763360580,459.3,459.35,458.85,458.85,27078
2025-11-17,11:54:00,1763360640,459.05,459.05,459.05,459.05,27081
2025-11-17,11:56:00,1763360760,459,459,458.85,458.85,27083
2025-11-17,11:57:00,1763360820,458.5,458.5,458.5,458.5,28205
2025-11-17,11:58:00,1763360880,458.4,458.4,458,458,28711
2025-11-17,11:59:00,1763360940,458.15,458.15,458.15,458.15,28720
2025-11-17,12:00:00,1763361000,458.2,458.2,458.15,458.15,28805
2025-11-17,12:01:00,1763361060,458.05,458.05,457.3,457.35,29053
2025-11-17,12:02:00,1763361120,457.45,457.75,457.45,457.75,29104
2025-11-17,12:03:00,1763361180,458,458.05,458,458,30050
2025-11-17,12:04:00,1763361240,457.7,457.7,457.15,457.15,31081
2025-11-17,12:05:00,1763361300,457.4,457.4,457.4,457.4,31109
2025-11-17,12:06:00,1763361360,458.5,458.5,457.55,457.55,31366
