Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,39.9,40,39.9,40,1085
2025-11-17,09:17:00,1763351220,40.21,40.21,40.21,40.21,1185
2025-11-17,09:20:00,1763351400,40.25,40.25,40.25,40.25,1186
2025-11-17,09:23:00,1763351580,40.23,40.23,40.23,40.23,1210
2025-11-17,09:30:00,1763352000,40.07,40.07,40.07,40.07,1211
2025-11-17,09:32:00,1763352120,40.11,40.11,40.11,40.11,1271
2025-11-17,09:33:00,1763352180,40.1,40.11,40.1,40.11,6278
2025-11-17,09:35:00,1763352300,40.11,40.11,40.11,40.11,6283
2025-11-17,09:37:00,1763352420,40.11,40.11,40.11,40.11,6292
2025-11-17,09:40:00,1763352600,40.11,40.11,40.11,40.11,6342
2025-11-17,09:41:00,1763352660,40.11,40.11,40.11,40.11,6842
2025-11-17,09:46:00,1763352960,40.11,40.11,40.11,40.11,6843
2025-11-17,09:55:00,1763353500,40.28,40.28,40.28,40.28,7593
2025-11-17,09:56:00,1763353560,40.28,40.28,40.28,40.28,7896
2025-11-17,09:57:00,1763353620,40,40,40,40,9151
2025-11-17,09:58:00,1763353680,40,40,40,40,9252
2025-11-17,09:59:00,1763353740,40,40,40,40,9286
2025-11-17,10:00:00,1763353800,40,40,40,40,9386
2025-11-17,10:01:00,1763353860,40,40,40,40,10119
2025-11-17,10:03:00,1763353980,39.99,39.99,39.99,39.99,10120
2025-11-17,10:07:00,1763354220,40,40,40,40,10156
2025-11-17,10:11:00,1763354460,40,40,40,40,10237
2025-11-17,10:12:00,1763354520,39.99,39.99,39.99,39.99,
2025-11-17,10:13:00,1763354580,39.9,40,39.9,40,10439
2025-11-17,10:14:00,1763354640,40.3,40.3,40.3,40.3,15474
2025-11-17,10:15:00,1763354700,40.31,40.31,40.3,40.3,16465
2025-11-17,10:16:00,1763354760,40.02,40.02,40.02,40.02,20908
2025-11-17,10:17:00,1763354820,40.09,40.09,40.09,40.09,20909
2025-11-17,10:20:00,1763355000,40.09,40.09,40.09,40.09,21096
2025-11-17,10:24:00,1763355240,40.43,40.43,40.43,40.43,21146
2025-11-17,10:26:00,1763355360,40.37,40.64,40.37,40.64,21346
2025-11-17,10:28:00,1763355480,40.5,40.5,40.5,40.5,21349
2025-11-17,10:30:00,1763355600,40.5,40.5,40.5,40.5,21359
2025-11-17,10:31:00,1763355660,40.5,40.5,40.5,40.5,21360
2025-11-17,10:36:00,1763355960,40.5,40.5,40.5,40.5,21361
2025-11-17,10:41:00,1763356260,40.5,40.5,40.5,40.5,21861
2025-11-17,10:42:00,1763356320,40.22,40.22,40.22,40.22,22258
2025-11-17,10:59:00,1763357340,40.23,40.23,40.23,40.23,22283
2025-11-17,11:00:00,1763357400,40.26,40.26,40.26,40.26,22308
2025-11-17,11:01:00,1763357460,40.44,40.44,40.29,40.29,22321
2025-11-17,11:02:00,1763357520,40.29,40.29,40.29,40.29,22371
2025-11-17,11:04:00,1763357640,40.28,40.28,40.28,40.28,22373
2025-11-17,11:20:00,1763358600,40.08,40.08,40.08,40.08,22374
2025-11-17,11:22:00,1763358720,40,40,40,40,24262
2025-11-17,11:23:00,1763358780,39.99,39.99,39.99,39.99,24263
2025-11-17,11:25:00,1763358900,40,40,40,40,24465
2025-11-17,11:26:00,1763358960,40.34,40.34,40.34,40.34,25615
2025-11-17,11:27:00,1763359020,40,40,40,40,26346
2025-11-17,11:29:00,1763359140,40,40,40,40,26934
2025-11-17,11:30:00,1763359200,40,40,40,40,27034
2025-11-17,11:31:00,1763359260,40.29,40.29,40.29,40.29,28034
2025-11-17,11:32:00,1763359320,40,40,40,40,29797
2025-11-17,11:33:00,1763359380,40,40,40,40,30476
2025-11-17,11:35:00,1763359500,40,40,40,40,30766
2025-11-17,11:40:00,1763359800,40.18,40.18,40.18,40.18,30779
2025-11-17,11:52:00,1763360520,39.99,39.99,39.99,39.99,30879
2025-11-17,11:55:00,1763360700,39.99,39.99,39.99,39.99,34609
2025-11-17,11:56:00,1763360760,39.81,39.81,39.67,39.67,35652
2025-11-17,11:58:00,1763360880,39.8,39.87,39.8,39.82,35751
2025-11-17,11:59:00,1763360940,39.82,39.82,39.82,39.82,35770
2025-11-17,12:04:00,1763361240,39.85,39.85,39.85,39.85,35918
2025-11-17,12:14:00,1763361840,39.92,39.92,39.92,39.92,35938
2025-11-17,12:22:00,1763362320,39.88,39.9,39.85,39.85,36060
2025-11-17,12:23:00,1763362380,39.85,39.85,39.85,39.85,36149
2025-11-17,12:38:00,1763363280,39.86,39.86,39.86,39.86,36162
2025-11-17,12:46:00,1763363760,39.86,39.86,39.86,39.86,36163
2025-11-17,12:51:00,1763364060,39.85,39.85,39.85,39.85,36174
2025-11-17,12:53:00,1763364180,39.86,39.86,39.86,39.86,36175
2025-11-17,12:58:00,1763364480,39.86,39.86,39.86,39.86,36415
2025-11-17,13:05:00,1763364900,39.86,39.86,39.86,39.86,36425
2025-11-17,13:11:00,1763365260,39.86,39.86,39.86,39.86,36427
2025-11-17,13:12:00,1763365320,39.86,39.86,39.86,39.86,36428
2025-11-17,13:17:00,1763365620,39.85,39.85,39.85,39.85,36628
2025-11-17,13:28:00,1763366280,40,40,40,40,37628
2025-11-17,13:33:00,1763366580,39.92,39.92,39.92,39.92,37638
2025-11-17,13:42:00,1763367120,39.92,39.92,39.92,39.92,37639
2025-11-17,13:48:00,1763367480,39.92,39.92,39.92,39.92,37643
2025-11-17,13:54:00,1763367840,39.92,39.92,39.92,39.92,37649
2025-11-17,14:03:00,1763368380,39.92,39.92,39.92,39.92,37993
2025-11-17,14:06:00,1763368560,39.75,39.81,39.75,39.81,41661
2025-11-17,14:20:00,1763369400,39.85,39.85,39.85,39.85,41662
2025-11-17,14:23:00,1763369580,39.89,39.89,39.89,39.89,41667
2025-11-17,14:27:00,1763369820,39.87,39.87,39.87,39.87,41677
2025-11-17,14:31:00,1763370060,39.8,39.8,39.8,39.8,41897
2025-11-17,14:33:00,1763370180,39.85,39.85,39.85,39.85,41902
2025-11-17,14:35:00,1763370300,39.85,39.85,39.85,39.85,41906
2025-11-17,14:39:00,1763370540,39.84,39.84,39.84,39.84,42006
2025-11-17,14:47:00,1763371020,39.84,39.84,39.84,39.84,42206
