Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,892.8,897.45,892.8,897.45,468
2025-11-17,09:16:00,1763351160,895.3,899.5,895.3,899.5,546
2025-11-17,09:17:00,1763351220,900,901,900,900.95,605
2025-11-17,09:18:00,1763351280,901,902.3,901,901.3,752
2025-11-17,09:19:00,1763351340,898.6,898.6,896.2,896.2,888
2025-11-17,09:20:00,1763351400,897,897,895.6,895.6,1033
2025-11-17,09:21:00,1763351460,899.85,900.85,898.8,898.8,1073
2025-11-17,09:23:00,1763351580,898.2,901.6,898.2,901.6,1155
2025-11-17,09:24:00,1763351640,899.85,901.25,899.85,901.25,1180
2025-11-17,09:26:00,1763351760,901.6,901.6,901.6,901.6,1197
2025-11-17,09:27:00,1763351820,900.9,900.9,900.9,900.9,1202
2025-11-17,09:28:00,1763351880,899.9,899.9,897.65,897.65,1213
2025-11-17,09:29:00,1763351940,899.25,899.25,899.25,899.25,1428
2025-11-17,09:30:00,1763352000,900.2,900.2,899.65,899.65,1439
2025-11-17,09:32:00,1763352120,900.9,900.9,897.05,897.05,1744
2025-11-17,09:33:00,1763352180,899.95,899.95,899.95,899.95,1848
2025-11-17,09:34:00,1763352240,899.1,899.1,897.6,897.6,1858
2025-11-17,09:35:00,1763352300,897.9,897.9,897.65,897.65,1879
2025-11-17,09:37:00,1763352420,897.5,897.5,897.5,897.5,1923
2025-11-17,09:38:00,1763352480,895.1,895.1,895.1,895.1,2013
2025-11-17,09:40:00,1763352600,895,895,895,895,2043
2025-11-17,09:41:00,1763352660,895.9,895.9,895.9,895.9,2049
2025-11-17,09:42:00,1763352720,895.35,895.35,893.95,893.95,2067
2025-11-17,09:44:00,1763352840,893.95,893.95,893.95,893.95,2069
2025-11-17,09:45:00,1763352900,894,894,894,894,2070
2025-11-17,09:46:00,1763352960,895.3,895.3,894,894,2079
2025-11-17,09:47:00,1763353020,896.9,896.9,894.85,896.2,2231
2025-11-17,09:49:00,1763353140,895.95,895.95,895.95,895.95,2237
2025-11-17,09:50:00,1763353200,899.85,899.85,899.85,899.85,2737
2025-11-17,09:51:00,1763353260,898.75,898.75,898.75,898.75,
2025-11-17,09:52:00,1763353320,898.75,898.75,898.75,898.75,2753
2025-11-17,09:53:00,1763353380,897.75,897.75,897.75,897.75,2754
2025-11-17,09:54:00,1763353440,897.75,897.75,897.75,897.75,2765
2025-11-17,09:55:00,1763353500,897.75,897.75,897.75,897.75,2767
2025-11-17,09:56:00,1763353560,898.1,898.1,897.95,897.95,2775
2025-11-17,09:57:00,1763353620,897.05,897.05,897.05,897.05,2780
2025-11-17,10:00:00,1763353800,898,898.05,896.05,898,2788
2025-11-17,10:01:00,1763353860,898.05,898.95,898.05,898.95,2790
2025-11-17,10:02:00,1763353920,899.85,899.85,896.1,896.1,2900
2025-11-17,10:03:00,1763353980,895.35,895.35,895.35,895.35,2910
2025-11-17,10:04:00,1763354040,894,895.8,894,895.8,2987
2025-11-17,10:07:00,1763354220,896.9,896.9,896.9,896.9,2988
2025-11-17,10:10:00,1763354400,895.35,895.35,895.35,895.35,2998
2025-11-17,10:11:00,1763354460,896.45,896.45,896.45,896.45,2999
2025-11-17,10:12:00,1763354520,896.7,896.7,896.65,896.65,3008
2025-11-17,10:15:00,1763354700,896.5,897.1,895.5,895.5,3059
2025-11-17,10:17:00,1763354820,894.65,894.65,894.65,894.65,3094
2025-11-17,10:19:00,1763354940,896.7,896.7,896,896,3107
