Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,17540,17541,17445,17446,767
2025-11-17,09:16:00,1763351160,17447,17497,17447,17497,907
2025-11-17,09:17:00,1763351220,17527,17587,17525,17567,1096
2025-11-17,09:18:00,1763351280,17547,17596,17547,17573,1542
2025-11-17,09:19:00,1763351340,17582,17582,17553,17571,1689
2025-11-17,09:20:00,1763351400,17565,17565,17530,17530,1809
2025-11-17,09:21:00,1763351460,17533,17533,17495,17501,1939
2025-11-17,09:22:00,1763351520,17491,17494,17450,17483,2325
2025-11-17,09:23:00,1763351580,17460,17460,17450,17455,2431
2025-11-17,09:24:00,1763351640,17450,17473,17450,17473,2475
2025-11-17,09:25:00,1763351700,17480,17493,17473,17491,2645
2025-11-17,09:26:00,1763351760,17475,17504,17475,17504,2752
2025-11-17,09:27:00,1763351820,17495,17515,17490,17513,2830
2025-11-17,09:28:00,1763351880,17507,17508,17484,17497,3142
2025-11-17,09:29:00,1763351940,17481,17514,17480,17504,3375
2025-11-17,09:30:00,1763352000,17507,17532,17507,17520,3474
2025-11-17,09:31:00,1763352060,17518,17519,17490,17490,3702
2025-11-17,09:32:00,1763352120,17500,17500,17490,17490,3713
2025-11-17,09:33:00,1763352180,17500,17500,17473,17473,3801
2025-11-17,09:34:00,1763352240,17471,17474,17470,17470,3879
2025-11-17,09:35:00,1763352300,17457,17469,17454,17467,3898
2025-11-17,09:36:00,1763352360,17468,17468,17468,17468,3913
2025-11-17,09:37:00,1763352420,17468,17468,17468,17468,3927
2025-11-17,09:38:00,1763352480,17467,17467,17456,17456,3943
2025-11-17,09:39:00,1763352540,17460,17485,17460,17475,4191
2025-11-17,09:40:00,1763352600,17480,17490,17475,17475,4226
2025-11-17,09:41:00,1763352660,17499,17507,17499,17507,4274
2025-11-17,09:42:00,1763352720,17469,17484,17460,17484,4431
2025-11-17,09:43:00,1763352780,17470,17475,17470,17473,4451
2025-11-17,09:44:00,1763352840,17391,17475,17391,17461,5034
2025-11-17,09:45:00,1763352900,17466,17468,17457,17457,5043
2025-11-17,09:46:00,1763352960,17468,17468,17457,17457,5057
2025-11-17,09:47:00,1763353020,17467,17467,17467,17467,5065
2025-11-17,09:48:00,1763353080,17483,17483,17473,17473,5072
2025-11-17,09:49:00,1763353140,17483,17483,17483,17483,5080
2025-11-17,09:50:00,1763353200,17479,17500,17474,17500,5131
2025-11-17,09:51:00,1763353260,17491,17507,17491,17492,5178
2025-11-17,09:52:00,1763353320,17513,17513,17497,17497,5203
2025-11-17,09:53:00,1763353380,17498,17624,17498,17624,5514
2025-11-17,09:54:00,1763353440,17631,17702,17617,17674,6590
2025-11-17,09:55:00,1763353500,17666,17680,17649,17673,6820
2025-11-17,09:56:00,1763353560,17672,17678,17653,17672,6947
2025-11-17,09:57:00,1763353620,17675,17678,17657,17677,7489
2025-11-17,09:58:00,1763353680,17670,17670,17575,17639,7930
2025-11-17,09:59:00,1763353740,17647,17665,17639,17647,8013
2025-11-17,10:00:00,1763353800,17646,17663,17632,17650,8189
2025-11-17,10:01:00,1763353860,17651,17653,17651,17653,8242
2025-11-17,10:02:00,1763353920,17645,17663,17640,17663,8331
2025-11-17,10:03:00,1763353980,17652,17663,17651,17654,8463
2025-11-17,10:04:00,1763354040,17641,17641,17603,17631,8655
2025-11-17,10:05:00,1763354100,17609,17630,17609,17626,8712
2025-11-17,10:06:00,1763354160,17614,17629,17614,17621,8784
2025-11-17,10:07:00,1763354220,17634,17634,17622,17622,8830
2025-11-17,10:08:00,1763354280,17611,17630,17610,17630,9061
2025-11-17,10:09:00,1763354340,17618,17618,17587,17589,9244
2025-11-17,10:10:00,1763354400,17587,17590,17587,17588,9255
2025-11-17,10:11:00,1763354460,17587,17591,17576,17577,9297
2025-11-17,10:12:00,1763354520,17590,17590,17580,17582,9316
2025-11-17,10:13:00,1763354580,17602,17602,17589,17601,9334
2025-11-17,10:14:00,1763354640,17591,17600,17580,17580,9462
2025-11-17,10:15:00,1763354700,17599,17602,17590,17590,9503
2025-11-17,10:16:00,1763354760,17590,17590,17590,17590,9506
2025-11-17,10:17:00,1763354820,17597,17599,17580,17580,9537
2025-11-17,10:18:00,1763354880,17591,17591,17581,17588,9545
2025-11-17,10:19:00,1763354940,17580,17585,17580,17585,9547
2025-11-17,10:20:00,1763355000,17588,17588,17580,17588,9577
2025-11-17,10:21:00,1763355060,17600,17680,17600,17674,10044
2025-11-17,10:22:00,1763355120,17650,17678,17643,17646,10265
2025-11-17,10:23:00,1763355180,17648,17654,17644,17646,10396
