Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,806,811.2,806,806.3,454
2025-11-17,09:16:00,1763351160,806.05,808.45,806.05,807.45,1262
2025-11-17,09:17:00,1763351220,808.45,808.45,808.45,808.45,1263
2025-11-17,09:18:00,1763351280,808.7,813.15,808.7,813.15,1955
2025-11-17,09:19:00,1763351340,814,817.85,813,816.85,3034
2025-11-17,09:20:00,1763351400,818.2,823.45,816.35,821.85,5732
2025-11-17,09:21:00,1763351460,822.5,825.25,822.5,823.6,5954
2025-11-17,09:22:00,1763351520,823.35,824.7,823.35,824.45,6096
2025-11-17,09:23:00,1763351580,823.7,825.5,823.7,824.5,7125
2025-11-17,09:24:00,1763351640,825,827,825,827,7831
2025-11-17,09:25:00,1763351700,828.1,829.4,828.1,828.65,9556
2025-11-17,09:26:00,1763351760,829.7,829.7,829,829,10053
2025-11-17,09:27:00,1763351820,828.15,828.2,826.75,826.75,11966
2025-11-17,09:28:00,1763351880,825,826.9,825,826.9,13074
2025-11-17,09:29:00,1763351940,826,827.05,825.2,825.2,14794
2025-11-17,09:30:00,1763352000,826.05,826.05,825.8,825.8,15497
2025-11-17,09:31:00,1763352060,825,825,825,825,15757
2025-11-17,09:32:00,1763352120,825.4,825.4,825,825.3,15848
2025-11-17,09:33:00,1763352180,825,825,825,825,15873
2025-11-17,09:34:00,1763352240,824.35,825.5,824.35,825.5,16110
2025-11-17,09:35:00,1763352300,824.7,824.7,824.5,824.5,16326
2025-11-17,09:36:00,1763352360,823.75,824,823.4,824,16469
2025-11-17,09:37:00,1763352420,823,823,820.8,820.9,19341
2025-11-17,09:38:00,1763352480,822.2,825.45,822.2,825.45,20065
2025-11-17,09:39:00,1763352540,825.5,831.3,825.5,830.65,21783
2025-11-17,09:40:00,1763352600,832.2,838.55,832.2,838.45,25654
2025-11-17,09:41:00,1763352660,838.1,838.1,835.9,836,26357
2025-11-17,09:42:00,1763352720,839.9,840.4,837.65,837.65,28906
2025-11-17,09:43:00,1763352780,844.4,844.9,842,844,36825
2025-11-17,09:44:00,1763352840,843.25,844.55,843.25,844,37348
2025-11-17,09:45:00,1763352900,844.4,844.75,841.1,841.1,38223
2025-11-17,09:46:00,1763352960,842.2,842.2,840,841.1,39652
2025-11-17,09:47:00,1763353020,842.95,842.95,840.6,841.55,40724
2025-11-17,09:48:00,1763353080,841.2,841.2,840,840,41058
2025-11-17,09:49:00,1763353140,841.2,842.2,841.2,842.2,42004
2025-11-17,09:50:00,1763353200,841.35,841.35,840.05,840.05,42187
2025-11-17,09:51:00,1763353260,841.05,841.4,840.25,841.4,42971
2025-11-17,09:52:00,1763353320,841.3,841.3,840.1,840.1,43016
2025-11-17,09:53:00,1763353380,840.15,848.4,840.15,848.4,47329
2025-11-17,09:54:00,1763353440,847.95,849.8,847.95,849.8,50397
2025-11-17,09:55:00,1763353500,849.15,849.75,845,846.05,53445
2025-11-17,09:56:00,1763353560,845.2,846,845.2,846,53749
2025-11-17,09:57:00,1763353620,846.1,846.95,846.1,846.2,53955
2025-11-17,09:58:00,1763353680,846.3,850,846.3,847.1,55807
2025-11-17,09:59:00,1763353740,846,846,843,843,57969
2025-11-17,10:00:00,1763353800,843.4,844.7,843,843,58660
2025-11-17,10:01:00,1763353860,843.2,843.2,841,843.15,61429
2025-11-17,10:02:00,1763353920,841.65,843,841.65,842.2,61628
2025-11-17,10:03:00,1763353980,843.1,847.15,843.1,846.25,62853
2025-11-17,10:04:00,1763354040,846.95,849.6,846.95,849.6,63809
2025-11-17,10:05:00,1763354100,848.25,854,848.25,853.9,68068
2025-11-17,10:06:00,1763354160,854.9,854.9,852.5,853.9,70585
2025-11-17,10:07:00,1763354220,854.7,854.7,852,853.2,72442
2025-11-17,10:08:00,1763354280,854.3,854.55,851.1,851.1,73807
2025-11-17,10:09:00,1763354340,854,854,851.55,852.4,75257
2025-11-17,10:10:00,1763354400,853,853.65,852.4,852.5,75824
2025-11-17,10:11:00,1763354460,853,853,851.2,851.9,75985
2025-11-17,10:12:00,1763354520,851.1,853.4,851.1,853,77317
2025-11-17,10:13:00,1763354580,854.8,858,854.8,858,83401
2025-11-17,10:14:00,1763354640,857.95,858.45,856.55,858.45,86060
2025-11-17,10:15:00,1763354700,858.15,858.45,855.95,856.95,86945
2025-11-17,10:16:00,1763354760,856.35,856.35,852.1,853.75,89084
2025-11-17,10:17:00,1763354820,853.05,854.9,852.7,854,89577
2025-11-17,10:18:00,1763354880,853,854.45,853,854,90265
2025-11-17,10:19:00,1763354940,853.1,854,853.1,853.65,90901
2025-11-17,10:20:00,1763355000,853,854.65,852,853.3,92953
2025-11-17,10:21:00,1763355060,852.95,853.3,852.95,853.15,93456
