Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,40.08,40.08,40.01,40.01,543
2025-11-17,09:16:00,1763351160,39.94,39.94,39.94,39.94,563
2025-11-17,09:17:00,1763351220,39.78,39.78,39.71,39.71,865
2025-11-17,09:18:00,1763351280,39.7,39.85,39.69,39.85,1112
2025-11-17,09:21:00,1763351460,39.56,39.56,39.56,39.56,1912
2025-11-17,09:22:00,1763351520,39.72,39.9,39.72,39.9,2629
2025-11-17,09:23:00,1763351580,39.89,39.9,39.89,39.9,2637
2025-11-17,09:24:00,1763351640,39.89,39.89,39.89,39.89,2904
2025-11-17,09:25:00,1763351700,39.9,39.9,39.9,39.9,2919
2025-11-17,09:26:00,1763351760,39.81,39.81,39.81,39.81,3263
2025-11-17,09:29:00,1763351940,39.88,39.88,39.88,39.88,3311
2025-11-17,09:30:00,1763352000,39.83,39.83,39.83,39.83,3324
2025-11-17,09:32:00,1763352120,39.74,39.8,39.67,39.78,3683
2025-11-17,09:35:00,1763352300,39.75,39.75,39.69,39.69,4142
2025-11-17,09:38:00,1763352480,39.76,39.76,39.76,39.76,4143
2025-11-17,09:39:00,1763352540,39.76,39.76,39.76,39.76,4148
2025-11-17,09:40:00,1763352600,39.69,39.69,39.69,39.69,5425
2025-11-17,09:42:00,1763352720,39.67,39.7,39.67,39.7,6179
2025-11-17,09:43:00,1763352780,39.69,39.7,39.69,39.7,6512
2025-11-17,09:44:00,1763352840,39.7,39.7,39.7,39.7,6823
2025-11-17,09:45:00,1763352900,39.68,39.68,39.68,39.68,6875
2025-11-17,09:46:00,1763352960,39.51,39.69,39.51,39.69,8205
2025-11-17,09:47:00,1763353020,39.52,39.78,39.52,39.78,9125
2025-11-17,09:48:00,1763353080,39.75,39.75,39.75,39.75,9249
2025-11-17,09:50:00,1763353200,39.88,39.88,39.71,39.71,9774
2025-11-17,09:51:00,1763353260,39.78,39.78,39.78,39.78,9789
2025-11-17,09:53:00,1763353380,39.78,39.78,39.78,39.78,9968
2025-11-17,09:54:00,1763353440,39.82,39.82,39.82,39.82,9978
2025-11-17,10:00:00,1763353800,39.78,39.78,39.78,39.78,9979
2025-11-17,10:01:00,1763353860,39.7,39.7,39.7,39.7,10079
2025-11-17,10:02:00,1763353920,39.7,39.7,39.7,39.7,10099
2025-11-17,10:03:00,1763353980,39.77,39.77,39.76,39.76,10134
2025-11-17,10:05:00,1763354100,39.7,39.78,39.7,39.78,10607
2025-11-17,10:06:00,1763354160,39.82,39.82,39.82,39.82,10612
2025-11-17,10:08:00,1763354280,39.82,39.82,39.82,39.82,10707
2025-11-17,10:09:00,1763354340,39.93,39.93,39.93,39.93,10717
2025-11-17,10:15:00,1763354700,39.94,39.94,39.94,39.94,10719
2025-11-17,10:16:00,1763354760,39.95,39.95,39.95,39.95,10740
2025-11-17,10:17:00,1763354820,39.99,39.99,39.99,39.99,10742
2025-11-17,10:20:00,1763355000,40,40.04,40,40,11838
2025-11-17,10:22:00,1763355120,39.93,39.93,39.87,39.9,11898
2025-11-17,10:23:00,1763355180,39.83,39.83,39.83,39.83,11906
2025-11-17,10:24:00,1763355240,39.76,39.76,39.76,39.76,12384
2025-11-17,10:26:00,1763355360,39.72,39.85,39.72,39.85,12564
2025-11-17,10:31:00,1763355660,39.88,39.88,39.88,39.88,12574
2025-11-17,10:36:00,1763355960,39.74,39.74,39.74,39.74,12614
2025-11-17,10:38:00,1763356080,39.7,39.7,39.7,39.7,12784
2025-11-17,10:39:00,1763356140,39.76,39.76,39.76,39.76,12809
2025-11-17,10:40:00,1763356200,39.76,39.76,39.76,39.76,12816
2025-11-17,10:41:00,1763356260,39.7,39.7,39.7,39.7,12819
2025-11-17,10:44:00,1763356440,39.69,39.69,39.5,39.5,13245
2025-11-17,10:45:00,1763356500,39.69,39.69,39.69,39.69,13255
2025-11-17,10:46:00,1763356560,39.69,39.69,39.69,39.69,13260
2025-11-17,10:47:00,1763356620,39.54,39.54,39.54,39.54,13321
2025-11-17,10:50:00,1763356800,39.69,39.79,39.69,39.79,13822
2025-11-17,10:51:00,1763356860,39.71,39.71,39.71,39.71,13852
2025-11-17,10:52:00,1763356920,39.76,39.76,39.76,39.76,13867
2025-11-17,10:53:00,1763356980,39.76,39.76,39.76,39.76,13928
2025-11-17,10:54:00,1763357040,39.74,39.74,39.74,39.74,13936
