Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,1315.4,1315.4,1297.1,1300.6,120
2025-11-17,09:16:00,1763351160,1300.6,1300.6,1300.6,1300.6,121
2025-11-17,09:17:00,1763351220,1300.6,1300.6,1300.6,1300.6,122
2025-11-17,09:18:00,1763351280,1303.1,1307.6,1303.1,1307.6,171
2025-11-17,09:19:00,1763351340,1309.8,1309.8,1309.8,1309.8,188
2025-11-17,09:21:00,1763351460,1310.6,1311.3,1310.6,1311.3,198
2025-11-17,09:22:00,1763351520,1312.8,1312.8,1312.8,1312.8,206
2025-11-17,09:23:00,1763351580,1311.6,1311.6,1311.6,1311.6,227
2025-11-17,09:24:00,1763351640,1313.6,1313.6,1313,1313,244
2025-11-17,09:25:00,1763351700,1315.4,1315.4,1315.4,1315.4,263
2025-11-17,09:27:00,1763351820,1314.8,1314.8,1313,1313,341
2025-11-17,09:30:00,1763352000,1314.3,1315.4,1314.3,1315.4,822
2025-11-17,09:32:00,1763352120,1316.4,1316.4,1316.4,1316.4,923
2025-11-17,09:34:00,1763352240,1322.9,1322.9,1322.9,1322.9,1188
2025-11-17,09:36:00,1763352360,1320.3,1320.3,1320.3,1320.3,1395
2025-11-17,09:37:00,1763352420,1319,1319.2,1319,1319.2,1500
2025-11-17,09:40:00,1763352600,1319.5,1319.5,1319.5,1319.5,1504
2025-11-17,09:42:00,1763352720,1320.3,1321.1,1320.3,1321.1,1677
2025-11-17,09:46:00,1763352960,1321.8,1324.8,1321.8,1323.7,1886
2025-11-17,09:48:00,1763353080,1326.2,1326.2,1324.2,1324.2,1930
2025-11-17,09:50:00,1763353200,1323.2,1324,1323.2,1324,1948
2025-11-17,09:51:00,1763353260,1323,1323,1323,1323,1995
2025-11-17,09:54:00,1763353440,1323,1323,1323,1323,2000
2025-11-17,09:55:00,1763353500,1324.2,1324.2,1324.2,1324.2,2001
2025-11-17,09:57:00,1763353620,1324.6,1324.6,1324.6,1324.6,2040
2025-11-17,09:58:00,1763353680,1323.5,1323.5,1323.5,1323.5,2044
2025-11-17,09:59:00,1763353740,1323.4,1323.4,1323.4,1323.4,2048
2025-11-17,10:00:00,1763353800,1324.6,1324.6,1324.6,1324.6,2089
2025-11-17,10:02:00,1763353920,1322,1322,1322,1322,2106
2025-11-17,10:03:00,1763353980,1324.6,1324.6,1324.6,1324.6,2222
2025-11-17,10:04:00,1763354040,1321.8,1321.8,1321.8,1321.8,2253
2025-11-17,10:05:00,1763354100,1326.3,1327.8,1326.3,1327.8,2692
2025-11-17,10:10:00,1763354400,1327.8,1327.8,1327.8,1327.8,2712
2025-11-17,10:13:00,1763354580,1325.1,1325.1,1325.1,1325.1,2767
2025-11-17,10:14:00,1763354640,1327.2,1327.2,1327,1327,2772
2025-11-17,10:16:00,1763354760,1327,1327,1327,1327,2777
2025-11-17,10:17:00,1763354820,1326.8,1326.8,1326.8,1326.8,2786
2025-11-17,10:18:00,1763354880,1326.4,1326.4,1326.4,1326.4,2796
2025-11-17,10:19:00,1763354940,1328.4,1328.4,1328.4,1328.4,2800
2025-11-17,10:26:00,1763355360,1326.1,1326.1,1326.1,1326.1,2905
2025-11-17,10:27:00,1763355420,1328.8,1328.8,1328.8,1328.8,3203
2025-11-17,10:28:00,1763355480,1329,1329,1329,1329,3213
2025-11-17,10:35:00,1763355900,1325.2,1325.2,1325.2,1325.2,3457
2025-11-17,10:36:00,1763355960,1329.9,1329.9,1329.9,1329.9,3500
2025-11-17,10:38:00,1763356080,1328.6,1328.6,1328.6,1328.6,3514
2025-11-17,10:41:00,1763356260,1330,1330,1330,1330,3519
2025-11-17,10:45:00,1763356500,1328.5,1328.5,1328.5,1328.5,3542
2025-11-17,10:46:00,1763356560,1328.6,1328.6,1328.6,1328.6,3548
2025-11-17,10:52:00,1763356920,1325.6,1327.9,1325.6,1327.9,3574
2025-11-17,10:53:00,1763356980,1328.5,1328.5,1328.5,1328.5,3581
2025-11-17,10:55:00,1763357100,1327,1327,1326.6,1326.6,3592
2025-11-17,10:57:00,1763357220,1326.4,1326.4,1326.4,1326.4,3611
2025-11-17,10:58:00,1763357280,1324.8,1325.7,1324.8,1325.7,3626
2025-11-17,10:59:00,1763357340,1325.7,1325.7,1325.7,1325.7,3636
2025-11-17,11:01:00,1763357460,1327,1327,1327,1327,3645
2025-11-17,11:07:00,1763357820,1321,1321.2,1321,1321.2,4148
2025-11-17,11:11:00,1763358060,1321.1,1321.1,1321.1,1321.1,4153
2025-11-17,11:12:00,1763358120,1320.9,1320.9,1320.9,1320.9,4154
2025-11-17,11:21:00,1763358660,1319.9,1319.9,1317.6,1317.6,4167
2025-11-17,11:22:00,1763358720,1317.3,1317.3,1316.6,1316.6,4179
2025-11-17,11:25:00,1763358900,1315,1315,1315,1315,4259
2025-11-17,11:26:00,1763358960,1315.8,1315.8,1315.8,1315.8,4268
2025-11-17,11:28:00,1763359080,1315,1315,1315,1315,4308
2025-11-17,11:29:00,1763359140,1315,1315,1315,1315,4316
2025-11-17,11:47:00,1763360220,1315,1315,1315,1315,4321
2025-11-17,11:59:00,1763360940,1319.9,1319.9,1319.9,1319.9,4421
2025-11-17,12:11:00,1763361660,1319.4,1319.4,1319.4,1319.4,4426
2025-11-17,12:12:00,1763361720,1315.8,1315.8,1315.8,1315.8,4527
2025-11-17,12:13:00,1763361780,1315.9,1315.9,1315.9,1315.9,4559
2025-11-17,12:17:00,1763362020,1322.3,1327.1,1322.3,1327.1,5068
2025-11-17,12:18:00,1763362080,1323.9,1323.9,1323.9,1323.9,5074
2025-11-17,12:27:00,1763362620,1326,1326,1326,1326,5075
2025-11-17,12:36:00,1763363160,1325,1325,1325,1325,5135
2025-11-17,12:38:00,1763363280,1330.1,1330.1,1330.1,1330.1,5422
2025-11-17,12:42:00,1763363520,1330.2,1330.2,1330.2,1330.2,5434
2025-11-17,12:43:00,1763363580,1333.6,1333.6,1333.6,1333.6,5472
2025-11-17,12:44:00,1763363640,1331.6,1338,1331.6,1337.7,5896
2025-11-17,12:45:00,1763363700,1331.1,1331.1,1331.1,1331.1,6246
2025-11-17,12:47:00,1763363820,1335.9,1335.9,1335.9,1335.9,6268
2025-11-17,12:49:00,1763363940,1334.2,1334.2,1334.2,1334.2,6291
2025-11-17,12:50:00,1763364000,1335.9,1335.9,1335.9,1335.9,6297
2025-11-17,12:51:00,1763364060,1336,1336,1336,1336,6341
2025-11-17,12:56:00,1763364360,1331.6,1335.3,1331.6,1335.3,6771
2025-11-17,12:57:00,1763364420,1334.8,1334.8,1334.8,1334.8,6774
2025-11-17,12:58:00,1763364480,1334.7,1334.7,1334.7,1334.7,6775
2025-11-17,13:03:00,1763364780,1334.7,1334.7,1334.7,1334.7,6777
2025-11-17,13:06:00,1763364960,1334.7,1334.7,1334.7,1334.7,6931
2025-11-17,13:07:00,1763365020,1335.1,1335.1,1335.1,1335.1,6943
2025-11-17,13:12:00,1763365320,1335.1,1335.1,1335.1,1335.1,6951
2025-11-17,13:14:00,1763365440,1335.4,1335.4,1335.4,1335.4,6956
2025-11-17,13:16:00,1763365560,1338,1338,1338,1338,7048
2025-11-17,13:18:00,1763365680,1339.8,1340,1339.8,1340,7393
2025-11-17,13:20:00,1763365800,1340.6,1341,1340.6,1341,7425
2025-11-17,13:27:00,1763366220,1339.7,1339.7,1336.1,1336.1,7513
2025-11-17,13:30:00,1763366400,1338.8,1338.8,1338.8,1338.8,7533
2025-11-17,13:32:00,1763366520,1339.8,1339.8,1339.8,1339.8,7546
2025-11-17,13:39:00,1763366940,1340.6,1340.6,1340.6,1340.6,7551
2025-11-17,13:48:00,1763367480,1341.3,1341.3,1341.3,1341.3,7571
2025-11-17,13:51:00,1763367660,1339.3,1339.3,1339.3,1339.3,7583
2025-11-17,13:55:00,1763367900,1338.3,1341.3,1338.3,1341.3,7751
2025-11-17,13:56:00,1763367960,1341.3,1341.3,1341.3,1341.3,7766
2025-11-17,13:57:00,1763368020,1342.8,1342.8,1342.8,1342.8,7769
2025-11-17,13:58:00,1763368080,1343.1,1343.1,1343.1,1343.1,8121
2025-11-17,13:59:00,1763368140,1343.1,1343.1,1343.1,1343.1,8125
2025-11-17,14:01:00,1763368260,1342.8,1342.8,1342.8,1342.8,8137
2025-11-17,14:08:00,1763368680,1342.8,1342.8,1342.8,1342.8,8171
2025-11-17,14:12:00,1763368920,1342.8,1342.8,1342.8,1342.8,8174
2025-11-17,14:14:00,1763369040,1338.3,1338.3,1338.3,1338.3,8324
2025-11-17,14:15:00,1763369100,1340,1340,1340,1340,8728
2025-11-17,14:17:00,1763369220,1345.6,1345.6,1343.4,1343.4,8985
2025-11-17,14:20:00,1763369400,1342.2,1342.2,1342.2,1342.2,8990
2025-11-17,14:25:00,1763369700,1343,1343,1343,1343,8991
2025-11-17,14:29:00,1763369940,1342.4,1342.4,1342.1,1342.1,9008
2025-11-17,14:30:00,1763370000,1342.1,1342.1,1342.1,1342.1,9056
2025-11-17,14:31:00,1763370060,1342.1,1342.1,1342.1,1342.1,9071
2025-11-17,14:32:00,1763370120,1342.1,1342.1,1342.1,1342.1,9087
2025-11-17,14:35:00,1763370300,1342.1,1342.1,1342.1,1342.1,9092
2025-11-17,14:36:00,1763370360,1341.9,1341.9,1341.9,1341.9,9171
2025-11-17,14:38:00,1763370480,1343,1343,1343,1343,9172
2025-11-17,14:39:00,1763370540,1345,1348,1345,1348,9369
2025-11-17,14:40:00,1763370600,1346.2,1346.2,1346.2,1346.2,9385
2025-11-17,14:41:00,1763370660,1344.1,1344.1,1344.1,1344.1,9425
2025-11-17,14:44:00,1763370840,1341.2,1343.9,1340,1343,9602
2025-11-17,14:45:00,1763370900,1343.8,1343.8,1343.8,1343.8,9621
2025-11-17,14:46:00,1763370960,1343.8,1343.8,1343.8,1343.8,9626
2025-11-17,14:47:00,1763371020,1342.1,1344.6,1342.1,1344.6,9643
2025-11-17,14:48:00,1763371080,1343.2,1343.2,1343.2,1343.2,9645
2025-11-17,14:49:00,1763371140,1343.3,1343.3,1343.3,1343.3,9646
2025-11-17,14:50:00,1763371200,1345,1345,1345,1345,9652
2025-11-17,14:51:00,1763371260,1343.5,1343.5,1343.5,1343.5,9654
2025-11-17,14:53:00,1763371380,1345,1345,1345,1345,9657
2025-11-17,14:56:00,1763371560,1343.5,1344.8,1343.5,1344.8,9672
2025-11-17,14:57:00,1763371620,1343.4,1343.4,1343.4,1343.4,9686
2025-11-17,14:58:00,1763371680,1343.3,1344.9,1343.3,1344.9,9701
2025-11-17,15:01:00,1763371860,1344,1344,1344,1344,9705
2025-11-17,15:02:00,1763371920,1344,1344,1344,1344,9779
2025-11-17,15:03:00,1763371980,1344,1344,1344,1344,9890
2025-11-17,15:04:00,1763372040,1345,1345,1345,1345,9895
2025-11-17,15:05:00,1763372100,1344,1344,1344,1344,9901
2025-11-17,15:06:00,1763372160,1346,1346,1346,1346,9941
2025-11-17,15:07:00,1763372220,1346.2,1346.2,1346.2,1346.2,9945
2025-11-17,15:08:00,1763372280,1344.5,1344.5,1344.5,1344.5,9946
