Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,838.9,838.9,832,832,22026
2025-11-17,09:16:00,1763351160,831.7,839.7,831.7,836.3,28981
2025-11-17,09:17:00,1763351220,837.4,842,836.4,842,32866
2025-11-17,09:18:00,1763351280,843,846.4,843,846,45087
2025-11-17,09:19:00,1763351340,845,846,845,846,47463
2025-11-17,09:20:00,1763351400,845.8,848.9,845.8,848.9,51662
2025-11-17,09:21:00,1763351460,848.1,850.9,848.1,850.5,63469
2025-11-17,09:22:00,1763351520,850.6,850.6,849.1,849.1,66432
2025-11-17,09:23:00,1763351580,848.3,848.3,841.5,841.5,86264
2025-11-17,09:24:00,1763351640,841.6,843,841.1,843,89769
2025-11-17,09:25:00,1763351700,842.8,845.9,842.8,844,94061
2025-11-17,09:26:00,1763351760,844.6,846.1,844,846.1,94700
2025-11-17,09:27:00,1763351820,846.3,846.3,845,846,96025
2025-11-17,09:28:00,1763351880,845.9,845.9,843.8,844,97760
2025-11-17,09:29:00,1763351940,843.4,844,843.1,843.1,98177
2025-11-17,09:30:00,1763352000,844,844,842.6,842.6,100794
2025-11-17,09:31:00,1763352060,843,846,843,846,102385
2025-11-17,09:32:00,1763352120,845.3,845.3,843.3,844.9,103846
2025-11-17,09:33:00,1763352180,845,845.4,844.6,844.8,104624
2025-11-17,09:34:00,1763352240,845.6,845.8,844.3,845.7,105551
2025-11-17,09:35:00,1763352300,844.6,845.4,844.5,845.1,107056
2025-11-17,09:36:00,1763352360,844.9,845.6,843.4,843.4,111715
2025-11-17,09:37:00,1763352420,844.1,844.1,843.9,843.9,112663
2025-11-17,09:38:00,1763352480,844,846,843.9,846,116565
2025-11-17,09:39:00,1763352540,845.5,845.5,844.9,845,117133
2025-11-17,09:40:00,1763352600,844.5,845.8,844.5,845,118306
2025-11-17,09:41:00,1763352660,841.3,841.3,839,839.8,123705
2025-11-17,09:42:00,1763352720,837.7,839.5,836.6,839.5,132704
2025-11-17,09:43:00,1763352780,840,840,836.6,837.4,134111
2025-11-17,09:44:00,1763352840,836.6,837.5,836,836,136798
2025-11-17,09:45:00,1763352900,836.7,836.7,833.7,833.7,139998
2025-11-17,09:46:00,1763352960,833.8,833.8,832.4,833,141483
2025-11-17,09:47:00,1763353020,831.7,832.8,830.1,830.6,147395
2025-11-17,09:48:00,1763353080,829.7,833.4,829.7,833.3,151952
2025-11-17,09:49:00,1763353140,833,833.1,832.5,833,153537
2025-11-17,09:50:00,1763353200,833.7,834.6,833.5,833.5,154873
2025-11-17,09:51:00,1763353260,834,834,831.6,831.6,156488
2025-11-17,09:52:00,1763353320,831,831,830.9,831,156929
2025-11-17,09:53:00,1763353380,831.5,832.9,830.5,830.7,159317
2025-11-17,09:54:00,1763353440,830.5,830.5,829.1,830.2,161889
2025-11-17,09:55:00,1763353500,830.1,830.1,829,829.8,163084
2025-11-17,09:56:00,1763353560,829.2,830,829.2,829.7,163499
2025-11-17,09:57:00,1763353620,829.2,829.3,827,827.9,166194
2025-11-17,09:58:00,1763353680,827.2,828,825.4,828,172567
2025-11-17,09:59:00,1763353740,828.1,828.1,826.2,826.2,174155
2025-11-17,10:00:00,1763353800,827,828.1,826.9,828.1,175615
2025-11-17,10:01:00,1763353860,828.5,830,827.7,830,178921
2025-11-17,10:02:00,1763353920,830.6,830.6,829,829,181791
2025-11-17,10:03:00,1763353980,828.5,828.5,827.4,828.4,183154
2025-11-17,10:04:00,1763354040,827.9,827.9,827.9,827.9,183432
2025-11-17,10:05:00,1763354100,828,828,828,828,183928
2025-11-17,10:06:00,1763354160,828.8,828.8,828.2,828.6,184180
2025-11-17,10:07:00,1763354220,829,829,828.1,828.1,185379
2025-11-17,10:08:00,1763354280,828.5,828.5,826.1,826.7,186574
2025-11-17,10:09:00,1763354340,827,827,826,826,188880
2025-11-17,10:10:00,1763354400,825.6,826,825.4,825.4,190415
2025-11-17,10:11:00,1763354460,825.9,826.1,825.2,825.5,192149
2025-11-17,10:12:00,1763354520,826,826,824,824.5,199972
2025-11-17,10:13:00,1763354580,823.5,825,823.1,825,201841
2025-11-17,10:14:00,1763354640,824.6,824.6,824.2,824.6,202044
2025-11-17,10:15:00,1763354700,823.7,823.7,823.1,823.2,205539
2025-11-17,10:16:00,1763354760,823.7,823.7,822.3,823,206459
2025-11-17,10:17:00,1763354820,822.1,824.4,822.1,824.1,209566
2025-11-17,10:18:00,1763354880,823.7,823.7,823,823.7,209952
2025-11-17,10:19:00,1763354940,823.6,824.1,821.6,821.6,213672
2025-11-17,10:20:00,1763355000,822.2,822.2,821.6,821.6,214143
2025-11-17,10:21:00,1763355060,821.9,821.9,820,821.2,223382
2025-11-17,10:22:00,1763355120,821.1,821.3,820.7,821.2,225999
2025-11-17,10:23:00,1763355180,822,822,820.5,820.9,227327
2025-11-17,10:24:00,1763355240,820.3,820.8,819.3,820.4,229104
2025-11-17,10:25:00,1763355300,819.9,820.3,819.9,820.3,229655
2025-11-17,10:26:00,1763355360,820,820.2,819.6,820.1,230031
2025-11-17,10:27:00,1763355420,820,820,818.1,818.6,231235
2025-11-17,10:28:00,1763355480,818.1,819,818.1,819,231963
2025-11-17,10:29:00,1763355540,819.6,820.1,819.1,819.1,232824
2025-11-17,10:30:00,1763355600,819,819.6,817,817,242864
2025-11-17,10:31:00,1763355660,817.6,818.5,817,817.1,245980
2025-11-17,10:32:00,1763355720,817.2,819.6,816.8,819.2,247680
2025-11-17,10:33:00,1763355780,819.9,819.9,819,819.3,248948
2025-11-17,10:34:00,1763355840,819.4,819.7,819,819.7,249735
2025-11-17,10:35:00,1763355900,820,820,819,819.3,250219
2025-11-17,10:36:00,1763355960,819.1,819.6,819,819.6,250828
2025-11-17,10:37:00,1763356020,819.5,819.5,817.8,818.4,252959
2025-11-17,10:38:00,1763356080,818.5,818.6,817.7,818.4,253343
2025-11-17,10:39:00,1763356140,818,820.5,818,820.5,255570
2025-11-17,10:40:00,1763356200,820.9,821.1,820.6,821.1,255967
2025-11-17,10:41:00,1763356260,820.3,822.6,820.3,822,257805
2025-11-17,10:42:00,1763356320,822.8,824.4,822,823.8,263858
2025-11-17,10:43:00,1763356380,824,824.4,822.9,822.9,265063
2025-11-17,10:44:00,1763356440,822.5,823.3,822.5,822.7,266417
2025-11-17,10:45:00,1763356500,821.8,822.8,821.1,822,268252
2025-11-17,10:46:00,1763356560,821.8,821.8,819.6,819.6,268640
2025-11-17,10:47:00,1763356620,819.8,822.3,819.8,822.2,270112
2025-11-17,10:48:00,1763356680,822.3,823.5,822.3,823.3,271002
2025-11-17,10:49:00,1763356740,821.7,822,821.2,821.2,272451
2025-11-17,10:50:00,1763356800,821,821.6,814.3,816.1,282165
