Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,556.95,557,545.7,550.45,1300
2025-11-17,09:16:00,1763351160,557,558,553.3,558,1520
2025-11-17,09:17:00,1763351220,554.35,555.95,554.35,555.95,1867
2025-11-17,09:18:00,1763351280,554.7,555.5,554.7,555.5,2023
2025-11-17,09:19:00,1763351340,554.7,554.7,551.55,551.55,2182
2025-11-17,09:20:00,1763351400,548.9,549.95,548,548,2821
2025-11-17,09:21:00,1763351460,547,549.2,545,549.2,3660
2025-11-17,09:22:00,1763351520,548,550.3,548,550.3,3751
2025-11-17,09:23:00,1763351580,551.35,551.55,550.95,550.95,4357
2025-11-17,09:24:00,1763351640,548.55,550.95,548.55,550.95,4427
2025-11-17,09:25:00,1763351700,549.2,549.2,549.2,549.2,4436
2025-11-17,09:26:00,1763351760,549.25,550,548.4,550,4505
2025-11-17,09:27:00,1763351820,551,552.7,551,552.7,4576
2025-11-17,09:28:00,1763351880,552,552,550.55,550.95,4958
2025-11-17,09:29:00,1763351940,551,551.75,551,551.5,5004
2025-11-17,09:30:00,1763352000,551.95,552.4,551.95,552.25,5538
2025-11-17,09:31:00,1763352060,552.3,553.75,552.3,553.75,5618
2025-11-17,09:32:00,1763352120,554.1,554.3,554.1,554.3,5693
2025-11-17,09:33:00,1763352180,554.4,554.9,554.4,554.9,5787
2025-11-17,09:34:00,1763352240,551.95,554.45,550,554.45,6356
2025-11-17,09:35:00,1763352300,549.6,551.85,549.6,551.85,6578
2025-11-17,09:36:00,1763352360,551.5,551.5,550,550,6680
2025-11-17,09:37:00,1763352420,548,549.35,548,549.35,7130
2025-11-17,09:38:00,1763352480,546.6,546.6,546,546.6,7539
2025-11-17,09:39:00,1763352540,547.95,547.95,547.95,547.95,7575
2025-11-17,09:40:00,1763352600,549.05,549.65,548.4,549.6,7589
2025-11-17,09:41:00,1763352660,549.7,551.05,549.7,551.05,7879
2025-11-17,09:42:00,1763352720,551.75,552.1,551.75,552.1,7884
2025-11-17,09:43:00,1763352780,552.45,552.95,552.35,552.95,7924
2025-11-17,09:44:00,1763352840,550.6,551.95,550,551.95,8039
2025-11-17,09:45:00,1763352900,551.75,552.2,549.1,549.1,8092
2025-11-17,09:46:00,1763352960,549,549.05,549,549.05,8098
2025-11-17,09:47:00,1763353020,548.55,548.55,548.55,548.55,8102
2025-11-17,09:49:00,1763353140,549,549.9,549,549.9,8115
2025-11-17,09:50:00,1763353200,550.95,550.95,550.95,550.95,8132
2025-11-17,09:52:00,1763353320,549,549,549,549,8630
2025-11-17,09:54:00,1763353440,549.15,549.15,549,549,8733
2025-11-17,09:55:00,1763353500,550.25,550.25,550.25,550.25,8734
2025-11-17,09:56:00,1763353560,551,551,551,551,8827
2025-11-17,09:59:00,1763353740,552.9,552.9,552.9,552.9,8939
2025-11-17,10:00:00,1763353800,553.6,554.1,553.6,554.1,9132
2025-11-17,10:01:00,1763353860,552,552,548.55,548.55,10957
2025-11-17,10:02:00,1763353920,548.95,550.3,548,548,11281
2025-11-17,10:03:00,1763353980,547.2,547.2,547,547,11295
2025-11-17,10:04:00,1763354040,546,546.8,546,546.7,11311
2025-11-17,10:05:00,1763354100,545.55,545.55,542.7,542.7,11483
2025-11-17,10:06:00,1763354160,542.45,544.1,541.4,544.1,12004
2025-11-17,10:07:00,1763354220,545.6,547.45,545.6,547.45,12110
2025-11-17,10:09:00,1763354340,549,549,549,549,12153
2025-11-17,10:10:00,1763354400,549.2,552,549.2,552,12203
2025-11-17,10:11:00,1763354460,552.4,552.9,552.3,552.9,12221
2025-11-17,10:12:00,1763354520,552.3,553.4,552.3,553.4,12310
2025-11-17,10:13:00,1763354580,553.6,553.6,552.15,552.15,12484
2025-11-17,10:14:00,1763354640,552.1,552.1,551.4,551.4,12552
2025-11-17,10:15:00,1763354700,551.3,551.3,549,550,12819
2025-11-17,10:16:00,1763354760,549.55,549.55,549.55,549.55,12839
2025-11-17,10:17:00,1763354820,552.15,552.15,552.15,552.15,12853
2025-11-17,10:18:00,1763354880,552.2,552.7,552.1,552.7,12888
2025-11-17,10:19:00,1763354940,552.1,552.3,552.1,552.3,12926
2025-11-17,10:20:00,1763355000,552.15,552.15,552.15,552.15,12963
2025-11-17,10:21:00,1763355060,552.1,552.1,552.1,552.1,12977
2025-11-17,10:22:00,1763355120,551.65,552,551,551.65,13019
2025-11-17,10:23:00,1763355180,551,551,549.9,550,13032
2025-11-17,10:24:00,1763355240,549.6,550.1,549.1,549.1,13064
2025-11-17,10:25:00,1763355300,549,549.8,548.2,549.8,13177
2025-11-17,10:26:00,1763355360,549.55,549.6,549,549,13226
2025-11-17,10:27:00,1763355420,549.65,549.65,548.75,549.35,13345
2025-11-17,10:28:00,1763355480,549.55,550.95,549.55,550.95,13412
2025-11-17,10:30:00,1763355600,550.25,550.25,550.25,550.25,13413
2025-11-17,10:32:00,1763355720,550.95,550.95,550,550,13453
2025-11-17,10:33:00,1763355780,550,550,550,550,13456
2025-11-17,10:36:00,1763355960,549.55,549.55,548.2,548.2,13556
2025-11-17,10:38:00,1763356080,548.15,548.15,548,548,13618
2025-11-17,10:40:00,1763356200,545.85,546.95,545.85,546.2,13683
2025-11-17,10:41:00,1763356260,546.5,546.8,546.5,546.8,13688
2025-11-17,10:42:00,1763356320,547.2,547.8,547,547.8,13711
2025-11-17,10:43:00,1763356380,546.5,547.85,546.5,547.85,13792
2025-11-17,10:47:00,1763356620,548.85,548.85,548.85,548.85,13794
2025-11-17,10:48:00,1763356680,548,548,548,548,13881
2025-11-17,10:49:00,1763356740,546.25,546.25,546.25,546.25,13886
2025-11-17,10:51:00,1763356860,547.5,548,546.35,546.35,14153
2025-11-17,10:52:00,1763356920,546.25,547.2,545,547.2,14309
2025-11-17,10:53:00,1763356980,547.3,548,547.3,548,14350
2025-11-17,10:54:00,1763357040,548.65,549.3,548,548.1,14390
2025-11-17,10:55:00,1763357100,548.5,549.15,548.4,548.4,14408
2025-11-17,10:56:00,1763357160,549,549.6,549,549.6,14419
2025-11-17,10:57:00,1763357220,549.8,550,548.05,548.3,14483
2025-11-17,10:58:00,1763357280,549.35,549.65,548.7,549.4,14489
2025-11-17,10:59:00,1763357340,549.55,550,548,548,14548
2025-11-17,11:00:00,1763357400,549,549.2,548.15,548.45,14567
2025-11-17,11:01:00,1763357460,548.5,549.35,548,548.3,14595
2025-11-17,11:02:00,1763357520,548.4,549.25,548.1,549.1,14622
2025-11-17,11:03:00,1763357580,548.45,548.45,547.55,547.55,14644
2025-11-17,11:05:00,1763357700,547,547.3,546,547.3,14991
2025-11-17,11:09:00,1763357940,546.05,546.05,546.05,546.05,14994
2025-11-17,11:10:00,1763358000,546.05,546.05,546.05,546.05,15071
2025-11-17,11:13:00,1763358180,546,546,546,546,15077
2025-11-17,11:15:00,1763358300,545.15,545.15,545.15,545.15,15177
2025-11-17,11:18:00,1763358480,547,549,547,549,15427
2025-11-17,11:31:00,1763359260,548.75,548.75,548.75,548.75,15428
2025-11-17,11:33:00,1763359380,548.7,548.7,548.7,548.7,15430
2025-11-17,11:34:00,1763359440,547.75,547.75,547.6,547.6,15432
2025-11-17,11:35:00,1763359500,546.2,546.75,545.85,545.85,15436
2025-11-17,11:36:00,1763359560,545.3,545.3,544,544,15505
2025-11-17,11:37:00,1763359620,544.25,544.55,542.35,542.35,15582
2025-11-17,11:38:00,1763359680,542.3,547.7,542.3,546.8,15834
2025-11-17,11:39:00,1763359740,546.2,546.2,546.2,546.2,15836
2025-11-17,11:40:00,1763359800,544.2,544.7,543.9,543.9,15842
2025-11-17,11:41:00,1763359860,544.5,544.65,542.65,542.65,15850
2025-11-17,11:42:00,1763359920,544,544.8,543.7,543.7,15926
2025-11-17,11:43:00,1763359980,544.95,544.95,543.7,544.95,15977
2025-11-17,11:44:00,1763360040,544.9,545.1,544.05,544.9,16041
2025-11-17,11:45:00,1763360100,544.85,544.85,543.7,544.65,16057
2025-11-17,11:46:00,1763360160,544.95,545,544.6,545,16097
2025-11-17,11:47:00,1763360220,544.75,544.75,544.75,544.75,16136
2025-11-17,11:48:00,1763360280,545,545,544.65,545,16175
2025-11-17,11:49:00,1763360340,544.8,545.2,544.45,544.45,16227
2025-11-17,11:50:00,1763360400,544.6,546.95,544.35,546.95,16269
2025-11-17,11:51:00,1763360460,547,548.95,547,548.9,16316
2025-11-17,11:52:00,1763360520,548.1,548.95,548.1,548.95,16335
2025-11-17,11:53:00,1763360580,548.05,548.05,547.95,547.95,16371
2025-11-17,11:54:00,1763360640,548.4,550,547,547.05,16603
2025-11-17,11:55:00,1763360700,547,547.1,547,547.1,16632
2025-11-17,11:56:00,1763360760,547.35,547.75,547.2,547.2,16664
2025-11-17,11:57:00,1763360820,547.1,547.1,547.1,547.1,16700
2025-11-17,11:58:00,1763360880,547.35,548,547,547.2,16831
2025-11-17,11:59:00,1763360940,547.3,547.4,546.8,546.8,16857
2025-11-17,12:00:00,1763361000,545.05,545.25,545.05,545.25,16891
2025-11-17,12:01:00,1763361060,544.85,545,544.55,545,16898
2025-11-17,12:02:00,1763361120,545.9,546,545.45,546,16945
2025-11-17,12:03:00,1763361180,546,546,546,546,16950
