Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,69.99,70.8,69.99,70.8,4
2025-11-17,09:31:00,1763352060,68.65,68.65,68.65,68.65,93
2025-11-17,09:32:00,1763352120,68.65,68.65,68.65,68.65,105
2025-11-17,09:47:00,1763353020,69.25,70.69,69.25,70.69,108
2025-11-17,09:48:00,1763353080,70.69,70.69,70.69,70.69,115
2025-11-17,09:58:00,1763353680,69,69,69,69,165
2025-11-17,10:02:00,1763353920,69,69,69,69,445
2025-11-17,10:03:00,1763353980,68.85,68.85,68.85,68.85,895
2025-11-17,10:05:00,1763354100,68.85,68.85,68.85,68.85,900
2025-11-17,10:25:00,1763355300,70.69,70.69,70.69,70.69,901
2025-11-17,10:41:00,1763356260,68.7,68.7,68.7,68.7,2109
2025-11-17,10:44:00,1763356440,68.71,68.71,68.71,68.71,2210
2025-11-17,10:45:00,1763356500,69.18,69.18,69.18,69.18,2212
2025-11-17,10:46:00,1763356560,69.18,69.18,69.18,69.18,2232
2025-11-17,10:58:00,1763357280,70.38,70.38,70.38,70.38,2377
2025-11-17,11:24:00,1763358840,70.38,70.38,70.38,70.38,2378
2025-11-17,11:27:00,1763359020,68.8,68.8,68.8,68.8,3178
2025-11-17,11:33:00,1763359380,69.78,69.78,69.78,69.78,3180
2025-11-17,11:43:00,1763359980,68.67,68.67,68.66,68.66,4870
2025-11-17,11:45:00,1763360100,68.6,70.35,68.5,70.35,9008
2025-11-17,11:49:00,1763360340,68.25,68.25,68.02,68.02,10172
2025-11-17,11:51:00,1763360460,70.35,70.35,70.35,70.35,10173
2025-11-17,12:00:00,1763361000,70.13,70.13,70.13,70.13,10423
2025-11-17,12:30:00,1763362800,68.02,68.02,68.02,68.02,10903
2025-11-17,12:37:00,1763363220,69.99,69.99,69.99,69.99,11003
2025-11-17,13:05:00,1763364900,68.15,68.15,68.15,68.15,11046
2025-11-17,13:09:00,1763365140,68.73,68.73,68.73,68.73,11086
2025-11-17,13:15:00,1763365500,68.05,68.05,68.05,68.05,11722
2025-11-17,13:27:00,1763366220,68.05,68.05,68.05,68.05,13074
2025-11-17,13:28:00,1763366280,68.05,68.05,68.05,68.05,13084
2025-11-17,13:36:00,1763366760,68.05,68.05,68.05,68.05,13086
2025-11-17,13:51:00,1763367660,68.06,68.06,68.06,68.06,14232
2025-11-17,14:05:00,1763368500,68.74,70,68.74,70,15507
2025-11-17,14:11:00,1763368860,70,70,70,70,16232
2025-11-17,14:16:00,1763369160,68.1,68.1,68.1,68.1,16257
2025-11-17,14:27:00,1763369820,69.75,69.75,69.75,69.75,16358
2025-11-17,14:32:00,1763370120,69.75,69.75,69.75,69.75,16423
2025-11-17,14:38:00,1763370480,69.75,69.75,69.75,69.75,16430
2025-11-17,14:42:00,1763370720,69.75,69.75,69.75,69.75,16440
2025-11-17,14:43:00,1763370780,69.75,69.75,69.75,69.75,16691
2025-11-17,14:44:00,1763370840,69.75,69.75,69.75,69.75,17691
2025-11-17,14:47:00,1763371020,68.1,68.1,68.1,68.1,18691
2025-11-17,14:54:00,1763371440,69.75,69.75,69.75,69.75,18791
2025-11-17,15:04:00,1763372040,69.05,69.05,69.05,69.05,18891
2025-11-17,15:08:00,1763372280,68.2,68.2,68.2,68.2,18901
2025-11-17,15:25:00,1763373300,69,69,69,69,18906
2025-11-17,15:27:00,1763373420,68.21,68.21,68.21,68.21,18966
2025-11-17,15:28:00,1763373480,68.21,68.21,68.21,68.21,19466
2025-11-17,15:29:00,1763373540,69,69,69,69,19588
2025-11-18,09:21:00,1763437860,68.85,68.85,68.85,68.85,1
2025-11-18,09:24:00,1763438040,68.85,68.85,68.85,68.85,6
2025-11-18,09:27:00,1763438220,68.85,68.85,68.85,68.85,256
2025-11-18,09:29:00,1763438340,68.34,68.34,68.34,68.34,258
2025-11-18,09:37:00,1763438820,68.5,68.5,68.5,68.5,508
2025-11-18,09:45:00,1763439300,68.8,68.8,68.8,68.8,510
2025-11-18,09:47:00,1763439420,68.78,68.78,68.78,68.78,515
2025-11-18,09:50:00,1763439600,68.78,68.78,68.78,68.78,522
2025-11-18,09:52:00,1763439720,68.78,68.78,68.78,68.78,524
2025-11-18,10:03:00,1763440380,68.5,68.5,68.5,68.5,584
2025-11-18,10:13:00,1763440980,68.52,68.52,68.52,68.52,654
2025-11-18,10:18:00,1763441280,68.52,68.52,68.52,68.52,655
2025-11-18,10:31:00,1763442060,68.6,68.6,68.6,68.6,665
2025-11-18,10:33:00,1763442180,68.75,68.75,68.75,68.75,765
2025-11-18,10:34:00,1763442240,68.9,68.9,68.6,68.9,1155
2025-11-18,10:38:00,1763442480,69.89,69.89,69.89,69.89,1480
2025-11-18,10:39:00,1763442540,69.89,69.89,69.89,69.89,1600
2025-11-18,10:40:00,1763442600,70.39,70.39,70.39,70.39,1601
2025-11-18,11:13:00,1763444580,69.98,69.98,69.98,69.98,1602
2025-11-18,11:15:00,1763444700,68.88,68.88,68.88,68.88,1632
2025-11-18,11:29:00,1763445540,68.88,68.88,68.88,68.88,1682
2025-11-18,11:30:00,1763445600,68.1,68.1,68.1,68.1,2332
2025-11-18,11:33:00,1763445780,68.1,68.1,68.1,68.1,2382
2025-11-18,11:56:00,1763447160,68.11,68.11,68.11,68.11,2383
2025-11-18,11:58:00,1763447280,68.11,68.11,68.11,68.11,2384
2025-11-18,12:04:00,1763447640,69.85,69.85,69.85,69.85,2385
2025-11-18,12:09:00,1763447940,68.11,68.11,68.11,68.11,3385
2025-11-18,12:13:00,1763448180,68.1,69.85,68,69.85,6205
2025-11-18,12:14:00,1763448240,69.85,69.85,69.85,69.85,6209
2025-11-18,12:38:00,1763449680,67.85,67.85,67.85,67.85,6709
2025-11-18,12:39:00,1763449740,69.83,69.83,69.83,69.83,6710
2025-11-18,12:54:00,1763450640,69.77,69.77,69.77,69.77,6810
2025-11-18,12:55:00,1763450700,69.45,69.45,69.45,69.45,6815
2025-11-18,12:58:00,1763450880,68.65,68.65,68.65,68.65,6852
2025-11-18,13:21:00,1763452260,68.65,68.65,68.65,68.65,6902
2025-11-18,13:22:00,1763452320,68.65,68.65,68.65,68.65,6952
2025-11-18,13:23:00,1763452380,69.4,69.4,69.4,69.4,6953
2025-11-18,13:40:00,1763453400,68.65,68.65,68.65,68.65,6954
2025-11-18,13:42:00,1763453520,69.39,69.39,69.39,69.39,
2025-11-18,13:43:00,1763453580,69.39,69.39,69.39,69.39,7954
2025-11-18,13:46:00,1763453760,69.38,69.38,69.38,69.38,7955
2025-11-18,13:47:00,1763453820,68.06,68.06,68.06,68.06,8030
2025-11-18,13:59:00,1763454540,68.06,68.06,68.06,68.06,9151
2025-11-18,14:01:00,1763454660,68.06,68.06,68.06,68.06,9501
2025-11-18,14:02:00,1763454720,68.06,68.06,68.06,68.06,10041
2025-11-18,14:12:00,1763455320,69.05,69.05,69.05,69.05,10051
2025-11-18,14:14:00,1763455440,68.1,68.1,68.1,68.1,10052
2025-11-18,14:16:00,1763455560,68.1,68.1,68.1,68.1,10053
2025-11-18,14:24:00,1763456040,68.11,68.11,68.11,68.11,10103
2025-11-18,14:26:00,1763456160,68.11,68.11,68.11,68.11,10151
2025-11-18,14:39:00,1763456940,68,68,68,68,12480
2025-11-18,14:40:00,1763457000,68,68,68,68,13230
2025-11-18,14:45:00,1763457300,67.21,68,67.21,68,13291
2025-11-18,14:49:00,1763457540,68,68,68,68,13491
2025-11-18,15:00:00,1763458200,67.05,69.15,67.05,69.15,14251
2025-11-18,15:06:00,1763458560,69.05,69.05,69.05,69.05,14276
2025-11-18,15:07:00,1763458620,68,69.04,68,69.04,14288
2025-11-18,15:18:00,1763459280,67.1,69.15,67.05,69.15,14536
2025-11-18,15:20:00,1763459400,67.15,69.14,67.15,69.14,14542
2025-11-18,15:28:00,1763459880,69.14,69.14,69.14,69.14,14543
2025-11-18,15:29:00,1763459940,69.14,69.14,69.14,69.14,14544
