Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,89.75,90.28,89.75,90.2,15619
2025-11-17,09:16:00,1763351160,90.16,90.8,90.01,90.8,21204
2025-11-17,09:17:00,1763351220,91.38,91.38,90.81,91.19,49967
2025-11-17,09:18:00,1763351280,90.86,91.22,90.86,91.2,66428
2025-11-17,09:19:00,1763351340,91.48,91.5,91.4,91.48,79039
2025-11-17,09:20:00,1763351400,91.55,91.7,91.26,91.26,98308
2025-11-17,09:21:00,1763351460,91.3,91.36,91.25,91.27,99637
2025-11-17,09:22:00,1763351520,91.2,91.3,91.13,91.3,104055
2025-11-17,09:23:00,1763351580,91.11,91.19,91.08,91.08,105267
2025-11-17,09:24:00,1763351640,91.05,91.2,91.05,91.15,106636
2025-11-17,09:25:00,1763351700,91.19,91.36,91.19,91.36,120442
2025-11-17,09:26:00,1763351760,91.46,91.46,91.32,91.32,121608
2025-11-17,09:27:00,1763351820,91.39,91.44,91.32,91.32,124803
2025-11-17,09:28:00,1763351880,91.44,91.44,91.43,91.43,127038
2025-11-17,09:29:00,1763351940,91.34,91.42,91.16,91.16,129040
2025-11-17,09:30:00,1763352000,91.28,91.35,91.28,91.35,130207
2025-11-17,09:31:00,1763352060,91.17,91.3,91.17,91.26,135688
2025-11-17,09:32:00,1763352120,91.3,91.3,91.15,91.15,138436
2025-11-17,09:33:00,1763352180,91.1,91.12,91.1,91.12,143383
2025-11-17,09:34:00,1763352240,91.09,91.12,91.09,91.12,147538
2025-11-17,09:35:00,1763352300,91.1,91.29,91.1,91.29,165671
2025-11-17,09:36:00,1763352360,91.3,91.3,91.24,91.24,169004
2025-11-17,09:37:00,1763352420,91.3,91.3,91.1,91.16,170653
2025-11-17,09:38:00,1763352480,91.16,91.16,91.16,91.16,170761
2025-11-17,09:39:00,1763352540,91.13,91.16,91.12,91.16,173812
2025-11-17,09:40:00,1763352600,91.02,91.13,91.02,91.04,175278
2025-11-17,09:41:00,1763352660,91,91.04,90.91,91.04,179721
2025-11-17,09:42:00,1763352720,91,91.12,91,91.12,180738
2025-11-17,09:44:00,1763352840,91.11,91.11,91.11,91.11,180778
2025-11-17,09:45:00,1763352900,91.19,91.27,91.11,91.27,197185
2025-11-17,09:46:00,1763352960,91.27,91.27,91.27,91.27,197186
2025-11-17,09:47:00,1763353020,91.35,91.4,91.28,91.31,200174
2025-11-17,09:48:00,1763353080,91.42,91.75,91.31,91.72,212175
2025-11-17,09:49:00,1763353140,91.85,91.85,91.72,91.75,227062
2025-11-17,09:50:00,1763353200,91.68,91.82,91.66,91.66,243896
2025-11-17,09:51:00,1763353260,91.58,91.6,91.4,91.5,250409
2025-11-17,09:52:00,1763353320,91.51,91.51,91.5,91.5,252217
2025-11-17,09:53:00,1763353380,91.51,91.73,91.51,91.73,259341
2025-11-17,09:54:00,1763353440,91.59,91.79,91.59,91.65,261529
2025-11-17,09:55:00,1763353500,91.82,92.1,91.82,92,286531
2025-11-17,09:56:00,1763353560,91.98,92,91.98,92,291513
2025-11-17,09:57:00,1763353620,92.05,92.25,92,92.25,311809
2025-11-17,09:58:00,1763353680,92.21,92.48,92.21,92.46,327463
2025-11-17,09:59:00,1763353740,92.4,92.47,92.33,92.4,346872
