Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,127.6,127.6,127.25,127.5,272
2025-11-17,09:16:00,1763351160,127.6,127.6,127.6,127.6,740
2025-11-17,09:18:00,1763351280,127.9,128,127.7,128,2401
2025-11-17,09:19:00,1763351340,128.7,128.7,128.7,128.7,2551
2025-11-17,09:21:00,1763351460,128.19,128.19,128.04,128.04,2567
2025-11-17,09:22:00,1763351520,128.04,128.04,128.04,128.04,2577
2025-11-17,09:24:00,1763351640,128.11,128.11,128.04,128.04,2627
2025-11-17,09:25:00,1763351700,128.09,128.1,128.09,128.1,2634
2025-11-17,09:27:00,1763351820,128.4,128.4,128.4,128.4,2663
2025-11-17,09:28:00,1763351880,128.12,128.12,128.12,128.12,2791
2025-11-17,09:29:00,1763351940,128.4,128.4,128.4,128.4,2841
2025-11-17,09:30:00,1763352000,128.09,128.2,128.09,128.2,3330
2025-11-17,09:35:00,1763352300,128.47,128.47,128.17,128.17,3531
2025-11-17,09:36:00,1763352360,128.46,128.46,128.46,128.46,3532
2025-11-17,09:38:00,1763352480,128.46,128.46,128.46,128.46,4032
2025-11-17,09:40:00,1763352600,128.2,128.47,127.25,127.25,6029
2025-11-17,09:42:00,1763352720,127.88,127.88,127.88,127.88,6079
2025-11-17,09:44:00,1763352840,127.92,127.92,127.92,127.92,6094
2025-11-17,09:46:00,1763352960,127.88,127.88,127.88,127.88,6114
2025-11-17,09:50:00,1763353200,128,128,128,128,6214
2025-11-17,09:52:00,1763353320,128.05,128.05,128.05,128.05,6475
2025-11-17,09:56:00,1763353560,128.19,128.7,128.19,128.69,7913
2025-11-17,10:02:00,1763353920,128.35,128.35,128,128,8730
2025-11-17,10:11:00,1763354460,128.08,128.08,128.08,128.08,8733
2025-11-17,10:12:00,1763354520,128.01,128.01,128.01,128.01,8773
2025-11-17,10:13:00,1763354580,128.21,128.22,128.21,128.22,8813
2025-11-17,10:17:00,1763354820,128.3,128.35,128.3,128.35,8893
2025-11-17,10:18:00,1763354880,128.5,128.5,128.5,128.5,9400
2025-11-17,10:19:00,1763354940,128.5,128.5,128.5,128.5,9500
2025-11-17,10:21:00,1763355060,128.5,128.5,128.5,128.5,9519
2025-11-17,10:23:00,1763355180,128.5,128.5,128.5,128.5,9523
2025-11-17,10:28:00,1763355480,128.5,128.5,128.5,128.5,9623
2025-11-17,10:29:00,1763355540,128.24,128.24,128,128,9823
2025-11-17,10:30:00,1763355600,128,128,128,128,9868
2025-11-17,10:32:00,1763355720,128.5,128.5,128.13,128.13,10299
2025-11-17,10:38:00,1763356080,128.21,128.21,128.21,128.21,10338
2025-11-17,10:39:00,1763356140,128,128,128,128,10640
2025-11-17,10:43:00,1763356380,127.91,127.91,127.91,127.91,10815
2025-11-17,10:47:00,1763356620,127.73,127.73,127.73,127.73,10865
2025-11-17,11:02:00,1763357520,127.8,127.8,127.8,127.8,10965
2025-11-17,11:03:00,1763357580,127.83,127.83,127.83,127.83,10975
2025-11-17,11:08:00,1763357880,127.61,127.61,127.61,127.61,11275
2025-11-17,11:16:00,1763358360,127.89,127.89,127.89,127.89,11285
2025-11-17,11:21:00,1763358660,127.83,127.83,127.83,127.83,11290
2025-11-17,11:22:00,1763358720,127.6,127.6,127.6,127.6,12324
2025-11-17,11:32:00,1763359320,127.35,127.35,127.3,127.3,12355
2025-11-17,11:43:00,1763359980,127.25,127.25,127.25,127.25,12356
2025-11-17,11:48:00,1763360280,127.25,127.25,127.25,127.25,12365
2025-11-17,11:49:00,1763360340,127.5,127.5,127.5,127.5,12865
2025-11-17,11:50:00,1763360400,127.3,127.3,127.25,127.25,13000
2025-11-17,11:51:00,1763360460,127.25,127.25,127.25,127.25,13010
2025-11-17,11:54:00,1763360640,127.1,127.1,127.1,127.1,13365
2025-11-17,12:00:00,1763361000,127.34,127.34,127.34,127.34,13375
2025-11-17,12:01:00,1763361060,127.35,127.35,127.35,127.35,13376
2025-11-17,12:08:00,1763361480,127.2,127.2,127.2,127.2,13426
2025-11-17,12:10:00,1763361600,127.14,127.14,127.14,127.14,13476
2025-11-17,12:16:00,1763361960,127.11,127.11,127.11,127.11,13477
2025-11-17,12:38:00,1763363280,127.1,127.1,127.1,127.1,13507
2025-11-17,12:39:00,1763363340,127,127,127,127,14007
2025-11-17,12:41:00,1763363460,127,127,127,127,14009
2025-11-17,12:44:00,1763363640,127.28,127.28,127.28,127.28,14109
2025-11-17,12:47:00,1763363820,127.29,127.29,127.29,127.29,14112
2025-11-17,13:15:00,1763365500,127,127,127,127,14162
2025-11-17,13:17:00,1763365620,126.91,126.91,126.91,126.91,14367
2025-11-17,13:22:00,1763365920,127.19,127.19,127.19,127.19,14467
2025-11-17,13:28:00,1763366280,126.92,126.92,126.92,126.92,14478
2025-11-17,13:30:00,1763366400,126.63,126.63,126.63,126.63,14886
2025-11-17,13:32:00,1763366520,126.99,126.99,126.99,126.99,15386
2025-11-17,13:34:00,1763366640,126.65,126.65,126.65,126.65,15438
2025-11-17,13:41:00,1763367060,126.77,126.77,126.75,126.75,15498
2025-11-17,13:43:00,1763367180,126.66,126.66,126.66,126.66,15558
2025-11-17,13:44:00,1763367240,126.66,126.66,126.66,126.66,15698
2025-11-17,13:47:00,1763367420,126.65,126.65,126.65,126.65,15702
2025-11-17,13:51:00,1763367660,126.75,126.75,126.75,126.75,15802
2025-11-17,13:55:00,1763367900,126.55,126.55,126.55,126.55,15902
2025-11-17,14:00:00,1763368200,126.7,126.7,126.7,126.7,15910
2025-11-17,14:01:00,1763368260,126.71,126.71,126.31,126.53,16302
2025-11-17,14:03:00,1763368380,126.44,126.44,126.44,126.44,16312
2025-11-17,14:04:00,1763368440,126.5,126.5,126.5,126.5,16379
2025-11-17,14:05:00,1763368500,126.8,126.8,126.8,126.8,17331
2025-11-17,14:13:00,1763368980,126.48,126.48,126.48,126.48,17381
2025-11-17,14:24:00,1763369640,126.49,126.49,126.49,126.49,17437
2025-11-17,14:26:00,1763369760,126.47,126.47,126.47,126.47,17450
2025-11-17,14:32:00,1763370120,126.4,126.49,126.4,126.49,20063
2025-11-17,14:33:00,1763370180,126.44,126.44,126.44,126.44,20191
