Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:17:00,1763351220,425.1,425.1,425.1,425.1,110
2025-11-17,09:23:00,1763351580,426.4,426.4,426.4,426.4,160
2025-11-17,09:30:00,1763352000,427.95,427.95,427.95,427.95,161
2025-11-17,09:37:00,1763352420,425.05,425.05,425.05,425.05,211
2025-11-17,09:54:00,1763353440,425.05,425.05,425.05,425.05,260
2025-11-17,09:57:00,1763353620,425,425,425,425,263
2025-11-17,09:58:00,1763353680,425.05,425.05,425.05,425.05,364
2025-11-17,10:08:00,1763354280,425.1,425.1,425.1,425.1,389
2025-11-17,10:32:00,1763355720,425.1,425.1,425.1,425.1,390
2025-11-17,10:45:00,1763356500,427.5,427.5,427.5,427.5,393
2025-11-17,10:53:00,1763356980,425.45,425.45,425.45,425.45,394
2025-11-17,11:35:00,1763359500,425.4,425.4,425.4,425.4,410
2025-11-17,11:53:00,1763360580,427.5,427.5,427.5,427.5,451
2025-11-17,12:09:00,1763361540,426,427.4,426,427.4,507
2025-11-17,12:17:00,1763362020,427.95,427.95,427.95,427.95,544
2025-11-17,12:18:00,1763362080,430,430,430,430,744
2025-11-17,12:43:00,1763363580,427.1,427.1,427.1,427.1,763
2025-11-17,13:06:00,1763364960,426.75,426.75,426.75,426.75,764
2025-11-17,13:16:00,1763365560,425.1,425.1,425.1,425.1,834
2025-11-17,13:28:00,1763366280,426.65,426.65,426.65,426.65,849
2025-11-17,13:37:00,1763366820,425.55,425.55,425.55,425.55,857
2025-11-17,13:48:00,1763367480,425.55,425.55,425.55,425.55,889
2025-11-17,13:53:00,1763367780,425.15,425.15,425.15,425.15,909
2025-11-17,14:00:00,1763368200,426.7,426.7,426.7,426.7,922
2025-11-17,14:50:00,1763371200,425.65,425.65,425.65,425.65,934
2025-11-17,14:51:00,1763371260,426,426,426,426,937
2025-11-17,14:55:00,1763371500,426.7,426.7,426.7,426.7,952
2025-11-17,15:05:00,1763372100,425.1,425.1,425.1,425.1,992
2025-11-17,15:09:00,1763372340,425.15,425.15,425.15,425.15,994
2025-11-17,15:11:00,1763372460,426.7,426.7,426.7,426.7,1011
2025-11-17,15:13:00,1763372580,425.05,425.05,425.05,425.05,1040
2025-11-17,15:16:00,1763372760,426.7,426.7,426.7,426.7,1073
2025-11-17,15:22:00,1763373120,425.05,425.05,425.05,425.05,1080
2025-11-17,15:25:00,1763373300,425.05,425.05,425.05,425.05,1115
2025-11-17,15:27:00,1763373420,425.05,425.05,425.05,425.05,1120
2025-11-17,15:28:00,1763373480,425.05,425.05,425.05,425.05,1130
2025-11-18,09:18:00,1763437680,427.8,427.8,425.6,425.6,75
2025-11-18,09:26:00,1763438160,422.05,422.05,422.05,422.05,105
2025-11-18,09:33:00,1763438580,424.1,424.1,424.1,424.1,144
2025-11-18,09:40:00,1763439000,424.1,424.1,424.1,424.1,157
2025-11-18,09:58:00,1763440080,422.05,422.05,422.05,422.05,159
2025-11-18,09:59:00,1763440140,422,422,422,422,204
2025-11-18,10:00:00,1763440200,424.1,424.1,424.1,424.1,304
2025-11-18,10:02:00,1763440320,424.1,424.1,424.1,424.1,359
2025-11-18,10:06:00,1763440560,424.1,424.1,424.1,424.1,409
2025-11-18,10:17:00,1763441220,424.9,424.9,424.9,424.9,412
2025-11-18,10:18:00,1763441280,423.05,424.9,423.05,424.9,434
2025-11-18,10:33:00,1763442180,422.65,422.65,422.65,422.65,442
2025-11-18,10:37:00,1763442420,422,422,422,422,542
2025-11-18,10:54:00,1763443440,423.95,423.95,423.95,423.95,611
2025-11-18,11:14:00,1763444640,425,425,425,425,616
2025-11-18,11:31:00,1763445660,419,419,419,419,1291
2025-11-18,11:32:00,1763445720,419,419,419,419,1331
2025-11-18,11:36:00,1763445960,419,419,419,419,1416
2025-11-18,11:39:00,1763446140,419,419,419,419,1421
2025-11-18,11:49:00,1763446740,419,419,419,419,1422
2025-11-18,11:55:00,1763447100,419,419,419,419,1425
2025-11-18,12:12:00,1763448120,422.8,422.8,422.8,422.8,1426
2025-11-18,12:38:00,1763449680,420.8,420.8,420.8,420.8,1429
2025-11-18,12:40:00,1763449800,420.35,420.35,420.35,420.35,1432
2025-11-18,12:54:00,1763450640,422.95,422.95,422.95,422.95,1552
2025-11-18,12:57:00,1763450820,419,419,419,419,1652
2025-11-18,13:01:00,1763451060,420.95,420.95,420.95,420.95,1662
2025-11-18,14:44:00,1763457240,422.9,422.95,422.9,422.95,1855
2025-11-18,14:49:00,1763457540,424.35,424.35,424.35,424.35,1857
2025-11-18,14:50:00,1763457600,411.9,416,411.9,415.85,2411
2025-11-18,14:51:00,1763457660,415,415,412.3,412.3,2419
2025-11-18,14:52:00,1763457720,414.95,414.95,414.95,414.95,2494
2025-11-18,14:53:00,1763457780,414.95,414.95,414.95,414.95,2495
2025-11-18,14:54:00,1763457840,414.95,414.95,414.95,414.95,2496
