Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,265.4,265.4,264.35,264.35,944
2025-11-17,09:16:00,1763351160,264.1,267.1,264,267.1,5226
2025-11-17,09:17:00,1763351220,266.95,267.5,266.75,267.5,7039
2025-11-17,09:18:00,1763351280,267.05,267.5,267.05,267.5,9739
2025-11-17,09:19:00,1763351340,267.6,268.95,267.6,268.55,15637
2025-11-17,09:20:00,1763351400,269,269.3,269,269.05,19419
2025-11-17,09:21:00,1763351460,269.3,269.6,269.25,269.55,22171
2025-11-17,09:22:00,1763351520,269.5,269.65,268.95,269.1,28603
2025-11-17,09:23:00,1763351580,268.7,269.1,268.5,269.1,32907
2025-11-17,09:24:00,1763351640,268.5,268.65,268.25,268.4,35165
2025-11-17,09:25:00,1763351700,268.25,268.4,268.25,268.25,35762
2025-11-17,09:26:00,1763351760,268.05,268.3,268.05,268.05,39008
2025-11-17,09:27:00,1763351820,268.75,268.75,268.3,268.3,40149
2025-11-17,09:28:00,1763351880,268.15,268.25,268.15,268.2,40248
2025-11-17,09:29:00,1763351940,268.1,268.1,267.5,267.6,42157
2025-11-17,09:30:00,1763352000,267.9,267.9,267.5,267.5,43991
2025-11-17,09:31:00,1763352060,267.55,267.65,267.35,267.35,44728
2025-11-17,09:32:00,1763352120,267,267,267,267,45946
2025-11-17,09:33:00,1763352180,266.85,267,266.65,266.65,48009
2025-11-17,09:34:00,1763352240,266.7,266.7,266.5,266.5,48257
2025-11-17,09:35:00,1763352300,266.4,266.4,266,266.25,48870
2025-11-17,09:36:00,1763352360,266.4,266.4,266,266,49863
2025-11-17,09:37:00,1763352420,265.95,265.95,265.7,265.7,50835
2025-11-17,09:38:00,1763352480,265.65,265.7,265.55,265.55,51467
2025-11-17,09:39:00,1763352540,265.95,265.95,265.45,265.6,54189
2025-11-17,09:40:00,1763352600,265.6,265.6,265.6,265.6,54203
2025-11-17,09:41:00,1763352660,265.35,266,265.35,265.55,58566
2025-11-17,09:42:00,1763352720,265.85,267.65,265.85,267.25,68437
2025-11-17,09:43:00,1763352780,267.15,267.15,266.85,267,68952
