Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,452.7,453.9,452.3,453.9,11701
2025-11-17,09:16:00,1763351160,454.4,455.05,454.15,454.35,12716
2025-11-17,09:17:00,1763351220,454.75,455.1,454.75,455,13150
2025-11-17,09:18:00,1763351280,454.4,454.55,454,454.55,14180
2025-11-17,09:19:00,1763351340,453.75,453.85,453,453,16568
2025-11-17,09:20:00,1763351400,452.8,452.95,452.55,452.9,17038
2025-11-17,09:21:00,1763351460,452.15,453.2,452.15,453.2,17609
2025-11-17,09:22:00,1763351520,453.15,453.15,453.15,453.15,17659
2025-11-17,09:23:00,1763351580,453.45,454,453.45,454,18706
2025-11-17,09:24:00,1763351640,454.25,454.25,453.55,453.55,19348
2025-11-17,09:25:00,1763351700,453.75,454.4,453.75,454.4,19399
2025-11-17,09:26:00,1763351760,454.45,454.55,453.95,453.95,19644
2025-11-17,09:27:00,1763351820,454.3,454.3,453.7,453.7,19888
2025-11-17,09:28:00,1763351880,453.65,453.65,453.65,453.65,19913
2025-11-17,09:29:00,1763351940,453.65,453.65,453.65,453.65,20113
2025-11-17,09:30:00,1763352000,453.55,453.65,452.8,453.6,22228
2025-11-17,09:31:00,1763352060,453.65,453.65,452.55,453,24292
2025-11-17,09:32:00,1763352120,452.8,452.9,451.9,451.9,24929
2025-11-17,09:33:00,1763352180,451,451.45,450.65,451,26495
2025-11-17,09:34:00,1763352240,450.4,451.05,450.3,450.9,27309
2025-11-17,09:35:00,1763352300,450.6,451.3,450.55,450.65,30007
2025-11-17,09:36:00,1763352360,450.2,450.4,450.2,450.4,30018
2025-11-17,09:37:00,1763352420,450.15,450.15,450.15,450.15,30818
2025-11-17,09:38:00,1763352480,450.3,450.7,450.3,450.65,30840
2025-11-17,09:39:00,1763352540,450.3,450.35,450.3,450.35,30863
2025-11-17,09:40:00,1763352600,450.3,450.8,450,450.45,35768
2025-11-17,09:41:00,1763352660,450.75,450.75,450.4,450.4,36028
2025-11-17,09:42:00,1763352720,450.15,450.15,450.15,450.15,36031
2025-11-17,09:43:00,1763352780,450.7,450.7,450.15,450.5,36339
2025-11-17,09:44:00,1763352840,450.15,450.15,450.1,450.1,36444
2025-11-17,09:45:00,1763352900,449.3,449.3,449.15,449.15,37965
2025-11-17,09:46:00,1763352960,450,450,450,450,
2025-11-17,09:47:00,1763353020,449.45,449.45,449.45,449.45,38000
2025-11-17,09:48:00,1763353080,449.8,449.95,449.55,449.85,38154
2025-11-17,09:49:00,1763353140,449.45,449.95,449.45,449.95,38357
2025-11-17,09:50:00,1763353200,449.65,449.65,449.65,449.65,38468
2025-11-17,09:51:00,1763353260,449.85,450,449.85,450,38483
2025-11-17,09:52:00,1763353320,449.85,449.85,449.45,449.45,39449
2025-11-17,09:53:00,1763353380,449.4,449.4,449.4,449.4,40224
2025-11-17,09:54:00,1763353440,449.45,449.45,449.45,449.45,40372
2025-11-17,09:55:00,1763353500,450,450.05,450,450.05,40778
2025-11-17,09:56:00,1763353560,450.25,450.25,450.25,450.25,
2025-11-17,09:57:00,1763353620,450.2,450.2,449.5,449.5,40913
2025-11-17,09:58:00,1763353680,449.4,449.85,449.4,449.85,41340
2025-11-17,09:59:00,1763353740,449.4,449.4,449.4,449.4,41380
2025-11-17,10:00:00,1763353800,449.8,449.8,449.8,449.8,41415
2025-11-17,10:01:00,1763353860,449.75,449.75,449.75,449.75,41615
2025-11-17,10:02:00,1763353920,450.1,450.1,450.05,450.05,42001
2025-11-17,10:03:00,1763353980,450.45,450.65,450.25,450.25,42134
2025-11-17,10:04:00,1763354040,450.3,450.3,450,450,42727
2025-11-17,10:05:00,1763354100,450.5,450.5,450.5,450.5,42977
2025-11-17,10:07:00,1763354220,450.05,450.5,450.05,450.5,43033
2025-11-17,10:08:00,1763354280,450.75,450.75,450.1,450.1,43333
2025-11-17,10:12:00,1763354520,450.1,450.1,450.1,450.1,43335
2025-11-17,10:13:00,1763354580,450.6,450.6,450.6,450.6,43339
2025-11-17,10:14:00,1763354640,450.75,450.75,450.7,450.7,43409
2025-11-17,10:16:00,1763354760,450.55,450.55,450.55,450.55,43414
2025-11-17,10:17:00,1763354820,450.2,450.65,450.15,450.65,43466
2025-11-17,10:19:00,1763354940,450.6,450.6,450.15,450.15,43492
2025-11-17,10:20:00,1763355000,450.15,450.15,450.15,450.15,43496
2025-11-17,10:21:00,1763355060,450.1,450.15,450.1,450.15,43647
2025-11-17,10:22:00,1763355120,450.55,450.65,450.55,450.65,43685
2025-11-17,10:24:00,1763355240,450.65,450.65,450.65,450.65,43700
2025-11-17,10:25:00,1763355300,450.85,451,450.75,451,44716
2025-11-17,10:27:00,1763355420,451.05,451.05,451.05,451.05,44720
2025-11-17,10:28:00,1763355480,450.75,450.75,450.75,450.75,44764
2025-11-17,10:29:00,1763355540,451.05,451.05,451.05,451.05,44822
2025-11-17,10:32:00,1763355720,451.05,451.05,451.05,451.05,44922
2025-11-17,10:33:00,1763355780,450.75,450.75,450.55,450.55,45032
2025-11-17,10:34:00,1763355840,450.5,450.5,450.45,450.5,45192
2025-11-17,10:35:00,1763355900,450.3,450.3,450.3,450.3,45610
2025-11-17,10:36:00,1763355960,450.4,450.4,450.4,450.4,45612
2025-11-17,10:37:00,1763356020,450.5,450.55,450.5,450.55,45665
2025-11-17,10:38:00,1763356080,450.9,450.9,450.9,450.9,45666
2025-11-17,10:40:00,1763356200,451,451,450.95,450.95,45715
2025-11-17,10:41:00,1763356260,451.65,454.1,451.65,453.7,49026
2025-11-17,10:42:00,1763356320,453.95,454.2,453.7,453.7,49842
2025-11-17,10:43:00,1763356380,454.25,454.3,454,454.25,49966
2025-11-17,10:44:00,1763356440,453.9,454.5,453.9,454.5,50416
2025-11-17,10:45:00,1763356500,454.45,454.45,454.45,454.45,50430
2025-11-17,10:46:00,1763356560,454.55,454.65,454.55,454.65,51023
2025-11-17,10:47:00,1763356620,454.05,454.05,454.05,454.05,51163
2025-11-17,10:48:00,1763356680,454,454.45,454,454.45,51238
