Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,8156,8197.5,8144,8186,546
2025-11-17,09:16:00,1763351160,8204,8253,8188,8253,1122
2025-11-17,09:17:00,1763351220,8248.5,8320,8248.5,8320,2174
2025-11-17,09:18:00,1763351280,8319.5,8336,8317,8330.5,3159
2025-11-17,09:19:00,1763351340,8333,8350.5,8328.5,8350.5,4157
2025-11-17,09:20:00,1763351400,8353,8355.5,8343.5,8350,4549
2025-11-17,09:21:00,1763351460,8342.5,8361,8338.5,8354,5370
2025-11-17,09:22:00,1763351520,8349,8349,8328,8328,5639
2025-11-17,09:23:00,1763351580,8323.5,8335,8320,8320,6336
2025-11-17,09:24:00,1763351640,8318,8347.5,8318,8341.5,6702
2025-11-17,09:25:00,1763351700,8336,8336,8314.5,8325.5,6949
2025-11-17,09:26:00,1763351760,8321.5,8325.5,8321,8325.5,7055
2025-11-17,09:27:00,1763351820,8327.5,8327.5,8314.5,8314.5,7208
2025-11-17,09:28:00,1763351880,8315.5,8320,8305.5,8314,7309
2025-11-17,09:29:00,1763351940,8310,8310,8301.5,8307,7497
2025-11-17,09:30:00,1763352000,8309,8309,8304.5,8304.5,7554
2025-11-17,09:31:00,1763352060,8287.5,8295,8282.5,8294.5,7917
2025-11-17,09:32:00,1763352120,8290.5,8299.5,8287,8299.5,8077
2025-11-17,09:33:00,1763352180,8300,8300,8286,8288.5,8254
2025-11-17,09:34:00,1763352240,8286,8354.5,8286,8354.5,9480
2025-11-17,09:35:00,1763352300,8350.5,8387.5,8336,8383,10330
2025-11-17,09:36:00,1763352360,8382.5,8473.5,8382.5,8463.5,14523
2025-11-17,09:37:00,1763352420,8478,8490.5,8454,8454,15465
2025-11-17,09:38:00,1763352480,8452.5,8454,8445.5,8448.5,16174
2025-11-17,09:39:00,1763352540,8447,8455.5,8440.5,8453.5,16643
2025-11-17,09:40:00,1763352600,8446,8457,8445,8451,16850
2025-11-17,09:41:00,1763352660,8450,8450,8440,8440,17174
2025-11-17,09:42:00,1763352720,8440.5,8443,8424,8437.5,18006
2025-11-17,09:43:00,1763352780,8446,8446,8433,8433,18226
2025-11-17,09:44:00,1763352840,8428,8444.5,8427,8434,18392
2025-11-17,09:45:00,1763352900,8427,8434.5,8425,8434.5,18724
2025-11-17,09:46:00,1763352960,8430.5,8447,8430.5,8437,19177
2025-11-17,09:47:00,1763353020,8430,8430,8421,8428,19299
2025-11-17,09:48:00,1763353080,8426,8431,8420,8425.5,19430
2025-11-17,09:49:00,1763353140,8429,8434.5,8426.5,8427.5,19590
2025-11-17,09:50:00,1763353200,8434,8434,8426.5,8430,19838
2025-11-17,09:51:00,1763353260,8434,8434,8418,8418,20070
2025-11-17,09:52:00,1763353320,8417,8433,8412,8429.5,20669
2025-11-17,09:53:00,1763353380,8420.5,8432.5,8409.5,8411.5,21234
2025-11-17,09:54:00,1763353440,8413,8429,8413,8427.5,21571
2025-11-17,09:55:00,1763353500,8425,8428,8415,8421.5,21762
2025-11-17,09:56:00,1763353560,8428.5,8429,8421.5,8429,22015
2025-11-17,09:57:00,1763353620,8420.5,8427,8418.5,8418.5,22061
2025-11-17,09:58:00,1763353680,8420,8426.5,8420,8420,22171
2025-11-17,09:59:00,1763353740,8432,8436.5,8425,8425,22495
2025-11-17,10:00:00,1763353800,8420.5,8425,8420.5,8420.5,22508
2025-11-17,10:01:00,1763353860,8429.5,8429.5,8401.5,8419.5,23203
2025-11-17,10:02:00,1763353920,8417.5,8421.5,8411,8421.5,23330
2025-11-17,10:03:00,1763353980,8427,8430,8422,8422,23455
2025-11-17,10:04:00,1763354040,8428.5,8428.5,8423.5,8423.5,23476
2025-11-17,10:05:00,1763354100,8428,8429.5,8424,8429.5,23500
2025-11-17,10:06:00,1763354160,8430,8430,8423.5,8425,23613
2025-11-17,10:07:00,1763354220,8429,8440,8429,8430,23913
2025-11-17,10:08:00,1763354280,8425,8438,8421,8425,23989
2025-11-17,10:09:00,1763354340,8430,8430,8425,8425,24017
2025-11-17,10:10:00,1763354400,8429.5,8429.5,8407.5,8410.5,24195
2025-11-17,10:11:00,1763354460,8407.5,8410.5,8407.5,8410,24233
2025-11-17,10:12:00,1763354520,8411,8412,8411,8412,24249
2025-11-17,10:13:00,1763354580,8417,8418.5,8412,8418.5,24363
2025-11-17,10:14:00,1763354640,8416,8439,8410,8432,24771
2025-11-17,10:15:00,1763354700,8431,8434.5,8421.5,8421.5,24870
2025-11-17,10:16:00,1763354760,8416.5,8424,8413,8424,25074
2025-11-17,10:17:00,1763354820,8420,8420,8410,8416,25155
2025-11-17,10:18:00,1763354880,8415,8420,8415,8420,25462
2025-11-17,10:19:00,1763354940,8418.5,8424,8418.5,8418.5,25706
2025-11-17,10:20:00,1763355000,8424,8425,8420.5,8425,25795
2025-11-17,10:21:00,1763355060,8420,8439,8420,8439,25967
2025-11-17,10:22:00,1763355120,8440,8447,8432.5,8440.5,26325
2025-11-17,10:23:00,1763355180,8431,8450,8431,8439.5,26802
2025-11-17,10:24:00,1763355240,8441.5,8442,8432.5,8435.5,26889
2025-11-17,10:25:00,1763355300,8431,8431,8431,8431,27038
2025-11-17,10:26:00,1763355360,8434,8435.5,8431,8431,27071
2025-11-17,10:27:00,1763355420,8431.5,8431.5,8410.5,8418,27436
2025-11-17,10:28:00,1763355480,8417,8420,8417,8418,27471
2025-11-17,10:29:00,1763355540,8415.5,8426,8415.5,8425,27532
2025-11-17,10:30:00,1763355600,8418.5,8425.5,8415.5,8421,27760
2025-11-17,10:31:00,1763355660,8420.5,8424,8418,8420,27802
2025-11-17,10:32:00,1763355720,8421,8421,8421,8421,27814
2025-11-17,10:33:00,1763355780,8421.5,8430.5,8415.5,8430.5,27958
