Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,431,431.65,430,431.65,314
2025-11-17,09:17:00,1763351220,430.6,431,430.6,431,632
2025-11-17,09:18:00,1763351280,431,431,431,431,767
2025-11-17,09:19:00,1763351340,430.35,431,430.35,431,978
2025-11-17,09:20:00,1763351400,431.9,431.9,431.9,431.9,
2025-11-17,09:21:00,1763351460,431.9,431.9,431.9,431.9,980
2025-11-17,09:23:00,1763351580,431.2,431.2,430.55,430.55,1087
2025-11-17,09:24:00,1763351640,431.35,431.35,431.35,431.35,1103
2025-11-17,09:25:00,1763351700,430.25,430.25,430.25,430.25,1114
2025-11-17,09:26:00,1763351760,430.2,430.2,430.2,430.2,1676
2025-11-17,09:27:00,1763351820,430.25,430.25,430.25,430.25,1776
2025-11-17,09:28:00,1763351880,430,430,430,430,2116
2025-11-17,09:29:00,1763351940,429.8,429.8,429.3,429.3,2197
2025-11-17,09:30:00,1763352000,429,429.65,429,429.65,2480
2025-11-17,09:31:00,1763352060,429,429.45,429,429.45,2584
2025-11-17,09:32:00,1763352120,429.6,429.6,429.6,429.6,2684
2025-11-17,09:35:00,1763352300,430,430,428.8,428.8,3259
2025-11-17,09:36:00,1763352360,429.55,429.55,429.55,429.55,3264
2025-11-17,09:38:00,1763352480,429.85,429.85,429.85,429.85,3266
2025-11-17,09:39:00,1763352540,429.65,429.85,429.65,429.85,3294
2025-11-17,09:41:00,1763352660,429,429,429,429,3444
2025-11-17,09:43:00,1763352780,429.5,429.5,429.5,429.5,3499
2025-11-17,09:44:00,1763352840,429.55,429.55,429.1,429.1,3551
2025-11-17,09:46:00,1763352960,429.55,429.55,429.55,429.55,3599
2025-11-17,09:47:00,1763353020,429.95,429.95,429.95,429.95,
2025-11-17,09:48:00,1763353080,430,430,430,430,3874
2025-11-17,09:49:00,1763353140,429.55,429.95,429.55,429.95,4232
2025-11-17,09:50:00,1763353200,429.95,429.95,429.95,429.95,4262
2025-11-17,09:51:00,1763353260,429.6,429.6,429.6,429.6,4265
2025-11-17,09:52:00,1763353320,430.15,430.15,430.15,430.15,4275
2025-11-17,09:53:00,1763353380,429.8,430.25,429.3,430.25,4585
2025-11-17,09:54:00,1763353440,430.2,430.2,430.2,430.2,5091
2025-11-17,09:57:00,1763353620,430.2,430.2,430.2,430.2,5341
2025-11-17,09:58:00,1763353680,430.1,430.1,430.1,430.1,5342
2025-11-17,09:59:00,1763353740,430.15,430.15,430.15,430.15,5352
2025-11-17,10:00:00,1763353800,430.15,430.15,430.15,430.15,5353
2025-11-17,10:01:00,1763353860,429.45,429.45,429.45,429.45,5354
2025-11-17,10:02:00,1763353920,429.45,429.45,429.45,429.45,5408
2025-11-17,10:04:00,1763354040,429.9,429.9,429.75,429.75,5418
2025-11-17,10:05:00,1763354100,429.2,429.2,429.2,429.2,5420
2025-11-17,10:06:00,1763354160,429,429,429,429,5455
2025-11-17,10:07:00,1763354220,429.95,429.95,429.75,429.75,5510
2025-11-17,10:08:00,1763354280,429.15,429.95,429.15,429.95,5522
2025-11-17,10:09:00,1763354340,429.9,429.9,429.9,429.9,5525
2025-11-17,10:10:00,1763354400,429.05,429.85,429.05,429.85,5650
2025-11-17,10:11:00,1763354460,429,429.05,429,429.05,5676
2025-11-17,10:13:00,1763354580,429.05,429.05,429.05,429.05,5677
2025-11-17,10:15:00,1763354700,429.3,429.3,429.3,429.3,5678
2025-11-17,10:16:00,1763354760,429.6,429.6,429.6,429.6,5703
2025-11-17,10:17:00,1763354820,429.05,429.05,429.05,429.05,5733
2025-11-17,10:18:00,1763354880,429.65,429.65,429.65,429.65,5737
2025-11-17,10:19:00,1763354940,429.75,429.75,429.75,429.75,5742
2025-11-17,10:22:00,1763355120,429.05,429.05,429.05,429.05,5744
2025-11-17,10:23:00,1763355180,429.1,429.1,429.1,429.1,5794
2025-11-17,10:24:00,1763355240,429.65,429.65,429.65,429.65,5800
2025-11-17,10:29:00,1763355540,429.75,429.75,429.3,429.3,5808
2025-11-17,10:30:00,1763355600,429.75,429.75,429.25,429.75,5839
2025-11-17,10:31:00,1763355660,429.15,429.15,429.15,429.15,5904
2025-11-17,10:32:00,1763355720,429.2,429.2,429.2,429.2,5947
2025-11-17,10:33:00,1763355780,429.8,430,429.8,430,6051
2025-11-17,10:34:00,1763355840,430,430,430,430,6126
2025-11-17,10:36:00,1763355960,430.25,430.25,430.25,430.25,6131
2025-11-17,10:39:00,1763356140,430,430,430,430,6151
2025-11-17,10:40:00,1763356200,430,430,430,430,6152
2025-11-17,10:42:00,1763356320,429.45,430,429.25,430,6429
2025-11-17,10:44:00,1763356440,429.3,429.95,429.3,429.95,6493
2025-11-17,10:45:00,1763356500,429.35,429.35,429.35,429.35,6515
2025-11-17,10:47:00,1763356620,430.25,431,430.25,431,8778
2025-11-17,10:48:00,1763356680,432,432.3,432,432.3,9244
2025-11-17,10:50:00,1763356800,430.3,431.4,430.3,431.4,9545
2025-11-17,10:53:00,1763356980,430.6,430.6,430.3,430.3,9638
2025-11-17,10:54:00,1763357040,430.25,430.25,430.25,430.25,9663
2025-11-17,10:55:00,1763357100,430,430,430,430,9961
2025-11-17,10:56:00,1763357160,429.5,429.5,429.5,429.5,10161
2025-11-17,10:57:00,1763357220,430.4,430.4,430.4,430.4,10162
2025-11-17,11:00:00,1763357400,430.4,430.4,430.4,430.4,10164
2025-11-17,11:01:00,1763357460,430.4,430.4,430.4,430.4,10169
2025-11-17,11:02:00,1763357520,429.6,429.6,429.6,429.6,10255
2025-11-17,11:03:00,1763357580,429.75,429.75,429.75,429.75,10256
2025-11-17,11:05:00,1763357700,430.3,430.3,430.3,430.3,10257
2025-11-17,11:06:00,1763357760,430.3,430.3,430.3,430.3,10258
2025-11-17,11:08:00,1763357880,429.75,429.75,429.75,429.75,10321
2025-11-17,11:09:00,1763357940,429.5,429.5,429.5,429.5,10371
2025-11-17,11:11:00,1763358060,429.5,429.5,429.5,429.5,10372
2025-11-17,11:13:00,1763358180,429.55,429.55,429.5,429.5,10392
2025-11-17,11:14:00,1763358240,429.5,429.5,429.5,429.5,11190
2025-11-17,11:16:00,1763358360,430.45,430.45,430.45,430.45,11390
2025-11-17,11:17:00,1763358420,429.85,429.85,429.5,429.5,11404
2025-11-17,11:18:00,1763358480,429.15,429.5,429.15,429.5,11483
2025-11-17,11:19:00,1763358540,428.95,428.95,428.95,428.95,11749
2025-11-17,11:21:00,1763358660,428.75,428.75,428,428,12052
2025-11-17,11:22:00,1763358720,428.75,428.75,428.75,428.75,12053
2025-11-17,11:24:00,1763358840,428.75,428.75,428.75,428.75,12054
2025-11-17,11:26:00,1763358960,429.15,429.15,429.15,429.15,12104
