Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,1026,1035,1026,1035,68
2025-11-17,09:17:00,1763351220,1035,1035,1035,1035,188
2025-11-17,09:18:00,1763351280,1035.9,1038,1035.9,1038,273
2025-11-17,09:19:00,1763351340,1038,1038,1038,1038,323
2025-11-17,09:20:00,1763351400,1038.8,1038.8,1038.8,1038.8,332
2025-11-17,09:21:00,1763351460,1038,1038,1038,1038,333
2025-11-17,09:22:00,1763351520,1038.7,1038.7,1038.7,1038.7,334
2025-11-17,09:23:00,1763351580,1038.6,1038.6,1036.8,1036.8,378
2025-11-17,09:24:00,1763351640,1036.9,1038.5,1036.9,1038.5,401
2025-11-17,09:25:00,1763351700,1036.9,1039.9,1036.9,1039.9,415
2025-11-17,09:28:00,1763351880,1040,1040,1039.8,1039.8,551
2025-11-17,09:29:00,1763351940,1037.7,1037.7,1036.1,1036.1,561
2025-11-17,09:30:00,1763352000,1037.7,1037.7,1037.7,1037.7,592
2025-11-17,09:31:00,1763352060,1036.9,1036.9,1036.9,1036.9,596
2025-11-17,09:32:00,1763352120,1037.8,1037.8,1037.8,1037.8,597
2025-11-17,09:33:00,1763352180,1039.2,1039.2,1037.7,1037.7,674
2025-11-17,09:35:00,1763352300,1038,1038,1038,1038,680
2025-11-17,09:36:00,1763352360,1039.3,1039.3,1039.3,1039.3,701
2025-11-17,09:37:00,1763352420,1037.3,1037.3,1037.1,1037.1,892
2025-11-17,09:38:00,1763352480,1039.1,1039.1,1039.1,1039.1,895
2025-11-17,09:39:00,1763352540,1039.1,1039.1,1039.1,1039.1,900
2025-11-17,09:42:00,1763352720,1038.7,1040.8,1038.7,1040.8,1053
2025-11-17,09:44:00,1763352840,1042.4,1044,1042.4,1044,1073
2025-11-17,09:45:00,1763352900,1041.6,1041.6,1041.6,1041.6,1075
2025-11-17,09:46:00,1763352960,1042.3,1044.4,1042,1042,1207
2025-11-17,09:47:00,1763353020,1043.7,1044.7,1043.7,1044.7,1224
2025-11-17,09:48:00,1763353080,1045,1045,1045,1045,1240
2025-11-17,09:49:00,1763353140,1045.6,1047.8,1045.6,1047.8,1309
2025-11-17,09:50:00,1763353200,1045.2,1047.9,1045.2,1047.9,1351
2025-11-17,09:51:00,1763353260,1048.3,1051.8,1047.4,1051.5,1486
