Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,5.98,5.98,5.95,5.95,261
2025-11-17,09:19:00,1763351340,5.98,5.99,5.98,5.99,714
2025-11-17,09:20:00,1763351400,6,6,6,6,1494
2025-11-17,09:21:00,1763351460,6.09,6.09,6.09,6.09,1544
2025-11-17,09:25:00,1763351700,6.09,6.09,6.09,6.09,1805
2025-11-17,09:26:00,1763351760,6.1,6.14,6.1,6.14,5414
2025-11-17,09:27:00,1763351820,6.09,6.09,6.09,6.09,5430
2025-11-17,09:28:00,1763351880,6.14,6.14,6.14,6.14,5435
2025-11-17,09:30:00,1763352000,6.13,6.13,6.13,6.13,5436
2025-11-17,09:31:00,1763352060,6.1,6.1,6.09,6.09,7282
2025-11-17,09:32:00,1763352120,6.13,6.13,6.13,6.13,7285
2025-11-17,09:33:00,1763352180,6.13,6.13,6.13,6.13,7288
2025-11-17,09:35:00,1763352300,6.12,6.12,6.12,6.12,7291
2025-11-17,09:37:00,1763352420,6.1,6.1,6.1,6.1,7611
2025-11-17,09:40:00,1763352600,6.1,6.1,6.1,6.1,8111
2025-11-17,09:42:00,1763352720,6.09,6.09,6.09,6.09,8288
2025-11-17,09:43:00,1763352780,6.1,6.1,6.1,6.1,8388
2025-11-17,09:44:00,1763352840,6.11,6.11,6.11,6.11,8418
2025-11-17,09:47:00,1763353020,6.11,6.11,6.11,6.11,8441
2025-11-17,09:51:00,1763353260,6.13,6.13,6.13,6.13,8457
2025-11-17,09:53:00,1763353380,6.12,6.12,6.12,6.12,8462
2025-11-17,09:55:00,1763353500,6.11,6.11,6.11,6.11,8563
2025-11-17,09:57:00,1763353620,6.13,6.13,6.13,6.13,8575
2025-11-17,10:09:00,1763354340,6.12,6.13,6.12,6.13,10122
2025-11-17,10:10:00,1763354400,6.16,6.16,6.16,6.16,10126
2025-11-17,10:11:00,1763354460,6.13,6.13,6.13,6.13,10726
2025-11-17,10:30:00,1763355600,6.13,6.13,6.13,6.13,10727
2025-11-17,10:32:00,1763355720,6.12,6.12,6.12,6.12,10737
2025-11-17,10:39:00,1763356140,6.21,6.22,6.21,6.22,18800
2025-11-17,10:40:00,1763356200,6.29,6.29,6.23,6.23,19715
2025-11-17,10:41:00,1763356260,6.22,6.22,6.19,6.19,19751
2025-11-17,10:42:00,1763356320,6.19,6.19,6.19,6.19,22751
2025-11-17,10:43:00,1763356380,6.16,6.19,6.16,6.18,24887
2025-11-17,10:47:00,1763356620,6.18,6.18,6.18,6.18,24983
2025-11-17,10:49:00,1763356740,6.18,6.18,6.18,6.18,24988
2025-11-17,10:54:00,1763357040,6.18,6.18,6.18,6.18,24999
2025-11-17,10:55:00,1763357100,6.18,6.18,6.18,6.18,25074
2025-11-17,11:01:00,1763357460,6.17,6.17,6.17,6.17,25101
2025-11-17,11:07:00,1763357820,6.13,6.18,6.13,6.18,29072
2025-11-17,11:09:00,1763357940,6.17,6.17,6.17,6.17,30683
2025-11-17,11:11:00,1763358060,6.17,6.17,6.17,6.17,34683
2025-11-17,11:12:00,1763358120,6.17,6.17,6.17,6.17,35183
2025-11-17,11:13:00,1763358180,6.17,6.17,6.17,6.17,35200
2025-11-17,11:14:00,1763358240,6.17,6.17,6.17,6.17,35272
2025-11-17,11:20:00,1763358600,6.2,6.2,6.19,6.19,35302
2025-11-17,11:27:00,1763359020,6.17,6.17,6.17,6.17,36302
2025-11-17,11:30:00,1763359200,6.16,6.16,6.16,6.16,38302
2025-11-17,11:31:00,1763359260,6.19,6.19,6.19,6.19,38352
2025-11-17,11:36:00,1763359560,6.19,6.19,6.19,6.19,39352
2025-11-17,11:37:00,1763359620,6.2,6.2,6.16,6.16,44467
2025-11-17,11:38:00,1763359680,6.29,6.29,6.27,6.27,45175
2025-11-17,11:39:00,1763359740,6.27,6.27,6.27,6.27,45809
2025-11-17,11:41:00,1763359860,6.27,6.27,6.27,6.27,45810
2025-11-17,11:42:00,1763359920,6.28,6.28,6.28,6.28,48540
2025-11-17,11:43:00,1763359980,6.21,6.21,6.21,6.21,48590
2025-11-17,11:48:00,1763360280,6.34,6.34,6.27,6.27,48613
2025-11-17,11:49:00,1763360340,6.27,6.27,6.27,6.27,48942
2025-11-17,11:51:00,1763360460,6.28,6.28,6.28,6.28,49078
2025-11-17,11:52:00,1763360520,6.29,6.29,6.29,6.29,49091
2025-11-17,11:54:00,1763360640,6.29,6.29,6.29,6.29,49092
2025-11-17,11:55:00,1763360700,6.28,6.28,6.28,6.28,52095
2025-11-17,11:56:00,1763360760,6.29,6.29,6.29,6.29,52176
2025-11-17,11:58:00,1763360880,6.28,6.28,6.28,6.28,52616
2025-11-17,11:59:00,1763360940,6.28,6.28,6.28,6.28,54408
2025-11-17,12:02:00,1763361120,6.28,6.28,6.28,6.28,55394
2025-11-17,12:13:00,1763361780,6.34,6.34,6.28,6.28,55702
2025-11-17,12:14:00,1763361840,6.29,6.29,6.28,6.28,55984
2025-11-17,12:15:00,1763361900,6.28,6.28,6.28,6.28,56984
2025-11-17,12:16:00,1763361960,6.28,6.28,6.28,6.28,57009
2025-11-17,12:17:00,1763362020,6.4,6.4,6.4,6.4,61009
2025-11-17,12:27:00,1763362620,6.38,6.38,6.38,6.38,61010
2025-11-17,12:32:00,1763362920,6.29,6.29,6.29,6.29,61041
2025-11-17,12:36:00,1763363160,6.29,6.29,6.29,6.29,61042
2025-11-17,12:37:00,1763363220,6.26,6.26,6.26,6.26,61142
2025-11-17,12:39:00,1763363340,6.29,6.29,6.29,6.29,61152
2025-11-17,12:40:00,1763363400,6.3,6.3,6.3,6.3,61158
2025-11-17,12:44:00,1763363640,6.4,6.4,6.4,6.4,71158
2025-11-17,12:45:00,1763363700,6.29,6.29,6.29,6.29,74158
2025-11-17,12:46:00,1763363760,6.3,6.31,6.3,6.31,75259
2025-11-17,12:49:00,1763363940,6.37,6.37,6.37,6.37,75459
2025-11-17,12:51:00,1763364060,6.36,6.36,6.36,6.36,75574
2025-11-17,12:52:00,1763364120,6.35,6.35,6.35,6.35,77575
2025-11-17,12:53:00,1763364180,6.28,6.33,6.28,6.33,77841
2025-11-17,12:54:00,1763364240,6.25,6.25,6.25,6.25,78541
2025-11-17,12:56:00,1763364360,6.33,6.33,6.33,6.33,78737
2025-11-17,12:59:00,1763364540,6.32,6.32,6.31,6.31,78838
2025-11-17,13:06:00,1763364960,6.3,6.3,6.3,6.3,78897
2025-11-17,13:16:00,1763365560,6.26,6.27,6.26,6.27,78912
2025-11-17,13:18:00,1763365680,6.27,6.27,6.27,6.27,78914
2025-11-17,13:19:00,1763365740,6.27,6.27,6.27,6.27,79232
