Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:23:00,1763351580,23.43,23.43,22.97,22.97,114
2025-11-17,09:24:00,1763351640,22.97,22.97,22.97,22.97,172
2025-11-17,09:29:00,1763351940,22.51,22.51,22.51,22.51,247
2025-11-17,09:30:00,1763352000,22.51,22.51,22.51,22.51,377
2025-11-17,09:31:00,1763352060,22.51,22.51,22.51,22.51,459
2025-11-17,09:34:00,1763352240,22.46,22.46,22.36,22.36,2763
2025-11-17,09:43:00,1763352780,22.33,22.33,22.33,22.33,4763
2025-11-17,09:47:00,1763353020,22.35,22.35,22.35,22.35,4764
2025-11-17,09:48:00,1763353080,23.4,23.4,23.4,23.4,5764
2025-11-17,09:53:00,1763353380,23.39,23.39,23.39,23.39,5918
2025-11-17,09:59:00,1763353740,23.39,23.39,23.39,23.39,5951
2025-11-17,10:00:00,1763353800,22.45,22.45,22.41,22.41,6386
2025-11-17,10:02:00,1763353920,23.39,23.39,23.39,23.39,6437
2025-11-17,10:03:00,1763353980,23.39,23.39,23.39,23.39,6451
2025-11-17,10:05:00,1763354100,23.05,23.05,22.47,22.47,6576
2025-11-17,10:10:00,1763354400,23.39,23.39,23.39,23.39,7576
2025-11-17,10:12:00,1763354520,22.48,22.48,22.48,22.48,7863
2025-11-17,10:13:00,1763354580,22.48,22.48,22.48,22.48,7866
2025-11-17,10:20:00,1763355000,22.5,22.5,22.5,22.5,8166
2025-11-17,10:28:00,1763355480,23.39,23.39,22.5,22.5,8173
2025-11-17,10:36:00,1763355960,22.5,22.5,22.5,22.5,8368
2025-11-17,10:37:00,1763356020,22.5,22.5,22.5,22.5,8418
2025-11-17,10:43:00,1763356380,22.51,22.51,22.51,22.51,8518
2025-11-17,10:44:00,1763356440,22.51,22.51,22.51,22.51,8671
2025-11-17,10:45:00,1763356500,22.51,22.51,22.51,22.51,8690
2025-11-17,10:46:00,1763356560,22.5,22.5,22.5,22.5,8842
2025-11-17,10:47:00,1763356620,22.5,22.5,22.5,22.5,8940
2025-11-17,11:04:00,1763357640,22.51,22.51,22.51,22.51,8967
2025-11-17,11:25:00,1763358900,22.48,22.48,22.48,22.48,9844
2025-11-17,11:36:00,1763359560,22.51,22.51,22.51,22.51,9894
2025-11-17,11:38:00,1763359680,22.51,22.51,22.51,22.51,9944
2025-11-17,11:39:00,1763359740,22.51,22.51,22.51,22.51,9949
