Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,10.22,10.25,10.22,10.25,125
2025-11-17,09:16:00,1763351160,10.34,10.34,10.34,10.34,625
2025-11-17,09:24:00,1763351640,10.2,10.2,10.2,10.2,2775
2025-11-17,09:28:00,1763351880,10.34,10.34,10.34,10.34,3175
2025-11-17,09:29:00,1763351940,10.49,10.49,10.49,10.49,3275
2025-11-17,09:35:00,1763352300,10.44,10.44,10.44,10.44,3325
2025-11-17,09:37:00,1763352420,10.22,10.22,10.22,10.22,4025
2025-11-17,09:40:00,1763352600,10.22,10.22,10.22,10.22,4084
2025-11-17,09:43:00,1763352780,10.42,10.42,10.42,10.42,4085
2025-11-17,09:48:00,1763353080,10.22,10.22,10.22,10.22,4326
2025-11-17,09:49:00,1763353140,10.21,10.21,10.21,10.21,4485
2025-11-17,09:50:00,1763353200,10.76,10.76,10.76,10.76,12051
2025-11-17,09:51:00,1763353260,10.76,10.76,10.76,10.76,13051
2025-11-17,09:52:00,1763353320,10.75,10.75,10.75,10.75,13251
2025-11-17,09:54:00,1763353440,10.26,10.26,10.26,10.26,13252
2025-11-17,09:59:00,1763353740,10.69,10.69,10.69,10.69,13452
2025-11-17,10:00:00,1763353800,10.67,10.67,10.67,10.67,13462
2025-11-17,10:03:00,1763353980,10.65,10.65,10.65,10.65,13496
2025-11-17,10:04:00,1763354040,10.65,10.65,10.65,10.65,13521
2025-11-17,10:13:00,1763354580,10.5,10.5,10.5,10.5,13541
2025-11-17,10:18:00,1763354880,10.4,10.4,10.4,10.4,14281
2025-11-17,10:23:00,1763355180,10.4,10.4,10.4,10.4,14294
2025-11-17,10:25:00,1763355300,10.4,10.4,10.4,10.4,14308
2025-11-17,10:31:00,1763355660,10.4,10.4,10.4,10.4,14408
2025-11-17,10:34:00,1763355840,10.4,10.4,10.4,10.4,14409
2025-11-17,10:36:00,1763355960,10.38,10.38,10.38,10.38,14410
2025-11-17,10:39:00,1763356140,10.3,10.3,10.3,10.3,14485
2025-11-17,10:47:00,1763356620,10.3,10.3,10.3,10.3,14489
2025-11-17,10:51:00,1763356860,10.3,10.3,10.3,10.3,15489
2025-11-17,11:04:00,1763357640,10.4,10.4,10.4,10.4,15589
2025-11-17,11:05:00,1763357700,10.3,10.3,10.3,10.3,15592
2025-11-17,11:07:00,1763357820,10.4,10.4,10.4,10.4,15602
2025-11-17,11:09:00,1763357940,10.4,10.4,10.4,10.4,15624
2025-11-17,11:14:00,1763358240,10.4,10.4,10.4,10.4,16624
2025-11-17,11:21:00,1763358660,10.4,10.4,10.4,10.4,16824
2025-11-17,11:33:00,1763359380,10.4,10.4,10.4,10.4,17124
2025-11-17,11:52:00,1763360520,10.37,10.37,10.37,10.37,17153
2025-11-17,12:15:00,1763361900,10.32,10.32,10.32,10.32,18153
2025-11-17,12:21:00,1763362260,10.32,10.32,10.32,10.32,18159
2025-11-17,12:49:00,1763363940,10.32,10.32,10.32,10.32,18184
2025-11-17,12:54:00,1763364240,10.32,10.32,10.32,10.32,18194
2025-11-17,12:58:00,1763364480,10.32,10.32,10.32,10.32,20194
2025-11-17,13:11:00,1763365260,10.39,10.39,10.39,10.39,20209
2025-11-17,13:14:00,1763365440,10.32,10.32,10.32,10.32,20394
2025-11-17,13:15:00,1763365500,10.32,10.32,10.32,10.32,20894
2025-11-17,13:22:00,1763365920,10.39,10.39,10.39,10.39,20897
2025-11-17,13:24:00,1763366040,10.49,10.49,10.49,10.49,21797
2025-11-17,13:25:00,1763366100,10.49,10.49,10.49,10.49,21807
2025-11-17,13:30:00,1763366400,10.49,10.49,10.49,10.49,22119
2025-11-17,13:31:00,1763366460,10.64,10.64,10.64,10.64,22120
2025-11-17,13:32:00,1763366520,10.63,10.63,10.63,10.63,
2025-11-17,13:33:00,1763366580,10.63,10.63,10.63,10.63,22155
2025-11-17,13:38:00,1763366880,10.64,10.64,10.64,10.64,22743
2025-11-17,13:42:00,1763367120,10.32,10.32,10.32,10.32,23053
2025-11-17,13:45:00,1763367300,10.33,10.33,10.33,10.33,24053
2025-11-17,13:54:00,1763367840,10.31,10.31,10.31,10.31,26053
2025-11-17,13:59:00,1763368140,10.32,10.32,10.32,10.32,26153
2025-11-17,14:04:00,1763368440,10.35,10.35,10.35,10.35,26203
2025-11-17,14:23:00,1763369580,10.32,10.32,10.32,10.32,26210
2025-11-17,14:46:00,1763370960,10.32,10.32,10.32,10.32,26462
2025-11-17,14:58:00,1763371680,10.32,10.32,10.32,10.32,26785
2025-11-17,15:04:00,1763372040,10.33,10.33,10.33,10.33,26825
2025-11-17,15:08:00,1763372280,10.33,10.33,10.33,10.33,26830
2025-11-17,15:11:00,1763372460,10.32,10.32,10.32,10.32,26928
2025-11-17,15:13:00,1763372580,10.33,10.33,10.33,10.33,26935
2025-11-17,15:14:00,1763372640,10.33,10.33,10.33,10.33,26945
2025-11-17,15:17:00,1763372820,10.31,10.33,10.31,10.33,27096
2025-11-17,15:23:00,1763373180,10.33,10.33,10.33,10.33,27128
2025-11-18,09:16:00,1763437560,10.33,10.33,10.33,10.33,112
2025-11-18,09:17:00,1763437620,10.22,10.22,10.22,10.22,212
2025-11-18,09:20:00,1763437800,10.22,10.22,10.22,10.22,237
2025-11-18,09:33:00,1763438580,10.22,10.22,10.22,10.22,250
2025-11-18,09:37:00,1763438820,10.22,10.22,10.22,10.22,408
2025-11-18,09:43:00,1763439180,10.21,10.21,10.21,10.21,409
2025-11-18,09:44:00,1763439240,10.21,10.21,10.21,10.21,427
2025-11-18,09:45:00,1763439300,10.2,10.2,10.2,10.2,430
2025-11-18,09:49:00,1763439540,10.5,10.5,10.5,10.5,1030
2025-11-18,09:53:00,1763439780,9.95,9.95,9.95,9.95,3252
2025-11-18,09:54:00,1763439840,10,10,10,10,3258
2025-11-18,10:09:00,1763440740,10.47,10.47,10.47,10.47,3259
2025-11-18,10:22:00,1763441520,10.05,10.05,10.05,10.05,3353
2025-11-18,10:29:00,1763441940,10.06,10.06,10.06,10.06,3453
2025-11-18,10:32:00,1763442120,10.44,10.44,10.44,10.44,3549
2025-11-18,10:40:00,1763442600,10.06,10.06,10.06,10.06,3559
2025-11-18,10:48:00,1763443080,10.08,10.08,10.08,10.08,4209
2025-11-18,10:51:00,1763443260,10.39,10.39,9.84,9.84,21210
2025-11-18,11:01:00,1763443860,10.35,10.35,10.35,10.35,21211
2025-11-18,11:02:00,1763443920,10.39,10.39,10.39,10.39,21411
2025-11-18,11:11:00,1763444460,9.96,9.96,9.96,9.96,21511
2025-11-18,11:38:00,1763446080,10.35,10.35,10.35,10.35,21512
2025-11-18,11:50:00,1763446800,10.34,10.34,10.34,10.34,21531
2025-11-18,11:59:00,1763447340,10,10,10,10,21632
2025-11-18,12:05:00,1763447700,10,10,10,10,22282
2025-11-18,12:11:00,1763448060,10.34,10.34,10.34,10.34,22292
2025-11-18,12:15:00,1763448300,10,10,10,10,22502
2025-11-18,12:27:00,1763449020,10.05,10.05,10.05,10.05,23502
2025-11-18,12:35:00,1763449500,10.05,10.05,10.05,10.05,23503
2025-11-18,12:42:00,1763449920,10.05,10.05,10.05,10.05,23512
2025-11-18,12:54:00,1763450640,10.05,10.05,10.05,10.05,23753
2025-11-18,12:55:00,1763450700,10,10,10,10,24624
2025-11-18,12:56:00,1763450760,9.96,9.96,9.96,9.96,24626
2025-11-18,13:04:00,1763451240,9.97,9.97,9.97,9.97,24765
2025-11-18,13:10:00,1763451600,10.25,10.25,10.25,10.25,24865
2025-11-18,13:11:00,1763451660,10.25,10.25,10.25,10.25,25265
2025-11-18,13:15:00,1763451900,10.25,10.25,10.25,10.25,25365
2025-11-18,13:19:00,1763452140,10,10,10,10,25465
2025-11-18,13:25:00,1763452500,10.21,10.21,10.21,10.21,25475
2025-11-18,14:01:00,1763454660,10,10,10,10,25855
2025-11-18,14:10:00,1763455200,10.25,10.25,10.25,10.25,26855
2025-11-18,14:12:00,1763455320,10.25,10.25,10.25,10.25,26955
2025-11-18,14:15:00,1763455500,10.25,10.25,10.25,10.25,26965
2025-11-18,14:16:00,1763455560,10.25,10.25,10.25,10.25,26968
2025-11-18,14:17:00,1763455620,10.05,10.05,10.05,10.05,27053
2025-11-18,14:39:00,1763456940,10.25,10.25,10.25,10.25,28403
2025-11-18,14:52:00,1763457720,10.2,10.2,10.2,10.2,28404
2025-11-18,14:56:00,1763457960,10.2,10.2,10.2,10.2,28405
2025-11-18,15:00:00,1763458200,10.05,10.2,10.05,10.2,28904
2025-11-18,15:01:00,1763458260,10.2,10.2,10.2,10.2,29104
2025-11-18,15:03:00,1763458380,10.2,10.2,10.2,10.2,29214
2025-11-18,15:10:00,1763458800,10.2,10.2,10.2,10.2,29535
