Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:21:00,1763351460,18.02,19,18.02,19,21
2025-11-17,10:06:00,1763354160,18.94,18.94,18.94,18.94,22
2025-11-17,11:44:00,1763360040,18.75,18.75,18.75,18.75,1021
2025-11-17,11:50:00,1763360400,18.94,18.94,18.94,18.94,1022
2025-11-17,13:10:00,1763365200,18.9,18.9,18.9,18.9,1042
2025-11-17,15:26:00,1763373360,18.9,18.9,18.9,18.9,1043
2025-11-18,10:09:00,1763440740,18.31,18.31,18.31,18.31,
2025-11-18,10:10:00,1763440800,18.31,18.31,18.31,18.31,75
2025-11-18,10:11:00,1763440860,18.31,18.31,18.31,18.31,575
2025-11-18,10:12:00,1763440920,18.31,18.31,18.31,18.31,2000
2025-11-18,10:18:00,1763441280,18.5,18.5,18.5,18.5,2100
2025-11-18,10:30:00,1763442000,18.99,18.99,18.99,18.99,2140
2025-11-18,10:58:00,1763443680,18.75,18.75,18.75,18.75,2141
2025-11-18,11:21:00,1763445060,18.31,18.31,18.31,18.31,2391
2025-11-18,11:30:00,1763445600,18.31,18.31,18.31,18.31,2654
2025-11-18,12:23:00,1763448780,18.4,18.4,18.4,18.4,2674
2025-11-18,12:27:00,1763449020,18.31,18.31,18.31,18.31,2816
2025-11-18,12:41:00,1763449860,18.32,18.32,18.32,18.32,
2025-11-18,12:42:00,1763449920,18.32,18.32,18.32,18.32,2817
2025-11-18,12:52:00,1763450520,18.37,18.37,18.37,18.37,2818
2025-11-18,13:14:00,1763451840,18.25,18.25,18.25,18.25,3928
2025-11-18,13:48:00,1763453880,18.7,18.7,18.7,18.7,3938
2025-11-18,13:57:00,1763454420,18.5,18.5,18.5,18.5,6938
2025-11-18,14:24:00,1763456040,18.5,18.5,18.5,18.5,8938
2025-11-18,14:44:00,1763457240,18.3,18.3,18.3,18.3,9048
2025-11-18,14:45:00,1763457300,18.26,18.26,18.26,18.26,10438
2025-11-18,14:58:00,1763458080,18.26,18.26,18.26,18.26,10538
2025-11-18,15:24:00,1763459640,17.95,17.95,17.95,17.95,15871
2025-11-18,15:25:00,1763459700,17.95,17.95,17.95,17.95,20538
2025-11-18,15:28:00,1763459880,18.59,18.59,18.59,18.59,20544
2025-11-18,15:29:00,1763459940,18.59,18.59,18.59,18.59,20571
2025-11-19,09:15:00,1763523900,18.25,18.29,18.25,18.29,3200
2025-11-19,09:16:00,1763523960,18.29,18.29,18.29,18.29,3310
2025-11-19,09:25:00,1763524500,18,18,18,18,4310
2025-11-19,09:26:00,1763524560,18.29,18.29,18.29,18.29,4559
2025-11-19,09:30:00,1763524800,17.71,17.71,17.71,17.71,4584
2025-11-19,09:31:00,1763524860,17.71,17.71,17.71,17.71,4784
2025-11-19,09:32:00,1763524920,17.71,17.71,17.71,17.71,4954
2025-11-19,09:39:00,1763525340,17.71,17.71,17.71,17.71,5004
2025-11-19,10:52:00,1763529720,17.81,17.81,17.81,17.81,5020
2025-11-19,10:58:00,1763530080,17.9,17.9,17.9,17.9,5021
2025-11-19,11:31:00,1763532060,18.25,18.25,18.25,18.25,5671
2025-11-19,13:18:00,1763538480,18.14,18.14,18.14,18.14,5771
2025-11-19,13:26:00,1763538960,18.13,18.13,18.13,18.13,6061
2025-11-19,13:30:00,1763539200,18.15,18.15,18.15,18.15,10061
2025-11-19,13:45:00,1763540100,18.15,18.15,18.15,18.15,10261
2025-11-19,13:50:00,1763540400,18.12,18.12,18.12,18.12,13105
2025-11-19,13:53:00,1763540580,18.12,18.12,18.12,18.12,14761
2025-11-19,14:15:00,1763541900,18.2,18.2,18.2,18.2,14771
2025-11-19,14:47:00,1763543820,18.2,18.2,18.2,18.2,14836
2025-11-19,14:48:00,1763543880,18.2,18.2,18.2,18.2,14841
2025-11-19,15:21:00,1763545860,17.8,17.8,17.77,17.77,14991
2025-11-20,09:22:00,1763610720,18.49,18.49,18.49,18.49,5
2025-11-20,09:49:00,1763612340,18.01,18.01,18.01,18.01,505
2025-11-20,10:26:00,1763614560,18.29,18.29,18.29,18.29,510
2025-11-20,10:50:00,1763616000,18.02,18.02,18.02,18.02,560
2025-11-20,10:58:00,1763616480,18,18,18,18,1310
2025-11-20,11:40:00,1763619000,18.09,18.09,18.09,18.09,1311
2025-11-20,11:49:00,1763619540,17.52,17.52,17.52,17.52,1340
2025-11-20,14:02:00,1763627520,18.09,18.09,18.09,18.09,1341
2025-11-20,14:04:00,1763627640,18.09,18.09,18.09,18.09,1441
2025-11-20,14:45:00,1763630100,18.09,18.09,18.09,18.09,1479
2025-11-20,14:46:00,1763630160,18.1,18.1,18.1,18.1,1941
2025-11-20,15:12:00,1763631720,17.71,17.71,17.71,17.71,1942
2025-11-20,15:16:00,1763631960,17.7,17.7,17.7,17.7,2103
2025-11-20,15:22:00,1763632320,18.09,18.09,17.53,17.53,2453
2025-11-20,15:27:00,1763632620,17.53,17.53,17.53,17.53,6864
2025-11-21,09:26:00,1763697360,17.53,17.53,17.53,17.53,26
2025-11-21,09:29:00,1763697540,17.45,17.45,17.2,17.2,80
2025-11-21,09:37:00,1763698020,17.8,17.8,17.8,17.8,1992
2025-11-21,09:43:00,1763698380,17.8,17.8,17.8,17.8,2492
2025-11-21,09:51:00,1763698860,17.8,17.8,17.8,17.8,2692
2025-11-21,10:07:00,1763699820,17.8,17.8,17.8,17.8,2695
2025-11-21,10:37:00,1763701620,17.8,17.8,17.8,17.8,2795
2025-11-21,10:46:00,1763702160,17.8,17.8,17.8,17.8,2820
2025-11-21,10:47:00,1763702220,17.8,17.8,17.8,17.8,2870
2025-11-21,10:48:00,1763702280,17.8,17.8,17.8,17.8,2895
2025-11-21,10:50:00,1763702400,17.8,17.8,17.8,17.8,2992
2025-11-21,10:56:00,1763702760,17.6,17.6,17.6,17.6,3017
2025-11-21,11:56:00,1763706360,17.95,17.95,17.95,17.95,3018
2025-11-21,11:58:00,1763706480,17.6,17.6,17.6,17.6,3063
2025-11-21,11:59:00,1763706540,17.5,17.5,17.5,17.5,3518
2025-11-21,12:00:00,1763706600,17.5,17.5,17.5,17.5,3618
2025-11-21,12:16:00,1763707560,17.5,17.5,17.5,17.5,4118
2025-11-21,12:17:00,1763707620,17.5,17.5,17.5,17.5,4618
2025-11-21,12:38:00,1763708880,17.4,17.4,17.1,17.1,5187
2025-11-21,12:39:00,1763708940,17,17,17,17,8271
2025-11-21,12:40:00,1763709000,17,17,17,17,10265
2025-11-21,12:46:00,1763709360,17.1,17.1,17.1,17.1,10365
2025-11-21,12:48:00,1763709480,17.1,17.1,17.1,17.1,10370
2025-11-21,12:54:00,1763709840,17.1,17.1,17.1,17.1,10870
2025-11-21,12:55:00,1763709900,17.1,17.1,17.1,17.1,11370
2025-11-21,12:59:00,1763710140,17.1,17.1,17.1,17.1,11375
2025-11-21,13:04:00,1763710440,17.1,17.1,17.1,17.1,13018
2025-11-21,14:13:00,1763714580,17.84,17.84,17.84,17.84,13218
2025-11-21,14:49:00,1763716740,17.78,17.78,17.78,17.78,13468
2025-11-21,14:53:00,1763716980,17.7,17.7,17.7,17.7,13469
2025-11-21,14:54:00,1763717040,17,17,17,17,25183
2025-11-21,14:55:00,1763717100,16.7,16.7,16.7,16.7,28669
2025-11-21,14:56:00,1763717160,16.7,16.7,16.7,16.7,36929
2025-11-21,14:57:00,1763717220,16.7,16.7,16.7,16.7,38579
2025-11-21,14:58:00,1763717280,16.7,16.7,16.7,16.7,39079
2025-11-21,14:59:00,1763717340,16.7,16.7,16.7,16.7,39624
2025-11-21,15:01:00,1763717460,16.7,16.7,16.7,16.7,40624
2025-11-21,15:02:00,1763717520,16.7,16.7,16.7,16.7,41124
2025-11-21,15:07:00,1763717820,16.65,17.64,16.65,16.65,42469
2025-11-21,15:10:00,1763718000,17.6,17.6,17.6,17.6,42484
2025-11-21,15:26:00,1763718960,16.85,16.85,16.85,16.85,43484
2025-11-21,15:29:00,1763719140,16.65,16.65,16.65,16.65,44691
2025-11-24,09:19:00,1763956140,16.5,16.79,16.5,16.79,110
2025-11-24,09:28:00,1763956680,16.5,16.5,16.5,16.5,2110
2025-11-24,09:32:00,1763956920,16.79,16.79,16.79,16.79,2115
2025-11-24,09:34:00,1763957040,16.79,16.79,16.79,16.79,2120
2025-11-24,09:41:00,1763957460,16.5,16.5,16.5,16.5,2245
2025-11-24,09:56:00,1763958360,16.5,16.5,16.5,16.5,2282
2025-11-24,10:03:00,1763958780,16.5,16.5,16.5,16.5,3439
2025-11-24,10:24:00,1763960040,16.49,16.49,16.49,16.49,3549
2025-11-24,10:26:00,1763960160,16.49,16.49,16.49,16.49,3559
2025-11-24,10:30:00,1763960400,16.5,16.5,16.5,16.5,3859
