Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,19.8,19.8,19.7,19.7,535
2025-11-17,09:16:00,1763351160,19.7,19.7,19.7,19.7,536
2025-11-17,09:17:00,1763351220,19.51,19.51,19.51,19.51,537
2025-11-17,09:18:00,1763351280,19.25,19.25,19.25,19.25,2040
2025-11-17,09:19:00,1763351340,19.26,19.26,19.15,19.15,2342
2025-11-17,09:20:00,1763351400,19.09,19.09,18.91,18.91,2353
2025-11-17,09:22:00,1763351520,18.76,18.76,18.76,18.76,2950
2025-11-17,09:23:00,1763351580,18.76,18.76,18.76,18.76,2952
2025-11-17,09:24:00,1763351640,18.76,18.76,18.76,18.76,2953
2025-11-17,09:25:00,1763351700,18.76,18.76,18.76,18.76,3172
2025-11-17,09:27:00,1763351820,18.76,18.76,18.76,18.76,3282
2025-11-17,09:28:00,1763351880,18.75,18.75,18.71,18.71,4313
2025-11-17,09:29:00,1763351940,18.68,18.71,18.6,18.67,5505
2025-11-17,09:31:00,1763352060,18.72,18.76,18.72,18.76,5530
2025-11-17,09:32:00,1763352120,18.72,18.76,18.72,18.76,5729
2025-11-17,09:33:00,1763352180,18.76,18.76,18.76,18.76,5730
2025-11-17,09:34:00,1763352240,18.76,18.76,18.76,18.76,6377
2025-11-17,09:35:00,1763352300,18.76,18.76,18.76,18.76,7557
2025-11-17,09:37:00,1763352420,18.76,18.76,18.76,18.76,7745
2025-11-17,09:38:00,1763352480,18.76,18.76,18.76,18.76,7765
2025-11-17,09:47:00,1763353020,18.67,18.76,18.67,18.76,8115
2025-11-17,09:48:00,1763353080,18.76,18.76,18.76,18.76,8116
2025-11-17,09:49:00,1763353140,18.67,18.67,18.67,18.67,10016
2025-11-17,09:50:00,1763353200,18.76,18.76,18.76,18.76,10017
2025-11-17,09:52:00,1763353320,18.76,18.76,18.76,18.76,10142
2025-11-17,09:53:00,1763353380,18.76,18.76,18.76,18.76,10942
2025-11-17,09:54:00,1763353440,18.75,18.75,18.75,18.75,10944
2025-11-17,09:58:00,1763353680,18.75,18.75,18.75,18.75,11445
2025-11-17,10:03:00,1763353980,18.75,18.75,18.75,18.75,11545
2025-11-17,10:08:00,1763354280,18.75,18.75,18.75,18.75,11563
2025-11-17,10:16:00,1763354760,18.75,18.75,18.75,18.75,12063
2025-11-17,10:19:00,1763354940,18.68,18.68,18.68,18.68,12173
2025-11-17,10:28:00,1763355480,18.7,18.7,18.7,18.7,12174
2025-11-17,10:31:00,1763355660,18.7,18.7,18.7,18.7,12176
2025-11-17,10:44:00,1763356440,18.7,18.7,18.7,18.7,12676
2025-11-17,10:47:00,1763356620,18.7,18.7,18.7,18.7,13676
2025-11-17,10:52:00,1763356920,18.6,18.6,18.6,18.6,14076
2025-11-17,11:02:00,1763357520,18.74,18.74,18.74,18.74,14077
2025-11-17,11:04:00,1763357640,18.75,18.75,18.75,18.75,14577
2025-11-17,11:07:00,1763357820,18.61,18.61,18.61,18.61,14599
2025-11-17,11:12:00,1763358120,18.61,18.61,18.61,18.61,14664
2025-11-17,11:17:00,1763358420,18.6,18.6,18.6,18.6,
2025-11-17,11:18:00,1763358480,18.6,18.6,18.6,18.6,14809
2025-11-17,11:20:00,1763358600,18.6,18.6,18.6,18.6,14870
2025-11-17,11:28:00,1763359080,18.75,18.75,18.75,18.75,14970
2025-11-17,11:37:00,1763359620,18.55,18.55,18.55,18.55,15123
2025-11-17,11:42:00,1763359920,18.74,18.74,18.74,18.74,
2025-11-17,11:43:00,1763359980,18.55,18.55,18.55,18.55,15324
2025-11-17,11:44:00,1763360040,18.74,18.75,18.55,18.55,15488
2025-11-17,12:03:00,1763361180,18.65,18.65,18.65,18.65,15489
2025-11-17,12:09:00,1763361540,18.75,18.75,18.75,18.75,15500
2025-11-17,12:38:00,1763363280,18.74,18.74,18.74,18.74,15505
2025-11-17,12:42:00,1763363520,18.74,18.74,18.74,18.74,15530
2025-11-17,12:43:00,1763363580,18.47,18.47,18.44,18.44,16987
2025-11-17,12:44:00,1763363640,18.4,18.4,18.4,18.4,17173
2025-11-17,12:45:00,1763363700,18.4,18.4,18.4,18.4,17337
2025-11-17,12:55:00,1763364300,18.44,18.44,18.44,18.44,
2025-11-17,12:56:00,1763364360,18.45,18.45,18.44,18.45,18431
2025-11-17,12:59:00,1763364540,18.45,18.45,18.45,18.45,18436
2025-11-17,13:02:00,1763364720,18.45,18.45,18.45,18.45,18536
2025-11-17,13:03:00,1763364780,18.45,18.45,18.45,18.45,18546
2025-11-17,13:04:00,1763364840,18.45,18.45,18.45,18.45,18556
2025-11-17,13:05:00,1763364900,18.45,18.45,18.45,18.45,18566
2025-11-17,13:06:00,1763364960,18.45,18.45,18.45,18.45,18586
2025-11-17,13:08:00,1763365080,18.4,18.4,18.38,18.38,22126
2025-11-17,13:10:00,1763365200,18.31,18.31,18.31,18.31,22127
2025-11-17,13:18:00,1763365680,18.45,18.45,18.45,18.45,22857
2025-11-17,13:31:00,1763366460,18.45,18.45,18.45,18.45,23800
2025-11-17,13:32:00,1763366520,18.45,18.45,18.45,18.45,24800
2025-11-17,13:34:00,1763366640,18.44,19.12,18.44,18.6,36281
2025-11-17,13:35:00,1763366700,18.78,18.78,18.78,18.78,36283
2025-11-17,13:39:00,1763366940,18.83,18.83,18.83,18.83,36483
2025-11-17,13:40:00,1763367000,18.82,18.82,18.82,18.82,36583
2025-11-17,13:49:00,1763367540,18.6,18.6,18.51,18.51,36590
2025-11-17,13:57:00,1763368020,18.83,18.83,18.83,18.83,36640
2025-11-17,14:03:00,1763368380,18.88,18.88,18.88,18.88,36840
2025-11-17,14:11:00,1763368860,18.5,18.5,18.5,18.5,36890
2025-11-17,14:14:00,1763369040,19.03,19.03,19.03,19.03,36891
2025-11-17,14:15:00,1763369100,18.61,18.75,18.6,18.75,37530
2025-11-17,14:16:00,1763369160,18.76,18.76,18.5,18.69,38153
2025-11-17,14:17:00,1763369220,18.55,18.55,18.55,18.55,38154
2025-11-17,14:18:00,1763369280,18.8,19.31,18.71,18.71,38210
2025-11-17,14:19:00,1763369340,18.51,18.77,18.51,18.77,38760
2025-11-17,14:20:00,1763369400,18.91,19,18.91,19,39030
2025-11-17,14:21:00,1763369460,19.1,19.1,19,19,39042
2025-11-17,14:22:00,1763369520,18.8,19.04,18.8,19.04,39371
2025-11-17,14:23:00,1763369580,18.91,18.99,18.91,18.99,39508
2025-11-17,14:25:00,1763369700,18.85,18.85,18.85,18.85,39509
2025-11-17,14:26:00,1763369760,18.7,18.7,18.51,18.51,39652
2025-11-17,14:28:00,1763369880,18.9,18.9,18.9,18.9,39654
2025-11-17,14:34:00,1763370240,18.95,18.95,18.95,18.95,39655
2025-11-17,14:35:00,1763370300,18.52,18.52,18.52,18.52,39656
2025-11-17,14:48:00,1763371080,17.99,18,17.76,17.8,54240
2025-11-17,14:49:00,1763371140,17.96,17.96,17.91,17.95,56165
2025-11-17,14:50:00,1763371200,17.91,17.95,17.37,17.37,63309
2025-11-17,14:51:00,1763371260,17.38,17.65,17.37,17.65,63929
2025-11-17,14:52:00,1763371320,17.4,17.4,17.4,17.4,63955
2025-11-17,14:53:00,1763371380,17.41,17.41,16.01,16.5,115925
2025-11-17,14:54:00,1763371440,16.9,16.98,16.52,16.94,123296
2025-11-17,14:55:00,1763371500,16.93,16.93,16.88,16.88,123511
2025-11-17,14:56:00,1763371560,16.87,16.89,16.81,16.89,127710
2025-11-17,14:57:00,1763371620,16.81,16.81,16.79,16.79,130711
2025-11-17,14:58:00,1763371680,16.77,16.79,16.7,16.79,131043
2025-11-17,14:59:00,1763371740,16.65,16.76,16.65,16.76,131050
