Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:23:00,1763351580,11.33,11.33,10.75,10.75,752
2025-11-17,09:26:00,1763351760,11.12,11.12,11.12,11.12,772
2025-11-17,09:30:00,1763352000,11.32,11.32,11.32,11.32,816
2025-11-17,09:38:00,1763352480,11.32,11.32,11.32,11.32,1056
2025-11-17,09:43:00,1763352780,11.31,11.31,11.31,11.31,
2025-11-17,09:44:00,1763352840,11.8,11.8,11.8,11.8,2066
2025-11-17,09:55:00,1763353500,10.69,10.69,10.69,10.69,9712
2025-11-17,09:56:00,1763353560,11.68,11.68,11.68,11.68,9722
2025-11-17,10:30:00,1763355600,10.74,11,10.74,11,10098
2025-11-17,10:37:00,1763356020,11,11,11,11,11098
2025-11-17,10:41:00,1763356260,10.76,10.76,10.76,10.76,11298
2025-11-17,10:43:00,1763356380,11,11,11,11,11448
2025-11-17,10:44:00,1763356440,10.78,10.78,10.78,10.78,
2025-11-17,10:45:00,1763356500,10.78,10.78,10.78,10.78,11748
2025-11-17,10:48:00,1763356680,11.43,11.43,11.43,11.43,11793
2025-11-17,11:41:00,1763359860,11.38,11.38,11.38,11.38,11794
2025-11-17,12:10:00,1763361600,11.26,11.26,11.26,11.26,11994
2025-11-17,12:17:00,1763362020,10.77,10.77,10.77,10.77,12249
2025-11-17,12:44:00,1763363640,11.32,11.32,11.32,11.32,12250
2025-11-17,14:02:00,1763368320,11.26,11.26,11.26,11.26,12505
2025-11-17,14:03:00,1763368380,11.26,11.26,11.26,11.26,13250
2025-11-17,14:05:00,1763368500,10.85,10.85,10.85,10.85,13255
2025-11-17,14:25:00,1763369700,11.07,11.07,11.07,11.07,13304
2025-11-17,14:26:00,1763369760,11.51,11.51,11.51,11.51,13307
2025-11-17,14:36:00,1763370360,11.07,11.07,11.07,11.07,13372
2025-11-17,14:45:00,1763370900,11.07,11.07,11.07,11.07,13397
2025-11-17,15:14:00,1763372640,10.85,10.85,10.85,10.85,13897
2025-11-17,15:19:00,1763372940,10.85,10.85,10.85,10.85,14697
2025-11-17,15:22:00,1763373120,10.85,10.85,10.85,10.85,14698
2025-11-18,10:16:00,1763441160,10.96,10.96,10.96,10.96,54
2025-11-18,10:27:00,1763441820,10.94,10.94,10.94,10.94,64
2025-11-18,10:41:00,1763442660,10.36,10.36,10.36,10.36,1164
2025-11-18,11:09:00,1763444340,10.89,10.89,10.89,10.89,1165
2025-11-18,11:44:00,1763446440,10.87,10.87,10.87,10.87,1440
2025-11-18,12:02:00,1763447520,10.8,10.8,10.8,10.8,3440
2025-11-18,12:04:00,1763447640,10.5,10.5,10.5,10.5,4540
2025-11-18,12:05:00,1763447700,10.5,10.5,10.5,10.5,5384
2025-11-18,12:08:00,1763447880,10.78,10.78,10.78,10.78,5385
2025-11-18,12:14:00,1763448240,10.77,10.77,10.77,10.77,5386
2025-11-18,12:16:00,1763448360,10.4,10.4,10.36,10.36,10386
2025-11-18,12:39:00,1763449740,10.36,10.36,10.36,10.36,11371
2025-11-18,12:44:00,1763450040,10.5,10.5,10.5,10.5,12371
2025-11-18,12:53:00,1763450580,10.33,10.33,10.3,10.3,16386
2025-11-18,13:02:00,1763451120,10.3,10.3,10.3,10.3,18386
2025-11-18,13:30:00,1763452800,10.31,10.31,10.31,10.31,18811
2025-11-18,13:32:00,1763452920,10.49,10.49,10.49,10.49,18961
2025-11-18,13:58:00,1763454480,10.3,10.3,10.3,10.3,19179
2025-11-18,14:00:00,1763454600,10.3,10.3,10.3,10.3,20029
2025-11-18,15:21:00,1763459460,10.46,10.46,10.46,10.46,20629
2025-11-18,15:22:00,1763459520,10.46,10.46,10.46,10.46,21028
2025-11-18,15:29:00,1763459940,10.47,10.47,10.4,10.4,21831
2025-11-19,09:36:00,1763525160,10.23,10.49,10.23,10.49,151
2025-11-19,09:41:00,1763525460,10.49,10.49,10.49,10.49,166
2025-11-19,09:55:00,1763526300,10.26,10.26,10.25,10.25,531
2025-11-19,10:11:00,1763527260,10.43,10.43,10.43,10.43,731
2025-11-19,10:19:00,1763527740,10.43,10.43,10.43,10.43,765
2025-11-19,10:20:00,1763527800,10.44,10.44,10.44,10.44,815
2025-11-19,10:22:00,1763527920,10.44,10.44,10.44,10.44,881
2025-11-19,10:32:00,1763528520,10.4,10.4,10.4,10.4,886
2025-11-19,10:34:00,1763528640,10.24,10.24,10.24,10.24,
2025-11-19,10:35:00,1763528700,10.24,10.24,10.24,10.24,936
2025-11-19,10:38:00,1763528880,10.4,10.4,10.4,10.4,1036
2025-11-19,10:44:00,1763529240,10.4,10.4,10.4,10.4,1037
2025-11-19,11:29:00,1763531940,10.3,10.3,10.25,10.25,1147
2025-11-19,11:30:00,1763532000,10.2,10.2,10.2,10.2,4147
2025-11-19,11:52:00,1763533320,10.55,10.55,10.55,10.55,4151
2025-11-19,12:46:00,1763536560,10.49,10.49,10.49,10.49,4272
2025-11-19,12:50:00,1763536800,10.5,10.5,10.5,10.5,5272
2025-11-19,12:52:00,1763536920,10.49,10.49,10.49,10.49,5273
2025-11-19,13:38:00,1763539680,10.49,10.49,10.49,10.49,5805
2025-11-19,13:41:00,1763539860,10.26,10.26,10.26,10.26,5906
2025-11-19,14:09:00,1763541540,10.49,10.49,10.49,10.49,5907
2025-11-19,14:13:00,1763541780,10.49,10.49,10.49,10.49,6372
2025-11-19,14:50:00,1763544000,10.26,10.26,10.26,10.26,6382
2025-11-19,14:51:00,1763544060,10.49,10.49,10.49,10.49,6446
2025-11-19,15:08:00,1763545080,10.4,10.4,10.4,10.4,6746
2025-11-19,15:09:00,1763545140,10.3,10.3,10.3,10.3,7246
2025-11-19,15:10:00,1763545200,10.25,10.25,10.25,10.25,8554
2025-11-19,15:12:00,1763545320,10.25,10.25,10.25,10.25,8674
2025-11-19,15:13:00,1763545380,10.25,10.25,10.25,10.25,8914
2025-11-19,15:14:00,1763545440,10.2,10.2,10.2,10.2,9736
2025-11-19,15:17:00,1763545620,10.14,10.14,10.14,10.14,10445
2025-11-19,15:19:00,1763545740,10.44,10.44,10.44,10.44,10446
2025-11-20,09:16:00,1763610360,10.15,10.15,10.15,10.15,204
2025-11-20,09:30:00,1763611200,10.6,10.6,10.6,10.6,1204
2025-11-20,10:09:00,1763613540,10.55,10.55,10.55,10.55,1704
2025-11-20,10:15:00,1763613900,10.55,10.55,10.55,10.55,1829
2025-11-20,10:38:00,1763615280,10.15,10.15,10.15,10.15,1869
2025-11-20,10:51:00,1763616060,10.15,10.15,10.15,10.15,2019
2025-11-20,11:24:00,1763618040,10.16,10.16,10.16,10.16,2181
2025-11-20,11:25:00,1763618100,10.15,10.15,10.15,10.15,2619
2025-11-20,11:32:00,1763618520,10.15,10.15,10.15,10.15,2651
2025-11-20,11:47:00,1763619420,10.15,10.15,10.15,10.15,2951
2025-11-20,11:48:00,1763619480,10.15,10.15,10.15,10.15,3601
2025-11-20,11:51:00,1763619660,10.15,10.15,10.15,10.15,4101
2025-11-20,11:56:00,1763619960,10.15,10.15,10.15,10.15,5201
2025-11-20,12:02:00,1763620320,10.15,10.15,10.15,10.15,5211
2025-11-20,12:03:00,1763620380,10.3,10.3,10.3,10.3,5311
2025-11-20,12:25:00,1763621700,10.3,10.3,10.3,10.3,5312
2025-11-20,12:41:00,1763622660,10.3,10.3,10.3,10.3,5313
2025-11-20,13:14:00,1763624640,10.3,10.3,10.3,10.3,5513
2025-11-20,13:24:00,1763625240,10.3,10.3,10.3,10.3,5813
2025-11-20,13:57:00,1763627220,10.3,10.3,10.3,10.3,5893
2025-11-20,14:27:00,1763629020,10.46,10.46,10.46,10.46,5896
2025-11-20,14:53:00,1763630580,10.2,10.2,10.2,10.2,6916
2025-11-20,14:54:00,1763630640,10.15,10.15,10.15,10.15,7793
2025-11-20,14:55:00,1763630700,10.24,10.24,10.24,10.24,7802
2025-11-20,14:56:00,1763630760,10.24,10.24,10.24,10.24,7893
2025-11-20,15:02:00,1763631120,10.24,10.24,10.24,10.24,7993
2025-11-20,15:12:00,1763631720,10.24,10.24,10.24,10.24,8093
2025-11-20,15:15:00,1763631900,10.15,10.15,10.15,10.15,8193
2025-11-20,15:19:00,1763632140,10.24,10.24,10.24,10.24,8263
2025-11-21,09:40:00,1763698200,10.21,10.21,10.21,10.21,150
2025-11-21,10:05:00,1763699700,10.21,10.21,10.21,10.21,194
2025-11-21,10:09:00,1763699940,10.21,10.21,10.21,10.21,313
2025-11-21,10:16:00,1763700360,10.24,10.24,10.24,10.24,463
2025-11-21,10:17:00,1763700420,10.24,10.24,10.24,10.24,513
2025-11-21,10:36:00,1763701560,10.23,10.23,10.23,10.23,713
2025-11-21,10:45:00,1763702100,10,10,10,10,866
2025-11-21,10:47:00,1763702220,9.78,9.78,9.78,9.78,1019
2025-11-21,10:49:00,1763702340,9.8,9.8,9.8,9.8,1119
2025-11-21,11:10:00,1763703600,10.15,10.15,10.15,10.15,1122
2025-11-21,11:40:00,1763705400,10,10,10,10,1222
2025-11-21,12:10:00,1763707200,10,10,10,10,1333
2025-11-21,12:39:00,1763708940,10,10,10,10,1622
2025-11-21,12:50:00,1763709600,10,10,10,10,2334
2025-11-21,12:56:00,1763709960,10,10,10,10,2335
2025-11-21,13:31:00,1763712060,10.19,10.19,10.19,10.19,2585
2025-11-21,14:04:00,1763714040,10,10,10,10,2679
2025-11-21,14:40:00,1763716200,10,10,10,10,2691
2025-11-21,15:24:00,1763718840,10.18,10.18,10.18,10.18,2941
2025-11-21,15:27:00,1763719020,10.18,10.18,10.18,10.18,2942
2025-11-24,09:15:00,1763955900,9.95,10.43,9.95,10.43,500
2025-11-24,09:28:00,1763956680,9.85,9.85,9.85,9.85,750
2025-11-24,09:30:00,1763956800,10.4,10.4,10.4,10.4,1000
2025-11-24,09:35:00,1763957100,10.38,10.38,10.38,10.38,1100
2025-11-24,09:42:00,1763957520,9.87,9.87,9.87,9.87,1102
2025-11-24,09:46:00,1763957760,9.86,9.86,9.86,9.86,1112
2025-11-24,09:49:00,1763957940,10.35,10.35,10.35,10.35,1113
2025-11-24,09:54:00,1763958240,10.25,10.25,10.25,10.25,1114
2025-11-24,10:34:00,1763960640,10.25,10.25,10.25,10.25,1464
2025-11-24,11:04:00,1763962440,10.25,10.25,10.25,10.25,1864
2025-11-24,11:12:00,1763962920,10.24,10.24,10.24,10.24,1865
2025-11-24,11:25:00,1763963700,10.24,10.24,10.24,10.24,1895
2025-11-24,11:32:00,1763964120,10.15,10.15,10.15,10.15,2145
2025-11-24,11:50:00,1763965200,10.15,10.15,10.15,10.15,2445
2025-11-24,11:58:00,1763965680,9.7,9.7,9.7,9.7,13445
2025-11-24,12:00:00,1763965800,9.7,9.7,9.7,9.7,13455
2025-11-24,12:10:00,1763966400,10.1,10.1,10.1,10.1,13461
2025-11-24,12:18:00,1763966880,10.1,10.1,10.1,10.1,13561
2025-11-24,12:29:00,1763967540,10.05,10.05,10.05,10.05,13961
2025-11-24,12:33:00,1763967780,9.75,9.75,9.75,9.75,14061
2025-11-24,12:46:00,1763968560,9.75,9.75,9.75,9.75,14261
2025-11-24,12:49:00,1763968740,9.67,9.67,9.67,9.67,14414
2025-11-24,12:53:00,1763968980,9.67,9.67,9.67,9.67,14464
2025-11-24,12:57:00,1763969220,9.67,9.67,9.67,9.67,14475
2025-11-24,12:59:00,1763969340,9.67,9.67,9.67,9.67,14675
2025-11-24,13:24:00,1763970840,9.67,9.67,9.67,9.67,14811
2025-11-24,13:43:00,1763971980,9.75,9.75,9.75,9.75,15811
2025-11-24,13:46:00,1763972160,9.75,9.75,9.75,9.75,16220
2025-11-24,13:49:00,1763972340,9.74,9.74,9.74,9.74,16221
2025-11-24,13:51:00,1763972460,9.75,9.75,9.75,9.75,16421
2025-11-24,14:03:00,1763973180,9.74,9.74,9.74,9.74,
2025-11-24,14:04:00,1763973240,9.74,9.74,9.74,9.74,16621
2025-11-24,14:08:00,1763973480,9.67,9.67,9.67,9.67,16771
2025-11-24,14:21:00,1763974260,9.67,9.67,9.67,9.67,17310
2025-11-24,14:32:00,1763974920,9.74,9.74,9.74,9.74,17319
2025-11-24,14:43:00,1763975580,9.74,9.74,9.74,9.74,18819
2025-11-24,14:52:00,1763976120,9.74,9.74,9.74,9.74,18919
2025-11-24,14:54:00,1763976240,9.74,9.74,9.74,9.74,19269
2025-11-24,14:56:00,1763976360,9.7,9.7,9.7,9.7,19419
2025-11-24,14:58:00,1763976480,9.68,9.68,9.68,9.68,19469
2025-11-24,15:00:00,1763976600,9.68,9.68,9.68,9.68,19479
2025-11-24,15:09:00,1763977140,9.68,9.68,9.68,9.68,19579
2025-11-24,15:26:00,1763978160,9.67,9.67,9.67,9.67,19588
2025-11-24,15:27:00,1763978220,9.74,9.74,9.74,9.74,20088
2025-11-24,15:28:00,1763978280,9.74,9.74,9.74,9.74,20090
2025-11-24,15:29:00,1763978340,9.67,9.67,9.67,9.67,20094
2025-11-25,09:18:00,1764042480,9.72,9.72,9.72,9.72,2060
2025-11-25,09:19:00,1764042540,9.7,9.7,9.7,9.7,2460
2025-11-25,09:36:00,1764043560,9.68,9.68,9.68,9.68,2560
2025-11-25,09:39:00,1764043740,9.5,9.51,9.5,9.51,3231
2025-11-25,09:40:00,1764043800,9.68,9.68,9.68,9.68,3236
2025-11-25,09:50:00,1764044400,9.6,9.6,9.6,9.6,3237
2025-11-25,09:53:00,1764044580,9.6,9.6,9.6,9.6,3537
2025-11-25,10:10:00,1764045600,9.6,9.6,9.6,9.6,3557
2025-11-25,10:14:00,1764045840,9.6,9.6,9.6,9.6,4057
2025-11-25,10:19:00,1764046140,9.6,9.6,9.6,9.6,4060
2025-11-25,10:42:00,1764047520,9.6,9.6,9.6,9.6,4969
2025-11-25,11:21:00,1764049860,9.6,9.6,9.6,9.6,4979
2025-11-25,11:31:00,1764050460,9.6,9.6,9.6,9.6,5015
2025-11-25,12:05:00,1764052500,9.68,9.68,9.68,9.68,5315
2025-11-25,12:34:00,1764054240,9.6,9.6,9.6,9.6,5355
2025-11-25,13:00:00,1764055800,9.6,9.6,9.6,9.6,5361
2025-11-25,13:17:00,1764056820,9.6,9.6,9.6,9.6,6355
2025-11-25,13:18:00,1764056880,9.68,9.68,9.68,9.68,6384
2025-11-25,13:20:00,1764057000,9.7,9.7,9.7,9.7,6584
2025-11-25,13:52:00,1764058920,9.7,9.7,9.7,9.7,6609
2025-11-25,14:08:00,1764059880,9.7,9.7,9.7,9.7,7109
2025-11-25,14:21:00,1764060660,9.7,9.7,9.7,9.7,7288
2025-11-25,14:46:00,1764062160,9.7,9.7,9.7,9.7,7388
2025-11-25,14:47:00,1764062220,9.5,9.5,9.5,9.5,7564
2025-11-25,15:00:00,1764063000,9.7,9.7,9.7,9.7,7565
2025-11-25,15:07:00,1764063420,9.5,9.5,9.5,9.5,7569
2025-11-25,15:29:00,1764064740,9.7,9.7,9.7,9.7,7573
2025-11-26,09:25:00,1764129300,9.5,9.5,9.5,9.5,50
2025-11-26,09:26:00,1764129360,9.5,9.5,9.5,9.5,52
