Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-11-17,09:15:00,1763351100,31,31,31,31,1610
2025-11-17,09:18:00,1763351280,31.24,31.24,31.24,31.24,1657
2025-11-17,09:19:00,1763351340,31.23,31.23,31.23,31.23,1733
2025-11-17,09:21:00,1763351460,31.25,31.25,31.25,31.25,2374
2025-11-17,09:22:00,1763351520,31.34,31.34,31.34,31.34,2384
2025-11-17,09:23:00,1763351580,31.33,31.33,31.33,31.33,2395
2025-11-17,09:24:00,1763351640,31.34,31.34,31.34,31.34,2917
2025-11-17,09:25:00,1763351700,31.21,31.21,31.21,31.21,3117
2025-11-17,09:27:00,1763351820,31.27,31.27,31.27,31.27,3167
2025-11-17,09:28:00,1763351880,31.16,31.16,31.15,31.15,3386
2025-11-17,09:29:00,1763351940,31.24,31.24,31.24,31.24,3389
2025-11-17,09:30:00,1763352000,31.24,31.24,31.24,31.24,3395
2025-11-17,09:31:00,1763352060,31.3,31.3,31.3,31.3,4389
2025-11-17,09:32:00,1763352120,31.34,31.34,31.34,31.34,4837
2025-11-17,09:35:00,1763352300,31.26,31.32,31.18,31.32,5122
2025-11-17,09:36:00,1763352360,31.19,31.29,31.19,31.29,5183
2025-11-17,09:37:00,1763352420,31.19,31.19,31.19,31.19,5186
2025-11-17,09:38:00,1763352480,31.17,31.25,31.17,31.25,5269
2025-11-17,09:40:00,1763352600,31.17,31.17,31.17,31.17,5271
2025-11-17,09:41:00,1763352660,31.29,31.29,31.17,31.17,5702
2025-11-17,09:42:00,1763352720,31.28,31.28,31.28,31.28,5703
2025-11-17,09:43:00,1763352780,31.29,31.29,31.29,31.29,5903
2025-11-17,09:44:00,1763352840,31.28,31.28,31.28,31.28,5994
2025-11-17,09:46:00,1763352960,31.11,31.17,31.06,31.14,6602
2025-11-17,09:47:00,1763353020,31.19,31.19,31.19,31.19,6905
2025-11-17,09:48:00,1763353080,30.98,30.98,30.98,30.98,6966
2025-11-17,09:49:00,1763353140,30.96,30.96,30.96,30.96,6967
2025-11-17,09:50:00,1763353200,31,31,30.96,30.96,7021
2025-11-17,09:51:00,1763353260,31,31,31,31,7222
2025-11-17,09:52:00,1763353320,30.93,30.93,30.93,30.93,8230
2025-11-17,09:55:00,1763353500,31,31,31,31,8234
2025-11-17,09:56:00,1763353560,31,31,31,31,8236
2025-11-17,09:57:00,1763353620,31,31,31,31,8286
2025-11-17,09:58:00,1763353680,30.98,30.98,30.98,30.98,8686
2025-11-17,09:59:00,1763353740,30.94,30.94,30.94,30.94,8711
2025-11-17,10:00:00,1763353800,30.99,30.99,30.99,30.99,8776
2025-11-17,10:01:00,1763353860,31.01,31.06,30.98,31.06,9013
2025-11-17,10:02:00,1763353920,31.07,31.07,31.07,31.07,9046
2025-11-17,10:03:00,1763353980,31.06,31.07,31.06,31.07,9073
2025-11-17,10:04:00,1763354040,31.07,31.07,31.07,31.07,9112
2025-11-17,10:06:00,1763354160,30.97,31.07,30.97,31.07,9130
2025-11-17,10:07:00,1763354220,30.97,30.97,30.97,30.97,9180
2025-11-17,10:08:00,1763354280,30.95,31.08,30.95,31.07,9479
2025-11-17,10:17:00,1763354820,31.34,31.34,31.01,31.01,19579
2025-11-17,10:18:00,1763354880,31.01,31.01,31.01,31.01,19616
2025-11-17,10:19:00,1763354940,31.11,31.11,31.01,31.11,19648
2025-11-17,10:20:00,1763355000,31.11,31.11,31.11,31.11,19653
2025-11-17,10:21:00,1763355060,31.3,31.3,31.12,31.12,19758
2025-11-17,10:23:00,1763355180,31.18,31.18,31.18,31.18,20058
2025-11-17,10:24:00,1763355240,31.3,31.34,31.3,31.34,20458
2025-11-17,10:25:00,1763355300,31.33,31.33,31.33,31.33,20459
2025-11-17,10:26:00,1763355360,31.3,31.3,31.23,31.23,20491
2025-11-17,10:28:00,1763355480,31.3,31.3,31.2,31.2,20797
2025-11-17,10:29:00,1763355540,31.21,31.21,31.2,31.2,21008
2025-11-17,10:32:00,1763355720,31.21,31.21,31.21,31.21,21013
2025-11-17,10:34:00,1763355840,31.28,31.29,31.28,31.29,21063
2025-11-17,10:35:00,1763355900,31.2,31.2,31.2,31.2,21973
2025-11-17,10:36:00,1763355960,31.11,31.11,31.11,31.11,22023
2025-11-17,10:38:00,1763356080,31.08,31.08,31.08,31.08,22063
2025-11-17,10:39:00,1763356140,31.1,31.1,31.1,31.1,22064
2025-11-17,10:43:00,1763356380,31.15,31.15,31.1,31.1,22084
2025-11-17,10:44:00,1763356440,31.1,31.1,31.1,31.1,22424
2025-11-17,10:46:00,1763356560,31.06,31.06,31.06,31.06,22425
2025-11-17,10:47:00,1763356620,31.06,31.06,31.06,31.06,22435
2025-11-17,10:48:00,1763356680,30.96,30.97,30.96,30.97,22736
2025-11-17,10:49:00,1763356740,31.02,31.02,31.02,31.02,22746
2025-11-17,10:51:00,1763356860,31.03,31.03,30.95,30.95,23191
2025-11-17,10:52:00,1763356920,31.15,31.15,31.15,31.15,26190
2025-11-17,10:57:00,1763357220,31.05,31.05,31.05,31.05,26191
2025-11-17,10:59:00,1763357340,31.13,31.13,31.13,31.13,26223
2025-11-17,11:02:00,1763357520,31.13,31.13,31.13,31.13,26323
2025-11-17,11:06:00,1763357760,31.06,31.06,31.06,31.06,27429
2025-11-17,11:07:00,1763357820,31.06,31.06,31.06,31.06,27663
2025-11-17,11:10:00,1763358000,31.06,31.06,31.06,31.06,28260
2025-11-17,11:11:00,1763358060,30.97,30.97,30.97,30.97,29253
2025-11-17,11:13:00,1763358180,30.97,30.97,30.97,30.97,29333
2025-11-17,11:14:00,1763358240,31.06,31.06,31.06,31.06,29347
2025-11-17,11:15:00,1763358300,31.05,31.05,31.05,31.05,29348
2025-11-17,11:19:00,1763358540,31.01,31.01,31.01,31.01,29352
2025-11-17,11:20:00,1763358600,31.01,31.01,31.01,31.01,29452
2025-11-17,11:23:00,1763358780,31.01,31.01,31.01,31.01,29792
2025-11-17,11:24:00,1763358840,30.97,30.97,30.97,30.97,30292
2025-11-17,11:28:00,1763359080,30.96,30.97,30.96,30.97,30294
2025-11-17,11:29:00,1763359140,30.97,30.97,30.97,30.97,30316
2025-11-17,11:30:00,1763359200,30.96,30.97,30.96,30.97,30349
2025-11-17,11:32:00,1763359320,31,31,30.96,30.96,30378
2025-11-17,11:33:00,1763359380,31,31,31,31,30388
2025-11-17,11:37:00,1763359620,30.96,30.96,30.96,30.96,30428
2025-11-17,11:38:00,1763359680,30.96,30.96,30.96,30.96,30438
2025-11-17,11:39:00,1763359740,30.96,30.96,30.96,30.96,30488
2025-11-17,11:41:00,1763359860,30.96,30.96,30.96,30.96,30506
2025-11-17,11:46:00,1763360160,30.98,30.98,30.98,30.98,30570
2025-11-17,11:47:00,1763360220,30.97,30.98,30.93,30.93,33452
2025-11-17,11:49:00,1763360340,30.96,30.96,30.92,30.92,33454
2025-11-17,11:50:00,1763360400,30.92,30.92,30.92,30.92,33464
2025-11-17,11:51:00,1763360460,30.89,30.89,30.89,30.89,33563
2025-11-17,11:53:00,1763360580,30.89,30.89,30.89,30.89,33564
2025-11-17,11:55:00,1763360700,30.89,30.89,30.89,30.89,33575
2025-11-17,11:56:00,1763360760,30.95,30.95,30.95,30.95,
2025-11-17,11:57:00,1763360820,30.95,30.95,30.95,30.95,33577
2025-11-17,11:58:00,1763360880,30.92,30.92,30.92,30.92,33702
2025-11-17,12:00:00,1763361000,30.84,30.84,30.84,30.84,33868
2025-11-17,12:02:00,1763361120,30.83,30.83,30.81,30.81,34270
2025-11-17,12:03:00,1763361180,30.81,30.81,30.81,30.81,34271
2025-11-17,12:04:00,1763361240,30.81,30.81,30.81,30.81,34324
2025-11-17,12:05:00,1763361300,30.81,30.81,30.81,30.81,34347
2025-11-17,12:06:00,1763361360,30.83,30.83,30.83,30.83,34359
2025-11-17,12:07:00,1763361420,30.71,30.83,30.71,30.83,36175
2025-11-17,12:08:00,1763361480,30.8,30.8,30.8,30.8,36186
2025-11-17,12:09:00,1763361540,30.71,30.71,30.71,30.71,36187
2025-11-17,12:10:00,1763361600,30.71,30.71,30.71,30.71,36197
2025-11-17,12:12:00,1763361720,30.8,30.8,30.8,30.8,36207
2025-11-17,12:13:00,1763361780,30.8,30.8,30.8,30.8,36307
2025-11-17,12:14:00,1763361840,30.77,30.77,30.77,30.77,36312
2025-11-17,12:16:00,1763361960,30.76,30.77,30.71,30.77,36677
2025-11-17,12:17:00,1763362020,30.91,30.91,30.91,30.91,36834
2025-11-17,12:23:00,1763362380,30.88,30.88,30.81,30.81,37028
2025-11-17,12:24:00,1763362440,30.86,30.86,30.86,30.86,37896
2025-11-17,12:26:00,1763362560,30.86,30.86,30.86,30.86,37946
2025-11-17,12:27:00,1763362620,30.87,30.87,30.87,30.87,37966
2025-11-17,12:28:00,1763362680,30.92,30.92,30.92,30.92,37986
2025-11-17,12:29:00,1763362740,30.87,30.87,30.87,30.87,38010
2025-11-17,12:32:00,1763362920,30.71,30.71,30.71,30.71,40010
2025-11-17,12:33:00,1763362980,30.89,30.89,30.89,30.89,40510
2025-11-17,12:35:00,1763363100,30.76,30.76,30.75,30.75,40711
2025-11-17,12:38:00,1763363280,30.78,30.87,30.78,30.87,40716
2025-11-17,12:39:00,1763363340,30.84,30.84,30.84,30.84,40727
2025-11-17,12:40:00,1763363400,30.85,30.85,30.85,30.85,40927
2025-11-17,12:41:00,1763363460,31.04,31.04,31.04,31.04,42793
2025-11-17,12:43:00,1763363580,30.82,30.82,30.82,30.82,42935
2025-11-17,12:45:00,1763363700,30.8,30.8,30.8,30.8,43035
2025-11-17,12:47:00,1763363820,30.99,30.99,30.99,30.99,43315
2025-11-17,12:48:00,1763363880,30.98,30.98,30.98,30.98,43316
2025-11-17,12:50:00,1763364000,31.03,31.03,31.03,31.03,43730
2025-11-17,12:54:00,1763364240,30.9,30.92,30.9,30.92,44055
2025-11-17,12:55:00,1763364300,30.76,30.76,30.76,30.76,46055
2025-11-17,12:56:00,1763364360,30.95,30.95,30.81,30.92,46140
2025-11-17,13:01:00,1763364660,30.92,30.92,30.92,30.92,46142
2025-11-17,13:02:00,1763364720,30.89,30.89,30.89,30.89,46158
2025-11-17,13:03:00,1763364780,30.89,30.89,30.89,30.89,46159
2025-11-17,13:04:00,1763364840,30.76,30.86,30.76,30.86,46293
2025-11-17,13:06:00,1763364960,30.83,30.87,30.83,30.87,46304
2025-11-17,13:07:00,1763365020,30.83,30.83,30.83,30.83,46306
2025-11-17,13:08:00,1763365080,30.83,30.83,30.83,30.83,46308
2025-11-17,13:09:00,1763365140,30.87,30.87,30.87,30.87,46309
2025-11-17,13:10:00,1763365200,30.87,30.87,30.87,30.87,46357
2025-11-17,13:11:00,1763365260,30.87,30.87,30.87,30.87,46358
2025-11-17,13:12:00,1763365320,30.87,30.87,30.87,30.87,46362
2025-11-17,13:14:00,1763365440,30.87,30.87,30.87,30.87,46494
2025-11-17,13:15:00,1763365500,30.9,30.9,30.9,30.9,46495
2025-11-17,13:16:00,1763365560,30.9,30.9,30.9,30.9,46645
2025-11-17,13:18:00,1763365680,30.72,30.72,30.72,30.72,49932
2025-11-17,13:19:00,1763365740,30.79,30.79,30.79,30.79,49952
2025-11-17,13:20:00,1763365800,30.82,30.82,30.82,30.82,50309
2025-11-17,13:21:00,1763365860,30.82,30.82,30.82,30.82,51009
2025-11-17,13:23:00,1763365980,30.82,30.82,30.82,30.82,51010
2025-11-17,13:25:00,1763366100,30.87,30.87,30.87,30.87,51019
2025-11-17,13:26:00,1763366160,30.82,30.82,30.82,30.82,51033
2025-11-17,13:27:00,1763366220,30.87,30.87,30.87,30.87,51100
2025-11-17,13:29:00,1763366340,30.61,30.78,30.61,30.78,53206
2025-11-17,13:31:00,1763366460,30.77,30.77,30.77,30.77,53211
2025-11-17,13:35:00,1763366700,30.77,30.77,30.77,30.77,53212
2025-11-17,13:40:00,1763367000,30.77,30.77,30.77,30.77,53298
2025-11-17,13:42:00,1763367120,30.76,30.76,30.76,30.76,53321
2025-11-17,13:45:00,1763367300,30.77,30.77,30.77,30.77,53426
2025-11-17,13:46:00,1763367360,30.76,30.76,30.76,30.76,53528
2025-11-17,13:47:00,1763367420,30.77,30.77,30.77,30.77,53532
2025-11-17,13:48:00,1763367480,30.77,30.77,30.77,30.77,53632
2025-11-17,13:51:00,1763367660,30.77,30.77,30.77,30.77,53636
2025-11-17,13:58:00,1763368080,30.76,30.76,30.76,30.76,53641
2025-11-17,14:00:00,1763368200,30.77,30.77,30.77,30.77,53681
2025-11-17,14:01:00,1763368260,30.76,30.76,30.76,30.76,53793
2025-11-17,14:03:00,1763368380,30.75,30.75,30.75,30.75,53817
2025-11-17,14:04:00,1763368440,30.77,30.77,30.77,30.77,53867
2025-11-17,14:05:00,1763368500,30.73,30.73,30.73,30.73,54121
2025-11-17,14:06:00,1763368560,30.75,30.75,30.75,30.75,54122
2025-11-17,14:07:00,1763368620,30.73,30.79,30.73,30.79,54124
2025-11-17,14:08:00,1763368680,30.73,30.73,30.73,30.73,54249
2025-11-17,14:10:00,1763368800,30.72,30.72,30.72,30.72,55249
2025-11-17,14:11:00,1763368860,30.73,30.73,30.73,30.73,55270
2025-11-17,14:12:00,1763368920,30.72,30.72,30.72,30.72,55280
2025-11-17,14:13:00,1763368980,30.88,30.88,30.88,30.88,56281
2025-11-17,14:14:00,1763369040,30.79,30.79,30.77,30.77,56366
2025-11-17,14:17:00,1763369220,30.74,30.74,30.74,30.74,56386
2025-11-17,14:18:00,1763369280,30.74,30.74,30.74,30.74,56388
2025-11-17,14:20:00,1763369400,30.84,30.84,30.84,30.84,56933
2025-11-17,14:23:00,1763369580,30.78,30.78,30.78,30.78,57962
2025-11-17,14:24:00,1763369640,30.82,30.87,30.8,30.8,58315
2025-11-17,14:26:00,1763369760,30.71,30.71,30.71,30.71,63015
2025-11-17,14:27:00,1763369820,30.73,30.73,30.65,30.65,63759
2025-11-17,14:28:00,1763369880,30.61,30.65,30.55,30.55,64365
2025-11-17,14:29:00,1763369940,30.5,30.5,30.5,30.5,64453
2025-11-17,14:30:00,1763370000,30.55,30.55,30.55,30.55,64963
2025-11-17,14:33:00,1763370180,30.72,30.72,30.72,30.72,65113
2025-11-17,14:34:00,1763370240,30.77,30.77,30.72,30.72,65267
2025-11-17,14:35:00,1763370300,30.71,30.72,30.71,30.72,65270
2025-11-17,14:37:00,1763370420,30.62,30.62,30.62,30.62,65370
2025-11-17,14:38:00,1763370480,30.64,30.77,30.64,30.77,66767
