Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,526.05,526.05,519.0,519.3,6381.0
2025-02-17,09:16,1739783760,518.85,518.85,513.8,514.95,11083.0
2025-02-17,09:17,1739783820,515.15,519.6,515.15,519.6,13853.0
2025-02-17,09:18,1739783880,521.0,521.8,520.15,521.8,17287.0
2025-02-17,09:19,1739783940,522.35,524.6,522.35,524.6,20267.0
2025-02-17,09:20,1739784000,524.75,525.25,523.0,523.0,22022.0
2025-02-17,09:21,1739784060,523.05,523.7,522.7,523.1,22713.0
2025-02-17,09:22,1739784120,524.2,524.4,522.9,523.45,23682.0
2025-02-17,09:23,1739784180,524.0,524.0,522.6,523.75,24942.0
2025-02-17,09:24,1739784240,523.8,524.1,523.65,523.9,25690.0
2025-02-17,09:25,1739784300,524.1,524.7,524.1,524.2,26805.0
2025-02-17,09:26,1739784360,523.6,523.6,521.55,522.4,27609.0
2025-02-17,09:27,1739784420,521.7,521.7,520.0,520.5,29081.0
2025-02-17,09:28,1739784480,521.35,521.35,520.0,520.0,30767.0
2025-02-17,09:29,1739784540,520.15,520.2,519.5,519.65,31933.0
2025-02-17,09:30,1739784600,519.1,519.1,517.7,517.7,33171.0
2025-02-17,09:31,1739784660,518.1,518.1,516.1,516.75,33744.0
2025-02-17,09:32,1739784720,516.5,516.5,515.65,515.7,34870.0
2025-02-17,09:33,1739784780,515.3,515.3,513.6,514.15,36138.0
2025-02-17,09:34,1739784840,514.25,516.3,514.25,516.2,36912.0
2025-02-17,09:35,1739784900,516.0,518.7,515.45,518.3,38343.0
2025-02-17,09:36,1739784960,517.7,518.85,516.95,518.85,40130.0
2025-02-17,09:37,1739785020,519.2,521.0,519.15,519.15,41424.0
2025-02-17,09:38,1739785080,519.35,521.85,519.35,521.3,42218.0
2025-02-17,09:39,1739785140,521.9,523.1,521.5,522.65,43919.0
2025-02-17,09:40,1739785200,523.0,524.15,522.7,523.75,44414.0
2025-02-17,09:41,1739785260,523.8,524.95,523.3,524.05,46664.0
2025-02-17,09:42,1739785320,524.1,524.1,523.0,523.1,47350.0
2025-02-17,09:43,1739785380,522.6,522.75,522.05,522.75,48549.0
2025-02-17,09:44,1739785440,522.85,525.25,522.85,525.25,49922.0
2025-02-17,09:45,1739785500,524.6,525.4,524.5,525.25,50727.0
2025-02-17,09:46,1739785560,524.95,525.25,522.9,522.9,51444.0
2025-02-17,09:47,1739785620,521.85,523.1,521.85,523.05,54693.0
2025-02-17,09:48,1739785680,522.95,523.9,522.65,522.85,56890.0
2025-02-17,09:49,1739785740,522.1,522.1,520.9,520.9,57421.0
2025-02-17,09:50,1739785800,520.25,521.2,519.3,519.3,58522.0
2025-02-17,09:51,1739785860,519.1,520.2,519.0,519.6,59284.0
2025-02-17,09:52,1739785920,520.3,520.3,518.85,519.8,59937.0
2025-02-17,09:53,1739785980,519.45,519.45,517.0,517.35,60314.0
2025-02-17,09:54,1739786040,517.0,517.5,516.6,517.3,61424.0
2025-02-17,09:55,1739786100,517.35,518.2,516.55,518.2,62906.0
2025-02-17,09:56,1739786160,517.9,518.6,517.85,518.6,63520.0
2025-02-17,09:57,1739786220,518.15,520.95,518.15,520.95,65034.0
2025-02-17,09:58,1739786280,520.9,521.65,520.9,521.45,66082.0
