Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739763900,952.95,952.95,932.85,935.55,16050
2025-02-17,09:16,1739763960,934.1,935.95,931.25,933.0,22395
2025-02-17,09:17,1739764020,936.15,941.6,936.0,941.4,29727
2025-02-17,09:18,1739764080,941.95,949.45,939.35,949.45,34472
2025-02-17,09:19,1739764140,950.75,962.0,950.75,956.5,44224
2025-02-17,09:20,1739764200,956.95,961.7,956.95,960.4,48100
2025-02-17,09:21,1739764260,961.1,961.7,956.1,957.5,54428
2025-02-17,09:22,1739764320,958.1,960.0,955.5,957.45,63450
2025-02-17,09:23,1739764380,957.3,960.3,957.3,958.4,65402
2025-02-17,09:24,1739764440,959.9,961.7,958.5,960.05,68042
2025-02-17,09:25,1739764500,961.65,966.75,960.6,964.8,71940
2025-02-17,09:26,1739764560,963.75,963.75,958.2,958.2,75612
2025-02-17,09:27,1739764620,957.8,957.8,954.5,955.15,80397
2025-02-17,09:28,1739764680,953.45,955.15,950.5,953.45,83347
2025-02-17,09:29,1739764740,953.5,955.4,952.6,953.55,84950
2025-02-17,09:30,1739764800,953.6,953.85,949.4,949.9,87940
2025-02-17,09:31,1739764860,949.0,949.0,944.1,945.0,93453
2025-02-17,09:32,1739764920,945.65,946.95,940.15,940.15,98975
2025-02-17,09:33,1739764980,940.35,942.1,938.2,942.1,105072
2025-02-17,09:34,1739765040,941.0,945.3,939.25,944.25,107773
2025-02-17,09:35,1739765100,943.3,946.55,943.0,946.0,110716
2025-02-17,09:36,1739765160,945.45,952.7,945.45,950.4,113684
2025-02-17,09:37,1739765220,950.75,952.6,949.2,950.05,116408
2025-02-17,09:38,1739765280,949.95,952.15,949.25,950.7,117686
2025-02-17,09:39,1739765340,950.55,950.55,947.75,947.75,119540
2025-02-17,09:40,1739765400,949.25,951.6,948.5,951.6,121242
2025-02-17,09:41,1739765460,952.3,957.55,952.3,952.55,124267
2025-02-17,09:42,1739765520,953.2,954.15,951.0,951.0,125874
2025-02-17,09:43,1739765580,950.9,953.9,950.85,953.55,126604
2025-02-17,09:44,1739765640,953.3,961.15,953.3,960.0,129110
2025-02-17,09:45,1739765700,958.15,963.55,957.8,960.85,132888
2025-02-17,09:46,1739765760,960.75,960.75,955.8,957.1,135619
2025-02-17,09:47,1739765820,956.6,957.45,955.0,956.65,136528
2025-02-17,09:48,1739765880,956.05,957.5,954.15,954.35,138246
2025-02-17,09:49,1739765940,952.0,953.5,951.2,951.55,145296
2025-02-17,09:50,1739766000,952.25,955.9,952.25,954.45,146451
2025-02-17,09:51,1739766060,952.0,954.45,952.0,953.95,147129
2025-02-17,09:52,1739766120,954.15,955.8,954.15,954.15,147931
2025-02-17,09:53,1739766180,953.95,954.1,948.5,948.5,150787
2025-02-17,09:54,1739766240,947.5,947.5,945.65,946.6,153956
2025-02-17,09:55,1739766300,945.65,946.85,945.6,946.8,155988
2025-02-17,09:56,1739766360,946.55,947.1,945.2,947.0,160286
2025-02-17,09:57,1739766420,947.25,958.5,947.25,956.35,167110
2025-02-17,09:58,1739766480,957.35,961.65,956.7,960.0,172188
2025-02-17,09:59,1739766540,960.6,962.85,958.65,960.75,178911
2025-02-17,10:00,1739766600,960.0,960.2,954.85,955.25,181721
2025-02-17,10:01,1739766660,955.8,956.25,954.0,955.0,183272
2025-02-17,10:02,1739766720,956.2,956.2,951.7,951.7,184845
2025-02-17,10:03,1739766780,952.95,952.95,952.0,952.25,185883
2025-02-17,10:04,1739766840,952.1,953.25,951.7,952.35,188184
2025-02-17,10:05,1739766900,953.4,954.55,952.8,953.2,191291
2025-02-17,10:06,1739766960,952.7,955.85,952.7,953.7,194143
2025-02-17,10:07,1739767020,954.7,956.1,953.75,955.3,195288
2025-02-17,10:08,1739767080,955.1,959.7,955.1,959.7,196552
2025-02-17,10:09,1739767140,958.3,959.85,957.9,957.95,197564
2025-02-17,10:10,1739767200,958.8,959.0,954.15,954.9,199424
2025-02-17,10:11,1739767260,955.0,955.05,947.6,947.6,203873
2025-02-17,10:12,1739767320,947.35,947.35,945.5,947.0,206168
2025-02-17,10:13,1739767380,946.8,949.95,946.8,947.65,207883
2025-02-17,10:14,1739767440,947.85,948.25,945.55,948.25,209819
2025-02-17,10:15,1739767500,947.8,948.75,947.65,947.7,210202
2025-02-17,10:16,1739767560,947.8,948.4,947.0,948.05,210591
2025-02-17,10:17,1739767620,948.85,949.0,948.0,948.55,211785
2025-02-17,10:18,1739767680,948.15,949.5,948.15,949.15,212211
2025-02-17,10:19,1739767740,949.35,949.95,947.8,948.1,213138
2025-02-17,10:20,1739767800,946.75,952.7,946.75,951.75,215505
2025-02-17,10:21,1739767860,953.85,953.85,951.05,951.75,217014
2025-02-17,10:22,1739767920,952.45,952.45,949.2,949.2,217334
2025-02-17,10:23,1739767980,949.0,949.05,947.55,948.55,217802
2025-02-17,10:24,1739768040,949.25,949.25,946.05,946.15,218587
2025-02-17,10:25,1739768100,945.5,945.5,943.15,943.75,220275
2025-02-17,10:26,1739768160,943.7,944.9,943.25,944.9,220518
2025-02-17,10:27,1739768220,945.0,946.2,944.25,945.65,220873
2025-02-17,10:28,1739768280,945.6,948.8,945.6,948.8,221932
2025-02-17,10:29,1739768340,948.3,950.1,948.0,949.5,222434
2025-02-17,10:30,1739768400,949.85,950.8,947.15,949.0,223058
2025-02-17,10:31,1739768460,948.7,950.85,948.7,950.85,223266
2025-02-17,10:32,1739768520,950.55,953.2,949.45,950.8,227019
2025-02-17,10:33,1739768580,950.4,954.0,950.4,953.9,228267
2025-02-17,10:34,1739768640,953.2,955.0,952.45,953.3,229126
2025-02-17,10:35,1739768700,953.6,954.0,953.3,954.0,229417
2025-02-17,10:36,1739768760,954.5,959.0,954.5,959.0,232363
2025-02-17,10:37,1739768820,960.85,961.8,959.05,961.8,233897
2025-02-17,10:38,1739768880,961.3,961.4,957.5,957.55,234892
2025-02-17,10:39,1739768940,956.55,958.0,956.2,957.45,235890
2025-02-17,10:40,1739769000,957.0,958.0,956.2,957.5,237891
2025-02-17,10:41,1739769060,957.25,958.0,956.55,958.0,238448
2025-02-17,10:42,1739769120,958.55,958.55,956.5,956.95,238892
2025-02-17,10:43,1739769180,956.2,959.8,956.2,959.7,240346
2025-02-17,10:44,1739769240,960.0,961.5,958.9,961.15,241761
2025-02-17,10:45,1739769300,962.5,963.25,960.95,960.95,244258
2025-02-17,10:46,1739769360,960.5,960.9,958.95,959.15,246217
2025-02-17,10:47,1739769420,958.95,959.85,958.0,958.0,246952
2025-02-17,10:48,1739769480,958.35,959.2,957.65,958.05,247518
2025-02-17,10:49,1739769540,958.55,959.2,957.0,958.5,247759
2025-02-17,10:50,1739769600,959.1,959.1,958.0,958.45,248116
2025-02-17,10:51,1739769660,959.0,963.85,958.0,961.45,252665
2025-02-17,10:52,1739769720,962.4,963.0,961.5,962.0,253121
2025-02-17,10:53,1739769780,961.75,962.85,960.45,961.25,253502
2025-02-17,10:54,1739769840,960.5,962.2,960.5,961.15,254188
2025-02-17,10:55,1739769900,961.4,962.15,961.0,961.3,254491
2025-02-17,10:56,1739769960,961.0,962.5,961.0,961.8,255344
2025-02-17,10:57,1739770020,962.05,962.05,960.0,961.3,257261
2025-02-17,10:58,1739770080,960.45,961.5,959.85,960.0,261900
2025-02-17,10:59,1739770140,960.1,960.8,960.1,960.3,263477
2025-02-17,11:00,1739770200,960.25,961.25,960.0,960.5,264160
2025-02-17,11:01,1739770260,961.2,962.0,960.25,960.65,264991
2025-02-17,11:02,1739770320,960.85,961.85,960.2,960.2,265481
2025-02-17,11:03,1739770380,960.8,961.05,960.0,960.0,268473
2025-02-17,11:04,1739770440,956.1,956.1,952.25,955.7,274974
2025-02-17,11:05,1739770500,956.25,956.5,951.4,953.1,280279
2025-02-17,11:06,1739770560,951.75,955.25,951.75,954.8,281802
2025-02-17,11:07,1739770620,954.65,955.4,953.55,955.4,284682
2025-02-17,11:08,1739770680,954.1,955.95,953.45,954.3,285400
2025-02-17,11:09,1739770740,953.9,954.8,953.3,953.3,286424
2025-02-17,11:10,1739770800,953.9,953.9,952.65,953.45,287794
2025-02-17,11:11,1739770860,953.0,954.9,952.7,954.55,288251
2025-02-17,11:12,1739770920,954.05,954.05,950.7,951.35,290259
2025-02-17,11:13,1739770980,951.3,951.75,950.2,951.7,291503
2025-02-17,11:14,1739771040,951.2,952.8,951.0,951.4,292184
2025-02-17,11:15,1739771100,951.8,952.8,950.55,952.35,292801
2025-02-17,11:16,1739771160,952.05,952.75,950.7,951.45,293308
2025-02-17,11:17,1739771220,951.35,952.4,951.0,951.6,293454
2025-02-17,11:18,1739771280,951.8,953.35,951.6,951.6,295004
2025-02-17,11:19,1739771340,952.4,953.15,950.55,950.9,295480
2025-02-17,11:20,1739771400,950.5,952.1,950.5,952.1,295939
2025-02-17,11:21,1739771460,951.9,953.0,951.35,952.4,296211
2025-02-17,11:22,1739771520,952.1,953.95,951.15,951.45,297232
2025-02-17,11:23,1739771580,950.6,954.15,950.6,954.15,298265
2025-02-17,11:24,1739771640,953.6,954.4,951.7,953.25,298785
2025-02-17,11:25,1739771700,953.7,953.7,951.5,952.35,299056
2025-02-17,11:26,1739771760,953.8,953.95,952.05,953.85,300588
2025-02-17,11:27,1739771820,952.95,954.3,952.8,953.15,300845
2025-02-17,11:28,1739771880,953.6,954.25,951.95,951.95,301439
2025-02-17,11:29,1739771940,952.25,954.85,951.85,954.05,303108
2025-02-17,11:30,1739772000,952.6,954.3,952.6,953.9,303489
2025-02-17,11:31,1739772060,953.15,954.6,952.55,953.2,304120
2025-02-17,11:32,1739772120,953.5,953.55,950.7,950.7,304750
2025-02-17,11:33,1739772180,951.75,952.05,950.7,952.05,305010
2025-02-17,11:34,1739772240,952.25,952.5,950.7,951.3,305166
2025-02-17,11:35,1739772300,952.1,952.1,950.75,951.15,305965
