Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,469.35,469.65,458.05,458.05,425.0
2025-02-17,09:16,1739783760,458.15,458.25,458.05,458.15,545.0
2025-02-17,09:17,1739783820,456.95,459.55,455.0,456.3,1190.0
2025-02-17,09:18,1739783880,453.8,458.45,453.8,458.45,1423.0
2025-02-17,09:19,1739783940,459.95,465.15,459.95,464.35,1482.0
2025-02-17,09:20,1739784000,465.0,465.0,460.35,464.45,1739.0
2025-02-17,09:21,1739784060,466.75,466.75,465.9,466.5,1837.0
2025-02-17,09:22,1739784120,467.6,467.6,466.95,466.95,1929.0
2025-02-17,09:23,1739784180,467.6,470.75,467.6,470.75,2231.0
2025-02-17,09:24,1739784240,471.45,475.3,471.4,474.6,2643.0
2025-02-17,09:25,1739784300,476.45,477.6,476.45,477.6,2655.0
2025-02-17,09:26,1739784360,477.65,477.65,471.3,471.3,3017.0
2025-02-17,09:27,1739784420,473.2,473.6,470.45,472.15,3117.0
2025-02-17,09:28,1739784480,470.4,470.4,468.15,468.15,3262.0
2025-02-17,09:29,1739784540,468.25,468.25,468.25,468.25,3316.0
2025-02-17,09:30,1739784600,469.8,469.8,469.8,469.8,3319.0
2025-02-17,09:31,1739784660,467.05,467.05,465.65,465.65,3564.0
2025-02-17,09:32,1739784720,465.6,465.6,465.3,465.3,3615.0
2025-02-17,09:33,1739784780,464.75,464.75,464.55,464.55,3785.0
2025-02-17,09:34,1739784840,464.5,464.5,463.1,463.1,3880.0
2025-02-17,09:35,1739784900,462.35,463.2,462.35,463.2,3905.0
2025-02-17,09:36,1739784960,465.9,465.9,465.9,465.9,3907.0
2025-02-17,09:37,1739785020,466.3,466.3,466.3,466.3,3908.0
2025-02-17,09:38,1739785080,465.1,467.1,465.1,467.1,3927.0
2025-02-17,09:39,1739785140,467.45,467.45,465.9,465.9,3966.0
2025-02-17,09:40,1739785200,464.25,464.4,463.05,464.4,4037.0
2025-02-17,09:41,1739785260,464.35,467.3,464.35,467.3,4103.0
2025-02-17,09:42,1739785320,467.4,467.4,467.4,467.4,4104.0
2025-02-17,09:43,1739785380,472.1,472.1,466.05,466.05,4569.0
2025-02-17,09:44,1739785440,468.65,468.65,468.65,468.65,4570.0
2025-02-17,09:45,1739785500,469.45,469.45,469.05,469.05,4577.0
2025-02-17,09:46,1739785560,470.35,470.35,470.35,470.35,4586.0
2025-02-17,09:47,1739785620,470.35,470.35,470.35,470.35,0.0
2025-02-17,09:48,1739785680,469.35,469.35,469.35,469.35,4601.0
2025-02-17,09:49,1739785740,468.1,469.7,468.1,469.7,4644.0
2025-02-17,09:50,1739785800,472.95,472.95,471.55,471.55,5229.0
2025-02-17,09:51,1739785860,469.55,469.55,469.55,469.55,5313.0
