Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,591.8,591.8,586.35,586.35,673.0
2025-02-17,09:16,1739783760,587.0,587.0,583.5,583.5,1107.0
2025-02-17,09:17,1739783820,581.05,583.65,580.95,583.65,1826.0
2025-02-17,09:18,1739783880,584.95,586.95,583.05,586.95,2742.0
2025-02-17,09:19,1739783940,588.45,590.5,588.45,590.5,3138.0
2025-02-17,09:20,1739784000,591.6,591.95,590.4,590.4,3436.0
2025-02-17,09:21,1739784060,590.0,590.7,588.55,590.35,3913.0
2025-02-17,09:22,1739784120,590.9,592.0,590.35,591.15,4345.0
2025-02-17,09:23,1739784180,590.35,590.8,589.2,590.8,4636.0
2025-02-17,09:24,1739784240,590.85,591.0,590.2,591.0,4990.0
2025-02-17,09:25,1739784300,591.05,591.5,591.05,591.5,5177.0
2025-02-17,09:26,1739784360,590.1,590.1,588.05,588.05,5421.0
2025-02-17,09:27,1739784420,586.95,586.95,586.55,586.55,5472.0
2025-02-17,09:28,1739784480,585.4,585.4,585.4,585.4,5494.0
2025-02-17,09:29,1739784540,584.75,584.75,584.5,584.5,5605.0
2025-02-17,09:30,1739784600,584.6,584.6,582.6,582.6,5753.0
2025-02-17,09:31,1739784660,583.0,583.0,581.0,581.0,5914.0
2025-02-17,09:32,1739784720,580.8,581.25,580.0,580.0,6411.0
2025-02-17,09:33,1739784780,579.8,580.0,578.3,579.7,6736.0
2025-02-17,09:34,1739784840,580.5,581.0,579.2,581.0,8399.0
2025-02-17,09:35,1739784900,580.45,581.25,580.15,580.15,9499.0
2025-02-17,09:36,1739784960,580.9,582.4,580.9,582.4,9823.0
2025-02-17,09:37,1739785020,583.7,583.7,583.25,583.35,10631.0
2025-02-17,09:38,1739785080,583.6,583.85,583.0,583.6,10985.0
2025-02-17,09:39,1739785140,582.7,583.9,581.95,583.25,11298.0
2025-02-17,09:40,1739785200,584.0,584.1,583.1,584.1,11674.0
2025-02-17,09:41,1739785260,583.5,585.0,583.5,585.0,11833.0
2025-02-17,09:42,1739785320,584.25,586.1,584.25,584.7,12323.0
2025-02-17,09:43,1739785380,584.8,584.8,584.8,584.8,12336.0
2025-02-17,09:44,1739785440,586.8,587.25,586.1,587.25,12606.0
2025-02-17,09:45,1739785500,587.9,589.25,587.9,589.25,12970.0
2025-02-17,09:46,1739785560,588.9,589.45,588.3,588.3,13148.0
2025-02-17,09:47,1739785620,587.05,587.05,586.05,586.05,13263.0
2025-02-17,09:48,1739785680,585.85,585.85,585.85,585.85,13287.0
2025-02-17,09:49,1739785740,585.05,585.05,585.05,585.05,13289.0
2025-02-17,09:50,1739785800,585.85,586.1,584.55,584.55,13434.0
2025-02-17,09:51,1739785860,584.2,584.2,584.1,584.1,13506.0
2025-02-17,09:52,1739785920,584.2,584.2,584.1,584.1,0.0
2025-02-17,09:53,1739785980,582.1,582.1,581.65,581.65,13792.0
2025-02-17,09:54,1739786040,581.15,581.4,580.95,581.4,13911.0
2025-02-17,09:55,1739786100,580.7,580.7,580.25,580.25,14468.0
2025-02-17,09:56,1739786160,581.15,581.2,580.0,581.2,14701.0
2025-02-17,09:57,1739786220,581.8,582.15,581.8,582.15,14906.0
2025-02-17,09:58,1739786280,582.8,583.75,582.7,583.75,14928.0
2025-02-17,09:59,1739786340,583.6,583.6,582.7,582.7,15096.0
2025-02-17,10:00,1739786400,582.6,582.75,582.6,582.75,15344.0
2025-02-17,10:01,1739786460,582.7,582.7,582.2,582.2,15547.0
2025-02-17,10:02,1739786520,582.3,582.35,582.3,582.35,16011.0
2025-02-17,10:03,1739786580,581.95,581.95,581.95,581.95,16095.0
2025-02-17,10:04,1739786640,582.25,582.25,581.65,581.65,16148.0
2025-02-17,10:05,1739786700,582.35,583.25,582.2,582.95,16422.0
