Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,132.99,132.99,131.0,131.44,4724.0
2025-02-17,09:16,1739783760,130.95,130.95,130.27,130.66,5721.0
2025-02-17,09:17,1739783820,130.1,130.66,130.01,130.15,9653.0
2025-02-17,09:18,1739783880,130.21,130.41,130.2,130.3,14986.0
2025-02-17,09:19,1739783940,130.54,131.89,130.54,131.56,18502.0
2025-02-17,09:20,1739784000,131.44,131.8,131.43,131.73,19296.0
2025-02-17,09:21,1739784060,131.51,132.88,131.51,132.88,22370.0
2025-02-17,09:22,1739784120,132.83,133.1,132.33,133.1,27327.0
2025-02-17,09:23,1739784180,133.2,133.2,132.79,132.79,27468.0
2025-02-17,09:24,1739784240,132.84,132.84,132.17,132.66,28230.0
2025-02-17,09:25,1739784300,132.75,134.76,132.75,134.76,35791.0
2025-02-17,09:26,1739784360,134.25,134.25,133.12,133.46,40497.0
2025-02-17,09:27,1739784420,133.08,133.12,132.77,133.12,42175.0
2025-02-17,09:28,1739784480,133.0,133.5,132.5,132.5,45214.0
2025-02-17,09:29,1739784540,133.01,133.15,133.01,133.15,45539.0
2025-02-17,09:30,1739784600,132.83,132.89,132.53,132.83,46785.0
2025-02-17,09:31,1739784660,132.54,132.7,132.35,132.35,47996.0
2025-02-17,09:32,1739784720,132.14,132.14,131.91,131.92,48264.0
2025-02-17,09:33,1739784780,131.54,131.8,131.1,131.1,50790.0
2025-02-17,09:34,1739784840,131.27,131.63,131.27,131.63,51065.0
2025-02-17,09:35,1739784900,131.89,131.89,131.59,131.59,51221.0
2025-02-17,09:36,1739784960,131.43,132.0,131.43,132.0,52799.0
2025-02-17,09:37,1739785020,132.33,132.4,132.33,132.33,53277.0
2025-02-17,09:38,1739785080,132.25,132.73,132.25,132.48,53746.0
2025-02-17,09:39,1739785140,132.42,132.42,132.15,132.41,54064.0
2025-02-17,09:40,1739785200,132.69,132.7,132.34,132.7,54538.0
2025-02-17,09:41,1739785260,133.0,133.0,133.0,133.0,55175.0
2025-02-17,09:42,1739785320,132.78,132.92,132.55,132.55,55618.0
2025-02-17,09:43,1739785380,132.4,132.5,132.4,132.5,56867.0
