Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,339.05,339.2,335.8,336.85,1494.0
2025-02-17,09:16,1739783760,336.8,336.8,332.6,332.6,7879.0
2025-02-17,09:17,1739783820,333.05,337.45,333.05,337.4,16512.0
2025-02-17,09:18,1739783880,338.45,341.3,338.1,340.95,18827.0
2025-02-17,09:19,1739783940,342.35,344.5,342.35,344.25,19682.0
2025-02-17,09:20,1739784000,344.5,344.5,343.0,343.2,23145.0
2025-02-17,09:21,1739784060,343.75,344.95,343.75,343.8,29342.0
2025-02-17,09:22,1739784120,343.95,344.0,343.45,344.0,32421.0
2025-02-17,09:23,1739784180,344.85,344.85,343.2,343.6,34448.0
2025-02-17,09:24,1739784240,343.7,343.95,343.7,343.9,34808.0
2025-02-17,09:25,1739784300,344.85,346.8,344.85,346.8,39911.0
2025-02-17,09:26,1739784360,345.8,345.8,343.5,343.5,40453.0
2025-02-17,09:27,1739784420,342.85,342.85,340.8,341.45,42069.0
2025-02-17,09:28,1739784480,341.5,343.05,341.05,341.05,42755.0
2025-02-17,09:29,1739784540,341.5,342.85,340.0,342.1,44677.0
2025-02-17,09:30,1739784600,341.55,341.7,340.3,340.3,45077.0
2025-02-17,09:31,1739784660,339.55,339.85,339.5,339.85,46317.0
2025-02-17,09:32,1739784720,339.5,339.5,338.75,338.85,46675.0
2025-02-17,09:33,1739784780,338.0,338.0,336.9,337.5,47596.0
2025-02-17,09:34,1739784840,337.9,338.9,337.8,338.9,47750.0
2025-02-17,09:35,1739784900,338.4,339.9,338.4,339.9,47964.0
2025-02-17,09:36,1739784960,340.0,341.55,339.15,341.55,48031.0
2025-02-17,09:37,1739785020,341.5,341.5,340.7,340.7,48478.0
2025-02-17,09:38,1739785080,341.05,342.0,341.0,342.0,48544.0
2025-02-17,09:39,1739785140,341.3,341.3,339.15,340.95,49744.0
2025-02-17,09:40,1739785200,341.2,342.8,340.65,342.8,50041.0
2025-02-17,09:41,1739785260,342.3,343.85,342.1,342.1,51221.0
2025-02-17,09:42,1739785320,341.3,343.25,341.2,341.2,53175.0
2025-02-17,09:43,1739785380,341.45,342.25,340.85,341.95,55475.0
2025-02-17,09:44,1739785440,342.65,343.75,342.65,343.6,56868.0
2025-02-17,09:45,1739785500,343.55,343.55,343.15,343.35,58565.0
2025-02-17,09:46,1739785560,343.45,343.5,340.5,340.5,59144.0
2025-02-17,09:47,1739785620,340.15,341.4,340.15,341.2,60108.0
2025-02-17,09:48,1739785680,341.3,341.5,341.05,341.2,61254.0
2025-02-17,09:49,1739785740,340.85,341.05,340.5,341.05,62078.0
2025-02-17,09:50,1739785800,340.6,340.6,340.35,340.35,62376.0
2025-02-17,09:51,1739785860,340.0,340.1,339.35,339.35,63009.0
2025-02-17,09:52,1739785920,339.8,339.8,339.8,339.8,63039.0
2025-02-17,09:53,1739785980,339.15,339.4,338.05,338.05,63181.0
2025-02-17,09:54,1739786040,338.65,338.65,337.0,337.0,63832.0
2025-02-17,09:55,1739786100,337.15,338.35,337.15,338.35,63944.0
2025-02-17,09:56,1739786160,338.2,338.35,338.0,338.35,64082.0
2025-02-17,09:57,1739786220,338.75,340.15,338.35,340.0,64448.0
2025-02-17,09:58,1739786280,340.7,340.8,340.0,340.35,64615.0
2025-02-17,09:59,1739786340,340.85,341.2,340.4,340.85,64864.0
2025-02-17,10:00,1739786400,340.9,340.9,339.0,339.4,66095.0
2025-02-17,10:01,1739786460,339.45,339.45,339.45,339.45,67526.0
2025-02-17,10:02,1739786520,338.9,338.9,337.65,337.65,68519.0
2025-02-17,10:03,1739786580,338.4,338.95,337.85,338.25,69047.0
2025-02-17,10:04,1739786640,338.85,338.85,338.85,338.85,69051.0
2025-02-17,10:05,1739786700,339.05,339.65,339.05,339.65,69415.0
2025-02-17,10:06,1739786760,339.95,340.85,339.75,340.15,69788.0
2025-02-17,10:07,1739786820,340.7,340.7,339.9,339.9,69830.0
2025-02-17,10:08,1739786880,340.55,341.4,340.55,341.35,69985.0
2025-02-17,10:09,1739786940,341.8,342.2,341.2,342.2,70402.0
2025-02-17,10:10,1739787000,341.45,341.45,340.0,341.05,71303.0
2025-02-17,10:11,1739787060,340.3,340.3,338.3,338.3,71500.0
2025-02-17,10:12,1739787120,337.95,338.3,337.4,337.65,71593.0
2025-02-17,10:13,1739787180,337.6,337.6,337.6,337.6,71613.0
2025-02-17,10:14,1739787240,337.85,338.0,337.85,337.95,72806.0
2025-02-17,10:15,1739787300,337.7,337.85,337.7,337.85,72831.0
2025-02-17,10:16,1739787360,338.1,338.45,338.05,338.15,72863.0
2025-02-17,10:17,1739787420,338.25,338.4,338.15,338.15,72890.0
2025-02-17,10:18,1739787480,338.3,338.3,337.85,337.85,72922.0
2025-02-17,10:19,1739787540,338.2,338.4,337.8,338.4,72997.0
2025-02-17,10:20,1739787600,338.15,339.7,338.15,339.7,73049.0
2025-02-17,10:21,1739787660,339.85,341.5,339.85,340.85,75343.0
2025-02-17,10:22,1739787720,340.8,340.8,339.9,339.9,75488.0
2025-02-17,10:23,1739787780,340.15,340.15,340.15,340.15,75493.0
2025-02-17,10:24,1739787840,340.05,340.05,338.85,338.85,76199.0
2025-02-17,10:25,1739787900,339.15,339.15,339.15,339.15,76202.0
2025-02-17,10:26,1739787960,338.5,339.15,338.15,339.15,76540.0
2025-02-17,10:27,1739788020,339.1,340.0,339.1,339.6,76612.0
2025-02-17,10:28,1739788080,339.85,340.9,339.85,340.45,76654.0
2025-02-17,10:29,1739788140,341.0,341.0,340.9,340.9,76763.0
2025-02-17,10:30,1739788200,341.4,341.6,341.05,341.1,76895.0
2025-02-17,10:31,1739788260,341.05,341.2,341.0,341.0,77015.0
2025-02-17,10:32,1739788320,341.55,341.55,340.8,340.8,77081.0
2025-02-17,10:33,1739788380,340.45,342.35,340.45,341.6,77408.0
2025-02-17,10:34,1739788440,341.7,342.15,341.7,342.15,77492.0
2025-02-17,10:35,1739788500,342.25,342.25,342.25,342.25,77647.0
2025-02-17,10:36,1739788560,342.1,343.25,342.1,343.25,79036.0
2025-02-17,10:37,1739788620,343.3,343.3,343.25,343.25,79087.0
2025-02-17,10:38,1739788680,343.6,343.6,343.05,343.05,80189.0
2025-02-17,10:39,1739788740,342.7,343.65,342.7,343.65,80896.0
2025-02-17,10:40,1739788800,343.2,343.2,343.15,343.15,81064.0
2025-02-17,10:41,1739788860,343.2,343.2,343.15,343.15,0.0
2025-02-17,10:42,1739788920,343.0,343.0,342.85,342.85,81130.0
2025-02-17,10:43,1739788980,343.0,343.0,342.85,342.85,0.0
2025-02-17,10:44,1739789040,342.95,343.9,342.95,343.9,81256.0
2025-02-17,10:45,1739789100,344.0,344.0,343.75,343.75,82728.0
2025-02-17,10:46,1739789160,344.0,344.0,343.75,343.75,0.0
2025-02-17,10:47,1739789220,344.0,344.0,343.75,343.75,0.0
2025-02-17,10:48,1739789280,343.4,343.4,343.4,343.4,82796.0
2025-02-17,10:49,1739789340,343.25,343.25,343.25,343.25,82802.0
2025-02-17,10:50,1739789400,343.45,343.9,343.45,343.9,83016.0
2025-02-17,10:51,1739789460,344.0,344.0,344.0,344.0,83332.0
2025-02-17,10:52,1739789520,344.0,344.0,344.0,344.0,83627.0
2025-02-17,10:53,1739789580,343.65,343.65,343.65,343.65,83690.0
2025-02-17,10:54,1739789640,343.85,343.85,343.85,343.85,83691.0
2025-02-17,10:55,1739789700,344.0,344.0,343.35,343.35,86931.0
