Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,353.95,353.95,347.35,348.0,2484.0
2025-02-17,09:16,1739783760,348.2,348.2,345.0,346.1,3292.0
2025-02-17,09:17,1739783820,345.9,347.95,345.5,347.95,4126.0
2025-02-17,09:18,1739783880,347.75,349.35,347.05,349.35,4513.0
2025-02-17,09:19,1739783940,349.15,351.3,349.15,350.15,6059.0
2025-02-17,09:20,1739784000,350.05,350.15,348.75,349.2,7997.0
2025-02-17,09:21,1739784060,349.4,350.25,349.35,349.45,8582.0
2025-02-17,09:22,1739784120,349.55,349.85,349.1,349.2,9955.0
2025-02-17,09:23,1739784180,349.85,349.95,348.8,348.8,11870.0
2025-02-17,09:24,1739784240,349.5,350.25,349.15,349.7,12835.0
2025-02-17,09:25,1739784300,350.3,352.15,350.3,351.45,15257.0
2025-02-17,09:26,1739784360,351.15,351.15,349.25,349.55,16735.0
2025-02-17,09:27,1739784420,348.8,349.5,348.8,348.85,17199.0
2025-02-17,09:28,1739784480,348.75,349.35,348.75,349.25,17982.0
2025-02-17,09:29,1739784540,348.85,349.4,348.7,348.85,19179.0
2025-02-17,09:30,1739784600,348.25,349.35,348.2,348.2,19649.0
2025-02-17,09:31,1739784660,348.0,348.05,347.95,347.95,20543.0
2025-02-17,09:32,1739784720,347.1,347.8,347.0,347.0,20717.0
2025-02-17,09:33,1739784780,346.0,346.75,346.0,346.0,22389.0
2025-02-17,09:34,1739784840,346.35,347.35,346.35,347.35,22750.0
2025-02-17,09:35,1739784900,347.25,347.7,347.1,347.7,23928.0
2025-02-17,09:36,1739784960,347.35,349.2,347.35,348.75,24965.0
2025-02-17,09:37,1739785020,348.05,349.0,348.05,348.3,25247.0
2025-02-17,09:38,1739785080,348.35,349.0,347.95,347.95,25672.0
2025-02-17,09:39,1739785140,347.9,348.1,347.8,348.1,26065.0
2025-02-17,09:40,1739785200,347.95,349.0,347.95,349.0,26341.0
2025-02-17,09:41,1739785260,348.85,349.55,348.85,349.2,28113.0
2025-02-17,09:42,1739785320,349.25,349.25,348.65,348.65,28282.0
2025-02-17,09:43,1739785380,348.85,349.3,348.4,349.3,28597.0
2025-02-17,09:44,1739785440,349.9,350.35,349.55,350.35,30201.0
2025-02-17,09:45,1739785500,349.9,352.0,349.9,351.3,32136.0
2025-02-17,09:46,1739785560,350.8,350.95,349.55,349.75,33408.0
2025-02-17,09:47,1739785620,349.6,349.75,349.15,349.2,33604.0
2025-02-17,09:48,1739785680,349.4,349.4,349.25,349.25,33755.0
2025-02-17,09:49,1739785740,349.6,349.6,349.0,349.0,33917.0
2025-02-17,09:50,1739785800,349.35,349.35,348.85,348.85,34096.0
2025-02-17,09:51,1739785860,348.95,348.95,348.3,348.3,34331.0
2025-02-17,09:52,1739785920,348.55,348.6,348.55,348.6,34386.0
2025-02-17,09:53,1739785980,348.0,348.0,347.0,347.35,34972.0
2025-02-17,09:54,1739786040,346.5,346.75,346.25,346.25,36173.0
2025-02-17,09:55,1739786100,346.6,347.1,346.25,346.85,36392.0
2025-02-17,09:56,1739786160,346.35,346.7,346.25,346.7,36574.0
2025-02-17,09:57,1739786220,346.85,348.55,346.85,348.55,37080.0
2025-02-17,09:58,1739786280,348.5,348.75,347.55,348.35,38755.0
2025-02-17,09:59,1739786340,348.6,348.6,348.1,348.1,38796.0
2025-02-17,10:00,1739786400,348.15,348.15,347.1,347.1,39190.0
2025-02-17,10:01,1739786460,347.5,347.5,346.8,346.8,40951.0
