Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,60.85,60.85,58.78,58.78,9362.0
2025-02-17,09:16,1739783760,59.02,60.66,58.75,59.18,10117.0
2025-02-17,09:17,1739783820,59.84,59.84,59.41,59.8,10522.0
2025-02-17,09:18,1739783880,59.71,60.31,59.71,60.31,10873.0
2025-02-17,09:19,1739783940,60.32,60.5,60.27,60.5,16719.0
2025-02-17,09:20,1739784000,60.71,60.73,60.32,60.73,17659.0
2025-02-17,09:21,1739784060,60.9,61.0,60.9,61.0,20956.0
2025-02-17,09:22,1739784120,61.1,61.1,60.91,61.1,21547.0
2025-02-17,09:23,1739784180,61.0,61.0,60.95,60.95,21647.0
2025-02-17,09:24,1739784240,60.82,60.82,60.77,60.77,21930.0
2025-02-17,09:25,1739784300,61.0,61.11,60.93,61.11,22857.0
2025-02-17,09:26,1739784360,61.14,61.14,60.55,60.55,26491.0
2025-02-17,09:27,1739784420,60.44,61.0,60.33,61.0,28593.0
2025-02-17,09:28,1739784480,60.5,60.62,60.34,60.62,29245.0
2025-02-17,09:29,1739784540,60.24,60.33,60.24,60.26,31100.0
2025-02-17,09:30,1739784600,60.5,60.5,60.41,60.44,31155.0
2025-02-17,09:31,1739784660,60.22,60.22,59.78,59.81,31690.0
2025-02-17,09:32,1739784720,59.71,59.71,59.7,59.7,31943.0
2025-02-17,09:33,1739784780,59.5,59.5,59.1,59.4,42674.0
2025-02-17,09:34,1739784840,59.56,60.42,59.56,60.42,46719.0
2025-02-17,09:35,1739784900,59.94,59.96,59.9,59.9,46886.0
2025-02-17,09:36,1739784960,59.76,60.17,59.71,60.17,51894.0
2025-02-17,09:37,1739785020,60.39,60.39,60.08,60.19,52489.0
2025-02-17,09:38,1739785080,60.17,60.25,60.17,60.22,52808.0
2025-02-17,09:39,1739785140,60.21,60.21,59.72,59.72,55283.0
2025-02-17,09:40,1739785200,60.04,60.07,59.85,59.85,55953.0
2025-02-17,09:41,1739785260,60.23,60.68,60.23,60.68,58340.0
2025-02-17,09:42,1739785320,60.42,60.42,60.42,60.42,59183.0
2025-02-17,09:43,1739785380,60.43,60.67,60.43,60.67,59191.0
2025-02-17,09:44,1739785440,60.75,60.79,60.75,60.79,59783.0
2025-02-17,09:45,1739785500,60.88,60.88,60.88,60.88,59784.0
2025-02-17,09:46,1739785560,60.68,60.68,60.65,60.65,59927.0
2025-02-17,09:47,1739785620,60.49,60.49,60.49,60.49,60482.0
2025-02-17,09:48,1739785680,60.49,60.49,60.49,60.49,60736.0
2025-02-17,09:49,1739785740,60.4,60.41,60.23,60.41,61932.0
2025-02-17,09:50,1739785800,60.44,60.44,60.44,60.44,61934.0
2025-02-17,09:51,1739785860,60.4,60.4,60.24,60.24,62214.0
2025-02-17,09:52,1739785920,60.2,60.33,60.2,60.33,62970.0
2025-02-17,09:53,1739785980,60.2,60.2,60.2,60.2,63604.0
2025-02-17,09:54,1739786040,60.06,60.06,60.06,60.06,64995.0
2025-02-17,09:55,1739786100,60.28,60.28,60.28,60.28,65495.0
2025-02-17,09:56,1739786160,60.29,60.29,60.01,60.01,65861.0
2025-02-17,09:57,1739786220,60.05,60.25,60.02,60.25,66019.0
2025-02-17,09:58,1739786280,60.26,60.65,60.26,60.4,67240.0
2025-02-17,09:59,1739786340,60.4,60.4,60.4,60.4,67340.0
2025-02-17,10:00,1739786400,60.25,60.25,60.25,60.25,69645.0
2025-02-17,10:01,1739786460,60.05,60.05,59.65,59.65,73354.0
2025-02-17,10:02,1739786520,59.96,60.06,59.96,60.05,73879.0
2025-02-17,10:03,1739786580,59.85,59.85,59.8,59.8,89883.0
2025-02-17,10:04,1739786640,59.49,60.18,59.4,60.05,100260.0
2025-02-17,10:05,1739786700,60.3,60.3,60.15,60.15,100672.0
2025-02-17,10:06,1739786760,59.86,60.15,59.86,60.15,102780.0
2025-02-17,10:07,1739786820,60.47,60.47,60.29,60.29,103371.0
2025-02-17,10:08,1739786880,60.11,60.66,60.11,60.65,107349.0
2025-02-17,10:09,1739786940,60.26,60.26,60.26,60.26,107849.0
2025-02-17,10:10,1739787000,60.31,60.31,60.31,60.31,107854.0
2025-02-17,10:11,1739787060,60.46,60.46,60.01,60.01,107993.0
2025-02-17,10:12,1739787120,60.17,60.17,60.0,60.0,108299.0
2025-02-17,10:13,1739787180,59.99,59.99,59.86,59.86,108325.0
2025-02-17,10:14,1739787240,59.66,59.66,59.41,59.41,108442.0
2025-02-17,10:15,1739787300,59.22,59.22,59.22,59.22,110973.0
2025-02-17,10:16,1739787360,59.39,60.0,59.29,60.0,118158.0
2025-02-17,10:17,1739787420,59.46,59.57,59.26,59.57,118827.0
2025-02-17,10:18,1739787480,59.64,59.64,59.64,59.64,118914.0
2025-02-17,10:19,1739787540,59.62,59.79,59.26,59.79,121355.0
2025-02-17,10:20,1739787600,59.62,59.69,59.55,59.55,122703.0
2025-02-17,10:21,1739787660,59.85,59.92,59.65,59.88,122940.0
2025-02-17,10:22,1739787720,59.91,60.02,59.91,59.93,123026.0
2025-02-17,10:23,1739787780,59.9,60.22,59.9,60.22,123209.0
2025-02-17,10:24,1739787840,60.51,60.51,60.12,60.12,125247.0
2025-02-17,10:25,1739787900,60.1,60.1,59.87,59.87,126462.0
2025-02-17,10:26,1739787960,60.1,60.1,59.87,59.87,0.0
2025-02-17,10:27,1739788020,59.72,60.16,59.72,60.16,126858.0
2025-02-17,10:28,1739788080,60.24,60.24,60.24,60.24,126871.0
2025-02-17,10:29,1739788140,60.26,60.26,60.09,60.09,127007.0
