Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,161.08,161.08,157.87,158.11,9406.0
2025-02-17,09:16,1739783760,157.53,157.53,156.97,156.97,11312.0
2025-02-17,09:17,1739783820,157.06,157.06,156.5,157.0,13978.0
2025-02-17,09:18,1739783880,157.25,157.7,157.23,157.23,14270.0
2025-02-17,09:19,1739783940,157.21,159.39,157.21,159.39,15358.0
2025-02-17,09:20,1739784000,159.9,159.9,159.09,159.6,17369.0
2025-02-17,09:21,1739784060,159.22,159.91,159.22,159.85,19537.0
2025-02-17,09:22,1739784120,159.73,161.0,159.73,160.88,31997.0
2025-02-17,09:23,1739784180,160.3,160.5,160.09,160.5,35270.0
2025-02-17,09:24,1739784240,160.39,160.8,160.37,160.67,38580.0
2025-02-17,09:25,1739784300,160.65,161.5,160.65,161.5,41527.0
2025-02-17,09:26,1739784360,161.03,161.3,160.21,160.21,42082.0
2025-02-17,09:27,1739784420,160.46,160.46,159.27,159.27,43474.0
2025-02-17,09:28,1739784480,159.48,159.5,159.14,159.5,43744.0
2025-02-17,09:29,1739784540,159.43,159.47,159.28,159.28,44782.0
2025-02-17,09:30,1739784600,159.66,159.75,159.49,159.49,45653.0
2025-02-17,09:31,1739784660,159.33,159.33,159.01,159.01,45758.0
2025-02-17,09:32,1739784720,159.0,159.1,158.67,158.68,46075.0
2025-02-17,09:33,1739784780,158.72,158.72,157.15,157.15,54430.0
2025-02-17,09:34,1739784840,157.26,157.99,157.0,157.99,58664.0
2025-02-17,09:35,1739784900,157.8,158.01,157.5,157.5,60724.0
2025-02-17,09:36,1739784960,157.73,158.19,157.73,158.19,60851.0
2025-02-17,09:37,1739785020,158.15,158.39,158.15,158.29,61005.0
2025-02-17,09:38,1739785080,158.35,158.85,158.01,158.85,63032.0
2025-02-17,09:39,1739785140,158.65,158.65,158.23,158.36,63664.0
2025-02-17,09:40,1739785200,158.7,158.93,158.52,158.93,64149.0
2025-02-17,09:41,1739785260,159.04,159.42,159.04,159.22,65209.0
2025-02-17,09:42,1739785320,158.92,158.95,158.14,158.14,67854.0
2025-02-17,09:43,1739785380,158.13,158.13,157.81,157.81,68441.0
2025-02-17,09:44,1739785440,157.85,158.39,157.85,158.39,69110.0
2025-02-17,09:45,1739785500,158.56,158.98,158.56,158.9,69384.0
2025-02-17,09:46,1739785560,159.01,159.01,158.61,158.61,69470.0
2025-02-17,09:47,1739785620,158.42,158.42,158.0,158.39,70053.0
2025-02-17,09:48,1739785680,158.7,158.76,158.6,158.76,70484.0
2025-02-17,09:49,1739785740,158.8,158.81,158.7,158.81,72842.0
2025-02-17,09:50,1739785800,158.97,158.97,158.11,158.32,73775.0
2025-02-17,09:51,1739785860,158.36,158.44,158.36,158.39,73882.0
2025-02-17,09:52,1739785920,158.31,158.31,158.14,158.21,74538.0
2025-02-17,09:53,1739785980,158.1,158.16,157.5,157.5,76578.0
2025-02-17,09:54,1739786040,157.25,157.33,156.99,157.33,77497.0
2025-02-17,09:55,1739786100,157.11,157.11,156.82,157.08,77921.0
2025-02-17,09:56,1739786160,157.29,157.29,157.08,157.08,78322.0
2025-02-17,09:57,1739786220,157.36,157.72,157.03,157.72,78516.0
2025-02-17,09:58,1739786280,157.85,158.08,157.85,158.08,78866.0
2025-02-17,09:59,1739786340,157.88,158.0,157.88,158.0,80168.0
2025-02-17,10:00,1739786400,157.81,157.97,157.11,157.41,80744.0
2025-02-17,10:01,1739786460,157.01,157.33,157.01,157.09,81184.0
2025-02-17,10:02,1739786520,157.27,157.27,157.0,157.18,82741.0
2025-02-17,10:03,1739786580,157.08,157.15,156.99,157.15,83260.0
2025-02-17,10:04,1739786640,157.08,157.15,156.99,157.15,0.0
2025-02-17,10:05,1739786700,157.17,157.4,157.17,157.25,83673.0
2025-02-17,10:06,1739786760,157.39,158.0,157.38,157.99,86265.0
2025-02-17,10:07,1739786820,158.19,158.2,158.19,158.2,86972.0
2025-02-17,10:08,1739786880,158.49,158.63,158.48,158.59,87749.0
2025-02-17,10:09,1739786940,158.62,158.91,158.3,158.3,91472.0
2025-02-17,10:10,1739787000,158.18,158.18,157.66,157.66,91511.0
2025-02-17,10:11,1739787060,157.5,157.57,157.0,157.0,91944.0
2025-02-17,10:12,1739787120,156.9,156.9,156.69,156.69,94045.0
2025-02-17,10:13,1739787180,156.7,156.74,156.61,156.61,95713.0
2025-02-17,10:14,1739787240,156.64,156.9,156.5,156.62,97412.0
2025-02-17,10:15,1739787300,156.56,156.95,156.56,156.67,97772.0
2025-02-17,10:16,1739787360,156.91,156.91,156.91,156.91,97780.0
2025-02-17,10:17,1739787420,156.99,157.07,156.91,157.06,98173.0
2025-02-17,10:18,1739787480,156.81,156.95,156.59,156.82,98860.0
2025-02-17,10:19,1739787540,156.92,157.04,156.9,157.04,98983.0
2025-02-17,10:20,1739787600,156.87,157.19,156.65,157.19,101711.0
2025-02-17,10:21,1739787660,157.54,157.74,157.54,157.67,102136.0
2025-02-17,10:22,1739787720,157.62,157.62,157.62,157.62,103561.0
2025-02-17,10:23,1739787780,157.45,157.77,157.25,157.77,103860.0
2025-02-17,10:24,1739787840,157.55,157.55,157.55,157.55,104794.0
2025-02-17,10:25,1739787900,157.5,157.5,156.99,157.13,105075.0
2025-02-17,10:26,1739787960,156.88,157.24,156.88,157.14,105278.0
2025-02-17,10:27,1739788020,157.39,157.5,157.36,157.36,105530.0
2025-02-17,10:28,1739788080,157.6,157.6,157.6,157.6,105570.0
2025-02-17,10:29,1739788140,157.65,157.65,157.64,157.64,105674.0
2025-02-17,10:30,1739788200,157.65,157.76,157.65,157.76,105970.0
2025-02-17,10:31,1739788260,157.85,157.85,157.75,157.75,106325.0
2025-02-17,10:32,1739788320,157.7,157.79,157.7,157.79,106365.0
2025-02-17,10:33,1739788380,157.94,158.48,157.94,158.21,107705.0
2025-02-17,10:34,1739788440,158.34,158.38,157.97,158.25,109822.0
2025-02-17,10:35,1739788500,158.2,158.4,158.2,158.4,109902.0
2025-02-17,10:36,1739788560,158.5,159.11,158.5,159.11,113726.0
2025-02-17,10:37,1739788620,159.36,159.4,159.12,159.4,113836.0
2025-02-17,10:38,1739788680,159.5,159.5,158.7,158.87,116245.0
2025-02-17,10:39,1739788740,158.78,158.9,158.76,158.88,116452.0
2025-02-17,10:40,1739788800,158.93,158.95,158.81,158.81,116481.0
2025-02-17,10:41,1739788860,158.95,158.95,158.95,158.95,116589.0
2025-02-17,10:42,1739788920,159.0,159.19,158.97,158.97,117837.0
2025-02-17,10:43,1739788980,158.94,159.1,158.76,159.1,118019.0
2025-02-17,10:44,1739789040,159.18,159.18,159.18,159.18,118048.0
2025-02-17,10:45,1739789100,159.19,159.41,159.19,159.39,118088.0
2025-02-17,10:46,1739789160,159.31,159.38,159.14,159.14,118274.0
2025-02-17,10:47,1739789220,159.01,159.37,159.01,159.37,118336.0
2025-02-17,10:48,1739789280,159.12,159.19,159.03,159.19,118359.0
2025-02-17,10:49,1739789340,159.32,159.64,159.04,159.6,120973.0
2025-02-17,10:50,1739789400,159.8,159.8,159.8,159.8,122248.0
2025-02-17,10:51,1739789460,159.54,159.54,159.5,159.5,122459.0
2025-02-17,10:52,1739789520,159.54,159.55,159.54,159.55,122511.0
2025-02-17,10:53,1739789580,159.54,159.55,159.54,159.55,0.0
2025-02-17,10:54,1739789640,159.54,159.55,159.54,159.55,0.0
2025-02-17,10:55,1739789700,159.5,159.5,159.5,159.5,122861.0
2025-02-17,10:56,1739789760,159.34,159.48,159.34,159.48,123238.0
2025-02-17,10:57,1739789820,159.21,159.21,159.04,159.04,123246.0
2025-02-17,10:58,1739789880,159.08,159.13,159.0,159.13,124580.0
2025-02-17,10:59,1739789940,159.0,159.29,159.0,159.29,127266.0
2025-02-17,11:00,1739790000,159.36,159.36,159.36,159.36,127366.0
2025-02-17,11:01,1739790060,159.36,159.36,159.36,159.36,127566.0
