Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739783700,46.1,47.38,45.54,47.0,191033.0
2025-02-17,09:16,1739783760,46.11,46.15,45.5,45.5,324211.0
2025-02-17,09:17,1739783820,45.42,45.7,45.23,45.23,376683.0
2025-02-17,09:18,1739783880,45.45,46.03,45.29,45.84,439793.0
2025-02-17,09:19,1739783940,46.24,46.58,46.24,46.24,457451.0
2025-02-17,09:20,1739784000,46.43,46.55,46.36,46.36,462758.0
2025-02-17,09:21,1739784060,46.76,46.76,46.27,46.39,546450.0
2025-02-17,09:22,1739784120,46.34,46.5,46.3,46.3,559051.0
2025-02-17,09:23,1739784180,46.25,46.31,46.2,46.2,562754.0
2025-02-17,09:24,1739784240,46.18,46.18,46.16,46.16,564553.0
2025-02-17,09:25,1739784300,46.17,46.62,46.17,46.47,585871.0
2025-02-17,09:26,1739784360,46.42,46.42,45.86,45.86,595440.0
2025-02-17,09:27,1739784420,45.76,45.82,45.62,45.62,603954.0
2025-02-17,09:28,1739784480,45.76,45.76,45.66,45.66,612378.0
2025-02-17,09:29,1739784540,45.71,45.8,45.68,45.8,615456.0
2025-02-17,09:30,1739784600,45.71,45.75,45.44,45.44,617242.0
2025-02-17,09:31,1739784660,45.26,45.42,45.22,45.3,632263.0
2025-02-17,09:32,1739784720,45.2,45.2,45.0,45.0,634491.0
2025-02-17,09:33,1739784780,44.89,44.9,44.82,44.82,644720.0
2025-02-17,09:34,1739784840,44.87,45.11,44.87,44.94,651383.0
2025-02-17,09:35,1739784900,44.95,45.0,44.95,45.0,659945.0
2025-02-17,09:36,1739784960,44.95,45.31,44.95,45.31,686791.0
2025-02-17,09:37,1739785020,45.09,45.19,45.05,45.19,691911.0
2025-02-17,09:38,1739785080,45.27,45.27,45.17,45.17,695003.0
2025-02-17,09:39,1739785140,45.15,45.15,45.05,45.05,697843.0
2025-02-17,09:40,1739785200,45.22,45.22,45.1,45.1,702006.0
2025-02-17,09:41,1739785260,45.17,45.38,45.17,45.3,715898.0
2025-02-17,09:42,1739785320,45.24,45.24,45.12,45.15,716749.0
2025-02-17,09:43,1739785380,45.07,45.2,45.07,45.2,720750.0
2025-02-17,09:44,1739785440,45.27,45.57,45.27,45.57,734829.0
2025-02-17,09:45,1739785500,45.55,45.86,45.48,45.82,743393.0
2025-02-17,09:46,1739785560,45.71,45.83,45.4,45.44,756897.0
2025-02-17,09:47,1739785620,45.32,45.32,45.19,45.19,761239.0
2025-02-17,09:48,1739785680,45.27,45.27,45.25,45.27,763235.0
2025-02-17,09:49,1739785740,45.16,45.17,45.11,45.14,769968.0
2025-02-17,09:50,1739785800,45.12,45.32,45.12,45.25,794046.0
2025-02-17,09:51,1739785860,45.3,45.3,45.3,45.3,802266.0
2025-02-17,09:52,1739785920,45.36,45.36,45.3,45.3,805569.0
2025-02-17,09:53,1739785980,45.4,45.44,45.35,45.37,865549.0
2025-02-17,09:54,1739786040,45.25,45.36,45.25,45.36,867051.0
2025-02-17,09:55,1739786100,45.25,45.36,45.25,45.36,0.0
2025-02-17,09:56,1739786160,45.35,45.35,45.26,45.34,867261.0
2025-02-17,09:57,1739786220,45.25,45.37,45.25,45.37,875052.0
2025-02-17,09:58,1739786280,45.49,45.79,45.49,45.79,893137.0
2025-02-17,09:59,1739786340,45.7,45.88,45.7,45.75,896819.0
2025-02-17,10:00,1739786400,45.87,45.87,45.81,45.86,897034.0
2025-02-17,10:01,1739786460,45.85,45.85,45.8,45.8,897386.0
2025-02-17,10:02,1739786520,45.78,45.78,45.52,45.52,902946.0
2025-02-17,10:03,1739786580,45.62,45.69,45.62,45.69,903475.0
2025-02-17,10:04,1739786640,45.65,45.78,45.63,45.78,910389.0
2025-02-17,10:05,1739786700,45.87,45.93,45.83,45.9,912430.0
2025-02-17,10:06,1739786760,45.96,46.1,45.96,46.07,915367.0
2025-02-17,10:07,1739786820,46.0,46.14,46.0,46.14,916622.0
2025-02-17,10:08,1739786880,46.33,46.33,46.33,46.33,920863.0
2025-02-17,10:09,1739786940,46.5,46.6,46.39,46.4,937205.0
2025-02-17,10:10,1739787000,46.31,46.31,46.07,46.18,953085.0
2025-02-17,10:11,1739787060,46.09,46.11,45.87,45.87,956119.0
2025-02-17,10:12,1739787120,45.78,45.78,45.71,45.71,957002.0
2025-02-17,10:13,1739787180,45.65,45.76,45.65,45.76,958038.0
2025-02-17,10:14,1739787240,45.62,45.67,45.58,45.58,961882.0
2025-02-17,10:15,1739787300,45.62,45.62,45.6,45.6,962153.0
2025-02-17,10:16,1739787360,45.63,45.67,45.59,45.65,965045.0
2025-02-17,10:17,1739787420,45.72,45.72,45.69,45.71,965760.0
2025-02-17,10:18,1739787480,45.72,45.72,45.68,45.7,967674.0
2025-02-17,10:19,1739787540,45.72,45.72,45.68,45.7,0.0
2025-02-17,10:20,1739787600,45.68,45.81,45.68,45.81,975273.0
