Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739763900,66.52,66.52,66,66,71
2025-02-17,09:18,1739764080,64.05,64.05,63.25,63.25,371
2025-02-17,09:22,1739764320,64.09,64.09,64.09,64.09,421
2025-02-17,09:23,1739764380,63.56,63.56,63.56,63.56,642
2025-02-17,09:24,1739764440,63.56,63.56,63.56,63.56,742
2025-02-17,09:25,1739764500,63.56,63.56,63.56,63.56,834
2025-02-17,09:26,1739764560,63.53,63.53,63.53,63.53,1015
2025-02-17,09:27,1739764620,63.56,63.56,63.5,63.56,1329
2025-02-17,09:28,1739764680,63.56,63.56,63.56,63.56,1379
2025-02-17,09:30,1739764800,63.56,63.56,63.56,63.56,1952
2025-02-17,09:33,1739764980,63.56,63.56,63.56,63.56,1988
2025-02-17,09:35,1739765100,63.6,63.6,63.56,63.56,2075
2025-02-17,09:36,1739765160,63.6,63.6,63.6,63.6,2105
2025-02-17,09:37,1739765220,63.6,63.6,63.6,63.6,2226
2025-02-17,09:42,1739765520,63.5,63.5,63.5,63.5,
2025-02-17,09:43,1739765580,63.4,63.4,63.4,63.4,3067
2025-02-17,09:44,1739765640,63.45,65,63.45,65,3171
2025-02-17,09:46,1739765760,65.68,65.68,65.68,65.68,3191
2025-02-17,09:48,1739765880,65.68,65.68,65.68,65.68,3192
2025-02-17,09:52,1739766120,65,65,63.36,63.36,3652
2025-02-17,09:56,1739766360,63.67,63.67,63.5,63.5,4652
2025-02-17,10:01,1739766660,63.36,63.36,63.36,63.36,4653
2025-02-17,10:02,1739766720,63.2,63.2,63.2,63.2,5252
2025-02-17,10:04,1739766840,63.2,63.2,63.2,63.2,5352
2025-02-17,10:08,1739767080,63.2,63.2,63.2,63.2,5739
2025-02-17,10:14,1739767440,64,64,64,64,5839
2025-02-17,10:16,1739767560,64,64,64,64,6288
2025-02-17,10:17,1739767620,64,64,64,64,6388
2025-02-17,10:18,1739767680,65.53,65.53,65.53,65.53,
2025-02-17,10:19,1739767740,65.53,65.53,65.53,65.53,6423
2025-02-17,10:20,1739767800,65.39,65.39,65.39,65.39,6473
