Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739763900,8.85,8.9,8.85,8.9,32181
2025-02-17,09:16,1739763960,8.85,8.85,8.85,8.85,37481
2025-02-17,09:17,1739764020,8.85,8.85,8.85,8.85,44970
2025-02-17,09:18,1739764080,8.85,8.85,8.85,8.85,46970
2025-02-17,09:20,1739764200,8.9,8.9,8.9,8.9,47431
2025-02-17,09:21,1739764260,8.9,8.9,8.9,8.9,47841
2025-02-17,09:22,1739764320,8.85,8.85,8.85,8.85,54026
2025-02-17,09:24,1739764440,8.98,8.98,8.98,8.98,54036
2025-02-17,09:25,1739764500,9,9,8.85,8.85,55161
2025-02-17,09:26,1739764560,8.85,8.85,8.85,8.85,55461
2025-02-17,09:27,1739764620,9,9,9,9,55961
2025-02-17,09:30,1739764800,8.85,9,8.85,9,56552
2025-02-17,09:31,1739764860,8.85,8.85,8.85,8.85,56554
2025-02-17,09:32,1739764920,9,9,9,9,62555
2025-02-17,09:33,1739764980,8.85,8.85,8.85,8.85,64684
2025-02-17,09:35,1739765100,8.85,8.85,8.85,8.85,65684
2025-02-17,09:36,1739765160,9,9,9,9,65828
2025-02-17,09:37,1739765220,9,9,9,9,65890
2025-02-17,09:38,1739765280,8.85,8.85,8.85,8.85,65996
2025-02-17,09:39,1739765340,9,9,9,9,66196
2025-02-17,09:40,1739765400,8.99,8.99,8.99,8.99,66197
2025-02-17,09:41,1739765460,8.99,8.99,8.99,8.99,66297
2025-02-17,09:42,1739765520,8.85,8.85,8.85,8.85,67147
2025-02-17,09:43,1739765580,8.9,8.9,8.85,8.85,70947
2025-02-17,09:45,1739765700,8.85,8.85,8.85,8.85,73447
2025-02-17,09:46,1739765760,8.85,8.85,8.85,8.85,74651
2025-02-17,09:47,1739765820,8.86,8.97,8.85,8.97,75379
2025-02-17,09:49,1739765940,8.85,8.85,8.85,8.85,75579
2025-02-17,09:50,1739766000,8.85,8.85,8.85,8.85,75679
2025-02-17,09:51,1739766060,8.85,8.85,8.85,8.85,87679
2025-02-17,09:55,1739766300,8.85,8.85,8.85,8.85,88179
2025-02-17,09:57,1739766420,8.98,8.98,8.85,8.85,98457
2025-02-17,09:58,1739766480,8.85,8.85,8.85,8.85,106997
2025-02-17,09:59,1739766540,8.86,8.86,8.86,8.86,107573
