Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:16,1739763960,80,80,80,80,50
2025-02-17,09:20,1739764200,78.1,78.5,78.1,78.5,161
2025-02-17,09:50,1739766000,78.51,78.51,78.51,78.51,879
2025-02-17,10:06,1739766960,80.9,80.9,80.9,80.9,1229
2025-02-17,10:27,1739768220,80.5,80.5,80.5,80.5,1279
2025-02-17,10:59,1739770140,78.5,80.99,78.5,80.99,1839
2025-02-17,11:06,1739770560,80.99,80.99,80.99,80.99,1939
2025-02-17,11:08,1739770680,80.99,80.99,80.99,80.99,1979
2025-02-17,11:44,1739772840,79,79,79,79,2462
2025-02-17,12:06,1739774160,78.61,78.61,78.61,78.61,2962
2025-02-17,12:31,1739775660,78.62,78.62,78.62,78.62,2968
2025-02-17,12:42,1739776320,78.66,78.66,78.66,78.66,3068
2025-02-17,12:45,1739776500,78.65,80.55,78.65,80.55,3743
2025-02-17,12:48,1739776680,81,81,81,81,4043
2025-02-17,12:49,1739776740,81,81,81,81,4293
2025-02-17,13:06,1739777760,82,82,82,82,4303
2025-02-17,13:09,1739777940,82,82,82,82,4310
2025-02-17,13:29,1739779140,81.5,81.5,81.5,81.5,4311
2025-02-17,14:13,1739781780,82,82,82,82,4312
2025-02-17,14:16,1739781960,82,82,82,82,4313
2025-02-17,14:38,1739783280,80.99,80.99,80.99,80.99,4314
2025-02-17,14:54,1739784240,80.99,80.99,80.99,80.99,4315
2025-02-17,14:58,1739784480,83,83,83,83,4366
2025-02-17,15:00,1739784600,83.8,83.8,83.8,83.8,4414
2025-02-17,15:11,1739785260,83.7,83.7,83.7,83.7,4415
2025-02-17,15:19,1739785740,83.8,83.8,83.8,83.8,4515
2025-02-17,15:29,1739786340,81.28,81.28,81.28,81.28,4522
2025-02-18,09:15,1739850300,83,83,83,83,30
2025-02-18,09:24,1739850840,81.5,81.5,81.5,81.5,79
2025-02-18,09:25,1739850900,80,80,80,80,204
2025-02-18,10:38,1739855280,84,84,84,84,324
2025-02-18,12:18,1739861280,83.7,83.7,83.7,83.7,326
2025-02-18,12:22,1739861520,83.7,83.7,83.7,83.7,376
2025-02-18,13:52,1739866920,81.65,81.65,81.65,81.65,396
2025-02-18,13:58,1739867280,81.65,81.65,81.65,81.65,406
2025-02-18,13:59,1739867340,81.65,81.65,81.65,81.65,956
2025-02-18,14:00,1739867400,81.65,81.65,81.65,81.65,996
2025-02-18,14:05,1739867700,81.65,81.65,81.65,81.65,1037
2025-02-18,14:33,1739869380,83,83,83,83,1047
2025-02-18,14:35,1739869500,83.95,83.95,83.95,83.95,1107
2025-02-18,14:36,1739869560,83.95,83.95,83.95,83.95,1108
2025-02-18,14:48,1739870280,83.3,83.3,83.3,83.3,1658
2025-02-18,14:49,1739870340,84,84,84,84,1758
2025-02-18,14:57,1739870820,85,85,85,85,1958
2025-02-18,14:58,1739870880,83,83,83,83,1960
2025-02-18,15:04,1739871240,85,85,85,85,1989
2025-02-18,15:11,1739871660,85,85,85,85,2189
2025-02-18,15:14,1739871840,85,85,85,85,2213
2025-02-18,15:17,1739872020,85,85,85,85,2229
2025-02-18,15:26,1739872560,85,85,85,85,2294
2025-02-19,09:21,1739937060,84.75,84.75,84.75,84.75,10
2025-02-19,09:33,1739937780,83,83,83,83,110
2025-02-19,09:35,1739937900,83,83,83,83,210
2025-02-19,09:41,1739938260,83,83,83,83,260
2025-02-19,09:44,1739938440,81.65,81.65,81.65,81.65,535
2025-02-19,11:36,1739945160,83,83,83,83,541
2025-02-19,11:39,1739945340,84.5,84.9,84.5,84.9,638
2025-02-19,12:10,1739947200,85,85,85,85,736
2025-02-19,12:45,1739949300,85,85,85,85,803
2025-02-19,13:11,1739950860,85.95,85.95,85.95,85.95,804
2025-02-19,13:14,1739951040,85.05,85.05,85.05,85.05,1054
2025-02-19,14:08,1739954280,86,86,86,86,1094
2025-02-19,15:29,1739959140,85.95,85.95,85.95,85.95,1109
2025-02-20,09:22,1740023520,84.5,84.5,84.5,84.5,300
2025-02-20,09:38,1740024480,83,83,83,83,900
2025-02-20,09:41,1740024660,83,83,83,83,991
2025-02-20,09:42,1740024720,83,83,83,83,1500
2025-02-20,09:45,1740024900,83,83,83,83,1501
2025-02-20,09:49,1740025140,83,83,83,83,1507
2025-02-20,09:52,1740025320,83,83,83,83,1582
2025-02-20,10:03,1740025980,83,83,83,83,1632
2025-02-20,10:09,1740026340,83,83,83,83,1642
2025-02-20,10:26,1740027360,83,83,83,83,1717
2025-02-20,10:27,1740027420,83,83,83,83,1817
2025-02-20,10:31,1740027660,83,83,83,83,1940
2025-02-20,10:43,1740028380,82.5,82.5,82.3,82.3,3040
2025-02-20,10:47,1740028620,82.7,82.7,82.7,82.7,3062
2025-02-20,10:57,1740029220,83,83,83,83,3063
2025-02-20,11:00,1740029400,83,83,83,83,3071
2025-02-20,11:02,1740029520,83,83,83,83,3111
2025-02-20,11:05,1740029700,82.7,82.7,82.7,82.7,3215
2025-02-20,11:07,1740029820,82.7,82.7,82.7,82.7,3235
2025-02-20,11:15,1740030300,82.7,82.7,82.7,82.7,3247
2025-02-20,11:38,1740031680,83,83,83,83,
2025-02-20,11:39,1740031740,83,83,83,83,3297
2025-02-20,12:15,1740033900,83,83,83,83,3365
2025-02-20,12:25,1740034500,83,83,83,83,3390
2025-02-20,12:30,1740034800,83,83,83,83,3414
2025-02-20,12:32,1740034920,84.5,84.5,84.5,84.5,3454
2025-02-20,12:42,1740035520,84.49,84.49,84.49,84.49,3455
2025-02-20,13:28,1740038280,84.49,84.49,84.49,84.49,3475
2025-02-20,14:14,1740041040,83,83,83,83,3476
2025-02-20,14:32,1740042120,83,83,83,83,3592
2025-02-20,14:44,1740042840,84.49,84.49,84.49,84.49,3792
2025-02-20,15:17,1740044820,84,84,84,84,3892
2025-02-20,15:26,1740045360,84,84,84,84,3976
2025-02-21,10:11,1740112860,84,84,84,84,10
2025-02-21,10:29,1740113940,84,84,84,84,25
2025-02-21,10:31,1740114060,84,84,84,84,26
2025-02-21,10:57,1740115620,84.55,84.55,84.55,84.55,36
2025-02-21,12:29,1740121140,85,85,85,85,86
2025-02-21,12:34,1740121440,88,88,88,88,1586
2025-02-21,12:40,1740121800,88.2,88.2,88.2,88.2,1836
2025-02-21,12:54,1740122640,88,88,88,88,1841
2025-02-21,13:04,1740123240,88,88,88,88,2091
2025-02-21,13:20,1740124200,86,86,85.05,85.05,2191
2025-02-21,13:30,1740124800,86,86,86,86,2198
2025-02-21,13:40,1740125400,86,86,86,86,2213
2025-02-21,13:41,1740125460,86,86,86,86,2214
2025-02-21,15:05,1740130500,85,85,85,85,2295
2025-02-21,15:16,1740131160,86.25,86.25,86.25,86.25,2297
2025-02-24,09:38,1740370080,82.15,82.6,82.15,82.6,203
2025-02-24,09:50,1740370800,83,83,83,83,204
2025-02-24,09:55,1740371100,83,83,83,83,268
2025-02-24,10:12,1740372120,83.5,83.5,83.5,83.5,307
2025-02-24,10:14,1740372240,83.5,83.5,83.5,83.5,365
2025-02-24,10:35,1740373500,85.95,85.95,85.95,85.95,385
2025-02-24,10:38,1740373680,86.95,86.95,86.95,86.95,435
2025-02-24,10:46,1740374160,86.95,86.95,86.95,86.95,483
2025-02-24,10:48,1740374280,87.4,87.4,87.38,87.38,498
2025-02-24,10:54,1740374640,87.38,87.38,87.38,87.38,670
2025-02-24,11:09,1740375540,86.9,86.9,86.9,86.9,730
2025-02-24,11:59,1740378540,86.5,86.5,86.5,86.5,750
2025-02-24,12:30,1740380400,86,86,86,86,755
2025-02-24,12:31,1740380460,86.5,86.5,86.5,86.5,758
2025-02-24,13:26,1740383760,86,86,86,86,909
2025-02-24,13:30,1740384000,86,86,86,86,1009
2025-02-24,13:32,1740384120,86,86,86,86,1049
2025-02-24,13:33,1740384180,85,85,85,85,1193
2025-02-24,13:38,1740384480,85,85,85,85,1261
2025-02-24,14:56,1740389160,85,85,85,85,1271
2025-02-24,15:28,1740391080,85,85,85,85,1281
2025-02-25,09:15,1740455100,85,85,85,85,50
2025-02-25,09:43,1740456780,85,85,85,85,51
2025-02-25,10:47,1740460620,85,85,85,85,52
2025-02-25,11:30,1740463200,84.2,84.2,84.2,84.2,152
